,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
37879,"Lincoln, IA","Cedar Falls, IA",18,63,25,27,60,19,20,37,49,106,2008
37970,"Lincoln, IA","Waterloo, IA",20,65,16,18,71,12,19,35,47,101,2008
37936,"Lincoln, IA","Morrison, IA",8,23,15,23,18,5,13,17,16,46,2008
37929,"Lincoln, IA","Lincoln, IA",8,13,11,3,24,5,12,16,4,32,2008
37898,"Lincoln, IA","Dike, IA",7,12,10,7,18,4,13,8,8,29,2008
37904,"Lincoln, IA","Elk Run Heights, IA",5,11,3,17,1,1,2,7,10,19,2008
37940,"Lincoln, IA","New Hartford, IA",5,6,6,7,2,8,7,6,4,17,2008
37933,"Lincoln, IA","Marshalltown, IA",5,9,2,5,7,4,5,6,5,16,2008
37975,"Lincoln, IA","Wellsburg, IA",3,8,4,7,4,4,3,10,2,15,2008
37907,"Lincoln, IA","Evansdale, IA",5,5,3,0,7,6,3,6,4,13,2008
37897,"Lincoln, IA","Des Moines, IA",3,8,2,2,10,1,5,5,3,13,2008
37915,"Lincoln, IA","Grundy Center, IA",2,5,5,2,9,1,4,5,3,12,2008
37880,"Lincoln, IA","Cedar Rapids, IA",3,7,0,3,7,0,2,5,3,10,2008
37917,"Lincoln, IA","Hiawatha, IA",3,4,1,0,4,4,1,3,4,8,2008
37973,"Lincoln, IA","Waverly, IA",1,3,3,3,1,3,0,3,4,7,2008
37872,"Lincoln, IA","Ankeny, IA",3,3,1,3,3,1,3,1,3,7,2008
37921,"Lincoln, IA","Iowa City, IA",4,2,0,1,5,0,4,1,1,6,2008
37909,"Lincoln, IA","Fort Dodge, IA",1,4,1,1,1,4,2,2,2,6,2008
37871,"Lincoln, IA","Ames, IA",3,2,0,0,4,1,3,0,2,5,2008
37934,"Lincoln, IA","Mason City, IA",0,5,0,0,3,2,1,1,3,5,2008
37899,"Lincoln, IA","Dubuque, IA",1,2,1,0,2,2,1,3,0,4,2008
37947,"Lincoln, IA","Parkersburg, IA",2,2,0,0,2,2,1,1,2,4,2008
37894,"Lincoln, IA","Decorah, IA",2,2,0,2,0,2,2,0,2,4,2008
37949,"Lincoln, IA","Reinbeck, IA",2,2,0,0,4,0,1,3,0,4,2008
37922,"Lincoln, IA","Iowa Falls, IA",0,3,1,0,2,2,2,2,0,4,2008
37965,"Lincoln, IA","Traer, IA",0,2,2,0,1,3,1,1,2,4,2008
37945,"Lincoln, IA","Ottumwa, IA",1,2,1,2,1,1,0,0,4,4,2008
37884,"Lincoln, IA","Clive, IA",3,1,0,0,2,2,2,2,0,4,2008
37976,"Lincoln, IA","West Des Moines, IA",1,3,0,0,2,2,0,2,2,4,2008
37877,"Lincoln, IA","Boone, IA",3,0,0,0,1,2,3,0,0,3,2008
