,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
38151,"Lineville, IA","Leon, IA",5,29,12,4,37,5,9,29,8,46,2008
38165,"Lineville, IA","Osceola, IA",2,18,5,14,11,0,5,19,1,25,2008
38148,"Lineville, IA","Lamoni, IA",5,11,3,4,15,0,10,6,3,19,2008
38118,"Lineville, IA","Des Moines, IA",3,14,1,5,12,1,2,5,11,18,2008
38168,"Lineville, IA","Pleasanton, IA",4,3,2,6,3,0,6,3,0,9,2008
38132,"Lineville, IA","Garden Grove, IA",0,7,0,2,2,3,2,5,0,7,2008
38111,"Lineville, IA","Clio, IA",1,1,4,2,2,2,4,1,1,6,2008
38187,"Lineville, IA","Waterloo, IA",3,0,3,1,4,1,2,2,2,6,2008
38107,"Lineville, IA","Cedar Rapids, IA",0,3,3,1,0,5,1,1,4,6,2008
38161,"Lineville, IA","Murray, IA",3,2,1,0,6,0,0,6,0,6,2008
38098,"Lineville, IA","Ankeny, IA",0,3,3,1,3,2,1,2,3,6,2008
38137,"Lineville, IA","Hiawatha, IA",3,3,0,0,2,4,4,1,1,6,2008
38171,"Lineville, IA","Red Oak, IA",0,5,0,1,1,3,0,4,1,5,2008
38117,"Lineville, IA","Davenport, IA",2,1,2,0,2,3,3,1,1,5,2008
38115,"Lineville, IA","Council Bluffs, IA",1,3,1,0,2,3,2,3,0,5,2008
38190,"Lineville, IA","West Burlington, IA",0,3,1,0,1,3,1,1,2,4,2008
38125,"Lineville, IA","Elk Run Heights, IA",1,2,1,4,0,0,1,0,3,4,2008
38162,"Lineville, IA","Muscatine, IA",1,2,1,2,0,2,1,2,1,4,2008
38114,"Lineville, IA","Corydon, IA",0,3,1,1,3,0,1,2,1,4,2008
38116,"Lineville, IA","Creston, IA",1,2,0,0,2,1,0,3,0,3,2008
38138,"Lineville, IA","Indianola, IA",0,1,2,0,1,2,1,2,0,3,2008
38130,"Lineville, IA","Fort Dodge, IA",0,2,1,1,0,2,0,2,1,3,2008
38112,"Lineville, IA","Clive, IA",2,0,1,0,3,0,0,2,1,3,2008
38109,"Lineville, IA","Chariton, IA",2,0,1,1,2,0,0,1,2,3,2008
38108,"Lineville, IA","Centerville, IA",1,2,0,0,3,0,1,2,0,3,2008
38105,"Lineville, IA","Burlington, IA",2,1,0,1,0,2,1,2,0,3,2008
38152,"Lineville, IA","Lineville, IA",2,1,0,0,2,1,1,2,0,3,2008
38155,"Lineville, IA","Mason City, IA",0,2,1,0,1,2,2,0,1,3,2008
38097,"Lineville, IA","Ames, IA",2,0,1,0,2,1,3,0,0,3,2008
38167,"Lineville, IA","Pella, IA",0,1,1,0,1,1,1,1,0,2,2008
38145,"Lineville, IA","Lacona, IA",0,2,0,2,0,0,0,2,0,2,2008
38143,"Lineville, IA","Keokuk, IA",0,2,0,1,0,1,1,1,0,2,2008
38164,"Lineville, IA","Norwalk, IA",2,0,0,0,1,1,2,0,0,2,2008
38139,"Lineville, IA","Iowa City, IA",0,1,1,1,0,1,0,1,1,2,2008
38177,"Lineville, IA","Sioux City, IA",1,1,0,0,1,1,1,1,0,2,2008
38166,"Lineville, IA","Ottumwa, IA",0,1,1,0,1,1,0,1,1,2,2008
38127,"Lineville, IA","Fairfield, IA",1,1,0,2,0,0,0,2,0,2,2008
38100,"Lineville, IA","Audubon, IA",0,1,1,2,0,0,0,1,1,2,2008
38126,"Lineville, IA","Fairfax, IA",2,0,0,0,1,1,0,2,0,2,2008
38106,"Lineville, IA","Cedar Falls, IA",1,1,0,0,2,0,1,1,0,2,2008
38113,"Lineville, IA","Coralville, IA",2,0,0,0,2,0,0,1,1,2,2008
38178,"Lineville, IA","Spencer, IA",0,1,0,0,1,0,0,0,1,1,2008
38169,"Lineville, IA","Popejoy, IA",0,1,0,1,0,0,0,1,0,1,2008
38192,"Lineville, IA","West Liberty, IA",0,1,0,1,0,0,0,1,0,1,2008
38163,"Lineville, IA","Northwood, IA",0,1,0,0,0,1,0,0,1,1,2008
38191,"Lineville, IA","West Des Moines, IA",0,1,0,0,1,0,0,0,1,1,2008
38189,"Lineville, IA","Waverly, IA",0,1,0,0,0,1,0,1,0,1,2008
38188,"Lineville, IA","Waukee, IA",0,1,0,1,0,0,0,0,1,1,2008
38186,"Lineville, IA","Wapello, IA",0,1,0,1,0,0,0,1,0,1,2008
38185,"Lineville, IA","Wall Lake, IA",1,0,0,0,1,0,0,1,0,1,2008
38184,"Lineville, IA","University Park, IA",0,1,0,0,0,1,1,0,0,1,2008
38183,"Lineville, IA","University Heights, IA",0,1,0,0,1,0,0,0,1,1,2008
38179,"Lineville, IA","Springville, IA",1,0,0,1,0,0,1,0,0,1,2008
38170,"Lineville, IA","Promise City, IA",0,0,1,0,0,1,0,1,0,1,2008
38182,"Lineville, IA","Tipton, IA",1,0,0,0,1,0,0,1,0,1,2008
38181,"Lineville, IA","Stuart, IA",0,1,0,1,0,0,1,0,0,1,2008
38172,"Lineville, IA","Robins, IA",1,0,0,0,0,1,1,0,0,1,2008
38173,"Lineville, IA","Sergeant Bluff, IA",0,1,0,0,0,1,0,0,1,1,2008
38160,"Lineville, IA","Mount Ayr, IA",0,1,0,0,1,0,0,1,0,1,2008
38180,"Lineville, IA","Storm Lake, IA",0,1,0,0,1,0,0,0,1,1,2008
38174,"Lineville, IA","Seymour, IA",1,0,0,1,0,0,0,1,0,1,2008
38175,"Lineville, IA","Shelby, IA",0,0,1,0,1,0,1,0,0,1,2008
38176,"Lineville, IA","Shueyville, IA",0,1,0,0,1,0,0,1,0,1,2008
38095,"Lineville, IA","Albia, IA",0,0,1,0,0,1,0,1,0,1,2008
38144,"Lineville, IA","Knoxville, IA",1,0,0,0,1,0,1,0,0,1,2008
38159,"Lineville, IA","Morley, IA",0,0,1,0,0,1,0,0,1,1,2008
38120,"Lineville, IA","Dyersville, IA",0,0,1,0,0,1,0,1,0,1,2008
38129,"Lineville, IA","Forest City, IA",1,0,0,0,1,0,1,0,0,1,2008
38128,"Lineville, IA","Fonda, IA",1,0,0,0,1,0,1,0,0,1,2008
38124,"Lineville, IA","Eldridge, IA",0,1,0,1,0,0,0,0,1,1,2008
38123,"Lineville, IA","Eldora, IA",0,0,1,0,1,0,0,1,0,1,2008
38122,"Lineville, IA","East Peru, IA",0,1,0,1,0,0,0,1,0,1,2008
38121,"Lineville, IA","Eagle Grove, IA",0,0,1,0,1,0,1,0,0,1,2008
38119,"Lineville, IA","Diagonal, IA",1,0,0,1,0,0,0,1,0,1,2008
38158,"Lineville, IA","Montezuma, IA",0,1,0,0,0,1,0,1,0,1,2008
38110,"Lineville, IA","Clarinda, IA",0,1,0,0,0,1,1,0,0,1,2008
38104,"Lineville, IA","Buffalo, IA",0,1,0,0,0,1,0,0,1,1,2008
38103,"Lineville, IA","Boone, IA",0,1,0,0,0,1,0,1,0,1,2008
38102,"Lineville, IA","Bloomfield, IA",0,1,0,1,0,0,0,1,0,1,2008
38101,"Lineville, IA","Bettendorf, IA",0,1,0,0,0,1,0,1,0,1,2008
38099,"Lineville, IA","Asbury, IA",1,0,0,0,0,1,1,0,0,1,2008
38131,"Lineville, IA","Fruitland, IA",0,1,0,0,0,1,0,0,1,1,2008
38133,"Lineville, IA","Gilman, IA",1,0,0,0,0,1,1,0,0,1,2008
38134,"Lineville, IA","Glenwood, IA",1,0,0,0,1,0,0,0,1,1,2008
38135,"Lineville, IA","Goldfield, IA",0,1,0,0,0,1,0,1,0,1,2008
38136,"Lineville, IA","Harlan, IA",0,0,1,0,1,0,0,1,0,1,2008
38140,"Lineville, IA","Iowa Falls, IA",0,1,0,0,1,0,1,0,0,1,2008
38141,"Lineville, IA","Janesville, IA",0,1,0,1,0,0,0,1,0,1,2008
38142,"Lineville, IA","Johnston, IA",0,1,0,1,0,0,0,0,1,1,2008
38096,"Lineville, IA","Altoona, IA",0,0,1,0,1,0,0,1,0,1,2008
38146,"Lineville, IA","Lake Mills, IA",1,0,0,1,0,0,1,0,0,1,2008
38147,"Lineville, IA","Lakeside, IA",1,0,0,0,1,0,1,0,0,1,2008
38149,"Lineville, IA","Laurens, IA",0,1,0,0,1,0,1,0,0,1,2008
38150,"Lineville, IA","Le Roy, IA",0,0,1,0,0,1,0,1,0,1,2008
38153,"Lineville, IA","Maquoketa, IA",1,0,0,0,1,0,0,0,1,1,2008
38154,"Lineville, IA","Marshalltown, IA",0,0,1,0,1,0,0,1,0,1,2008
38156,"Lineville, IA","Mechanicsville, IA",1,0,0,0,0,1,0,1,0,1,2008
38157,"Lineville, IA","Milton, IA",0,1,0,0,0,1,1,0,0,1,2008
38193,"Lineville, IA","Windsor Heights, IA",1,0,0,0,0,1,1,0,0,1,2008
