,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54094,"Pleasant Hill, IA","Des Moines, IA",1709,4668,1502,1072,5568,1239,1475,3284,3120,7879,2008
54072,"Pleasant Hill, IA","Clive, IA",477,727,203,44,1067,296,416,523,468,1407,2008
54030,"Pleasant Hill, IA","Ankeny, IA",349,634,148,296,435,400,266,481,384,1131,2008
54284,"Pleasant Hill, IA","Urbandale, IA",302,597,212,181,585,345,246,515,350,1111,2008
54233,"Pleasant Hill, IA","Pleasant Hill, IA",299,487,212,212,547,239,362,379,257,998,2008
54294,"Pleasant Hill, IA","West Des Moines, IA",275,572,139,290,475,221,210,417,359,986,2008
54028,"Pleasant Hill, IA","Altoona, IA",349,405,169,78,643,202,352,401,170,923,2008
54299,"Pleasant Hill, IA","Windsor Heights, IA",168,301,100,55,367,147,175,268,126,569,2008
54156,"Pleasant Hill, IA","Johnston, IA",110,215,69,54,230,110,112,163,119,394,2008
54213,"Pleasant Hill, IA","Norwalk, IA",107,196,46,33,239,77,109,181,59,349,2008
54289,"Pleasant Hill, IA","Waukee, IA",67,186,31,76,161,47,48,104,132,284,2008
54196,"Pleasant Hill, IA","Mitchellville, IA",45,123,48,21,193,2,41,101,74,216,2008
54029,"Pleasant Hill, IA","Ames, IA",62,90,33,22,126,37,62,56,67,185,2008
54061,"Pleasant Hill, IA","Cedar Rapids, IA",56,62,23,11,68,62,47,53,41,141,2008
54132,"Pleasant Hill, IA","Grimes, IA",42,71,17,65,15,50,32,52,46,130,2008
54288,"Pleasant Hill, IA","Waterloo, IA",42,52,19,25,56,32,39,32,42,113,2008
54055,"Pleasant Hill, IA","Carlisle, IA",21,53,26,16,64,20,18,51,31,100,2008
54151,"Pleasant Hill, IA","Iowa City, IA",58,26,9,4,69,20,33,39,21,93,2008
54086,"Pleasant Hill, IA","Davenport, IA",33,47,9,6,54,29,41,24,24,89,2008
54079,"Pleasant Hill, IA","Council Bluffs, IA",45,31,9,11,22,52,38,34,13,85,2008
54143,"Pleasant Hill, IA","Hiawatha, IA",32,42,9,7,49,27,27,25,31,83,2008
54188,"Pleasant Hill, IA","Mason City, IA",34,38,7,2,43,34,25,23,31,79,2008
54060,"Pleasant Hill, IA","Cedar Falls, IA",34,33,8,5,45,25,37,13,25,75,2008
54261,"Pleasant Hill, IA","Sioux City, IA",30,32,6,4,23,41,34,21,13,68,2008
54150,"Pleasant Hill, IA","Indianola, IA",20,39,4,11,28,24,19,25,19,63,2008
54078,"Pleasant Hill, IA","Coralville, IA",28,18,5,0,22,29,27,15,9,51,2008
54096,"Pleasant Hill, IA","Dubuque, IA",18,25,7,2,27,21,19,17,14,50,2008
54040,"Pleasant Hill, IA","Bettendorf, IA",18,27,4,2,29,18,22,15,12,49,2008
54187,"Pleasant Hill, IA","Marshalltown, IA",14,24,4,17,16,9,12,17,13,42,2008
54119,"Pleasant Hill, IA","Fort Dodge, IA",20,16,5,9,14,18,11,16,14,41,2008
54129,"Pleasant Hill, IA","Granger, IA",4,28,4,5,11,20,8,14,14,36,2008
54027,"Pleasant Hill, IA","Allison, IA",11,19,4,0,34,0,8,6,20,34,2008
54105,"Pleasant Hill, IA","Elk Run Heights, IA",11,20,2,33,0,0,2,20,11,33,2008
54221,"Pleasant Hill, IA","Ottumwa, IA",8,20,5,9,13,11,7,11,15,33,2008
54209,"Pleasant Hill, IA","Newton, IA",13,14,4,6,18,7,8,17,6,31,2008
54202,"Pleasant Hill, IA","Mount Pleasant, IA",12,16,2,4,6,20,8,17,5,30,2008
54045,"Pleasant Hill, IA","Boone, IA",11,13,5,4,21,4,6,14,9,29,2008
54218,"Pleasant Hill, IA","Osceola, IA",8,12,6,9,17,0,9,14,3,26,2008
54103,"Pleasant Hill, IA","Eldridge, IA",8,14,3,7,10,8,2,6,17,25,2008
54235,"Pleasant Hill, IA","Polk City, IA",9,13,2,1,19,4,5,10,9,24,2008
54254,"Pleasant Hill, IA","Sergeant Bluff, IA",8,13,2,2,8,13,7,5,11,23,2008
54266,"Pleasant Hill, IA","Spring Hill, IA",5,11,5,14,1,6,1,12,8,21,2008
54051,"Pleasant Hill, IA","Burlington, IA",4,11,4,5,11,3,4,9,6,19,2008
54044,"Pleasant Hill, IA","Bondurant, IA",5,11,3,2,10,7,2,12,5,19,2008
54281,"Pleasant Hill, IA","University Heights, IA",9,7,2,0,15,3,6,6,6,18,2008
54139,"Pleasant Hill, IA","Harvey, IA",9,9,0,13,3,2,0,5,13,18,2008
54247,"Pleasant Hill, IA","Robins, IA",3,14,0,0,7,10,9,3,5,17,2008
54293,"Pleasant Hill, IA","West Burlington, IA",4,11,2,3,3,11,6,6,5,17,2008
54088,"Pleasant Hill, IA","De Soto, IA",3,11,2,10,5,1,2,10,4,16,2008
54114,"Pleasant Hill, IA","Fairfax, IA",9,6,1,2,4,10,7,4,5,16,2008
54063,"Pleasant Hill, IA","Chariton, IA",7,8,1,1,2,13,7,5,4,16,2008
54238,"Pleasant Hill, IA","Reasnor, IA",1,12,3,2,13,1,2,5,9,16,2008
54232,"Pleasant Hill, IA","Perry, IA",9,7,0,5,11,0,2,8,6,16,2008
54271,"Pleasant Hill, IA","Storm Lake, IA",4,9,2,4,9,2,5,5,5,15,2008
54205,"Pleasant Hill, IA","Muscatine, IA",5,9,1,5,6,4,2,5,8,15,2008
54073,"Pleasant Hill, IA","Colfax, IA",8,4,2,1,11,2,6,5,3,14,2008
54264,"Pleasant Hill, IA","Spencer, IA",5,5,3,1,5,7,5,4,4,13,2008
54285,"Pleasant Hill, IA","Van Meter, IA",3,5,4,7,2,3,4,5,3,12,2008
54219,"Pleasant Hill, IA","Oskaloosa, IA",1,9,1,0,9,2,4,5,2,11,2008
54250,"Pleasant Hill, IA","Runnells, IA",2,6,3,4,7,0,1,5,5,11,2008
54056,"Pleasant Hill, IA","Carroll, IA",5,6,0,0,6,5,4,4,3,11,2008
54181,"Pleasant Hill, IA","Madrid, IA",3,8,0,2,7,2,1,6,4,11,2008
54115,"Pleasant Hill, IA","Fairfield, IA",5,5,1,1,3,7,3,4,4,11,2008
54033,"Pleasant Hill, IA","Asbury, IA",3,7,1,1,2,8,2,6,3,11,2008
54290,"Pleasant Hill, IA","Waverly, IA",3,6,0,1,5,3,2,2,5,9,2008
54297,"Pleasant Hill, IA","Williamsburg, IA",3,5,1,0,0,9,4,1,4,9,2008
54026,"Pleasant Hill, IA","Algona, IA",3,4,2,3,4,2,3,3,3,9,2008
54211,"Pleasant Hill, IA","North Liberty, IA",4,4,0,1,2,5,2,1,5,8,2008
54090,"Pleasant Hill, IA","Decorah, IA",4,3,1,1,4,3,4,2,2,8,2008
54092,"Pleasant Hill, IA","Denison, IA",1,7,0,3,3,2,3,4,1,8,2008
54109,"Pleasant Hill, IA","Ely, IA",5,3,0,0,8,0,4,3,1,8,2008
54291,"Pleasant Hill, IA","Webster City, IA",4,4,0,1,2,5,4,3,1,8,2008
54275,"Pleasant Hill, IA","Swan, IA",5,1,2,7,1,0,3,3,2,8,2008
54080,"Pleasant Hill, IA","Creston, IA",2,4,2,4,2,2,2,2,4,8,2008
54230,"Pleasant Hill, IA","Pella, IA",4,4,0,0,5,3,4,3,1,8,2008
54301,"Pleasant Hill, IA","Woodward, IA",0,5,2,0,7,0,1,2,4,7,2008
54278,"Pleasant Hill, IA","Tiffin, IA",0,6,1,0,2,5,3,3,1,7,2008
54277,"Pleasant Hill, IA","Tennant, IA",6,1,0,0,4,3,3,2,2,7,2008
54149,"Pleasant Hill, IA","Independence, IA",5,2,0,0,5,2,2,4,1,7,2008
54280,"Pleasant Hill, IA","Toledo, IA",3,2,2,3,2,2,4,0,3,7,2008
54237,"Pleasant Hill, IA","Prairie City, IA",3,2,2,1,6,0,0,3,4,7,2008
54239,"Pleasant Hill, IA","Red Oak, IA",2,4,1,1,6,0,1,3,3,7,2008
54260,"Pleasant Hill, IA","Sioux Center, IA",4,3,0,2,3,2,3,1,3,7,2008
54095,"Pleasant Hill, IA","Dexter, IA",1,6,0,2,1,4,0,4,3,7,2008
54160,"Pleasant Hill, IA","Knoxville, IA",2,4,1,0,4,3,1,2,4,7,2008
54206,"Pleasant Hill, IA","Nevada, IA",0,6,0,3,2,1,2,3,1,6,2008
54257,"Pleasant Hill, IA","Shenandoah, IA",3,3,0,2,1,3,3,1,2,6,2008
54173,"Pleasant Hill, IA","Logan, IA",1,5,0,0,5,1,1,1,4,6,2008
54120,"Pleasant Hill, IA","Fort Madison, IA",0,5,1,3,3,0,1,0,5,6,2008
54024,"Pleasant Hill, IA","Adel, IA",0,5,1,3,3,0,0,4,2,6,2008
54169,"Pleasant Hill, IA","Le Mars, IA",2,4,0,0,0,6,1,2,3,6,2008
54070,"Pleasant Hill, IA","Clear Lake, IA",3,2,1,0,4,2,3,2,1,6,2008
54164,"Pleasant Hill, IA","Lakeside, IA",2,3,1,3,2,1,1,4,1,6,2008
54068,"Pleasant Hill, IA","Clarion, IA",1,5,0,1,5,0,0,6,0,6,2008
54069,"Pleasant Hill, IA","Clarksville, IA",1,3,2,0,6,0,2,1,3,6,2008
54153,"Pleasant Hill, IA","Jefferson, IA",1,4,1,0,6,0,2,4,0,6,2008
54112,"Pleasant Hill, IA","Evansdale, IA",4,1,1,0,5,1,0,6,0,6,2008
54300,"Pleasant Hill, IA","Winterset, IA",1,3,2,0,4,2,0,4,2,6,2008
54258,"Pleasant Hill, IA","Shueyville, IA",0,4,2,0,3,3,2,1,3,6,2008
54194,"Pleasant Hill, IA","Melcher-Dallas, IA",1,5,0,4,1,1,2,1,3,6,2008
54175,"Pleasant Hill, IA","Low Moor, IA",1,2,2,0,2,3,1,4,0,5,2008
54126,"Pleasant Hill, IA","Glenwood, IA",0,5,0,0,3,2,0,3,2,5,2008
54122,"Pleasant Hill, IA","Garner, IA",4,1,0,0,4,1,1,3,1,5,2008
54287,"Pleasant Hill, IA","Washington, IA",0,5,0,0,2,3,2,3,0,5,2008
54067,"Pleasant Hill, IA","Clarinda, IA",2,0,3,0,4,1,2,3,0,5,2008
54082,"Pleasant Hill, IA","Crystal Lake, IA",1,1,3,0,1,4,0,3,2,5,2008
54071,"Pleasant Hill, IA","Clinton, IA",1,3,0,0,4,0,0,4,0,4,2008
54062,"Pleasant Hill, IA","Centerville, IA",3,1,0,0,1,3,0,4,0,4,2008
54157,"Pleasant Hill, IA","Keokuk, IA",1,2,1,0,3,1,2,2,0,4,2008
54052,"Pleasant Hill, IA","Bussey, IA",1,1,2,3,0,1,0,1,3,4,2008
54107,"Pleasant Hill, IA","Elkport, IA",2,2,0,0,3,1,3,1,0,4,2008
54286,"Pleasant Hill, IA","Vinton, IA",0,4,0,1,3,0,1,2,1,4,2008
54147,"Pleasant Hill, IA","Huxley, IA",1,2,1,1,3,0,2,1,1,4,2008
54110,"Pleasant Hill, IA","Emmetsburg, IA",1,2,1,0,3,1,2,1,1,4,2008
54265,"Pleasant Hill, IA","Spirit Lake, IA",1,2,1,0,0,4,2,0,2,4,2008
54075,"Pleasant Hill, IA","Columbus Junction, IA",1,3,0,4,0,0,1,2,1,4,2008
54273,"Pleasant Hill, IA","Strawberry Point, IA",1,3,0,4,0,0,0,1,3,4,2008
54136,"Pleasant Hill, IA","Hampton, IA",3,1,0,0,3,1,1,3,0,4,2008
54223,"Pleasant Hill, IA","Oxford, IA",2,1,1,0,2,2,1,2,1,4,2008
54065,"Pleasant Hill, IA","Cherokee, IA",3,1,0,0,3,1,3,1,0,4,2008
54025,"Pleasant Hill, IA","Albia, IA",0,3,1,0,2,2,0,4,0,4,2008
54272,"Pleasant Hill, IA","Story City, IA",1,2,1,1,3,0,2,1,1,4,2008
54229,"Pleasant Hill, IA","Patterson, IA",0,3,1,1,3,0,0,4,0,4,2008
54252,"Pleasant Hill, IA","Sageville, IA",0,3,0,2,0,1,1,0,2,3,2008
54170,"Pleasant Hill, IA","Linden, IA",0,3,0,1,1,1,0,2,1,3,2008
54195,"Pleasant Hill, IA","Meriden, IA",1,2,0,0,1,2,1,0,2,3,2008
54182,"Pleasant Hill, IA","Manchester, IA",0,2,1,0,1,2,2,1,0,3,2008
54167,"Pleasant Hill, IA","Larrabee, IA",2,0,1,0,0,3,1,1,1,3,2008
