,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55935,"Randalia, IA","West Union, IA",27,83,38,45,73,30,43,79,26,148,2008
55911,"Randalia, IA","Randalia, IA",23,72,14,8,79,22,39,57,13,109,2008
55871,"Randalia, IA","Fayette, IA",8,26,12,10,31,5,20,15,11,46,2008
55904,"Randalia, IA","Oelwein, IA",7,29,6,7,26,9,13,21,8,42,2008
55861,"Randalia, IA","Decorah, IA",5,22,5,11,15,6,5,18,9,32,2008
55930,"Randalia, IA","Waterloo, IA",12,14,5,3,18,10,9,13,9,31,2008
55924,"Randalia, IA","Sumner, IA",5,16,10,13,14,4,10,17,4,31,2008
55931,"Randalia, IA","Waucoma, IA",8,8,7,3,4,16,5,11,7,23,2008
55873,"Randalia, IA","Fort Atkinson, IA",1,10,9,4,12,4,7,6,7,20,2008
55854,"Randalia, IA","Cedar Falls, IA",4,14,1,7,8,4,5,5,9,19,2008
55909,"Randalia, IA","Postville, IA",9,6,3,9,4,5,10,4,4,18,2008
55900,"Randalia, IA","New Hampton, IA",7,8,3,8,8,2,4,10,4,18,2008
55923,"Randalia, IA","Strawberry Point, IA",7,8,1,5,7,4,10,2,4,16,2008
55855,"Randalia, IA","Cedar Rapids, IA",4,10,2,4,6,6,4,3,9,16,2008
55933,"Randalia, IA","Waverly, IA",6,6,1,5,7,1,5,6,2,13,2008
55865,"Randalia, IA","Elgin, IA",2,7,4,1,8,4,7,4,2,13,2008
55859,"Randalia, IA","Cresco, IA",2,8,2,7,2,3,4,7,1,12,2008
55919,"Randalia, IA","St. Lucas, IA",6,2,3,4,4,3,6,3,2,11,2008
55891,"Randalia, IA","Luana, IA",3,3,3,3,1,5,3,3,3,9,2008
55880,"Randalia, IA","Hiawatha, IA",2,5,2,5,1,3,3,6,0,9,2008
55892,"Randalia, IA","Manchester, IA",3,6,0,4,5,0,2,3,4,9,2008
55878,"Randalia, IA","Hawkeye, IA",1,4,3,0,5,3,7,1,0,8,2008
55869,"Randalia, IA","Fairbank, IA",1,5,2,2,1,5,1,5,2,8,2008
55874,"Randalia, IA","Fredericksburg, IA",2,5,1,5,3,0,2,3,3,8,2008
55922,"Randalia, IA","Stanley, IA",0,6,1,0,7,0,5,2,0,7,2008
55879,"Randalia, IA","Hazleton, IA",0,5,2,3,2,2,4,2,1,7,2008
55867,"Randalia, IA","Elkader, IA",0,6,1,0,5,2,2,3,2,7,2008
55850,"Randalia, IA","Arlington, IA",2,4,1,1,2,4,5,2,0,7,2008
