,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
62136,"Soldier, IA","Onawa, IA",18,38,10,7,45,14,12,44,10,66,2008
62155,"Soldier, IA","Soldier, IA",14,16,10,8,11,21,22,11,7,40,2008
62104,"Soldier, IA","Denison, IA",8,25,6,19,14,6,9,20,10,39,2008
62153,"Soldier, IA","Sioux City, IA",11,15,11,2,20,15,4,23,10,37,2008
62126,"Soldier, IA","Mapleton, IA",5,8,12,2,16,7,13,9,3,25,2008
62105,"Soldier, IA","Des Moines, IA",5,13,4,0,18,4,6,8,8,22,2008
62103,"Soldier, IA","Danbury, IA",4,8,6,2,14,2,7,6,5,18,2008
62100,"Soldier, IA","Council Bluffs, IA",5,7,4,2,10,4,5,10,1,16,2008
62106,"Soldier, IA","Dunlap, IA",3,5,6,0,9,5,9,4,1,14,2008
62112,"Soldier, IA","Harlan, IA",1,3,9,0,12,1,3,9,1,13,2008
62166,"Soldier, IA","Woodbine, IA",2,9,1,3,5,4,3,8,1,12,2008
62154,"Soldier, IA","Sloan, IA",4,3,4,2,8,1,6,5,0,11,2008
62080,"Soldier, IA","Ames, IA",3,3,4,0,8,2,5,3,2,10,2008
62132,"Soldier, IA","Mondamin, IA",0,7,2,0,8,1,3,2,4,9,2008
62096,"Soldier, IA","Charter Oak, IA",0,8,0,1,6,1,1,2,5,8,2008
62116,"Soldier, IA","Ida Grove, IA",2,4,2,6,2,0,0,5,3,8,2008
62147,"Soldier, IA","Rodney, IA",1,4,3,0,8,0,4,2,2,8,2008
62161,"Soldier, IA","Urbandale, IA",1,6,0,2,3,2,1,1,5,7,2008
62163,"Soldier, IA","West Des Moines, IA",1,4,2,3,3,1,1,3,3,7,2008
62081,"Soldier, IA","Ankeny, IA",2,3,1,0,4,2,2,1,3,6,2008
62156,"Soldier, IA","Spencer, IA",1,2,3,2,3,1,1,2,3,6,2008
62129,"Soldier, IA","Melcher-Dallas, IA",1,3,1,5,0,0,0,4,1,5,2008
62160,"Soldier, IA","Tennant, IA",1,3,1,0,4,1,1,2,2,5,2008
62159,"Soldier, IA","Storm Lake, IA",0,4,1,2,1,2,0,2,3,5,2008
62102,"Soldier, IA","Cushing, IA",3,1,1,4,1,0,1,4,0,5,2008
62083,"Soldier, IA","Arthur, IA",0,4,0,4,0,0,0,0,4,4,2008
62101,"Soldier, IA","Creston, IA",0,3,1,1,2,1,1,2,1,4,2008
62076,"Soldier, IA","Adel, IA",0,2,2,0,4,0,0,4,0,4,2008
62133,"Soldier, IA","Moorhead, IA",1,3,0,0,3,1,2,2,0,4,2008
62093,"Soldier, IA","Carter Lake, IA",0,4,0,4,0,0,0,1,3,4,2008
62114,"Soldier, IA","Hartley, IA",0,3,0,0,3,0,0,2,1,3,2008
62164,"Soldier, IA","Windsor Heights, IA",0,2,1,1,1,1,0,1,2,3,2008
62098,"Soldier, IA","Clive, IA",1,1,1,0,1,2,2,1,0,3,2008
62149,"Soldier, IA","Schleswig, IA",0,1,2,0,0,3,3,0,0,3,2008
62119,"Soldier, IA","Lakeside, IA",0,3,0,0,1,2,0,2,1,3,2008
62092,"Soldier, IA","Carson, IA",0,3,0,0,3,0,3,0,0,3,2008
62165,"Soldier, IA","Wiota, IA",1,2,0,0,2,1,1,2,0,3,2008
62124,"Soldier, IA","Magnolia, IA",0,2,0,0,1,1,2,0,0,2,2008
62150,"Soldier, IA","Sergeant Bluff, IA",1,1,0,0,0,2,0,0,2,2,2008
62123,"Soldier, IA","Logan, IA",0,1,1,0,2,0,0,1,1,2,2008
62125,"Soldier, IA","Manilla, IA",0,2,0,0,2,0,0,2,0,2,2008
62134,"Soldier, IA","Moville, IA",1,1,0,2,0,0,0,2,0,2,2008
62142,"Soldier, IA","Pleasant Hill, IA",2,0,0,0,0,2,1,1,0,2,2008
62109,"Soldier, IA","Glenwood, IA",0,2,0,0,2,0,1,1,0,2,2008
62141,"Soldier, IA","Perry, IA",1,1,0,1,1,0,0,1,1,2,2008
62099,"Soldier, IA","Corning, IA",2,0,0,0,2,0,2,0,0,2,2008
62091,"Soldier, IA","Carroll, IA",2,0,0,0,0,2,0,1,1,2,2008
62162,"Soldier, IA","Waukee, IA",1,1,0,0,2,0,2,0,0,2,2008
62089,"Soldier, IA","Boone, IA",2,0,0,0,0,2,2,0,0,2,2008
62087,"Soldier, IA","Bagley, IA",0,2,0,2,0,0,0,0,2,2,2008
62086,"Soldier, IA","Aurelia, IA",1,1,0,0,1,1,0,0,2,2,2008
62084,"Soldier, IA","Atlantic, IA",0,1,1,1,0,1,0,0,2,2,2008
62079,"Soldier, IA","Altoona, IA",1,0,1,0,2,0,1,0,1,2,2008
62138,"Soldier, IA","Osceola, IA",0,2,0,2,0,0,0,0,2,2,2008
62145,"Soldier, IA","Red Oak, IA",0,0,2,0,2,0,1,1,0,2,2008
62144,"Soldier, IA","Promise City, IA",0,1,0,0,0,1,0,1,0,1,2008
62143,"Soldier, IA","Popejoy, IA",0,1,0,1,0,0,0,1,0,1,2008
62075,"Soldier, IA","Adair, IA",0,1,0,0,0,1,0,1,0,1,2008
62146,"Soldier, IA","Rockwell City, IA",0,1,0,0,1,0,0,1,0,1,2008
62148,"Soldier, IA","Sac City, IA",0,1,0,0,0,1,0,1,0,1,2008
62151,"Soldier, IA","Shelby, IA",0,1,0,0,0,1,0,0,1,1,2008
62152,"Soldier, IA","Shenandoah, IA",0,0,1,1,0,0,0,1,0,1,2008
62157,"Soldier, IA","Spirit Lake, IA",0,0,1,0,0,1,0,1,0,1,2008
62167,"Soldier, IA","Woolstock, IA",0,1,0,1,0,0,0,1,0,1,2008
62158,"Soldier, IA","Stanhope, IA",1,0,0,1,0,0,0,1,0,1,2008
62122,"Soldier, IA","Little Sioux, IA",0,1,0,0,1,0,1,0,0,1,2008
62140,"Soldier, IA","Panama, IA",0,1,0,0,1,0,0,1,0,1,2008
62139,"Soldier, IA","Oyens, IA",0,1,0,0,0,1,1,0,0,1,2008
62077,"Soldier, IA","Akron, IA",0,0,1,0,0,1,0,0,1,1,2008
62078,"Soldier, IA","Algona, IA",0,1,0,0,1,0,1,0,0,1,2008
62082,"Soldier, IA","Anthon, IA",0,1,0,0,0,1,0,1,0,1,2008
62085,"Soldier, IA","Audubon, IA",0,0,1,0,1,0,0,1,0,1,2008
62088,"Soldier, IA","Bedford, IA",0,1,0,0,1,0,0,1,0,1,2008
62090,"Soldier, IA","Buck Grove, IA",0,1,0,0,0,1,0,1,0,1,2008
62094,"Soldier, IA","Casey, IA",0,1,0,1,0,0,0,0,1,1,2008
62095,"Soldier, IA","Chariton, IA",1,0,0,0,0,1,1,0,0,1,2008
62097,"Soldier, IA","Clear Lake, IA",1,0,0,0,0,1,1,0,0,1,2008
62107,"Soldier, IA","Emmetsburg, IA",1,0,0,0,1,0,0,1,0,1,2008
62108,"Soldier, IA","Fort Dodge, IA",1,0,0,0,0,1,0,1,0,1,2008
62110,"Soldier, IA","Grimes, IA",0,1,0,1,0,0,0,1,0,1,2008
62111,"Soldier, IA","Hampton, IA",0,1,0,0,1,0,0,1,0,1,2008
62113,"Soldier, IA","Harris, IA",0,1,0,1,0,0,0,1,0,1,2008
62115,"Soldier, IA","Hawarden, IA",0,1,0,1,0,0,1,0,0,1,2008
62117,"Soldier, IA","Johnston, IA",0,1,0,1,0,0,0,0,1,1,2008
62118,"Soldier, IA","Kirkman, IA",0,0,1,0,1,0,0,1,0,1,2008
62120,"Soldier, IA","Lawton, IA",0,1,0,1,0,0,0,1,0,1,2008
62121,"Soldier, IA","Le Mars, IA",0,0,1,0,0,1,0,0,1,1,2008
62127,"Soldier, IA","Marcus, IA",1,0,0,1,0,0,0,1,0,1,2008
62128,"Soldier, IA","Mason City, IA",1,0,0,0,1,0,0,0,1,1,2008
62130,"Soldier, IA","Merrill, IA",0,1,0,0,1,0,1,0,0,1,2008
62131,"Soldier, IA","Missouri Valley, IA",0,1,0,0,1,0,0,0,1,1,2008
62135,"Soldier, IA","Norwalk, IA",0,0,1,0,1,0,0,0,1,1,2008
62137,"Soldier, IA","Orange City, IA",1,0,0,0,1,0,1,0,0,1,2008
62168,"Soldier, IA","Yetter, IA",0,1,0,0,0,1,0,0,1,1,2008
