,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
65514,"Thompson, IA","Buffalo Center, IA",5,28,15,3,31,14,24,16,8,48,2008
65521,"Thompson, IA","Crystal Lake, IA",3,21,11,30,3,2,5,23,7,35,2008
65523,"Thompson, IA","Forest City, IA",1,14,6,4,13,4,5,15,1,21,2008
65538,"Thompson, IA","Rake, IA",1,12,6,11,3,5,6,8,5,19,2008
65542,"Thompson, IA","Thompson, IA",5,8,5,2,11,5,11,3,4,18,2008
65530,"Thompson, IA","Lake Mills, IA",3,5,5,12,1,0,1,7,5,13,2008
65535,"Thompson, IA","Mason City, IA",3,6,2,2,5,4,5,4,2,11,2008
65519,"Thompson, IA","Clear Lake, IA",2,2,2,2,4,0,4,2,0,6,2008
65545,"Thompson, IA","Woden, IA",1,3,1,2,2,1,1,3,1,5,2008
65513,"Thompson, IA","Britt, IA",2,3,0,1,2,2,3,2,0,5,2008
65541,"Thompson, IA","Swea City, IA",0,3,1,4,0,0,0,3,1,4,2008
65531,"Thompson, IA","Lakota, IA",2,1,0,3,0,0,0,1,2,3,2008
65510,"Thompson, IA","Algona, IA",1,2,0,0,3,0,1,2,0,3,2008
65520,"Thompson, IA","Corwith, IA",0,2,1,0,1,2,0,2,1,3,2008
65525,"Thompson, IA","Garner, IA",1,1,0,0,2,0,1,1,0,2,2008
65543,"Thompson, IA","Titonka, IA",0,2,0,0,1,1,1,1,0,2,2008
65532,"Thompson, IA","Leland, IA",1,1,0,1,1,0,0,1,1,2,2008
65533,"Thompson, IA","Livermore, IA",0,0,2,0,0,2,0,2,0,2,2008
65524,"Thompson, IA","Fort Dodge, IA",1,1,0,0,0,2,0,1,1,2,2008
65517,"Thompson, IA","Clarion, IA",1,1,0,1,1,0,1,1,0,2,2008
65539,"Thompson, IA","St. Ansgar, IA",0,1,1,0,0,2,0,1,1,2,2008
65522,"Thompson, IA","Eldora, IA",1,0,0,0,1,0,1,0,0,1,2008
65516,"Thompson, IA","Charles City, IA",0,1,0,0,1,0,0,1,0,1,2008
65544,"Thompson, IA","Webster City, IA",0,1,0,0,0,1,1,0,0,1,2008
65512,"Thompson, IA","Armstrong, IA",0,0,1,0,1,0,0,1,0,1,2008
65515,"Thompson, IA","Cedar Falls, IA",1,0,0,0,0,1,0,1,0,1,2008
65540,"Thompson, IA","Stacyville, IA",0,1,0,0,0,1,0,0,1,1,2008
65534,"Thompson, IA","Lone Rock, IA",1,0,0,0,1,0,0,1,0,1,2008
65537,"Thompson, IA","Ottosen, IA",1,0,0,1,0,0,1,0,0,1,2008
65536,"Thompson, IA","Northwood, IA",0,1,0,0,1,0,1,0,0,1,2008
65518,"Thompson, IA","Clarksville, IA",1,0,0,0,1,0,1,0,0,1,2008
65529,"Thompson, IA","Havelock, IA",0,1,0,1,0,0,0,1,0,1,2008
65511,"Thompson, IA","Aredale, IA",0,0,1,0,0,1,0,1,0,1,2008
65527,"Thompson, IA","Graettinger, IA",1,0,0,1,0,0,0,1,0,1,2008
65526,"Thompson, IA","Goldfield, IA",0,0,1,0,0,1,0,1,0,1,2008
65528,"Thompson, IA","Hampton, IA",0,1,0,1,0,0,0,1,0,1,2008
