,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
67745,"Victor, IA","Williamsburg, IA",35,64,17,26,34,56,50,26,40,116,2008
67706,"Victor, IA","North English, IA",21,48,28,2,78,17,45,33,19,97,2008
67733,"Victor, IA","Victor, IA",11,45,32,27,34,27,38,22,28,88,2008
67679,"Victor, IA","Iowa City, IA",12,57,14,14,65,4,19,42,22,83,2008
67691,"Victor, IA","Marengo, IA",12,48,14,44,23,7,13,33,28,74,2008
67642,"Victor, IA","Blairstown, IA",6,44,18,65,3,0,2,17,49,68,2008
67707,"Victor, IA","North Liberty, IA",6,29,8,7,9,27,3,24,16,43,2008
67646,"Victor, IA","Brooklyn, IA",10,20,3,16,11,6,14,10,9,33,2008
67649,"Victor, IA","Cedar Rapids, IA",9,12,6,7,18,2,12,9,6,27,2008
67712,"Victor, IA","Oxford, IA",12,12,3,3,22,2,13,13,1,27,2008
67654,"Victor, IA","Des Moines, IA",8,13,2,9,10,4,7,8,8,23,2008
67684,"Victor, IA","Ladora, IA",7,12,3,21,1,0,1,2,19,22,2008
67730,"Victor, IA","University Heights, IA",5,13,4,0,21,1,5,13,4,22,2008
67671,"Victor, IA","Grinnell, IA",9,8,4,5,14,2,3,15,3,21,2008
67675,"Victor, IA","Hiawatha, IA",4,13,3,10,8,2,1,12,7,20,2008
67722,"Victor, IA","Sigourney, IA",5,11,4,8,10,2,5,9,6,20,2008
67688,"Victor, IA","Malcom, IA",3,6,6,0,12,3,8,5,2,15,2008
67696,"Victor, IA","Montezuma, IA",3,11,1,8,7,0,7,2,6,15,2008
67735,"Victor, IA","Walford, IA",3,5,6,1,13,0,6,7,1,14,2008
67728,"Victor, IA","Tiffin, IA",3,9,1,2,7,4,4,6,3,13,2008
67719,"Victor, IA","Riverside, IA",8,3,1,3,8,1,0,9,3,12,2008
67693,"Victor, IA","Marshalltown, IA",2,4,6,1,9,2,3,7,2,12,2008
67732,"Victor, IA","Urbandale, IA",3,5,2,1,5,4,3,3,4,10,2008
67650,"Victor, IA","Clive, IA",8,1,0,0,1,8,7,1,1,9,2008
67681,"Victor, IA","Kalona, IA",2,6,0,5,3,0,0,6,2,8,2008
67704,"Victor, IA","Newton, IA",0,6,1,3,3,1,0,4,3,7,2008
67702,"Victor, IA","Muscatine, IA",2,3,2,1,6,0,1,3,3,7,2008
67636,"Victor, IA","Ankeny, IA",4,2,0,0,3,3,6,0,0,6,2008
67714,"Victor, IA","Pleasant Hill, IA",1,5,0,0,1,5,2,1,3,6,2008
67651,"Victor, IA","Coralville, IA",3,1,2,0,4,2,3,2,1,6,2008
67729,"Victor, IA","Toledo, IA",1,4,1,0,5,1,0,3,3,6,2008
67660,"Victor, IA","Ely, IA",1,1,3,0,5,0,2,1,2,5,2008
67698,"Victor, IA","Morrison, IA",0,5,0,5,0,0,0,0,5,5,2008
67711,"Victor, IA","Ottumwa, IA",3,2,0,0,3,2,3,1,1,5,2008
67640,"Victor, IA","Belle Plaine, IA",0,5,0,2,3,0,0,2,3,5,2008
67669,"Victor, IA","Gilman, IA",3,0,1,3,1,0,1,2,1,4,2008
67713,"Victor, IA","Parnell, IA",1,2,1,0,4,0,1,0,3,4,2008
67737,"Victor, IA","Waterloo, IA",1,2,1,0,3,1,0,3,1,4,2008
67741,"Victor, IA","West Branch, IA",0,4,0,0,2,2,2,0,2,4,2008
67743,"Victor, IA","West Des Moines, IA",1,3,0,1,2,1,0,3,1,4,2008
67710,"Victor, IA","Oskaloosa, IA",1,2,1,1,2,1,0,3,1,4,2008
67725,"Victor, IA","Springville, IA",1,2,0,0,2,1,0,3,0,3,2008
67721,"Victor, IA","Shueyville, IA",0,3,0,0,2,1,0,1,2,3,2008
67682,"Victor, IA","Keota, IA",0,3,0,0,3,0,0,3,0,3,2008
67697,"Victor, IA","Monticello, IA",0,0,3,0,0,3,3,0,0,3,2008
67672,"Victor, IA","Guernsey, IA",1,2,0,0,1,2,1,2,0,3,2008
67676,"Victor, IA","Huxley, IA",2,1,0,0,3,0,0,2,1,3,2008
