,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
6098,"Bettendorf, IA","Davenport, IA",1735,2266,603,201,3345,1058,1962,1912,730,4604,2008
6053,"Bettendorf, IA","Bettendorf, IA",1003,1719,619,141,2455,745,1319,1015,1007,3341,2008
6248,"Bettendorf, IA","Panorama Park, IA",162,224,105,28,366,97,205,132,154,491,2008
6117,"Bettendorf, IA","Eldridge, IA",146,251,65,15,346,101,174,162,126,462,2008
6270,"Bettendorf, IA","Riverdale, IA",155,186,57,13,310,75,183,160,55,398,2008
6180,"Bettendorf, IA","Le Claire, IA",101,181,48,14,249,67,124,115,91,330,2008
6112,"Bettendorf, IA","Dubuque, IA",132,133,41,3,166,137,152,127,27,306,2008
6187,"Bettendorf, IA","Long Grove, IA",98,158,41,14,201,82,116,102,79,297,2008
6080,"Bettendorf, IA","Clinton, IA",126,119,41,13,157,116,136,124,26,286,2008
6069,"Bettendorf, IA","Cedar Rapids, IA",128,105,31,3,126,135,126,89,49,264,2008
6261,"Bettendorf, IA","Princeton, IA",49,85,42,21,125,30,61,67,48,176,2008
6100,"Bettendorf, IA","De Witt, IA",38,95,27,9,119,32,39,73,48,160,2008
6165,"Bettendorf, IA","Iowa City, IA",71,65,19,5,98,52,62,70,23,155,2008
6061,"Bettendorf, IA","Buffalo, IA",35,72,30,17,86,34,53,48,36,137,2008
6107,"Bettendorf, IA","Dixon, IA",28,77,23,5,99,24,40,69,19,128,2008
6104,"Bettendorf, IA","Des Moines, IA",35,68,21,4,74,46,47,31,46,124,2008
6219,"Bettendorf, IA","Muscatine, IA",45,61,18,4,65,55,46,57,21,124,2008
6054,"Bettendorf, IA","Blue Grass, IA",35,58,27,9,86,25,39,57,24,120,2008
6062,"Bettendorf, IA","Burlington, IA",37,57,18,1,56,55,49,49,14,112,2008
6158,"Bettendorf, IA","Hiawatha, IA",54,34,13,0,55,46,46,34,21,101,2008
6272,"Bettendorf, IA","Robins, IA",44,37,6,0,43,44,39,36,12,87,2008
6195,"Bettendorf, IA","Maquoketa, IA",19,40,10,6,43,20,27,26,16,69,2008
6039,"Bettendorf, IA","Asbury, IA",29,24,11,0,32,32,30,21,13,64,2008
6333,"Bettendorf, IA","Waterloo, IA",30,20,5,0,32,23,26,24,5,55,2008
6082,"Bettendorf, IA","Clive, IA",23,22,9,0,30,24,27,15,12,54,2008
6063,"Bettendorf, IA","Camanche, IA",15,29,10,3,29,22,16,28,10,54,2008
6201,"Bettendorf, IA","McCausland, IA",16,22,12,5,37,8,24,18,8,50,2008
6255,"Bettendorf, IA","Pleasant Hill, IA",18,27,4,2,29,18,22,15,12,49,2008
6170,"Bettendorf, IA","Keokuk, IA",11,29,8,3,16,29,15,21,12,48,2008
6134,"Bettendorf, IA","Fort Madison, IA",16,20,11,2,18,27,17,25,5,47,2008
6329,"Bettendorf, IA","Walcott, IA",9,25,13,3,30,14,12,25,10,47,2008
6051,"Bettendorf, IA","Bennett, IA",15,28,3,4,29,13,17,17,12,46,2008
