,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
7781,"Britt, IA","Britt, IA",61,125,76,46,155,61,84,124,54,262,2008
7796,"Britt, IA","Crystal Lake, IA",29,51,38,21,75,22,38,60,20,118,2008
7793,"Britt, IA","Corwith, IA",12,60,15,12,60,15,25,38,24,87,2008
7809,"Britt, IA","Garner, IA",11,27,10,18,22,8,11,23,14,48,2008
7837,"Britt, IA","Mason City, IA",11,27,9,11,20,16,12,21,14,47,2008
7885,"Britt, IA","Woden, IA",6,27,6,4,22,13,12,17,10,39,2008
7805,"Britt, IA","Forest City, IA",7,17,7,12,11,8,9,17,5,31,2008
7788,"Britt, IA","Clear Lake, IA",6,17,4,8,7,12,2,11,14,27,2008
7780,"Britt, IA","Belmond, IA",3,5,8,2,10,4,7,5,4,16,2008
7786,"Britt, IA","Charles City, IA",3,10,2,10,4,1,2,13,0,15,2008
7782,"Britt, IA","Buffalo Center, IA",5,7,1,6,4,3,4,7,2,13,2008
7813,"Britt, IA","Hampton, IA",2,8,1,1,7,3,2,6,3,11,2008
7825,"Britt, IA","Klemme, IA",0,6,4,3,4,3,4,6,0,10,2008
7771,"Britt, IA","Algona, IA",1,7,0,0,5,3,2,2,4,8,2008
7827,"Britt, IA","Lake Mills, IA",3,3,2,4,3,1,3,3,2,8,2008
7800,"Britt, IA","Des Moines, IA",2,4,1,0,3,4,4,1,2,7,2008
7830,"Britt, IA","Leland, IA",0,5,2,2,4,1,2,3,2,7,2008
7787,"Britt, IA","Clarion, IA",0,5,1,1,5,0,3,0,3,6,2008
7833,"Britt, IA","Livermore, IA",2,2,1,1,3,1,1,3,1,5,2008
7872,"Britt, IA","Swea City, IA",1,2,2,0,5,0,3,1,1,5,2008
7873,"Britt, IA","Thompson, IA",2,3,0,1,2,2,3,2,0,5,2008
7857,"Britt, IA","Rockwell, IA",1,3,0,2,2,0,0,4,0,4,2008
7807,"Britt, IA","Fort Dodge, IA",1,3,0,0,1,3,1,3,0,4,2008
7882,"Britt, IA","Whittemore, IA",2,2,0,0,0,4,1,3,0,4,2008
7874,"Britt, IA","Titonka, IA",0,4,0,1,3,0,0,3,1,4,2008
7854,"Britt, IA","Renwick, IA",0,3,1,0,2,2,4,0,0,4,2008
7846,"Britt, IA","Pleasant Hill, IA",1,1,1,0,2,1,2,0,1,3,2008
7784,"Britt, IA","Cedar Rapids, IA",0,3,0,0,0,3,0,0,3,3,2008
7853,"Britt, IA","Rake, IA",0,2,1,2,1,0,1,0,2,3,2008
7792,"Britt, IA","Colwell, IA",1,1,1,2,1,0,0,2,1,3,2008
7868,"Britt, IA","Stacyville, IA",1,1,1,0,2,1,0,1,2,3,2008
7801,"Britt, IA","Dubuque, IA",2,1,0,0,1,2,2,0,1,3,2008
7834,"Britt, IA","Lone Rock, IA",1,2,0,0,3,0,1,2,0,3,2008
7804,"Britt, IA","Floyd, IA",0,0,3,0,3,0,1,2,0,3,2008
7842,"Britt, IA","Northwood, IA",0,3,0,1,1,1,0,2,1,3,2008
7865,"Britt, IA","Sioux Center, IA",0,3,0,0,1,2,2,1,0,3,2008
7844,"Britt, IA","Osage, IA",0,1,1,0,2,0,0,1,1,2,2008
7815,"Britt, IA","Harris, IA",1,1,0,0,2,0,1,1,0,2,2008
7835,"Britt, IA","Manly, IA",0,2,0,0,2,0,1,0,1,2,2008
7838,"Britt, IA","Merrill, IA",1,1,0,0,2,0,1,1,0,2,2008
7770,"Britt, IA","Alden, IA",1,1,0,0,1,1,0,2,0,2,2008
7859,"Britt, IA","Ruthven, IA",0,2,0,0,2,0,0,1,1,2,2008
7769,"Britt, IA","Ackworth, IA",0,1,1,0,0,2,2,0,0,2,2008
7790,"Britt, IA","Clive, IA",1,1,0,0,0,2,0,1,1,2,2008
7802,"Britt, IA","Emmetsburg, IA",1,0,1,0,0,2,1,1,0,2,2008
7783,"Britt, IA","Cedar Falls, IA",2,0,0,0,2,0,0,2,0,2,2008
7794,"Britt, IA","Coulter, IA",1,1,0,0,1,1,0,1,1,2,2008
7806,"Britt, IA","Fort Atkinson, IA",1,1,0,1,1,0,2,0,0,2,2008
7774,"Britt, IA","Ames, IA",1,1,0,0,0,2,0,0,2,2,2008
7779,"Britt, IA","Bancroft, IA",0,2,0,1,1,0,0,1,1,2,2008
7880,"Britt, IA","Webster City, IA",0,1,1,0,1,1,1,1,0,2,2008
7881,"Britt, IA","West Union, IA",0,1,1,0,2,0,2,0,0,2,2008
7883,"Britt, IA","Windsor Heights, IA",1,1,0,0,1,1,1,1,0,2,2008
7879,"Britt, IA","Webb, IA",1,0,0,0,1,0,0,1,0,1,2008
7869,"Britt, IA","Storm Lake, IA",0,1,0,0,1,0,1,0,0,1,2008
7878,"Britt, IA","Waverly, IA",0,1,0,0,1,0,1,0,0,1,2008
7851,"Britt, IA","Prairie City, IA",0,0,1,0,1,0,1,0,0,1,2008
7850,"Britt, IA","Popejoy, IA",0,0,1,0,0,1,0,1,0,1,2008
7849,"Britt, IA","Pocahontas, IA",0,1,0,1,0,0,0,1,0,1,2008
7884,"Britt, IA","Winthrop, IA",1,0,0,1,0,0,0,1,0,1,2008
7848,"Britt, IA","Plymouth, IA",1,0,0,1,0,0,0,1,0,1,2008
7852,"Britt, IA","Quimby, IA",0,0,1,0,0,1,1,0,0,1,2008
7856,"Britt, IA","Rockford, IA",0,0,1,0,0,1,0,0,1,1,2008
7855,"Britt, IA","Ridgeway, IA",0,1,0,0,0,1,0,0,1,1,2008
7870,"Britt, IA","Strawberry Point, IA",0,0,1,0,1,0,0,1,0,1,2008
7877,"Britt, IA","Waukon, IA",0,0,1,0,1,0,1,0,0,1,2008
7876,"Britt, IA","Waterloo, IA",1,0,0,0,1,0,0,1,0,1,2008
7875,"Britt, IA","Washington, IA",1,0,0,0,1,0,0,1,0,1,2008
7858,"Britt, IA","Royal, IA",0,1,0,0,1,0,0,1,0,1,2008
7860,"Britt, IA","Scarville, IA",0,1,0,0,1,0,0,0,1,1,2008
7861,"Britt, IA","Sheffield, IA",0,1,0,0,1,0,1,0,0,1,2008
7862,"Britt, IA","Sheldon, IA",0,1,0,0,1,0,0,1,0,1,2008
7863,"Britt, IA","Shell Rock, IA",0,0,1,0,1,0,1,0,0,1,2008
7864,"Britt, IA","Sibley, IA",0,1,0,0,1,0,0,1,0,1,2008
7866,"Britt, IA","Spencer, IA",0,1,0,0,0,1,0,0,1,1,2008
7847,"Britt, IA","Pleasantville, IA",0,0,1,0,0,1,0,0,1,1,2008
7867,"Britt, IA","St. Ansgar, IA",0,1,0,0,1,0,1,0,0,1,2008
7871,"Britt, IA","Superior, IA",0,0,1,0,0,1,0,0,1,1,2008
7828,"Britt, IA","Lakota, IA",0,1,0,0,1,0,1,0,0,1,2008
7845,"Britt, IA","Parkersburg, IA",0,1,0,1,0,0,0,1,0,1,2008
7791,"Britt, IA","Coggon, IA",1,0,0,0,0,1,1,0,0,1,2008
7810,"Britt, IA","Geneva, IA",0,0,1,0,1,0,1,0,0,1,2008
7808,"Britt, IA","Fredericksburg, IA",0,1,0,1,0,0,1,0,0,1,2008
7803,"Britt, IA","Estherville, IA",1,0,0,0,0,1,1,0,0,1,2008
7799,"Britt, IA","Decorah, IA",0,1,0,0,1,0,0,1,0,1,2008
