,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
8245,"Burlington, IA","Burlington, IA",1295,2970,1227,1537,3315,640,1850,2324,1318,5492,2008
8482,"Burlington, IA","West Burlington, IA",263,598,266,321,690,116,381,478,268,1127,2008
8307,"Burlington, IA","Fort Madison, IA",167,414,126,321,279,107,190,368,149,707,2008
8367,"Burlington, IA","Middletown, IA",65,192,85,106,195,41,108,135,99,342,2008
8382,"Burlington, IA","New London, IA",48,154,55,90,138,29,69,106,82,257,2008
8365,"Burlington, IA","Mediapolis, IA",56,140,54,72,142,36,77,103,70,250,2008
8274,"Burlington, IA","Danville, IA",37,125,50,67,113,32,66,83,63,212,2008
8378,"Burlington, IA","Mount Pleasant, IA",36,85,30,30,106,15,67,37,47,151,2008
8337,"Burlington, IA","Keokuk, IA",19,78,38,47,62,26,35,59,41,135,2008
8485,"Burlington, IA","West Point, IA",29,59,28,40,52,24,43,50,23,116,2008
8379,"Burlington, IA","Mount Union, IA",24,52,33,34,63,12,33,41,35,109,2008
8446,"Burlington, IA","St. Paul, IA",21,61,22,43,53,8,26,50,28,104,2008
8286,"Burlington, IA","Donnellson, IA",21,61,11,36,40,17,26,40,27,93,2008
8380,"Burlington, IA","Muscatine, IA",35,49,9,11,51,31,34,37,22,93,2008
8275,"Burlington, IA","Davenport, IA",19,36,24,8,38,33,26,25,28,79,2008
8472,"Burlington, IA","Wapello, IA",16,43,17,27,34,15,23,39,14,76,2008
8250,"Burlington, IA","Cedar Rapids, IA",18,38,6,2,36,24,25,23,14,62,2008
8373,"Burlington, IA","Montrose, IA",10,33,12,24,23,8,11,31,13,55,2008
8281,"Burlington, IA","Des Moines, IA",21,28,4,7,23,23,12,27,14,53,2008
8328,"Burlington, IA","Houghton, IA",13,23,10,23,15,8,6,26,14,46,2008
8238,"Burlington, IA","Bettendorf, IA",16,22,4,8,14,20,16,12,14,42,2008
8308,"Burlington, IA","Franklin, IA",9,22,9,20,16,4,7,15,18,40,2008
8315,"Burlington, IA","Grandview, IA",7,13,16,10,19,7,8,17,11,36,2008
8400,"Burlington, IA","Ottumwa, IA",8,18,9,5,22,8,11,14,10,35,2008
8332,"Burlington, IA","Iowa City, IA",16,10,8,1,19,14,16,11,7,34,2008
8288,"Burlington, IA","Dubuque, IA",20,8,5,0,20,13,18,11,4,33,2008
8399,"Burlington, IA","Oskaloosa, IA",5,18,7,3,19,8,7,11,12,30,2008
8327,"Burlington, IA","Hiawatha, IA",5,19,4,0,20,8,14,8,6,28,2008
8219,"Burlington, IA","Ames, IA",7,16,3,5,14,7,13,6,7,26,2008
8260,"Burlington, IA","Clive, IA",10,11,5,6,12,8,6,13,7,26,2008
8434,"Burlington, IA","Salem, IA",3,10,9,9,13,0,3,7,12,22,2008
8468,"Burlington, IA","Urbandale, IA",5,14,2,4,11,6,6,9,6,21,2008
8392,"Burlington, IA","Oakville, IA",4,11,4,7,9,3,3,10,6,19,2008
8410,"Burlington, IA","Pleasant Hill, IA",4,11,4,5,11,3,4,9,6,19,2008
8492,"Burlington, IA","Winfield, IA",4,4,9,3,14,0,9,3,5,17,2008
8376,"Burlington, IA","Morning Sun, IA",4,11,2,4,8,5,9,8,0,17,2008
8258,"Burlington, IA","Clinton, IA",9,6,1,0,12,4,8,6,2,16,2008
8302,"Burlington, IA","Fairfield, IA",2,10,3,4,8,3,4,9,2,15,2008
8428,"Burlington, IA","Rome, IA",3,10,2,4,7,4,4,5,6,15,2008
8272,"Burlington, IA","Creston, IA",5,6,3,1,13,0,2,9,3,14,2008
8424,"Burlington, IA","Robins, IA",6,6,1,0,10,3,7,4,2,13,2008
8490,"Burlington, IA","Wilton, IA",2,8,3,0,9,4,5,2,6,13,2008
8361,"Burlington, IA","Marshalltown, IA",3,7,3,1,9,3,4,7,2,13,2008
8477,"Burlington, IA","Wayland, IA",0,5,7,5,6,1,3,3,6,12,2008
8240,"Burlington, IA","Boone, IA",6,4,2,0,2,10,4,3,5,12,2008
8391,"Burlington, IA","Norwalk, IA",4,6,2,3,6,3,6,2,4,12,2008
8252,"Burlington, IA","Centerville, IA",3,6,3,0,10,2,3,3,6,12,2008
8222,"Burlington, IA","Ankeny, IA",4,4,3,1,5,5,4,4,3,11,2008
8362,"Burlington, IA","Mason City, IA",6,3,2,3,4,4,5,5,1,11,2008
8465,"Burlington, IA","University Heights, IA",5,3,3,0,7,4,5,6,0,11,2008
8474,"Burlington, IA","Waterloo, IA",3,6,2,0,6,5,3,5,3,11,2008
8249,"Burlington, IA","Cedar Falls, IA",3,6,2,2,5,4,5,2,4,11,2008
8389,"Burlington, IA","North Liberty, IA",6,3,1,0,4,6,5,3,2,10,2008
8350,"Burlington, IA","Lockridge, IA",4,5,1,3,5,2,2,6,2,10,2008
8259,"Burlington, IA","Clio, IA",4,3,2,0,7,2,3,3,3,9,2008
8216,"Burlington, IA","Albia, IA",1,6,2,0,6,3,3,4,2,9,2008
8491,"Burlington, IA","Windsor Heights, IA",2,4,2,0,3,5,4,0,4,8,2008
8264,"Burlington, IA","Columbus Junction, IA",2,4,2,2,2,4,3,3,2,8,2008
8483,"Burlington, IA","West Des Moines, IA",3,5,0,0,3,5,0,3,5,8,2008
8345,"Burlington, IA","Le Claire, IA",2,3,3,3,0,5,4,0,4,8,2008
8481,"Burlington, IA","West Branch, IA",2,5,1,1,6,1,5,2,1,8,2008
8278,"Burlington, IA","Decorah, IA",2,5,1,0,4,4,5,2,1,8,2008
8291,"Burlington, IA","Eddyville, IA",1,3,3,2,5,0,2,4,1,7,2008
8318,"Burlington, IA","Greenfield, IA",2,2,3,0,3,4,4,2,1,7,2008
8469,"Burlington, IA","Van Meter, IA",4,3,0,1,3,3,3,2,2,7,2008
8310,"Burlington, IA","Fruitland, IA",0,7,0,2,3,2,0,5,2,7,2008
8306,"Burlington, IA","Floris, IA",0,4,3,0,6,1,3,2,2,7,2008
8460,"Burlington, IA","Tiffin, IA",3,2,2,0,4,3,5,2,0,7,2008
8218,"Burlington, IA","Altoona, IA",2,3,2,0,3,4,2,2,3,7,2008
8257,"Burlington, IA","Clearfield, IA",3,2,2,0,5,2,4,2,1,7,2008
8239,"Burlington, IA","Blue Grass, IA",0,5,2,0,6,1,1,2,4,7,2008
8398,"Burlington, IA","Osceola, IA",0,4,2,1,4,1,0,2,4,6,2008
8478,"Burlington, IA","Webster, IA",1,4,1,0,5,1,1,3,2,6,2008
8353,"Burlington, IA","Luana, IA",4,0,2,1,3,2,4,1,1,6,2008
8299,"Burlington, IA","Evansdale, IA",5,1,0,0,3,3,4,0,2,6,2008
8340,"Burlington, IA","Knoxville, IA",3,2,1,1,3,2,3,2,1,6,2008
8423,"Burlington, IA","Riverside, IA",2,3,1,0,6,0,2,3,1,6,2008
8422,"Burlington, IA","Riverdale, IA",0,5,1,1,2,3,0,2,4,6,2008
8385,"Burlington, IA","Nichols, IA",2,3,1,1,2,3,1,3,2,6,2008
8357,"Burlington, IA","Maquoketa, IA",2,3,1,0,4,2,4,1,1,6,2008
8473,"Burlington, IA","Washington, IA",1,3,2,0,5,1,0,3,3,6,2008
