,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
8988,"Carlisle, IA","Carlisle, IA",74,155,94,37,248,38,142,112,69,323,2008
9007,"Carlisle, IA","Des Moines, IA",74,127,28,42,160,27,78,102,49,229,2008
9033,"Carlisle, IA","Indianola, IA",38,75,38,13,85,53,57,61,33,151,2008
9083,"Carlisle, IA","Pleasant Hill, IA",21,53,26,16,64,20,18,51,31,100,2008
9070,"Carlisle, IA","Norwalk, IA",18,38,11,16,39,12,25,26,16,67,2008
8975,"Carlisle, IA","Ankeny, IA",24,24,11,4,41,14,18,13,28,59,2008
9039,"Carlisle, IA","Knoxville, IA",19,26,3,2,41,5,20,19,9,48,2008
8966,"Carlisle, IA","Ackworth, IA",14,28,6,3,35,10,17,18,13,48,2008
9107,"Carlisle, IA","Swan, IA",8,20,12,6,31,3,19,14,7,40,2008
9122,"Carlisle, IA","Windsor Heights, IA",11,25,1,4,24,9,3,20,14,37,2008
8997,"Carlisle, IA","Clive, IA",11,20,2,3,23,7,11,8,14,33,2008
8972,"Carlisle, IA","Altoona, IA",14,13,4,13,14,4,11,15,5,31,2008
9120,"Carlisle, IA","West Des Moines, IA",7,9,6,6,11,5,4,7,11,22,2008
9103,"Carlisle, IA","St. Marys, IA",7,14,1,4,9,9,7,11,4,22,2008
9113,"Carlisle, IA","Urbandale, IA",5,13,2,2,13,5,4,8,8,20,2008
9102,"Carlisle, IA","Spring Hill, IA",7,5,7,0,14,5,8,9,2,19,2008
9038,"Carlisle, IA","Johnston, IA",5,5,4,2,6,6,4,8,2,14,2008
9084,"Carlisle, IA","Pleasantville, IA",7,5,2,1,11,2,8,1,5,14,2008
9117,"Carlisle, IA","Waukee, IA",6,5,0,2,4,5,7,2,2,11,2008
9025,"Carlisle, IA","Harvey, IA",6,3,1,0,10,0,9,0,1,10,2008
9006,"Carlisle, IA","De Soto, IA",2,6,2,1,6,3,4,3,3,10,2008
9072,"Carlisle, IA","Osceola, IA",6,1,2,0,6,3,6,2,1,9,2008
8993,"Carlisle, IA","Chariton, IA",4,5,0,1,7,1,2,5,2,9,2008
9069,"Carlisle, IA","Newton, IA",3,3,2,1,5,2,3,4,1,8,2008
9059,"Carlisle, IA","Monroe, IA",3,4,0,0,7,0,4,1,2,7,2008
9079,"Carlisle, IA","Pella, IA",5,1,0,1,2,3,5,0,1,6,2008
9074,"Carlisle, IA","Ottumwa, IA",3,3,0,1,1,4,0,3,3,6,2008
8973,"Carlisle, IA","Ames, IA",2,2,2,1,4,1,0,2,4,6,2008
9098,"Carlisle, IA","Sandyville, IA",3,3,0,0,4,2,1,2,3,6,2008
9078,"Carlisle, IA","Patterson, IA",0,5,1,1,2,3,2,2,2,6,2008
