,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9568,"Carter Lake, IA","Council Bluffs, IA",118,228,80,78,226,122,118,199,109,426,2008
9555,"Carter Lake, IA","Carter Lake, IA",74,109,52,43,134,58,102,88,45,235,2008
9569,"Carter Lake, IA","Crescent, IA",11,17,9,6,26,5,14,14,9,37,2008
9634,"Carter Lake, IA","Sioux City, IA",8,12,3,16,1,6,2,13,8,23,2008
9610,"Carter Lake, IA","Missouri Valley, IA",6,5,3,5,5,4,6,6,2,14,2008
9620,"Carter Lake, IA","Pacific Junction, IA",4,6,1,2,6,3,3,2,6,11,2008
9582,"Carter Lake, IA","Glenwood, IA",1,9,1,1,6,4,4,2,5,11,2008
9632,"Carter Lake, IA","Silver City, IA",0,7,2,0,8,1,3,2,4,9,2008
9611,"Carter Lake, IA","Mondamin, IA",0,4,3,2,3,2,0,3,4,7,2008
9603,"Carter Lake, IA","Logan, IA",2,3,2,2,2,3,1,3,3,7,2008
9575,"Carter Lake, IA","Des Moines, IA",2,4,1,0,0,7,0,1,6,7,2008
9607,"Carter Lake, IA","McClelland, IA",0,5,1,1,2,3,0,2,4,6,2008
9626,"Carter Lake, IA","Red Oak, IA",2,4,0,3,1,2,2,2,2,6,2008
9540,"Carter Lake, IA","Ames, IA",2,3,0,0,0,5,0,5,0,5,2008
9589,"Carter Lake, IA","Hinton, IA",1,3,1,2,0,3,0,3,2,5,2008
9588,"Carter Lake, IA","Henderson, IA",0,4,1,1,3,1,0,1,4,5,2008
9574,"Carter Lake, IA","Denison, IA",2,2,1,2,1,2,1,1,3,5,2008
9636,"Carter Lake, IA","Soldier, IA",0,4,0,4,0,0,0,1,3,4,2008
9554,"Carter Lake, IA","Carson, IA",1,2,1,1,3,0,1,0,3,4,2008
9605,"Carter Lake, IA","Malvern, IA",0,3,1,0,2,2,0,1,3,4,2008
9590,"Carter Lake, IA","Imogene, IA",0,4,0,2,1,1,0,0,4,4,2008
9630,"Carter Lake, IA","Shelby, IA",0,4,0,1,0,3,1,0,3,4,2008
9641,"Carter Lake, IA","Underwood, IA",0,4,0,0,2,2,1,1,2,4,2008
9617,"Carter Lake, IA","Oakland, IA",2,1,0,0,1,2,2,0,1,3,2008
9644,"Carter Lake, IA","Waterloo, IA",1,2,0,0,0,3,1,0,2,3,2008
9586,"Carter Lake, IA","Hancock, IA",2,1,0,0,1,2,2,0,1,3,2008
9621,"Carter Lake, IA","Panama, IA",2,1,0,0,3,0,1,0,2,3,2008
9631,"Carter Lake, IA","Shenandoah, IA",3,0,0,0,3,0,1,2,0,3,2008
9600,"Carter Lake, IA","Lewis, IA",0,3,0,2,0,1,1,0,2,3,2008
9642,"Carter Lake, IA","Urbandale, IA",0,3,0,0,0,3,0,3,0,3,2008
9643,"Carter Lake, IA","Walnut, IA",0,2,0,2,0,0,0,2,0,2,2008
9547,"Carter Lake, IA","Avoca, IA",0,2,0,2,0,0,0,2,0,2,2008
9585,"Carter Lake, IA","Hamburg, IA",0,2,0,0,0,2,0,1,1,2,2008
9546,"Carter Lake, IA","Atlantic, IA",1,1,0,0,0,2,0,1,1,2,2008
9616,"Carter Lake, IA","Norwalk, IA",0,2,0,0,1,1,0,1,1,2,2008
9545,"Carter Lake, IA","Ashton, IA",0,1,1,0,0,2,0,0,2,2,2008
9624,"Carter Lake, IA","Portsmouth, IA",2,0,0,2,0,0,0,2,0,2,2008
9602,"Carter Lake, IA","Little Sioux, IA",0,2,0,2,0,0,0,2,0,2,2008
9646,"Carter Lake, IA","Windsor Heights, IA",0,2,0,0,1,1,0,0,2,2,2008
9606,"Carter Lake, IA","Mapleton, IA",0,1,1,0,1,1,1,1,0,2,2008
9541,"Carter Lake, IA","Ankeny, IA",0,1,1,0,0,2,0,0,2,2,2008
9623,"Carter Lake, IA","Pleasant Hill, IA",0,2,0,0,0,2,1,1,0,2,2008
9593,"Carter Lake, IA","Inwood, IA",2,0,0,0,0,2,0,2,0,2,2008
9628,"Carter Lake, IA","Royal, IA",0,2,0,0,0,2,0,0,2,2,2008
9609,"Carter Lake, IA","Minden, IA",1,1,0,1,0,1,1,0,1,2,2008
9563,"Carter Lake, IA","Clive, IA",2,0,0,1,0,1,0,1,1,2,2008
9571,"Carter Lake, IA","Danbury, IA",0,1,1,0,0,2,0,2,0,2,2008
9633,"Carter Lake, IA","Sioux Center, IA",0,1,1,0,0,2,0,1,1,2,2008
9572,"Carter Lake, IA","Davenport, IA",0,1,1,1,0,1,0,1,1,2,2008
9573,"Carter Lake, IA","Defiance, IA",1,0,1,1,1,0,1,1,0,2,2008
9576,"Carter Lake, IA","Dunlap, IA",0,1,1,0,2,0,1,0,1,2,2008
9578,"Carter Lake, IA","Elliott, IA",0,2,0,0,1,1,0,0,2,2,2008
9549,"Carter Lake, IA","Battle Creek, IA",1,1,0,0,0,2,0,1,1,2,2008
9558,"Carter Lake, IA","Cedar Falls, IA",0,2,0,0,0,2,0,0,2,2,2008
9629,"Carter Lake, IA","Sergeant Bluff, IA",0,2,0,2,0,0,0,2,0,2,2008
9613,"Carter Lake, IA","Nevada, IA",0,1,0,0,0,1,0,1,0,1,2008
9635,"Carter Lake, IA","Sloan, IA",0,0,1,0,1,0,0,0,1,1,2008
9645,"Carter Lake, IA","Westfield, IA",0,0,1,1,0,0,1,0,0,1,2008
9639,"Carter Lake, IA","Tennant, IA",0,1,0,0,1,0,1,0,0,1,2008
9612,"Carter Lake, IA","Muscatine, IA",1,0,0,1,0,0,0,1,0,1,2008
9637,"Carter Lake, IA","Spencer, IA",0,1,0,0,0,1,0,0,1,1,2008
9614,"Carter Lake, IA","New Hampton, IA",0,0,1,0,0,1,0,0,1,1,2008
9615,"Carter Lake, IA","Northwood, IA",0,1,0,0,0,1,0,0,1,1,2008
9640,"Carter Lake, IA","Tripoli, IA",0,0,1,0,0,1,0,0,1,1,2008
9625,"Carter Lake, IA","Randolph, IA",0,1,0,0,0,1,0,0,1,1,2008
9618,"Carter Lake, IA","Onawa, IA",0,0,1,0,0,1,0,0,1,1,2008
9619,"Carter Lake, IA","Osceola, IA",1,0,0,0,0,1,0,1,0,1,2008
9627,"Carter Lake, IA","Rockwell, IA",0,1,0,0,0,1,0,1,0,1,2008
9622,"Carter Lake, IA","Perry, IA",0,1,0,0,0,1,0,0,1,1,2008
9638,"Carter Lake, IA","Story City, IA",0,1,0,1,0,0,0,0,1,1,2008
9539,"Carter Lake, IA","Altoona, IA",0,1,0,1,0,0,0,1,0,1,2008
9608,"Carter Lake, IA","Merrill, IA",0,1,0,1,0,0,0,1,0,1,2008
9556,"Carter Lake, IA","Casey, IA",0,1,0,0,0,1,0,0,1,1,2008
9565,"Carter Lake, IA","Columbus Junction, IA",0,0,1,1,0,0,0,1,0,1,2008
9564,"Carter Lake, IA","Coburg, IA",1,0,0,0,1,0,0,1,0,1,2008
9562,"Carter Lake, IA","Clear Lake, IA",0,0,1,0,0,1,1,0,0,1,2008
9561,"Carter Lake, IA","Cherokee, IA",0,1,0,0,0,1,1,0,0,1,2008
9560,"Carter Lake, IA","Charter Oak, IA",1,0,0,0,1,0,1,0,0,1,2008
9559,"Carter Lake, IA","Charles City, IA",0,0,1,0,0,1,0,1,0,1,2008
9557,"Carter Lake, IA","Castana, IA",0,1,0,1,0,0,0,1,0,1,2008
9553,"Carter Lake, IA","Carroll, IA",1,0,0,0,1,0,1,0,0,1,2008
9604,"Carter Lake, IA","Magnolia, IA",0,1,0,0,1,0,1,0,0,1,2008
9552,"Carter Lake, IA","Burlington, IA",0,1,0,0,0,1,0,1,0,1,2008
9551,"Carter Lake, IA","Britt, IA",0,0,1,0,0,1,1,0,0,1,2008
9550,"Carter Lake, IA","Baxter, IA",0,1,0,0,0,1,0,0,1,1,2008
9548,"Carter Lake, IA","Bagley, IA",1,0,0,0,0,1,1,0,0,1,2008
9544,"Carter Lake, IA","Armstrong, IA",0,1,0,0,0,1,1,0,0,1,2008
9543,"Carter Lake, IA","Aredale, IA",0,1,0,0,0,1,0,0,1,1,2008
9542,"Carter Lake, IA","Anthon, IA",0,1,0,1,0,0,0,1,0,1,2008
9566,"Carter Lake, IA","Colwell, IA",0,1,0,0,0,1,1,0,0,1,2008
9567,"Carter Lake, IA","Corwith, IA",0,0,1,0,0,1,0,0,1,1,2008
9570,"Carter Lake, IA","Creston, IA",0,1,0,1,0,0,0,1,0,1,2008
9577,"Carter Lake, IA","Elk Horn, IA",0,0,1,1,0,0,1,0,0,1,2008
9601,"Carter Lake, IA","Linden, IA",0,1,0,1,0,0,0,0,1,1,2008
9599,"Carter Lake, IA","Le Mars, IA",1,0,0,1,0,0,0,1,0,1,2008
9598,"Carter Lake, IA","Lambs Grove, IA",0,0,1,0,0,1,0,1,0,1,2008
9597,"Carter Lake, IA","Kirkman, IA",0,1,0,1,0,0,0,0,1,1,2008
