,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27163,"Gilbertville, IA","Dunkerton, IA",2,2,1,2,1,2,1,3,1,5,2008
27181,"Gilbertville, IA","Waverly, IA",1,2,0,2,1,0,1,0,2,3,2008
27180,"Gilbertville, IA","Waterloo, IA",0,3,0,1,0,2,1,2,0,3,2008
27179,"Gilbertville, IA","Urbana, IA",3,0,0,3,0,0,0,3,0,3,2008
27175,"Gilbertville, IA","Raymond, IA",0,1,1,1,0,1,0,2,0,2,2008
27165,"Gilbertville, IA","Elk Run Heights, IA",0,2,0,1,0,1,0,1,1,2,2008
27166,"Gilbertville, IA","Evansdale, IA",2,0,0,2,0,0,0,2,0,2,2008
27167,"Gilbertville, IA","Fairbank, IA",0,2,0,1,1,0,1,0,1,2,2008
27168,"Gilbertville, IA","Fredericksburg, IA",0,2,0,2,0,0,0,2,0,2,2008
27169,"Gilbertville, IA","Gilbertville, IA",0,2,0,0,0,2,0,0,2,2,2008
27173,"Gilbertville, IA","Jesup, IA",0,2,0,2,0,0,0,2,0,2,2008
27178,"Gilbertville, IA","Titonka, IA",0,1,0,1,0,0,0,1,0,1,2008
27177,"Gilbertville, IA","Sumner, IA",0,1,0,0,0,1,0,1,0,1,2008
27176,"Gilbertville, IA","Readlyn, IA",0,1,0,1,0,0,0,1,0,1,2008
27161,"Gilbertville, IA","Cedar Falls, IA",1,0,0,1,0,0,0,0,1,1,2008
27174,"Gilbertville, IA","Mason City, IA",0,1,0,1,0,0,1,0,0,1,2008
27172,"Gilbertville, IA","Janesville, IA",1,0,0,1,0,0,0,0,1,1,2008
27162,"Gilbertville, IA","Clutier, IA",0,1,0,1,0,0,0,1,0,1,2008
27170,"Gilbertville, IA","Hudson, IA",0,1,0,0,0,1,0,1,0,1,2008
27164,"Gilbertville, IA","Dysart, IA",0,1,0,1,0,0,0,1,0,1,2008
27171,"Gilbertville, IA","Independence, IA",0,1,0,0,1,0,0,1,0,1,2008
