,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
41699,"Maquoketa, IA","Maquoketa, IA",297,783,340,312,838,270,555,671,194,1420,2008
41571,"Maquoketa, IA","Baldwin, IA",39,128,65,53,151,28,83,119,30,232,2008
41574,"Maquoketa, IA","Bellevue, IA",30,108,19,28,109,20,40,86,31,157,2008
41775,"Maquoketa, IA","Springbrook, IA",38,72,31,26,88,27,61,59,21,141,2008
41627,"Maquoketa, IA","Dubuque, IA",27,51,21,10,56,33,31,45,23,99,2008
41563,"Maquoketa, IA","Andrew, IA",22,54,20,13,66,17,36,45,15,96,2008
41754,"Maquoketa, IA","Preston, IA",13,52,25,22,56,12,30,45,15,90,2008
41822,"Maquoketa, IA","Zwingle, IA",9,43,14,11,45,10,17,33,16,66,2008
41766,"Maquoketa, IA","Sabula, IA",8,36,19,21,37,5,16,40,7,63,2008
41619,"Maquoketa, IA","De Witt, IA",13,34,10,9,36,12,19,14,24,57,2008
41693,"Maquoketa, IA","Lost Nation, IA",14,32,7,13,32,8,18,28,7,53,2008
41618,"Maquoketa, IA","Davenport, IA",10,24,16,7,24,19,23,16,11,50,2008
41805,"Maquoketa, IA","Welton, IA",11,23,10,6,30,8,18,20,6,44,2008
41603,"Maquoketa, IA","Clinton, IA",16,21,4,6,22,13,16,19,6,41,2008
41568,"Maquoketa, IA","Asbury, IA",10,14,7,4,16,11,6,16,9,31,2008
41594,"Maquoketa, IA","Center Junction, IA",11,12,5,4,18,6,16,8,4,28,2008
41711,"Maquoketa, IA","Monticello, IA",10,12,6,5,16,7,15,11,2,28,2008
41653,"Maquoketa, IA","Grand Mound, IA",5,13,7,4,13,8,10,10,5,25,2008
41741,"Maquoketa, IA","Oxford Junction, IA",6,13,2,0,17,4,10,7,4,21,2008
41593,"Maquoketa, IA","Cedar Rapids, IA",8,7,5,2,4,14,7,9,4,20,2008
41562,"Maquoketa, IA","Andover, IA",8,7,3,1,13,4,8,5,5,18,2008
41628,"Maquoketa, IA","Dyersville, IA",14,3,1,0,10,8,11,5,2,18,2008
41694,"Maquoketa, IA","Low Moor, IA",2,12,3,1,13,3,6,7,4,17,2008
41624,"Maquoketa, IA","Dixon, IA",4,7,4,3,8,4,4,7,4,15,2008
41750,"Maquoketa, IA","Peosta, IA",5,7,3,3,10,2,4,6,5,15,2008
41821,"Maquoketa, IA","Wyoming, IA",4,7,4,1,11,3,8,3,4,15,2008
41723,"Maquoketa, IA","New Liberty, IA",3,4,5,3,8,1,8,3,1,12,2008
41641,"Maquoketa, IA","Farley, IA",7,4,1,1,8,3,4,7,1,12,2008
41675,"Maquoketa, IA","Iowa City, IA",2,7,3,0,6,6,3,8,1,12,2008
41705,"Maquoketa, IA","Mason City, IA",4,5,3,0,1,11,5,4,3,12,2008
41720,"Maquoketa, IA","Muscatine, IA",3,4,5,0,4,8,3,8,1,12,2008
41577,"Maquoketa, IA","Bettendorf, IA",4,2,5,2,4,5,4,2,5,11,2008
41799,"Maquoketa, IA","Waterloo, IA",5,4,2,0,1,10,5,5,1,11,2008
41585,"Maquoketa, IA","Burlington, IA",3,6,1,0,3,7,3,6,1,10,2008
41584,"Maquoketa, IA","Buffalo, IA",4,3,2,1,6,2,4,3,2,9,2008
41695,"Maquoketa, IA","Lowden, IA",2,4,3,0,4,5,4,2,3,9,2008
41592,"Maquoketa, IA","Cedar Falls, IA",3,3,2,1,3,4,4,3,1,8,2008
41586,"Maquoketa, IA","Camanche, IA",1,4,3,1,5,2,1,4,3,8,2008
41811,"Maquoketa, IA","Wheatland, IA",2,2,4,3,2,3,3,4,1,8,2008
41697,"Maquoketa, IA","Manchester, IA",1,4,3,0,4,4,3,4,1,8,2008
41621,"Maquoketa, IA","Delaware, IA",0,5,2,0,2,5,0,5,2,7,2008
41605,"Maquoketa, IA","Clive, IA",6,0,1,0,0,7,5,2,0,7,2008
41669,"Maquoketa, IA","Hiawatha, IA",5,2,0,1,2,4,4,3,0,7,2008
41714,"Maquoketa, IA","Morley, IA",1,3,3,0,0,7,0,7,0,7,2008
41656,"Maquoketa, IA","Greeley, IA",2,1,3,0,4,2,4,2,0,6,2008
41572,"Maquoketa, IA","Balltown, IA",2,2,2,0,4,2,1,5,0,6,2008
41790,"Maquoketa, IA","University Heights, IA",1,4,1,1,2,3,3,2,1,6,2008
41787,"Maquoketa, IA","Tipton, IA",2,3,1,0,1,5,4,2,0,6,2008
41561,"Maquoketa, IA","Anamosa, IA",0,5,0,0,4,1,0,1,4,5,2008
41600,"Maquoketa, IA","Clarence, IA",2,2,1,0,2,3,0,1,4,5,2008
41735,"Maquoketa, IA","Orange City, IA",2,2,1,0,0,5,0,1,4,5,2008
41623,"Maquoketa, IA","Des Moines, IA",1,3,1,0,1,4,3,0,2,5,2008
41767,"Maquoketa, IA","Sageville, IA",2,3,0,0,3,2,3,2,0,5,2008
41771,"Maquoketa, IA","Sioux City, IA",0,5,0,0,0,5,1,1,3,5,2008
41578,"Maquoketa, IA","Blairstown, IA",2,3,0,0,1,4,1,2,2,5,2008
41658,"Maquoketa, IA","Grinnell, IA",1,1,3,0,0,5,2,3,0,5,2008
41761,"Maquoketa, IA","Robins, IA",2,3,0,0,3,2,2,2,1,5,2008
41683,"Maquoketa, IA","Le Claire, IA",1,1,2,1,1,2,0,2,2,4,2008
41680,"Maquoketa, IA","Keokuk, IA",2,2,0,0,3,1,2,0,2,4,2008
41646,"Maquoketa, IA","Fort Madison, IA",0,3,1,0,3,1,2,0,2,4,2008
41631,"Maquoketa, IA","Edgewood, IA",2,2,0,0,0,4,1,3,0,4,2008
41645,"Maquoketa, IA","Fort Dodge, IA",2,1,1,0,0,4,0,1,3,4,2008
41794,"Maquoketa, IA","Vinton, IA",0,1,3,0,0,4,0,3,1,4,2008
41724,"Maquoketa, IA","New London, IA",1,2,1,0,1,3,1,3,0,4,2008
41558,"Maquoketa, IA","Algona, IA",2,1,1,0,1,3,2,1,1,4,2008
