,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
53315,"Pella, IA","Pella, IA",529,1039,600,246,1715,207,894,656,618,2168,2008
53247,"Pella, IA","Knoxville, IA",118,300,103,73,400,48,178,210,133,521,2008
53295,"Pella, IA","New Sharon, IA",72,166,58,29,235,32,108,119,69,296,2008
53228,"Pella, IA","Harvey, IA",56,130,54,28,188,24,97,85,58,240,2008
53305,"Pella, IA","Oskaloosa, IA",73,113,30,30,160,26,80,87,49,216,2008
53320,"Pella, IA","Pleasantville, IA",37,106,36,25,139,15,72,58,49,179,2008
53283,"Pella, IA","Monroe, IA",21,78,34,23,97,13,46,48,39,133,2008
53265,"Pella, IA","Lynnville, IA",28,60,18,16,76,14,43,39,24,106,2008
53358,"Pella, IA","University Park, IA",32,40,17,15,63,11,23,37,29,89,2008
53155,"Pella, IA","Bussey, IA",15,37,6,9,38,11,21,22,15,58,2008
53278,"Pella, IA","Melcher-Dallas, IA",13,32,8,17,30,6,16,23,14,53,2008
53273,"Pella, IA","Marysville, IA",11,26,9,11,29,6,17,19,10,46,2008
53192,"Pella, IA","Des Moines, IA",16,17,10,8,24,11,7,19,17,43,2008
53348,"Pella, IA","Sully, IA",8,25,9,8,29,5,9,23,10,42,2008
53306,"Pella, IA","Ottumwa, IA",15,20,5,0,25,15,8,18,14,40,2008
53238,"Pella, IA","Indianola, IA",10,17,11,1,25,12,8,24,6,38,2008
53325,"Pella, IA","Reasnor, IA",9,17,10,5,27,4,16,16,4,36,2008
53296,"Pella, IA","Newton, IA",9,15,5,6,15,8,12,10,7,29,2008
53139,"Pella, IA","Ankeny, IA",9,16,1,6,11,9,2,13,11,26,2008
53360,"Pella, IA","Urbandale, IA",10,11,2,6,10,7,7,6,10,23,2008
53136,"Pella, IA","Ames, IA",3,17,3,4,10,9,5,8,10,23,2008
53165,"Pella, IA","Centerville, IA",9,10,2,2,12,7,15,5,1,21,2008
53132,"Pella, IA","Albia, IA",6,10,2,2,13,3,2,9,7,18,2008
53286,"Pella, IA","Moravia, IA",8,7,1,1,12,3,3,9,4,16,2008
53381,"Pella, IA","Windsor Heights, IA",7,8,1,4,9,3,5,6,5,16,2008
53374,"Pella, IA","West Des Moines, IA",5,8,3,5,4,7,1,7,8,16,2008
53239,"Pella, IA","Iowa City, IA",9,6,0,0,6,9,7,6,2,15,2008
53219,"Pella, IA","Gilman, IA",2,11,1,1,8,5,5,2,7,14,2008
53271,"Pella, IA","Marshalltown, IA",3,6,4,1,3,9,5,5,3,13,2008
53301,"Pella, IA","Norwalk, IA",10,2,0,1,8,3,6,3,3,12,2008
53163,"Pella, IA","Cedar Rapids, IA",8,4,0,0,3,9,5,6,1,12,2008
53186,"Pella, IA","Davenport, IA",1,5,6,0,6,6,5,4,3,12,2008
53224,"Pella, IA","Grinnell, IA",5,6,1,1,9,2,4,2,6,12,2008
53135,"Pella, IA","Altoona, IA",5,6,1,2,5,5,5,2,5,12,2008
53241,"Pella, IA","Johnston, IA",6,4,1,1,4,6,6,2,3,11,2008
53162,"Pella, IA","Cedar Falls, IA",4,6,0,1,5,4,3,5,2,10,2008
53232,"Pella, IA","Hiawatha, IA",4,5,1,0,3,7,4,3,3,10,2008
53182,"Pella, IA","Creston, IA",1,7,2,6,1,3,3,7,0,10,2008
53157,"Pella, IA","Carlisle, IA",2,4,4,0,6,4,3,6,1,10,2008
53127,"Pella, IA","Ackworth, IA",2,5,2,0,9,0,5,3,1,9,2008
53198,"Pella, IA","Eddyville, IA",1,4,4,4,5,0,0,3,6,9,2008
53215,"Pella, IA","Fremont, IA",3,6,0,1,7,1,4,4,1,9,2008
53206,"Pella, IA","Fairfield, IA",1,3,5,0,2,7,3,3,3,9,2008
53365,"Pella, IA","Waterloo, IA",4,5,0,0,5,4,3,3,3,9,2008
53359,"Pella, IA","Urbana, IA",1,6,1,1,3,4,1,2,5,8,2008
53154,"Pella, IA","Burlington, IA",3,3,2,0,2,6,3,4,1,8,2008
53250,"Pella, IA","Lambs Grove, IA",2,2,4,2,3,3,5,1,2,8,2008
53304,"Pella, IA","Osceola, IA",4,4,0,2,3,3,2,6,0,8,2008
53318,"Pella, IA","Pleasant Hill, IA",4,4,0,0,5,3,4,3,1,8,2008
53178,"Pella, IA","Corning, IA",1,5,2,7,0,1,0,8,0,8,2008
53291,"Pella, IA","Muscatine, IA",3,4,0,1,2,4,0,5,2,7,2008
53342,"Pella, IA","St. Marys, IA",1,4,2,1,5,1,1,3,3,7,2008
53297,"Pella, IA","Nodaway, IA",1,6,0,6,0,1,0,5,2,7,2008
53364,"Pella, IA","Washington, IA",3,3,1,0,2,5,5,1,1,7,2008
53350,"Pella, IA","Swan, IA",3,2,2,0,5,2,3,4,0,7,2008
53173,"Pella, IA","Clive, IA",5,2,0,0,4,3,1,4,2,7,2008
53171,"Pella, IA","Clinton, IA",4,1,2,1,2,4,5,1,1,7,2008
53167,"Pella, IA","Chariton, IA",1,1,5,0,2,5,2,0,5,7,2008
53175,"Pella, IA","Colfax, IA",2,2,2,0,6,0,3,1,2,6,2008
53282,"Pella, IA","Mitchellville, IA",2,4,0,3,2,1,0,3,3,6,2008
53144,"Pella, IA","Belle Plaine, IA",4,0,2,0,5,1,6,0,0,6,2008
53243,"Pella, IA","Kellogg, IA",1,4,1,0,2,4,2,4,0,6,2008
53169,"Pella, IA","Cincinnati, IA",3,1,2,0,3,3,3,2,1,6,2008
53172,"Pella, IA","Clio, IA",2,4,0,2,2,2,2,2,2,6,2008
53221,"Pella, IA","Grant, IA",0,6,0,4,1,1,1,3,2,6,2008
53267,"Pella, IA","Madrid, IA",3,2,0,0,2,3,2,3,0,5,2008
53257,"Pella, IA","Leon, IA",2,3,0,0,3,2,3,2,0,5,2008
53321,"Pella, IA","Prairie City, IA",2,1,2,1,3,1,3,2,0,5,2008
53332,"Pella, IA","Russell, IA",2,2,1,0,1,4,2,2,1,5,2008
53150,"Pella, IA","Boone, IA",1,1,3,1,3,1,2,1,2,5,2008
53248,"Pella, IA","Lacona, IA",1,4,0,1,2,2,1,4,0,5,2008
53280,"Pella, IA","Milton, IA",4,1,0,0,4,1,3,2,0,5,2008
53147,"Pella, IA","Blakesburg, IA",3,2,0,0,4,1,0,4,1,5,2008
53323,"Pella, IA","Rathbun, IA",0,5,0,0,3,2,2,3,0,5,2008
53287,"Pella, IA","Moulton, IA",1,4,0,0,3,2,2,3,0,5,2008
53329,"Pella, IA","Riverside, IA",2,1,2,0,2,3,2,3,0,5,2008
53183,"Pella, IA","Cromwell, IA",2,3,0,5,0,0,1,2,2,5,2008
53366,"Pella, IA","Waukee, IA",5,0,0,0,2,3,3,2,0,5,2008
53307,"Pella, IA","Owasa, IA",3,1,0,0,1,3,4,0,0,4,2008
53309,"Pella, IA","Oxford, IA",1,2,1,0,2,2,0,2,2,4,2008
53254,"Pella, IA","Le Roy, IA",1,3,0,1,1,2,1,3,0,4,2008
53244,"Pella, IA","Keokuk, IA",1,3,0,1,0,3,1,2,1,4,2008
53345,"Pella, IA","State Center, IA",3,0,1,0,2,2,2,1,1,4,2008
53170,"Pella, IA","Clearfield, IA",0,4,0,4,0,0,0,1,3,4,2008
53222,"Pella, IA","Gravity, IA",0,3,1,4,0,0,0,3,1,4,2008
53133,"Pella, IA","Albion, IA",3,1,0,0,3,1,4,0,0,4,2008
53137,"Pella, IA","Anamosa, IA",2,1,1,2,0,2,2,1,1,4,2008
53379,"Pella, IA","Williamsburg, IA",1,1,2,1,3,0,3,0,1,4,2008
53130,"Pella, IA","Agency, IA",2,2,0,0,1,3,1,3,0,4,2008
53330,"Pella, IA","Robins, IA",3,0,1,0,2,2,4,0,0,4,2008
53256,"Pella, IA","Lenox, IA",0,2,2,4,0,0,0,2,2,4,2008
53261,"Pella, IA","Lockridge, IA",0,3,1,0,2,2,0,2,2,4,2008
53356,"Pella, IA","Unionville, IA",0,4,0,0,3,1,0,2,2,4,2008
53210,"Pella, IA","Floris, IA",0,2,2,0,3,1,0,3,1,4,2008
53205,"Pella, IA","Exline, IA",2,2,0,0,2,2,3,0,1,4,2008
53334,"Pella, IA","Sandyville, IA",1,3,0,0,3,1,1,2,1,4,2008
53294,"Pella, IA","New London, IA",2,2,0,1,0,3,1,2,1,4,2008
53377,"Pella, IA","What Cheer, IA",1,1,1,0,3,0,0,2,1,3,2008
53290,"Pella, IA","Murray, IA",1,2,0,0,2,1,0,1,2,3,2008
53260,"Pella, IA","Liscomb, IA",2,0,1,0,1,2,1,2,0,3,2008
53246,"Pella, IA","Kirkville, IA",0,3,0,1,0,2,1,1,1,3,2008
53340,"Pella, IA","Spring Hill, IA",0,3,0,0,3,0,1,2,0,3,2008
53327,"Pella, IA","Richland, IA",1,0,2,0,1,2,1,2,0,3,2008
53335,"Pella, IA","Shannon City, IA",3,0,0,2,0,1,0,3,0,3,2008
53143,"Pella, IA","Bedford, IA",1,2,0,2,0,1,0,3,0,3,2008
53240,"Pella, IA","Iowa Falls, IA",2,0,1,0,1,2,1,2,0,3,2008
53226,"Pella, IA","Hampton, IA",3,0,0,0,0,3,1,2,0,3,2008
53193,"Pella, IA","Dexter, IA",0,3,0,1,1,1,1,1,1,3,2008
53176,"Pella, IA","Colo, IA",0,2,1,0,2,1,1,1,1,3,2008
