,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54057,"Pleasant Hill, IA","Des Moines, IA",452,722,201,283,691,401,529,592,254,1375,2008
54252,"Pleasant Hill, IA","Pleasant Hill, IA",299,487,212,212,547,239,362,379,257,998,2008
53970,"Pleasant Hill, IA","Altoona, IA",165,235,86,97,301,88,209,151,126,486,2008
53974,"Pleasant Hill, IA","Ankeny, IA",100,203,70,62,180,131,117,139,117,373,2008
54348,"Pleasant Hill, IA","Windsor Heights, IA",70,134,61,50,125,90,95,101,69,265,2008
54322,"Pleasant Hill, IA","Urbandale, IA",65,113,61,58,103,78,75,68,96,239,2008
54339,"Pleasant Hill, IA","West Des Moines, IA",62,99,41,26,111,65,69,75,58,202,2008
54031,"Pleasant Hill, IA","Clive, IA",62,104,26,43,79,70,49,58,85,192,2008
54227,"Pleasant Hill, IA","Norwalk, IA",58,96,26,36,92,52,65,71,44,180,2008
54134,"Pleasant Hill, IA","Johnston, IA",40,68,26,32,61,41,45,44,45,134,2008
54011,"Pleasant Hill, IA","Carlisle, IA",30,71,22,21,52,50,39,51,33,123,2008
53971,"Pleasant Hill, IA","Ames, IA",48,58,16,13,51,58,42,46,34,122,2008
54127,"Pleasant Hill, IA","Indianola, IA",45,48,27,22,43,55,39,42,39,120,2008
54182,"Pleasant Hill, IA","Marshalltown, IA",31,27,20,6,40,32,43,28,7,78,2008
54199,"Pleasant Hill, IA","Mitchellville, IA",22,43,11,27,39,10,20,23,33,76,2008
54331,"Pleasant Hill, IA","Waukee, IA",15,48,9,13,32,27,21,26,25,72,2008
54237,"Pleasant Hill, IA","Ottumwa, IA",19,27,6,1,13,38,28,17,7,52,2008
54278,"Pleasant Hill, IA","Runnells, IA",14,24,8,9,26,11,15,18,13,46,2008
54145,"Pleasant Hill, IA","Knoxville, IA",7,32,7,3,18,25,18,19,9,46,2008
54221,"Pleasant Hill, IA","Newton, IA",8,28,8,8,15,21,18,18,8,44,2008
54330,"Pleasant Hill, IA","Waterloo, IA",21,13,6,0,14,26,20,12,8,40,2008
54017,"Pleasant Hill, IA","Cedar Rapids, IA",17,20,3,2,14,24,17,12,11,40,2008
54256,"Pleasant Hill, IA","Polk City, IA",10,23,5,8,22,8,14,9,15,38,2008
54001,"Pleasant Hill, IA","Boone, IA",20,14,4,4,15,19,17,11,10,38,2008
54035,"Pleasant Hill, IA","Colfax, IA",11,19,6,13,13,10,6,16,14,36,2008
54294,"Pleasant Hill, IA","Sioux City, IA",14,14,6,2,13,19,13,18,3,34,2008
54041,"Pleasant Hill, IA","Council Bluffs, IA",11,14,9,1,8,25,17,12,5,34,2008
54299,"Pleasant Hill, IA","Spring Hill, IA",4,19,9,7,14,11,5,14,13,32,2008
54049,"Pleasant Hill, IA","Davenport, IA",11,15,5,0,12,19,11,11,9,31,2008
