,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
63062,"Stockton, IA","Muscatine, IA",1,9,0,2,6,2,3,5,2,10,2008
63054,"Stockton, IA","Blue Grass, IA",0,2,3,1,3,1,0,4,1,5,2008
63057,"Stockton, IA","Davenport, IA",3,2,0,2,0,3,3,2,0,5,2008
63053,"Stockton, IA","Bennett, IA",2,1,1,1,3,0,2,1,1,4,2008
63055,"Stockton, IA","Buffalo, IA",0,2,2,0,4,0,2,2,0,4,2008
63064,"Stockton, IA","Wilton, IA",1,1,0,1,1,0,1,1,0,2,2008
63056,"Stockton, IA","Castalia, IA",1,0,0,0,0,1,1,0,0,1,2008
63058,"Stockton, IA","Durant, IA",0,1,0,0,1,0,1,0,0,1,2008
63059,"Stockton, IA","Fruitland, IA",0,1,0,0,1,0,0,1,0,1,2008
63060,"Stockton, IA","Grandview, IA",0,1,0,1,0,0,0,0,1,1,2008
63061,"Stockton, IA","Marshalltown, IA",0,0,1,0,0,1,1,0,0,1,2008
63063,"Stockton, IA","Nichols, IA",0,0,1,1,0,0,0,0,1,1,2008
