,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9587,"Camanche, IA","Clinton, IA",105,356,151,160,397,55,137,253,222,612,2009
9579,"Camanche, IA","Camanche, IA",58,140,47,101,109,35,88,82,75,245,2009
9627,"Camanche, IA","Low Moor, IA",56,131,36,80,94,49,67,105,51,223,2009
9593,"Camanche, IA","Davenport, IA",9,52,14,17,50,8,24,24,27,75,2009
9594,"Camanche, IA","De Witt, IA",15,32,11,24,29,5,15,28,15,58,2009
9653,"Camanche, IA","Princeton, IA",8,30,16,3,51,0,29,13,12,54,2009
9574,"Camanche, IA","Bettendorf, IA",15,24,7,4,26,16,18,21,7,46,2009
9582,"Camanche, IA","Cedar Rapids, IA",12,23,7,16,10,16,12,16,14,42,2009
9645,"Camanche, IA","Panorama Park, IA",1,27,7,30,4,1,3,2,30,35,2009
9600,"Camanche, IA","Eldridge, IA",6,18,10,12,12,10,9,11,14,34,2009
9598,"Camanche, IA","Dubuque, IA",8,15,2,4,12,9,8,12,5,25,2009
9596,"Camanche, IA","Des Moines, IA",2,10,0,0,9,3,2,4,6,12,2009
9572,"Camanche, IA","Asbury, IA",3,6,1,2,6,2,4,2,4,10,2009
9677,"Camanche, IA","Waterloo, IA",4,5,1,1,7,2,5,2,3,10,2009
9671,"Camanche, IA","University Heights, IA",3,5,2,0,9,1,4,3,3,10,2009
9620,"Camanche, IA","Iowa City, IA",3,4,2,0,5,4,4,5,0,9,2009
9581,"Camanche, IA","Cedar Falls, IA",4,3,2,4,3,2,2,0,7,9,2009
9652,"Camanche, IA","Preston, IA",4,5,0,2,4,3,3,4,2,9,2009
9636,"Camanche, IA","Muscatine, IA",3,5,0,1,3,4,2,4,2,8,2009
9615,"Camanche, IA","Hiawatha, IA",3,5,0,4,2,2,2,2,4,8,2009
