,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
10792,"Castalia, IA","Decorah, IA",103,275,114,119,293,80,135,239,118,492,2009
10774,"Castalia, IA","Castalia, IA",33,68,36,54,49,34,54,35,48,137,2009
10891,"Castalia, IA","West Union, IA",20,42,23,15,56,14,33,37,15,85,2009
10807,"Castalia, IA","Fort Atkinson, IA",3,34,24,7,50,4,21,23,17,61,2009
10799,"Castalia, IA","Elgin, IA",12,29,8,2,31,16,10,22,17,49,2009
10831,"Castalia, IA","Luana, IA",6,32,7,27,15,3,8,26,11,45,2009
10887,"Castalia, IA","Waukon, IA",7,17,12,5,22,9,3,25,8,36,2009
10857,"Castalia, IA","Postville, IA",9,15,10,10,13,11,9,18,7,34,2009
10817,"Castalia, IA","Hiawatha, IA",3,23,6,24,3,5,4,21,7,32,2009
10884,"Castalia, IA","Waterloo, IA",10,14,7,2,24,5,11,13,7,31,2009
10776,"Castalia, IA","Cedar Rapids, IA",13,10,5,2,18,8,13,7,8,28,2009
10786,"Castalia, IA","Cresco, IA",3,14,5,10,7,5,5,13,4,22,2009
10775,"Castalia, IA","Cedar Falls, IA",10,7,2,3,10,6,10,4,5,19,2009
10795,"Castalia, IA","Dubuque, IA",7,7,5,1,14,4,8,10,1,19,2009
10793,"Castalia, IA","Des Moines, IA",5,10,2,1,12,4,3,6,8,17,2009
10801,"Castalia, IA","Elkader, IA",0,12,4,3,9,4,4,3,9,16,2009
10859,"Castalia, IA","Randalia, IA",6,5,3,3,11,0,3,8,3,14,2009
10834,"Castalia, IA","Marshalltown, IA",2,10,2,0,12,2,2,8,4,14,2009
10762,"Castalia, IA","Ames, IA",6,4,2,0,11,1,5,4,3,12,2009
10861,"Castalia, IA","Ridgeway, IA",4,7,1,3,6,3,5,6,1,12,2009
10837,"Castalia, IA","Monona, IA",2,6,3,2,5,4,2,4,5,11,2009
10765,"Castalia, IA","Ankeny, IA",1,9,1,5,2,4,3,3,5,11,2009
10835,"Castalia, IA","Mason City, IA",4,5,1,0,4,6,2,7,1,10,2009
10845,"Castalia, IA","New Hampton, IA",0,9,1,6,2,2,2,6,2,10,2009
10858,"Castalia, IA","Protivin, IA",2,7,0,0,3,6,2,4,3,9,2009
10802,"Castalia, IA","Evansdale, IA",3,2,2,1,4,2,2,4,1,7,2009
10848,"Castalia, IA","Oelwein, IA",1,4,2,0,4,3,1,3,3,7,2009
10796,"Castalia, IA","Dyersville, IA",3,4,0,1,3,3,3,2,2,7,2009
10882,"Castalia, IA","Wadena, IA",0,4,2,3,3,0,4,2,0,6,2009
10832,"Castalia, IA","Manchester, IA",0,3,3,2,1,3,1,3,2,6,2009
10770,"Castalia, IA","Bettendorf, IA",1,4,1,0,2,4,2,2,2,6,2009
10854,"Castalia, IA","Peosta, IA",3,3,0,3,2,1,2,2,2,6,2009
10789,"Castalia, IA","Davenport, IA",2,3,0,0,5,0,2,1,2,5,2009
10809,"Castalia, IA","Fredericksburg, IA",1,3,0,2,2,0,2,0,2,4,2009
10821,"Castalia, IA","Independence, IA",2,1,1,0,3,1,1,2,1,4,2009
10871,"Castalia, IA","Stanley, IA",1,2,1,0,0,4,1,1,2,4,2009
10847,"Castalia, IA","North Liberty, IA",0,3,1,0,0,4,0,2,2,4,2009
10804,"Castalia, IA","Fayette, IA",1,3,0,1,2,1,4,0,0,4,2009
10881,"Castalia, IA","Vinton, IA",1,2,1,0,3,1,3,0,1,4,2009
10767,"Castalia, IA","Asbury, IA",1,3,0,0,0,4,1,3,0,4,2009
10785,"Castalia, IA","Council Bluffs, IA",1,2,1,2,1,1,1,2,1,4,2009
10813,"Castalia, IA","Guttenberg, IA",2,1,0,1,2,0,1,2,0,3,2009
10846,"Castalia, IA","Newton, IA",0,2,1,1,1,1,1,1,1,3,2009
10888,"Castalia, IA","Waverly, IA",1,2,0,0,0,3,2,1,0,3,2009
10886,"Castalia, IA","Waukee, IA",0,3,0,0,3,0,0,2,1,3,2009
10761,"Castalia, IA","Altoona, IA",1,1,1,0,2,1,0,3,0,3,2009
10822,"Castalia, IA","Iowa City, IA",2,0,1,0,2,1,2,1,0,3,2009
10760,"Castalia, IA","Allison, IA",1,1,1,1,0,2,0,2,1,3,2009
10874,"Castalia, IA","Strawberry Point, IA",1,2,0,1,0,2,2,0,1,3,2009
