,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
15209,"Conrad, IA","Conrad, IA",11,40,15,13,38,15,23,25,18,66,2009
15195,"Conrad, IA","Beaman, IA",10,16,7,14,16,3,9,13,11,33,2009
15263,"Conrad, IA","Waterloo, IA",9,6,6,2,15,4,6,5,10,21,2009
15203,"Conrad, IA","Cedar Falls, IA",3,8,3,0,11,3,5,4,5,14,2009
15229,"Conrad, IA","Grundy Center, IA",2,7,3,1,9,2,3,5,4,12,2009
15204,"Conrad, IA","Cedar Rapids, IA",1,9,1,2,7,2,1,5,5,11,2009
15265,"Conrad, IA","Wellsburg, IA",5,3,3,4,5,2,4,4,3,11,2009
15220,"Conrad, IA","Eldora, IA",1,8,1,3,6,1,4,2,4,10,2009
15191,"Conrad, IA","Ackley, IA",3,5,1,0,8,1,5,3,1,9,2009
15227,"Conrad, IA","Garwin, IA",3,3,0,0,3,3,2,2,2,6,2009
15233,"Conrad, IA","Iowa Falls, IA",1,4,0,1,4,0,2,2,1,5,2009
15224,"Conrad, IA","Fairfax, IA",2,3,0,0,3,2,0,4,1,5,2009
15241,"Conrad, IA","Mason City, IA",0,3,1,0,1,3,1,2,1,4,2009
15238,"Conrad, IA","Liscomb, IA",1,1,2,2,2,0,3,0,1,4,2009
15260,"Conrad, IA","Toledo, IA",0,1,2,0,3,0,0,3,0,3,2009
15235,"Conrad, IA","Le Grand, IA",0,3,0,0,2,1,0,0,3,3,2009
15248,"Conrad, IA","Oskaloosa, IA",0,3,0,1,0,2,2,1,0,3,2009
15206,"Conrad, IA","Charles City, IA",1,2,0,0,2,1,1,1,1,3,2009
15231,"Conrad, IA","Hubbard, IA",0,2,1,0,0,3,2,0,1,3,2009
15243,"Conrad, IA","Morrison, IA",1,2,0,2,0,1,1,1,1,3,2009
15210,"Conrad, IA","Council Bluffs, IA",0,1,2,1,0,2,1,1,1,3,2009
15240,"Conrad, IA","Marshalltown, IA",0,3,0,1,1,1,1,0,2,3,2009
15214,"Conrad, IA","Decorah, IA",1,1,0,0,2,0,1,0,1,2,2009
15253,"Conrad, IA","Pleasant Hill, IA",1,1,0,0,0,2,2,0,0,2,2009
15196,"Conrad, IA","Belle Plaine, IA",2,0,0,0,2,0,2,0,0,2,2009
15201,"Conrad, IA","Cascade, IA",0,1,1,0,2,0,0,1,1,2,2009
15207,"Conrad, IA","Clive, IA",2,0,0,0,1,1,1,1,0,2,2009
15264,"Conrad, IA","Waucoma, IA",1,1,0,0,0,2,0,1,1,2,2009
15242,"Conrad, IA","Millville, IA",1,0,0,1,0,0,1,0,0,1,2009
