,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
21177,"Duncombe, IA","Fort Dodge, IA",48,94,35,22,120,35,43,73,61,177,2009
21221,"Duncombe, IA","Webster City, IA",29,70,40,54,71,14,43,69,27,139,2009
21225,"Duncombe, IA","Williams, IA",5,9,8,4,16,2,13,9,0,22,2009
21171,"Duncombe, IA","Duncombe, IA",3,12,3,2,1,15,4,8,6,18,2009
21169,"Duncombe, IA","Des Moines, IA",4,7,5,2,11,3,5,5,6,16,2009
21185,"Duncombe, IA","Iowa Falls, IA",3,4,5,5,3,4,5,3,4,12,2009
21150,"Duncombe, IA","Ames, IA",2,8,2,2,8,2,3,4,5,12,2009
21217,"Duncombe, IA","Urbandale, IA",3,4,0,0,6,1,2,5,0,7,2009
21196,"Duncombe, IA","Mason City, IA",2,4,0,1,4,1,2,2,2,6,2009
21162,"Duncombe, IA","Clive, IA",3,3,0,0,5,1,2,4,0,6,2009
21184,"Duncombe, IA","Humboldt, IA",1,4,0,2,1,2,2,1,2,5,2009
21198,"Duncombe, IA","Norwalk, IA",0,5,0,0,5,0,1,4,0,5,2009
21199,"Duncombe, IA","Otho, IA",2,2,0,1,2,1,3,1,0,4,2009
21173,"Duncombe, IA","Ellsworth, IA",3,1,0,1,2,1,3,1,0,4,2009
21155,"Duncombe, IA","Boone, IA",0,4,0,1,0,3,1,3,0,4,2009
21167,"Duncombe, IA","Dayton, IA",1,1,1,0,3,0,1,0,2,3,2009
21187,"Duncombe, IA","Kamrar, IA",0,1,2,0,3,0,2,0,1,3,2009
21186,"Duncombe, IA","Jewell Junction, IA",2,1,0,1,0,2,2,1,0,3,2009
21175,"Duncombe, IA","Farnhamville, IA",1,2,0,0,2,1,2,0,1,3,2009
21188,"Duncombe, IA","Knierim, IA",0,3,0,0,2,1,0,0,3,3,2009
21207,"Duncombe, IA","Rockwell City, IA",3,0,0,0,3,0,3,0,0,3,2009
21160,"Duncombe, IA","Clarion, IA",1,1,1,0,3,0,0,2,1,3,2009
21216,"Duncombe, IA","Stratford, IA",2,0,1,0,3,0,2,1,0,3,2009
21219,"Duncombe, IA","Waterloo, IA",2,0,1,0,0,3,2,1,0,3,2009
21151,"Duncombe, IA","Ankeny, IA",0,2,1,0,0,3,2,0,1,3,2009
21206,"Duncombe, IA","Popejoy, IA",0,1,1,2,0,0,0,2,0,2,2009
21210,"Duncombe, IA","Shelby, IA",0,2,0,0,0,2,1,0,1,2,2009
21214,"Duncombe, IA","Storm Lake, IA",0,2,0,0,2,0,0,0,2,2,2009
21215,"Duncombe, IA","Story City, IA",0,1,1,0,1,1,0,2,0,2,2009
21190,"Duncombe, IA","Lehigh, IA",0,0,2,0,2,0,2,0,0,2,2009
21222,"Duncombe, IA","West Des Moines, IA",0,2,0,0,1,1,1,1,0,2,2009
21224,"Duncombe, IA","Willey, IA",0,2,0,0,0,2,0,0,2,2,2009
21212,"Duncombe, IA","Sioux City, IA",0,1,1,0,2,0,1,1,0,2,2009
21147,"Duncombe, IA","Alden, IA",0,2,0,1,0,1,0,0,2,2,2009
21163,"Duncombe, IA","Council Bluffs, IA",0,2,0,1,0,1,0,1,1,2,2009
21168,"Duncombe, IA","Decorah, IA",1,0,1,2,0,0,0,1,1,2,2009
