,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27420,"Fruitland, IA","Muscatine, IA",56,156,45,82,128,47,67,95,95,257,2009
27400,"Fruitland, IA","Fruitland, IA",5,14,6,8,10,7,4,9,12,25,2009
27401,"Fruitland, IA","Grandview, IA",3,14,6,0,21,2,9,6,8,23,2009
27404,"Fruitland, IA","Iowa City, IA",8,11,2,5,10,6,7,10,4,21,2009
27389,"Fruitland, IA","Davenport, IA",3,16,1,5,10,5,7,9,4,20,2009
27422,"Fruitland, IA","Nichols, IA",3,7,6,3,9,4,5,8,3,16,2009
27434,"Fruitland, IA","University Heights, IA",1,5,5,0,11,0,0,6,5,11,2009
27380,"Fruitland, IA","Blue Grass, IA",1,5,3,9,0,0,2,3,4,9,2009
27444,"Fruitland, IA","Wilton, IA",0,7,1,1,4,3,4,3,1,8,2009
27382,"Fruitland, IA","Burlington, IA",1,5,2,1,6,1,4,3,1,8,2009
27383,"Fruitland, IA","Cedar Rapids, IA",0,4,1,1,2,2,0,0,5,5,2009
27391,"Fruitland, IA","Des Moines, IA",3,1,1,0,4,1,2,1,2,5,2009
27443,"Fruitland, IA","West Liberty, IA",1,4,0,1,4,0,2,0,3,5,2009
27386,"Fruitland, IA","Conesville, IA",1,3,0,4,0,0,0,4,0,4,2009
27403,"Fruitland, IA","Hiawatha, IA",3,0,0,0,1,2,2,1,0,3,2009
27396,"Fruitland, IA","Eldridge, IA",1,1,1,3,0,0,1,2,0,3,2009
27426,"Fruitland, IA","Ottumwa, IA",2,1,0,0,0,3,3,0,0,3,2009
27374,"Fruitland, IA","Ames, IA",2,1,0,0,1,2,1,0,2,3,2009
27410,"Fruitland, IA","Lone Tree, IA",0,2,1,0,1,2,1,1,1,3,2009
27378,"Fruitland, IA","Bettendorf, IA",3,0,0,0,1,2,2,1,0,3,2009
27419,"Fruitland, IA","Mount Pleasant, IA",1,1,0,0,0,2,0,2,0,2,2009
27387,"Fruitland, IA","Coralville, IA",0,2,0,0,1,1,2,0,0,2,2009
27427,"Fruitland, IA","Panorama Park, IA",0,1,1,0,1,1,1,0,1,2,2009
27429,"Fruitland, IA","Sergeant Bluff, IA",0,1,1,0,0,2,0,2,0,2,2009
27412,"Fruitland, IA","Maquoketa, IA",0,1,1,0,1,1,0,0,2,2,2009
27436,"Fruitland, IA","Urbandale, IA",0,2,0,0,1,1,0,1,1,2,2009
27437,"Fruitland, IA","Walcott, IA",2,0,0,0,1,1,1,1,0,2,2009
27385,"Fruitland, IA","Columbus Junction, IA",0,1,1,0,2,0,1,1,0,2,2009
27423,"Fruitland, IA","North Liberty, IA",0,1,1,0,1,1,1,0,1,2,2009
27438,"Fruitland, IA","Wapello, IA",0,2,0,0,2,0,0,1,1,2,2009
27439,"Fruitland, IA","Washington, IA",1,1,0,0,2,0,1,0,1,2,2009
27388,"Fruitland, IA","Council Bluffs, IA",0,2,0,1,1,0,1,0,1,2,2009
27430,"Fruitland, IA","Sioux City, IA",1,0,0,0,0,1,1,0,0,1,2009
27424,"Fruitland, IA","Norwalk, IA",1,0,0,0,1,0,1,0,0,1,2009
27425,"Fruitland, IA","Oakville, IA",0,1,0,1,0,0,0,0,1,1,2009
27379,"Fruitland, IA","Bloomfield, IA",0,1,0,0,0,1,0,1,0,1,2009
27376,"Fruitland, IA","Atalissa, IA",0,1,0,0,1,0,0,1,0,1,2009
27428,"Fruitland, IA","Riverside, IA",0,0,1,0,1,0,0,1,0,1,2009
27377,"Fruitland, IA","Bennett, IA",0,1,0,0,0,1,0,1,0,1,2009
27442,"Fruitland, IA","West Burlington, IA",0,0,1,0,0,1,0,1,0,1,2009
27431,"Fruitland, IA","Spencer, IA",0,1,0,0,0,1,1,0,0,1,2009
27432,"Fruitland, IA","Tiffin, IA",0,1,0,0,1,0,0,1,0,1,2009
27433,"Fruitland, IA","Toledo, IA",0,1,0,0,1,0,0,0,1,1,2009
27441,"Fruitland, IA","Wayland, IA",1,0,0,1,0,0,0,1,0,1,2009
27381,"Fruitland, IA","Buffalo, IA",0,1,0,0,0,1,0,0,1,1,2009
27440,"Fruitland, IA","Waterloo, IA",0,1,0,0,0,1,0,1,0,1,2009
27435,"Fruitland, IA","University Park, IA",1,0,0,0,1,0,1,0,0,1,2009
27393,"Fruitland, IA","Dubuque, IA",0,0,1,0,1,0,1,0,0,1,2009
27421,"Fruitland, IA","New London, IA",0,1,0,0,1,0,0,0,1,1,2009
27384,"Fruitland, IA","Clive, IA",1,0,0,0,0,1,1,0,0,1,2009
27395,"Fruitland, IA","Eddyville, IA",0,0,1,0,0,1,0,1,0,1,2009
27392,"Fruitland, IA","Dixon, IA",1,0,0,0,1,0,0,1,0,1,2009
27397,"Fruitland, IA","Fairfax, IA",0,0,1,0,0,1,0,1,0,1,2009
27398,"Fruitland, IA","Fairfield, IA",0,1,0,0,1,0,0,0,1,1,2009
27399,"Fruitland, IA","Fort Dodge, IA",1,0,0,0,0,1,0,1,0,1,2009
27390,"Fruitland, IA","De Soto, IA",1,0,0,0,1,0,0,0,1,1,2009
27402,"Fruitland, IA","Hamburg, IA",1,0,0,0,0,1,1,0,0,1,2009
27405,"Fruitland, IA","Iowa Falls, IA",1,0,0,0,0,1,1,0,0,1,2009
27406,"Fruitland, IA","Kalona, IA",1,0,0,0,1,0,1,0,0,1,2009
27407,"Fruitland, IA","Keokuk, IA",1,0,0,0,0,1,1,0,0,1,2009
27408,"Fruitland, IA","Knoxville, IA",0,1,0,0,0,1,0,1,0,1,2009
27409,"Fruitland, IA","Lewis, IA",0,0,1,0,1,0,0,0,1,1,2009
27375,"Fruitland, IA","Ankeny, IA",1,0,0,1,0,0,0,1,0,1,2009
27411,"Fruitland, IA","Low Moor, IA",0,0,1,0,1,0,1,0,0,1,2009
27413,"Fruitland, IA","Marengo, IA",0,0,1,0,0,1,0,1,0,1,2009
27414,"Fruitland, IA","Marion, IA",0,1,0,0,1,0,0,1,0,1,2009
27415,"Fruitland, IA","Mason City, IA",0,1,0,0,1,0,0,1,0,1,2009
27416,"Fruitland, IA","Massena, IA",0,0,1,0,1,0,1,0,0,1,2009
27417,"Fruitland, IA","Morning Sun, IA",0,1,0,1,0,0,0,0,1,1,2009
27418,"Fruitland, IA","Morrison, IA",1,0,0,1,0,0,0,0,1,1,2009
27394,"Fruitland, IA","Durant, IA",1,0,0,0,1,0,1,0,0,1,2009
27445,"Fruitland, IA","Windsor Heights, IA",0,1,0,0,0,1,0,0,1,1,2009
