,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51970,"Newell, IA","Storm Lake, IA",64,154,61,54,188,37,72,141,66,279,2009
51939,"Newell, IA","Newell, IA",34,80,38,39,84,29,46,61,45,152,2009
51920,"Newell, IA","Lakeside, IA",27,38,9,31,40,3,33,26,15,74,2009
51959,"Newell, IA","Sac City, IA",2,17,9,3,19,6,10,13,5,28,2009
51960,"Newell, IA","Schaller, IA",3,18,5,3,15,8,8,9,9,26,2009
51966,"Newell, IA","Sioux City, IA",8,12,5,1,13,11,16,7,2,25,2009
51881,"Newell, IA","Cushing, IA",10,10,5,14,8,3,6,15,4,25,2009
51889,"Newell, IA","Early, IA",5,4,7,1,10,5,8,3,5,16,2009
51855,"Newell, IA","Albert City, IA",0,11,5,1,12,3,4,9,3,16,2009
51968,"Newell, IA","Spencer, IA",4,8,3,1,8,6,7,8,0,15,2009
51865,"Newell, IA","Aurelia, IA",2,11,0,6,5,2,1,7,5,13,2009
51979,"Newell, IA","Webb, IA",1,8,2,4,2,5,3,4,4,11,2009
51923,"Newell, IA","Laurens, IA",4,6,1,2,4,5,3,7,1,11,2009
51924,"Newell, IA","Le Mars, IA",6,4,1,0,7,4,5,4,2,11,2009
51887,"Newell, IA","Des Moines, IA",4,6,1,0,7,4,4,6,1,11,2009
51874,"Newell, IA","Clive, IA",4,4,2,0,7,3,3,4,3,10,2009
51911,"Newell, IA","Ida Grove, IA",0,7,2,5,2,2,1,4,4,9,2009
51868,"Newell, IA","Carroll, IA",3,4,1,0,6,2,3,5,0,8,2009
51945,"Newell, IA","Palmer, IA",2,4,2,0,8,0,3,3,2,8,2009
51969,"Newell, IA","Spirit Lake, IA",2,2,3,1,2,4,2,4,1,7,2009
51857,"Newell, IA","Algona, IA",3,1,3,1,4,2,4,2,1,7,2009
51948,"Newell, IA","Pocahontas, IA",0,4,3,0,7,0,0,2,5,7,2009
51863,"Newell, IA","Arthur, IA",2,3,1,2,2,2,3,2,1,6,2009
51877,"Newell, IA","Council Bluffs, IA",0,3,3,4,1,1,5,0,1,6,2009
51859,"Newell, IA","Ames, IA",2,4,0,0,4,2,3,1,2,6,2009
51918,"Newell, IA","Lake City, IA",3,1,2,1,4,1,1,4,1,6,2009
51922,"Newell, IA","Larrabee, IA",0,5,0,1,3,1,2,1,2,5,2009
51886,"Newell, IA","Denison, IA",1,4,0,2,3,0,0,2,3,5,2009
51950,"Newell, IA","Quimby, IA",1,3,1,5,0,0,0,5,0,5,2009
51883,"Newell, IA","Davenport, IA",2,1,2,0,3,2,3,1,1,5,2009
51957,"Newell, IA","Rockwell City, IA",1,3,1,1,3,1,1,1,3,5,2009
51982,"Newell, IA","West Des Moines, IA",2,3,0,1,3,1,2,2,1,5,2009
51949,"Newell, IA","Pomeroy, IA",1,2,2,1,3,1,1,4,0,5,2009
51977,"Newell, IA","Wall Lake, IA",1,3,1,1,2,2,1,2,2,5,2009
51965,"Newell, IA","Sioux Center, IA",1,3,1,3,0,2,1,4,0,5,2009
51898,"Newell, IA","Fort Dodge, IA",1,3,0,1,3,0,4,0,0,4,2009
51975,"Newell, IA","Urbandale, IA",3,0,1,0,1,3,2,0,2,4,2009
51870,"Newell, IA","Cedar Rapids, IA",0,3,1,1,1,2,1,2,1,4,2009
51935,"Newell, IA","Melcher-Dallas, IA",0,1,3,4,0,0,1,1,2,4,2009
51890,"Newell, IA","Elk Run Heights, IA",2,2,0,4,0,0,2,2,0,4,2009
