,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
58063,"Plano, IA","Centerville, IA",22,57,29,26,67,15,36,52,20,108,2009
58126,"Plano, IA","Rathbun, IA",19,27,16,6,47,9,36,15,11,62,2009
58124,"Plano, IA","Plano, IA",10,15,8,10,15,8,13,14,6,33,2009
58048,"Plano, IA","Albia, IA",3,16,9,14,10,4,7,16,5,28,2009
58077,"Plano, IA","Des Moines, IA",6,16,5,1,24,2,5,8,14,27,2009
58120,"Plano, IA","Ottumwa, IA",8,10,5,5,11,7,8,12,3,23,2009
58065,"Plano, IA","Cincinnati, IA",2,8,7,0,1,16,4,13,0,17,2009
58072,"Plano, IA","Corydon, IA",1,8,7,8,6,2,3,10,3,16,2009
58119,"Plano, IA","Oskaloosa, IA",3,3,4,1,3,6,3,5,2,10,2009
58109,"Plano, IA","Moulton, IA",1,6,3,1,8,1,3,7,0,10,2009
58092,"Plano, IA","Keosauqua, IA",0,8,1,9,0,0,0,4,5,9,2009
58050,"Plano, IA","Ames, IA",3,5,0,1,5,2,0,2,6,8,2009
58100,"Plano, IA","Marshalltown, IA",0,8,0,1,2,5,2,4,2,8,2009
58051,"Plano, IA","Ankeny, IA",1,3,3,0,4,3,4,1,2,7,2009
58138,"Plano, IA","University Park, IA",1,3,3,0,5,2,1,6,0,7,2009
58068,"Plano, IA","Clio, IA",1,3,3,3,4,0,2,4,1,7,2009
58146,"Plano, IA","Windsor Heights, IA",3,1,3,0,3,4,3,3,1,7,2009
58087,"Plano, IA","Harvey, IA",2,4,0,6,0,0,0,5,1,6,2009
58115,"Plano, IA","North Liberty, IA",1,5,0,0,2,4,1,3,2,6,2009
58062,"Plano, IA","Cedar Rapids, IA",3,3,0,1,0,5,3,1,2,6,2009
58137,"Plano, IA","Unionville, IA",2,4,0,0,5,1,3,0,3,6,2009
58103,"Plano, IA","Melcher-Dallas, IA",3,3,0,5,1,0,0,1,5,6,2009
58113,"Plano, IA","Mystic, IA",0,3,2,0,4,1,3,2,0,5,2009
58069,"Plano, IA","Clive, IA",3,2,0,0,4,1,2,1,2,5,2009
58110,"Plano, IA","Mount Pleasant, IA",1,2,2,0,2,3,2,3,0,5,2009
58055,"Plano, IA","Bloomfield, IA",0,5,0,0,1,4,0,2,3,5,2009
58064,"Plano, IA","Chariton, IA",0,3,2,0,2,3,2,3,0,5,2009
58090,"Plano, IA","Iowa City, IA",2,2,0,0,2,2,0,4,0,4,2009
58082,"Plano, IA","Exline, IA",1,3,0,0,2,2,2,2,0,4,2009
58083,"Plano, IA","Fairfield, IA",1,2,1,0,2,2,1,1,2,4,2009
