,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59317,"Postville, IA","Waukon, IA",8,41,11,8,34,18,16,29,15,60,2009
59304,"Postville, IA","Postville, IA",13,27,11,6,32,13,19,21,11,51,2009
59286,"Postville, IA","Luana, IA",14,25,5,15,20,9,16,22,6,44,2009
59269,"Postville, IA","Decorah, IA",9,22,8,6,23,10,12,19,8,39,2009
59321,"Postville, IA","West Union, IA",2,5,1,0,6,2,1,4,3,8,2009
59290,"Postville, IA","Mason City, IA",2,2,2,0,1,5,2,4,0,6,2009
59291,"Postville, IA","Monona, IA",1,3,1,0,4,1,3,2,0,5,2009
59262,"Postville, IA","Cedar Falls, IA",1,2,2,1,3,1,1,3,1,5,2009
59316,"Postville, IA","Waterloo, IA",3,2,0,1,3,1,3,1,1,5,2009
59253,"Postville, IA","Ames, IA",3,1,0,0,3,1,1,2,1,4,2009
59266,"Postville, IA","Council Bluffs, IA",1,3,0,2,0,2,1,1,2,4,2009
59274,"Postville, IA","Elgin, IA",2,1,1,0,2,2,2,1,1,4,2009
59271,"Postville, IA","Dubuque, IA",0,4,0,0,1,3,1,1,2,4,2009
59277,"Postville, IA","Fort Atkinson, IA",0,2,2,0,2,2,0,1,3,4,2009
59261,"Postville, IA","Castalia, IA",1,3,0,1,2,1,0,3,1,4,2009
59263,"Postville, IA","Cedar Rapids, IA",3,0,0,0,1,2,2,1,0,3,2009
59275,"Postville, IA","Elkader, IA",0,1,2,1,2,0,3,0,0,3,2009
59268,"Postville, IA","Davenport, IA",0,2,1,0,2,1,2,1,0,3,2009
59283,"Postville, IA","Iowa City, IA",0,3,0,1,1,1,2,0,1,3,2009
59280,"Postville, IA","Hiawatha, IA",0,2,1,1,2,0,1,2,0,3,2009
59267,"Postville, IA","Cresco, IA",2,0,0,0,1,1,0,2,0,2,2009
59311,"Postville, IA","Strawberry Point, IA",1,1,0,2,0,0,0,2,0,2,2009
59294,"Postville, IA","North Liberty, IA",0,1,1,0,0,2,0,0,2,2,2009
59289,"Postville, IA","Marshalltown, IA",0,1,1,0,2,0,1,0,1,2,2009
59295,"Postville, IA","Oelwein, IA",0,0,2,0,2,0,2,0,0,2,2009
59309,"Postville, IA","St. Ansgar, IA",0,1,1,1,1,0,0,2,0,2,2009
59318,"Postville, IA","Waverly, IA",0,1,1,0,1,1,1,1,0,2,2009
59285,"Postville, IA","Lansing, IA",0,1,1,0,1,1,0,2,0,2,2009
59279,"Postville, IA","Guttenberg, IA",0,2,0,1,1,0,0,0,2,2,2009
59292,"Postville, IA","New Albin, IA",0,1,1,0,0,2,0,2,0,2,2009
59278,"Postville, IA","Fort Dodge, IA",1,1,0,0,1,1,1,1,0,2,2009
59313,"Postville, IA","Urbandale, IA",0,2,0,0,2,0,0,1,1,2,2009
59255,"Postville, IA","Ankeny, IA",0,2,0,0,1,1,0,0,2,2,2009
59270,"Postville, IA","Des Moines, IA",1,1,0,0,1,1,1,0,1,2,2009
59265,"Postville, IA","Clive, IA",0,0,2,0,2,0,2,0,0,2,2009
59293,"Postville, IA","New Hampton, IA",1,1,0,0,2,0,0,2,0,2,2009
59307,"Postville, IA","Rockwell City, IA",0,1,0,0,0,1,0,0,1,1,2009
59306,"Postville, IA","Robins, IA",0,0,1,0,0,1,1,0,0,1,2009
59305,"Postville, IA","Reinbeck, IA",0,1,0,0,1,0,0,0,1,1,2009
59310,"Postville, IA","St. Lucas, IA",0,1,0,0,0,1,0,0,1,1,2009
59320,"Postville, IA","West Des Moines, IA",1,0,0,0,1,0,1,0,0,1,2009
59319,"Postville, IA","West Burlington, IA",1,0,0,0,0,1,0,1,0,1,2009
59308,"Postville, IA","Sanborn, IA",0,1,0,1,0,0,0,1,0,1,2009
59312,"Postville, IA","Toledo, IA",0,0,1,0,1,0,0,1,0,1,2009
59302,"Postville, IA","Perry, IA",0,0,1,0,1,0,0,1,0,1,2009
59314,"Postville, IA","Vinton, IA",0,1,0,0,1,0,0,0,1,1,2009
59315,"Postville, IA","Wadena, IA",0,1,0,0,1,0,0,1,0,1,2009
59303,"Postville, IA","Popejoy, IA",0,1,0,0,1,0,0,1,0,1,2009
59288,"Postville, IA","Marquette, IA",0,0,1,1,0,0,0,1,0,1,2009
59301,"Postville, IA","Peosta, IA",1,0,0,1,0,0,1,0,0,1,2009
59276,"Postville, IA","Evansdale, IA",0,1,0,0,1,0,0,1,0,1,2009
59256,"Postville, IA","Asbury, IA",0,1,0,0,0,1,0,1,0,1,2009
59257,"Postville, IA","Bellevue, IA",0,1,0,0,0,1,1,0,0,1,2009
59258,"Postville, IA","Boone, IA",1,0,0,0,1,0,1,0,0,1,2009
59259,"Postville, IA","Bristow, IA",0,1,0,0,0,1,0,1,0,1,2009
59260,"Postville, IA","Burlington, IA",1,0,0,0,1,0,0,1,0,1,2009
59264,"Postville, IA","Charles City, IA",0,1,0,0,1,0,1,0,0,1,2009
59272,"Postville, IA","Dyersville, IA",0,1,0,0,0,1,1,0,0,1,2009
59273,"Postville, IA","Eldora, IA",0,0,1,0,0,1,1,0,0,1,2009
59281,"Postville, IA","Hospers, IA",0,0,1,1,0,0,0,1,0,1,2009
59300,"Postville, IA","Pella, IA",0,1,0,0,0,1,0,1,0,1,2009
59282,"Postville, IA","Humboldt, IA",0,1,0,0,0,1,0,1,0,1,2009
59284,"Postville, IA","Iowa Falls, IA",0,1,0,1,0,0,0,0,1,1,2009
59287,"Postville, IA","Maquoketa, IA",1,0,0,0,0,1,1,0,0,1,2009
59254,"Postville, IA","Anamosa, IA",0,1,0,0,1,0,0,1,0,1,2009
59296,"Postville, IA","Osage, IA",0,1,0,0,0,1,0,1,0,1,2009
59297,"Postville, IA","Oxford, IA",1,0,0,1,0,0,0,1,0,1,2009
59298,"Postville, IA","Palo, IA",0,1,0,0,0,1,0,0,1,1,2009
59299,"Postville, IA","Parkersburg, IA",0,1,0,0,0,1,0,1,0,1,2009
59322,"Postville, IA","Winthrop, IA",0,0,1,0,0,1,0,0,1,1,2009
