,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59729,"Primghar, IA","Sheldon, IA",30,94,23,21,100,26,54,75,18,147,2009
59726,"Primghar, IA","Sanborn, IA",42,60,34,23,89,24,65,50,21,136,2009
59720,"Primghar, IA","Primghar, IA",29,52,26,23,58,26,35,43,29,107,2009
59684,"Primghar, IA","Hartley, IA",10,26,18,7,37,10,28,13,13,54,2009
59714,"Primghar, IA","Orange City, IA",14,25,4,16,24,3,7,24,12,43,2009
59716,"Primghar, IA","Paullina, IA",3,17,6,13,9,4,4,15,7,26,2009
59688,"Primghar, IA","Hospers, IA",12,12,1,21,2,2,5,11,9,25,2009
59737,"Primghar, IA","Sutherland, IA",8,12,3,3,15,5,5,11,7,23,2009
59731,"Primghar, IA","Sioux Center, IA",1,12,9,10,6,6,5,10,7,22,2009
59660,"Primghar, IA","Boyden, IA",7,8,7,22,0,0,3,15,4,22,2009
59733,"Primghar, IA","Spencer, IA",7,11,4,7,5,10,7,6,9,22,2009
59732,"Primghar, IA","Sioux City, IA",5,14,2,1,13,7,6,8,7,21,2009
59658,"Primghar, IA","Ashton, IA",5,6,1,8,3,1,1,10,1,12,2009
59724,"Primghar, IA","Rock Valley, IA",1,9,1,4,4,3,3,6,2,11,2009
59734,"Primghar, IA","Spirit Lake, IA",1,7,3,2,5,4,1,7,3,11,2009
59730,"Primghar, IA","Sibley, IA",2,5,3,3,5,2,2,4,4,10,2009
59664,"Primghar, IA","Cherokee, IA",1,6,1,2,6,0,0,5,3,8,2009
59689,"Primghar, IA","Hull, IA",2,4,0,1,5,0,2,1,3,6,2009
59698,"Primghar, IA","Le Mars, IA",2,4,0,1,2,3,1,2,3,6,2009
59735,"Primghar, IA","Storm Lake, IA",0,4,2,0,4,2,3,2,1,6,2009
59681,"Primghar, IA","Fort Dodge, IA",0,4,1,0,3,2,1,3,1,5,2009
59678,"Primghar, IA","Emmetsburg, IA",1,3,1,4,1,0,0,2,3,5,2009
59727,"Primghar, IA","Sergeant Bluff, IA",2,2,1,3,1,1,2,3,0,5,2009
59674,"Primghar, IA","Des Moines, IA",0,5,0,0,4,1,1,2,2,5,2009
59679,"Primghar, IA","Estherville, IA",1,1,3,0,2,3,1,2,2,5,2009
59717,"Primghar, IA","Peterson, IA",0,3,1,1,2,1,0,2,2,4,2009
59706,"Primghar, IA","Meriden, IA",1,3,0,0,4,0,0,2,2,4,2009
59661,"Primghar, IA","Carroll, IA",1,1,2,1,0,3,2,2,0,4,2009
59652,"Primghar, IA","Alton, IA",2,2,0,2,0,2,0,4,0,4,2009
59687,"Primghar, IA","Hiawatha, IA",1,2,1,0,1,3,2,2,0,4,2009
59670,"Primghar, IA","Cushing, IA",1,2,0,2,0,1,2,1,0,3,2009
59686,"Primghar, IA","Hawarden, IA",1,2,0,1,2,0,2,1,0,3,2009
59699,"Primghar, IA","Little Rock, IA",0,2,1,3,0,0,0,3,0,3,2009
59695,"Primghar, IA","Lake Park, IA",2,1,0,3,0,0,0,3,0,3,2009
59690,"Primghar, IA","Ida Grove, IA",1,2,0,1,1,1,0,1,2,3,2009
59654,"Primghar, IA","Ames, IA",3,0,0,0,1,2,3,0,0,3,2009
59725,"Primghar, IA","Royal, IA",0,2,1,1,2,0,1,2,0,3,2009
59682,"Primghar, IA","Fostoria, IA",0,1,2,2,0,1,0,0,3,3,2009
59657,"Primghar, IA","Arnolds Park, IA",3,0,0,0,3,0,3,0,0,3,2009
59683,"Primghar, IA","Greenville, IA",2,0,0,2,0,0,0,2,0,2,2009
59722,"Primghar, IA","Remsen, IA",2,0,0,0,0,2,2,0,0,2,2009
59673,"Primghar, IA","Denison, IA",0,2,0,1,1,0,1,0,1,2,2009
59708,"Primghar, IA","Milford, IA",0,2,0,1,0,1,1,1,0,2,2009
59704,"Primghar, IA","Maurice, IA",1,1,0,1,0,1,1,1,0,2,2009
59703,"Primghar, IA","Mason City, IA",0,1,1,0,2,0,0,1,1,2,2009
59702,"Primghar, IA","Marshalltown, IA",0,2,0,0,1,1,1,0,1,2,2009
59701,"Primghar, IA","Marcus, IA",0,1,1,0,2,0,0,1,1,2,2009
59662,"Primghar, IA","Cedar Rapids, IA",1,0,1,1,1,0,1,0,1,2,2009
59740,"Primghar, IA","Wall Lake, IA",1,0,1,0,2,0,1,0,1,2,2009
59743,"Primghar, IA","West Des Moines, IA",0,0,2,0,2,0,1,1,0,2,2009
59723,"Primghar, IA","Rock Rapids, IA",0,2,0,0,2,0,0,1,1,2,2009
59742,"Primghar, IA","Webb, IA",1,1,0,0,0,2,1,0,1,2,2009
59655,"Primghar, IA","Ankeny, IA",1,1,0,0,0,2,1,1,0,2,2009
59713,"Primghar, IA","Ocheyedan, IA",1,0,1,1,0,1,1,0,1,2,2009
59680,"Primghar, IA","Forest City, IA",0,2,0,0,2,0,1,0,1,2,2009
59728,"Primghar, IA","Sheffield, IA",1,0,0,0,0,1,1,0,0,1,2009
59738,"Primghar, IA","Terril, IA",0,0,1,1,0,0,0,1,0,1,2009
59715,"Primghar, IA","Oyens, IA",0,1,0,1,0,0,0,0,1,1,2009
59745,"Primghar, IA","Whittemore, IA",0,1,0,1,0,0,0,1,0,1,2009
59718,"Primghar, IA","Polk City, IA",1,0,0,0,1,0,0,1,0,1,2009
59741,"Primghar, IA","Waverly, IA",1,0,0,0,1,0,1,0,0,1,2009
59719,"Primghar, IA","Pomeroy, IA",0,1,0,0,0,1,0,0,1,1,2009
59721,"Primghar, IA","Rake, IA",0,0,1,0,0,1,0,1,0,1,2009
59739,"Primghar, IA","Urbandale, IA",0,0,1,0,1,0,1,0,0,1,2009
59736,"Primghar, IA","Superior, IA",0,1,0,0,1,0,1,0,0,1,2009
