,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
61762,"Rhodes, IA","Marshalltown, IA",55,189,88,119,172,41,53,147,132,332,2009
61678,"Rhodes, IA","Ames, IA",39,129,37,44,135,26,36,64,105,205,2009
61711,"Rhodes, IA","Des Moines, IA",31,82,17,12,95,23,23,34,73,130,2009
61773,"Rhodes, IA","Nevada, IA",27,69,25,58,51,12,23,63,35,121,2009
61679,"Rhodes, IA","Ankeny, IA",18,41,12,10,38,23,12,30,29,71,2009
61814,"Rhodes, IA","State Center, IA",14,33,15,0,56,6,28,17,17,62,2009
61797,"Rhodes, IA","Rhodes, IA",12,29,7,9,36,3,17,12,19,48,2009
61702,"Rhodes, IA","Colo, IA",7,20,12,3,32,4,15,17,7,39,2009
61701,"Rhodes, IA","Clive, IA",14,10,3,0,18,9,11,4,12,27,2009
61825,"Rhodes, IA","Urbandale, IA",9,9,2,1,11,8,9,6,5,20,2009
61695,"Rhodes, IA","Cedar Rapids, IA",7,9,4,0,10,10,9,4,7,20,2009
61677,"Rhodes, IA","Altoona, IA",5,10,4,1,12,6,3,11,5,19,2009
61694,"Rhodes, IA","Cedar Falls, IA",5,9,4,2,11,5,9,5,4,18,2009
61776,"Rhodes, IA","Newton, IA",7,8,2,1,13,3,4,6,7,17,2009
61745,"Rhodes, IA","Johnston, IA",8,7,1,0,5,11,6,2,8,16,2009
61837,"Rhodes, IA","West Des Moines, IA",4,8,3,5,6,4,3,0,12,15,2009
61732,"Rhodes, IA","Haverhill, IA",0,8,5,10,3,0,5,3,5,13,2009
61735,"Rhodes, IA","Hiawatha, IA",4,6,1,1,10,0,4,1,6,11,2009
61831,"Rhodes, IA","Waterloo, IA",6,5,0,2,3,6,7,4,0,11,2009
61729,"Rhodes, IA","Grinnell, IA",0,8,3,4,5,2,1,7,3,11,2009
61822,"Rhodes, IA","Toledo, IA",2,6,3,0,10,1,1,8,2,11,2009
61742,"Rhodes, IA","Iowa City, IA",5,4,1,0,7,3,3,5,2,10,2009
61716,"Rhodes, IA","Eldora, IA",1,7,2,2,6,2,4,2,4,10,2009
61755,"Rhodes, IA","Liscomb, IA",2,7,0,3,0,6,4,4,1,9,2009
