,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
64939,"Schleswig, IA","Denison, IA",62,146,64,85,140,47,77,136,59,272,2009
65005,"Schleswig, IA","Schleswig, IA",16,36,23,24,27,24,51,18,6,75,2009
64933,"Schleswig, IA","Danbury, IA",10,27,10,15,29,3,21,16,10,47,2009
64962,"Schleswig, IA","Ida Grove, IA",8,29,9,16,20,10,17,24,5,46,2009
65010,"Schleswig, IA","Sioux City, IA",7,5,13,1,14,10,8,15,2,25,2009
64929,"Schleswig, IA","Council Bluffs, IA",4,10,5,5,9,5,3,7,9,19,2009
64919,"Schleswig, IA","Carroll, IA",6,7,2,1,9,5,6,8,1,15,2009
65012,"Schleswig, IA","Spencer, IA",0,8,2,1,1,8,3,2,5,10,2009
64940,"Schleswig, IA","Des Moines, IA",2,5,3,1,8,1,2,4,4,10,2009
64991,"Schleswig, IA","Onawa, IA",3,6,1,0,8,2,3,4,3,10,2009
64926,"Schleswig, IA","Clive, IA",5,5,0,0,7,3,5,3,2,10,2009
65016,"Schleswig, IA","Storm Lake, IA",3,5,0,2,4,2,3,5,0,8,2009
65018,"Schleswig, IA","Tennant, IA",3,2,2,0,2,5,2,3,2,7,2009
64958,"Schleswig, IA","Harlan, IA",0,5,2,0,6,1,1,4,2,7,2009
64924,"Schleswig, IA","Charter Oak, IA",2,3,2,1,5,1,5,1,1,7,2009
64949,"Schleswig, IA","Fort Dodge, IA",3,2,1,0,3,3,2,2,2,6,2009
64973,"Schleswig, IA","Le Mars, IA",0,5,1,1,1,4,0,4,2,6,2009
64905,"Schleswig, IA","Adel, IA",0,6,0,0,6,0,0,4,2,6,2009
64977,"Schleswig, IA","Logan, IA",0,5,1,0,6,0,3,2,1,6,2009
65006,"Schleswig, IA","Sergeant Bluff, IA",0,6,0,0,1,5,0,3,3,6,2009
64913,"Schleswig, IA","Arthur, IA",3,3,0,4,0,2,0,6,0,6,2009
65003,"Schleswig, IA","Sac City, IA",1,5,0,3,2,1,1,3,2,6,2009
65011,"Schleswig, IA","Soldier, IA",1,3,1,0,4,1,1,1,3,5,2009
64956,"Schleswig, IA","Greenfield, IA",1,2,2,0,4,1,2,3,0,5,2009
65022,"Schleswig, IA","Wall Lake, IA",0,1,4,1,2,2,3,1,1,5,2009
65023,"Schleswig, IA","Waterloo, IA",1,4,0,2,2,1,0,4,1,5,2009
65027,"Schleswig, IA","Westside, IA",0,2,3,3,1,1,2,3,0,5,2009
64968,"Schleswig, IA","Kiron, IA",2,2,1,2,0,3,1,2,2,5,2009
64910,"Schleswig, IA","Ankeny, IA",1,4,0,0,2,3,0,1,4,5,2009
64914,"Schleswig, IA","Atlantic, IA",2,2,1,0,5,0,3,1,1,5,2009
64909,"Schleswig, IA","Ames, IA",3,1,1,0,3,2,1,3,1,5,2009
65009,"Schleswig, IA","Sioux Center, IA",0,1,3,0,1,3,1,3,0,4,2009
65030,"Schleswig, IA","Wiota, IA",0,4,0,0,4,0,0,4,0,4,2009
64965,"Schleswig, IA","Jefferson, IA",2,2,0,0,1,3,2,2,0,4,2009
64931,"Schleswig, IA","Cushing, IA",0,3,1,3,0,1,0,4,0,4,2009
65025,"Schleswig, IA","Webster City, IA",1,3,0,0,1,3,1,2,1,4,2009
64943,"Schleswig, IA","Dunlap, IA",1,3,0,0,2,2,1,2,1,4,2009
65021,"Schleswig, IA","Urbandale, IA",2,0,2,0,4,0,1,1,2,4,2009
64920,"Schleswig, IA","Castana, IA",2,1,0,1,1,1,2,1,0,3,2009
64959,"Schleswig, IA","Hartley, IA",0,2,1,0,2,1,0,3,0,3,2009
64916,"Schleswig, IA","Boone, IA",2,1,0,1,2,0,1,2,0,3,2009
65002,"Schleswig, IA","Rockwell City, IA",0,3,0,0,1,2,0,1,2,3,2009
64921,"Schleswig, IA","Cedar Rapids, IA",1,1,1,0,3,0,3,0,0,3,2009
64979,"Schleswig, IA","Manilla, IA",0,1,2,0,3,0,0,2,1,3,2009
64945,"Schleswig, IA","Early, IA",0,3,0,2,0,1,0,3,0,3,2009
64934,"Schleswig, IA","Dawson, IA",2,1,0,2,0,1,1,2,0,3,2009
64983,"Schleswig, IA","Mason City, IA",1,2,0,1,0,2,2,1,0,3,2009
64986,"Schleswig, IA","Missouri Valley, IA",1,2,0,0,3,0,3,0,0,3,2009
64992,"Schleswig, IA","Orange City, IA",1,2,0,1,1,1,1,2,0,3,2009
64998,"Schleswig, IA","Red Oak, IA",0,2,0,0,2,0,1,1,0,2,2009
65007,"Schleswig, IA","Shelby, IA",0,2,0,1,0,1,0,2,0,2,2009
65001,"Schleswig, IA","Rock Rapids, IA",0,1,1,0,2,0,2,0,0,2,2009
64997,"Schleswig, IA","Pleasant Hill, IA",0,1,1,0,0,2,0,1,1,2,2009
64970,"Schleswig, IA","Lakeside, IA",0,1,1,2,0,0,0,2,0,2,2009
64969,"Schleswig, IA","Lake City, IA",0,2,0,0,2,0,0,1,1,2,2009
64996,"Schleswig, IA","Perry, IA",0,2,0,2,0,0,1,0,1,2,2009
64966,"Schleswig, IA","Johnston, IA",0,2,0,0,1,1,1,1,0,2,2009
64915,"Schleswig, IA","Audubon, IA",0,2,0,0,2,0,0,0,2,2,2009
64989,"Schleswig, IA","Muscatine, IA",2,0,0,1,0,1,2,0,0,2,2009
64927,"Schleswig, IA","Coralville, IA",2,0,0,0,1,1,2,0,0,2,2009
65026,"Schleswig, IA","West Des Moines, IA",0,2,0,1,1,0,0,1,1,2,2009
64908,"Schleswig, IA","Altoona, IA",1,1,0,0,2,0,1,0,1,2,2009
64960,"Schleswig, IA","Humboldt, IA",0,0,2,1,1,0,1,0,1,2,2009
65008,"Schleswig, IA","Sheldon, IA",1,0,0,0,0,1,1,0,0,1,2009
65019,"Schleswig, IA","Toledo, IA",0,1,0,0,1,0,0,0,1,1,2009
65029,"Schleswig, IA","Windsor Heights, IA",1,0,0,0,1,0,0,0,1,1,2009
64993,"Schleswig, IA","Ottosen, IA",0,1,0,1,0,0,1,0,0,1,2009
65028,"Schleswig, IA","Willey, IA",0,1,0,0,1,0,0,1,0,1,2009
64994,"Schleswig, IA","Palo, IA",0,1,0,0,0,1,0,0,1,1,2009
64995,"Schleswig, IA","Patterson, IA",1,0,0,0,1,0,1,0,0,1,2009
64907,"Schleswig, IA","Algona, IA",1,0,0,0,0,1,1,0,0,1,2009
65024,"Schleswig, IA","Waukee, IA",0,1,0,1,0,0,0,1,0,1,2009
65020,"Schleswig, IA","Underwood, IA",0,0,1,0,1,0,0,1,0,1,2009
65017,"Schleswig, IA","Stuart, IA",0,0,1,0,0,1,0,0,1,1,2009
64999,"Schleswig, IA","Rhodes, IA",1,0,0,0,1,0,0,1,0,1,2009
65000,"Schleswig, IA","Riverside, IA",0,1,0,0,0,1,0,1,0,1,2009
64911,"Schleswig, IA","Arcadia, IA",0,1,0,0,0,1,0,1,0,1,2009
65015,"Schleswig, IA","Stanton, IA",0,1,0,0,1,0,0,1,0,1,2009
64918,"Schleswig, IA","Cambridge, IA",0,1,0,0,0,1,0,0,1,1,2009
65004,"Schleswig, IA","Schaller, IA",1,0,0,0,1,0,0,1,0,1,2009
65014,"Schleswig, IA","Stanhope, IA",0,1,0,0,0,1,0,0,1,1,2009
65013,"Schleswig, IA","Spirit Lake, IA",1,0,0,0,0,1,1,0,0,1,2009
64917,"Schleswig, IA","Buck Grove, IA",0,0,1,0,0,1,1,0,0,1,2009
64912,"Schleswig, IA","Arnolds Park, IA",0,0,1,0,1,0,0,0,1,1,2009
64932,"Schleswig, IA","Dakota City, IA",1,0,0,0,1,0,1,0,0,1,2009
64982,"Schleswig, IA","Marshalltown, IA",0,0,1,0,1,0,0,0,1,1,2009
64990,"Schleswig, IA","Norwalk, IA",0,1,0,0,1,0,0,1,0,1,2009
64957,"Schleswig, IA","Grimes, IA",0,1,0,0,1,0,1,0,0,1,2009
64954,"Schleswig, IA","Grand River, IA",0,1,0,0,1,0,1,0,0,1,2009
64953,"Schleswig, IA","Graettinger, IA",1,0,0,0,1,0,0,1,0,1,2009
64952,"Schleswig, IA","Glenwood, IA",0,0,1,0,1,0,1,0,0,1,2009
64951,"Schleswig, IA","Garner, IA",1,0,0,0,1,0,1,0,0,1,2009
64950,"Schleswig, IA","Fostoria, IA",0,1,0,0,1,0,0,0,1,1,2009
64928,"Schleswig, IA","Corydon, IA",0,0,1,0,0,1,0,1,0,1,2009
64948,"Schleswig, IA","Fairfield, IA",1,0,0,0,0,1,0,1,0,1,2009
64947,"Schleswig, IA","Emmetsburg, IA",0,1,0,0,0,1,1,0,0,1,2009
64946,"Schleswig, IA","Elk Horn, IA",0,1,0,0,1,0,0,0,1,1,2009
64944,"Schleswig, IA","Eagle Grove, IA",0,1,0,0,1,0,0,0,1,1,2009
64942,"Schleswig, IA","Duncombe, IA",0,1,0,0,0,1,0,0,1,1,2009
64941,"Schleswig, IA","Dubuque, IA",0,1,0,0,0,1,1,0,0,1,2009
64930,"Schleswig, IA","Creston, IA",0,1,0,0,0,1,0,1,0,1,2009
64938,"Schleswig, IA","Deloit, IA",0,1,0,1,0,0,0,1,0,1,2009
64937,"Schleswig, IA","Defiance, IA",0,0,1,1,0,0,0,1,0,1,2009
64936,"Schleswig, IA","De Soto, IA",0,0,1,0,0,1,1,0,0,1,2009
64935,"Schleswig, IA","Dayton, IA",0,1,0,0,0,1,0,1,0,1,2009
64955,"Schleswig, IA","Granger, IA",1,0,0,0,0,1,0,0,1,1,2009
64925,"Schleswig, IA","Clear Lake, IA",1,0,0,0,0,1,1,0,0,1,2009
64988,"Schleswig, IA","Murray, IA",0,1,0,0,0,1,0,1,0,1,2009
64961,"Schleswig, IA","Huxley, IA",1,0,0,0,0,1,1,0,0,1,2009
64987,"Schleswig, IA","Moorhead, IA",1,0,0,0,1,0,1,0,0,1,2009
64985,"Schleswig, IA","Meriden, IA",1,0,0,0,0,1,1,0,0,1,2009
64984,"Schleswig, IA","Melcher-Dallas, IA",1,0,0,1,0,0,0,1,0,1,2009
64981,"Schleswig, IA","Mapleton, IA",0,1,0,0,1,0,1,0,0,1,2009
64980,"Schleswig, IA","Manning, IA",0,1,0,0,1,0,0,1,0,1,2009
64978,"Schleswig, IA","Macedonia, IA",1,0,0,0,0,1,1,0,0,1,2009
64976,"Schleswig, IA","Little Rock, IA",0,1,0,1,0,0,0,0,1,1,2009
64975,"Schleswig, IA","Lidderdale, IA",1,0,0,1,0,0,1,0,0,1,2009
64974,"Schleswig, IA","Lewis, IA",0,0,1,1,0,0,0,1,0,1,2009
64922,"Schleswig, IA","Chariton, IA",0,1,0,0,0,1,1,0,0,1,2009
64972,"Schleswig, IA","Laurens, IA",1,0,0,0,1,0,1,0,0,1,2009
64971,"Schleswig, IA","Larrabee, IA",1,0,0,0,0,1,1,0,0,1,2009
64906,"Schleswig, IA","Akron, IA",0,1,0,0,1,0,1,0,0,1,2009
64967,"Schleswig, IA","Kimballton, IA",0,1,0,0,0,1,0,0,1,1,2009
64964,"Schleswig, IA","Irwin, IA",0,1,0,1,0,0,0,1,0,1,2009
