,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
65152,"Sergeant Bluff, IA","Sioux City, IA",462,1185,434,209,1421,451,633,705,743,2081,2009
65146,"Sergeant Bluff, IA","Sergeant Bluff, IA",234,489,180,205,467,231,272,366,265,903,2009
65107,"Sergeant Bluff, IA","Le Mars, IA",12,69,12,38,30,25,10,23,60,93,2009
65060,"Sergeant Bluff, IA","Council Bluffs, IA",13,22,6,1,17,23,15,14,12,41,2009
65067,"Sergeant Bluff, IA","Des Moines, IA",3,18,11,1,26,5,8,8,16,32,2009
65121,"Sergeant Bluff, IA","Moville, IA",6,9,2,3,12,2,8,3,6,17,2009
65089,"Sergeant Bluff, IA","Hinton, IA",1,13,2,4,9,3,5,4,7,16,2009
65115,"Sergeant Bluff, IA","Mason City, IA",5,8,2,0,4,11,8,4,3,15,2009
65056,"Sergeant Bluff, IA","Clive, IA",3,8,3,0,8,6,7,3,4,14,2009
65078,"Sergeant Bluff, IA","Fort Dodge, IA",5,7,2,1,3,10,4,5,5,14,2009
65048,"Sergeant Bluff, IA","Carroll, IA",1,11,2,0,4,10,1,10,3,14,2009
65153,"Sergeant Bluff, IA","Sloan, IA",4,5,4,1,8,4,6,5,2,13,2009
65051,"Sergeant Bluff, IA","Cedar Rapids, IA",4,7,2,0,8,5,5,3,5,13,2009
65106,"Sergeant Bluff, IA","Lawton, IA",3,7,2,2,10,0,8,4,0,12,2009
65164,"Sergeant Bluff, IA","Urbandale, IA",5,5,1,0,6,5,2,7,2,11,2009
65126,"Sergeant Bluff, IA","Onawa, IA",0,9,2,1,10,0,1,3,7,11,2009
65166,"Sergeant Bluff, IA","Waterloo, IA",5,4,1,2,2,6,3,6,1,10,2009
65151,"Sergeant Bluff, IA","Sioux Center, IA",3,6,0,1,3,5,5,3,1,9,2009
65038,"Sergeant Bluff, IA","Ames, IA",3,3,3,0,6,3,3,4,2,9,2009
65154,"Sergeant Bluff, IA","Spencer, IA",2,4,2,0,2,6,1,6,1,8,2009
65118,"Sergeant Bluff, IA","Merrill, IA",2,6,0,0,3,5,1,5,2,8,2009
65157,"Sergeant Bluff, IA","Storm Lake, IA",2,2,3,2,1,4,0,5,2,7,2009
65039,"Sergeant Bluff, IA","Ankeny, IA",3,3,1,0,3,4,3,3,1,7,2009
65148,"Sergeant Bluff, IA","Sheldon, IA",0,6,1,1,3,3,4,1,2,7,2009
65050,"Sergeant Bluff, IA","Cedar Falls, IA",3,3,1,0,4,3,5,2,0,7,2009
65127,"Sergeant Bluff, IA","Orange City, IA",1,3,2,3,2,1,2,2,2,6,2009
65071,"Sergeant Bluff, IA","Elk Run Heights, IA",1,4,1,4,0,2,0,5,1,6,2009
65174,"Sergeant Bluff, IA","Windsor Heights, IA",1,4,1,0,2,4,2,4,0,6,2009
65138,"Sergeant Bluff, IA","Remsen, IA",3,1,1,0,5,0,1,4,0,5,2009
65065,"Sergeant Bluff, IA","Denison, IA",3,2,0,0,1,4,3,1,1,5,2009
65094,"Sergeant Bluff, IA","Iowa City, IA",4,1,0,0,5,0,3,2,0,5,2009
65105,"Sergeant Bluff, IA","Larrabee, IA",4,0,1,1,0,4,2,2,1,5,2009
65092,"Sergeant Bluff, IA","Ida Grove, IA",2,2,1,3,1,1,0,4,1,5,2009
65104,"Sergeant Bluff, IA","Lakeside, IA",2,2,1,3,2,0,1,2,2,5,2009
65171,"Sergeant Bluff, IA","West Des Moines, IA",0,5,0,1,4,0,2,1,2,5,2009
65061,"Sergeant Bluff, IA","Cushing, IA",2,3,0,1,3,1,0,4,1,5,2009
65095,"Sergeant Bluff, IA","Iowa Falls, IA",0,3,1,0,1,3,0,4,0,4,2009
65053,"Sergeant Bluff, IA","Cherokee, IA",1,1,2,1,3,0,1,2,1,4,2009
65129,"Sergeant Bluff, IA","Ottumwa, IA",1,3,0,0,1,3,1,3,0,4,2009
65124,"Sergeant Bluff, IA","Norwalk, IA",1,2,1,0,3,1,0,2,2,4,2009
65045,"Sergeant Bluff, IA","Boone, IA",3,1,0,0,0,4,3,1,0,4,2009
65134,"Sergeant Bluff, IA","Pierson, IA",1,2,1,0,3,1,0,0,4,4,2009
