,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
76376,"Wellman, IA","Washington, IA",21,59,22,27,60,15,41,48,13,102,2009
76333,"Wellman, IA","Iowa City, IA",20,53,14,26,47,14,16,41,30,87,2009
76373,"Wellman, IA","University Heights, IA",9,45,18,3,67,2,6,28,38,72,2009
76334,"Wellman, IA","Kalona, IA",10,24,13,28,11,8,10,28,9,47,2009
76382,"Wellman, IA","Wellman, IA",15,18,12,4,29,12,19,20,6,45,2009
76359,"Wellman, IA","Riverside, IA",15,22,5,10,24,8,18,17,7,42,2009
76299,"Wellman, IA","Cedar Rapids, IA",11,8,2,2,12,7,9,7,5,21,2009
76385,"Wellman, IA","West Chester, IA",4,11,4,3,3,13,6,11,2,19,2009
76350,"Wellman, IA","North Liberty, IA",5,12,0,4,4,9,2,4,11,17,2009
76320,"Wellman, IA","Fairfield, IA",1,10,5,4,11,1,4,8,4,16,2009
76357,"Wellman, IA","Pleasant Plain, IA",3,6,4,6,6,1,6,5,2,13,2009
76345,"Wellman, IA","Mount Pleasant, IA",3,10,0,4,4,5,1,7,5,13,2009
76336,"Wellman, IA","Kinross, IA",3,7,3,6,3,4,7,6,0,13,2009
76335,"Wellman, IA","Keota, IA",1,5,5,1,7,3,2,7,2,11,2009
76306,"Wellman, IA","Coralville, IA",4,5,1,0,8,2,4,6,0,10,2009
76369,"Wellman, IA","Tiffin, IA",6,2,1,3,3,3,4,2,3,9,2009
76330,"Wellman, IA","Hiawatha, IA",2,6,1,4,2,3,1,8,0,9,2009
76346,"Wellman, IA","Muscatine, IA",5,2,2,1,6,2,3,2,4,9,2009
76296,"Wellman, IA","Brighton, IA",2,6,0,2,6,0,3,3,2,8,2009
76317,"Wellman, IA","Ely, IA",2,5,1,0,7,1,6,1,1,8,2009
76308,"Wellman, IA","Davenport, IA",1,3,4,1,4,3,4,4,0,8,2009
76311,"Wellman, IA","Des Moines, IA",0,4,4,1,3,4,3,2,3,8,2009
76353,"Wellman, IA","Ottumwa, IA",1,6,0,0,6,1,2,2,3,7,2009
76387,"Wellman, IA","West Liberty, IA",0,4,0,2,1,1,0,1,3,4,2009
76347,"Wellman, IA","Newton, IA",1,2,1,0,3,1,1,3,0,4,2009
76377,"Wellman, IA","Waterloo, IA",0,2,2,0,3,1,3,0,1,4,2009
76354,"Wellman, IA","Oxford, IA",0,3,1,2,1,1,0,2,2,4,2009
76307,"Wellman, IA","Crawfordsville, IA",0,3,1,3,0,1,0,3,1,4,2009
76312,"Wellman, IA","Dubuque, IA",2,2,0,1,2,1,3,1,0,4,2009
76352,"Wellman, IA","Oskaloosa, IA",2,1,1,2,0,2,1,3,0,4,2009
76314,"Wellman, IA","Eldon, IA",0,2,1,0,1,2,0,2,1,3,2009
76341,"Wellman, IA","Mason City, IA",0,1,2,0,3,0,2,0,1,3,2009
76309,"Wellman, IA","De Witt, IA",2,1,0,1,2,0,2,1,0,3,2009
76318,"Wellman, IA","Evansdale, IA",0,2,1,0,2,1,1,0,2,3,2009
76319,"Wellman, IA","Fairfax, IA",1,1,1,0,1,2,1,2,0,3,2009
76290,"Wellman, IA","Asbury, IA",0,3,0,0,0,3,0,0,3,3,2009
76351,"Wellman, IA","Norwalk, IA",2,1,0,0,1,2,3,0,0,3,2009
76287,"Wellman, IA","Altoona, IA",2,1,0,0,1,2,2,1,0,3,2009
76303,"Wellman, IA","Clive, IA",1,0,2,0,0,3,1,0,2,3,2009
76285,"Wellman, IA","Ainsworth, IA",0,1,1,0,2,0,1,1,0,2,2009
76365,"Wellman, IA","Sigourney, IA",0,0,2,0,2,0,1,1,0,2,2009
76364,"Wellman, IA","Shueyville, IA",1,1,0,1,1,0,1,0,1,2,2009
76349,"Wellman, IA","North English, IA",1,0,1,0,1,1,1,1,0,2,2009
76356,"Wellman, IA","Parnell, IA",1,1,0,0,2,0,1,0,1,2,2009
76370,"Wellman, IA","Tipton, IA",0,1,1,0,1,1,0,1,1,2,2009
76322,"Wellman, IA","Fort Madison, IA",0,1,1,1,1,0,0,1,1,2,2009
76288,"Wellman, IA","Ames, IA",0,2,0,0,2,0,0,1,1,2,2009
76374,"Wellman, IA","University Park, IA",0,2,0,0,1,1,0,0,2,2,2009
76388,"Wellman, IA","Williamsburg, IA",0,2,0,0,1,1,1,0,1,2,2009
76324,"Wellman, IA","Gilman, IA",0,1,1,2,0,0,0,1,1,2,2009
76291,"Wellman, IA","Atkins, IA",1,1,0,0,0,2,0,0,2,2,2009
76295,"Wellman, IA","Blue Grass, IA",0,2,0,2,0,0,0,0,2,2,2009
76297,"Wellman, IA","Bussey, IA",0,2,0,2,0,0,0,1,1,2,2009
76384,"Wellman, IA","West Branch, IA",2,0,0,0,2,0,0,2,0,2,2009
76310,"Wellman, IA","Decorah, IA",0,0,2,1,0,1,0,1,1,2,2009
76300,"Wellman, IA","Clarinda, IA",0,2,0,0,1,1,1,1,0,2,2009
76329,"Wellman, IA","Hedrick, IA",1,1,0,0,1,1,1,1,0,2,2009
76304,"Wellman, IA","Columbus Junction, IA",1,1,0,0,2,0,1,0,1,2,2009
76371,"Wellman, IA","Toledo, IA",0,1,0,1,0,0,0,0,1,1,2009
76362,"Wellman, IA","Sageville, IA",0,0,1,1,0,0,0,0,1,1,2009
76361,"Wellman, IA","Rome, IA",0,1,0,1,0,0,0,1,0,1,2009
76386,"Wellman, IA","West Des Moines, IA",1,0,0,0,1,0,0,1,0,1,2009
76381,"Wellman, IA","Webster City, IA",0,1,0,1,0,0,0,0,1,1,2009
76383,"Wellman, IA","Wellsburg, IA",1,0,0,0,0,1,1,0,0,1,2009
76363,"Wellman, IA","Salem, IA",0,0,1,1,0,0,0,1,0,1,2009
76380,"Wellman, IA","Webb, IA",0,0,1,0,0,1,0,1,0,1,2009
76379,"Wellman, IA","Wayland, IA",1,0,0,1,0,0,0,1,0,1,2009
76366,"Wellman, IA","Sioux City, IA",0,1,0,0,0,1,0,1,0,1,2009
76367,"Wellman, IA","Solon, IA",0,1,0,0,1,0,1,0,0,1,2009
76368,"Wellman, IA","Sumner, IA",0,1,0,0,0,1,0,1,0,1,2009
76378,"Wellman, IA","Waverly, IA",0,1,0,0,0,1,1,0,0,1,2009
76375,"Wellman, IA","Urbana, IA",1,0,0,1,0,0,0,1,0,1,2009
76372,"Wellman, IA","Traer, IA",0,1,0,0,1,0,0,0,1,1,2009
76360,"Wellman, IA","Robins, IA",1,0,0,0,1,0,0,1,0,1,2009
76337,"Wellman, IA","Lisbon, IA",0,1,0,0,0,1,0,0,1,1,2009
76358,"Wellman, IA","Richland, IA",0,1,0,0,0,1,0,1,0,1,2009
76355,"Wellman, IA","Palo, IA",1,0,0,0,1,0,1,0,0,1,2009
76289,"Wellman, IA","Ankeny, IA",0,1,0,0,1,0,0,0,1,1,2009
76292,"Wellman, IA","Atlantic, IA",0,1,0,0,1,0,1,0,0,1,2009
76293,"Wellman, IA","Bettendorf, IA",1,0,0,0,0,1,1,0,0,1,2009
76294,"Wellman, IA","Bloomfield, IA",1,0,0,0,1,0,1,0,0,1,2009
76298,"Wellman, IA","Cedar Falls, IA",1,0,0,0,0,1,0,1,0,1,2009
76301,"Wellman, IA","Clear Lake, IA",1,0,0,0,0,1,1,0,0,1,2009
76302,"Wellman, IA","Clinton, IA",0,1,0,1,0,0,0,1,0,1,2009
76305,"Wellman, IA","Conesville, IA",0,1,0,1,0,0,0,0,1,1,2009
76313,"Wellman, IA","Dyersville, IA",0,1,0,0,0,1,0,1,0,1,2009
76315,"Wellman, IA","Eldridge, IA",0,1,0,0,1,0,0,1,0,1,2009
76316,"Wellman, IA","Elk Run Heights, IA",0,1,0,1,0,0,0,1,0,1,2009
76321,"Wellman, IA","Fort Dodge, IA",1,0,0,0,1,0,0,1,0,1,2009
76323,"Wellman, IA","Fremont, IA",0,1,0,1,0,0,0,1,0,1,2009
76325,"Wellman, IA","Greeley, IA",0,0,1,1,0,0,0,1,0,1,2009
76326,"Wellman, IA","Grinnell, IA",1,0,0,0,0,1,0,1,0,1,2009
76327,"Wellman, IA","Guernsey, IA",0,1,0,0,0,1,0,1,0,1,2009
76328,"Wellman, IA","Hampton, IA",1,0,0,0,0,1,1,0,0,1,2009
76331,"Wellman, IA","Hudson, IA",1,0,0,0,1,0,1,0,0,1,2009
76332,"Wellman, IA","Indianola, IA",0,1,0,0,0,1,0,1,0,1,2009
