,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
76683,"West Branch, IA","Iowa City, IA",65,203,65,93,198,42,57,128,148,333,2009
76735,"West Branch, IA","University Heights, IA",22,137,75,2,223,9,21,76,137,234,2009
76740,"West Branch, IA","West Branch, IA",39,71,31,53,66,22,49,64,28,141,2009
76734,"West Branch, IA","Tipton, IA",23,40,38,20,64,17,27,52,22,101,2009
76705,"West Branch, IA","Muscatine, IA",12,47,11,27,37,6,14,25,31,70,2009
76746,"West Branch, IA","Wilton, IA",11,36,20,38,20,9,8,26,33,67,2009
76644,"West Branch, IA","Cedar Rapids, IA",9,38,7,10,36,8,12,11,31,54,2009
76709,"West Branch, IA","North Liberty, IA",12,28,9,4,29,16,7,25,17,49,2009
76633,"West Branch, IA","Atalissa, IA",8,23,17,9,27,12,14,20,14,48,2009
76653,"West Branch, IA","Coralville, IA",13,28,7,2,34,12,15,15,18,48,2009
76656,"West Branch, IA","Davenport, IA",2,24,9,9,19,7,6,9,20,35,2009
76636,"West Branch, IA","Bennett, IA",5,20,7,13,9,10,10,18,4,32,2009
76733,"West Branch, IA","Tiffin, IA",11,17,4,6,16,10,8,19,5,32,2009
76743,"West Branch, IA","West Liberty, IA",4,17,8,10,14,5,8,15,6,29,2009
76680,"West Branch, IA","Hiawatha, IA",7,15,6,8,14,6,8,13,7,28,2009
76661,"West Branch, IA","Dubuque, IA",6,9,2,0,13,4,10,5,2,17,2009
76637,"West Branch, IA","Bettendorf, IA",4,7,3,0,8,6,6,6,2,14,2009
76659,"West Branch, IA","Des Moines, IA",3,8,2,0,6,7,3,4,6,13,2009
76664,"West Branch, IA","Eldridge, IA",2,8,2,3,0,9,4,3,5,12,2009
76738,"West Branch, IA","Waterloo, IA",6,5,1,1,7,4,4,6,2,12,2009
76689,"West Branch, IA","Lone Tree, IA",4,3,3,0,2,8,4,4,2,10,2009
76666,"West Branch, IA","Ely, IA",1,6,3,0,10,0,4,4,2,10,2009
76724,"West Branch, IA","Riverside, IA",4,5,1,1,6,3,2,6,2,10,2009
76647,"West Branch, IA","Clarence, IA",3,4,1,3,3,2,1,6,1,8,2009
76667,"West Branch, IA","Fairfax, IA",1,5,1,1,1,5,4,2,1,7,2009
76638,"West Branch, IA","Blue Grass, IA",0,6,1,6,0,1,1,2,4,7,2009
76629,"West Branch, IA","Ames, IA",5,1,0,0,6,0,3,2,1,6,2009
76708,"West Branch, IA","Nichols, IA",3,0,3,1,1,4,2,2,2,6,2009
76725,"West Branch, IA","Robins, IA",1,5,0,0,3,3,3,1,2,6,2009
76731,"West Branch, IA","Solon, IA",5,0,1,1,5,0,2,4,0,6,2009
76662,"West Branch, IA","Durant, IA",1,2,3,1,2,3,1,3,2,6,2009
76695,"West Branch, IA","Maquoketa, IA",0,5,0,0,3,2,0,2,3,5,2009
76700,"West Branch, IA","Mechanicsville, IA",0,3,2,2,3,0,0,4,1,5,2009
76736,"West Branch, IA","Urbandale, IA",2,3,0,1,2,2,3,1,1,5,2009
76670,"West Branch, IA","Fort Atkinson, IA",2,3,0,0,5,0,0,2,3,5,2009
76686,"West Branch, IA","Kalona, IA",1,3,1,1,4,0,3,2,0,5,2009
76643,"West Branch, IA","Cedar Falls, IA",1,4,0,2,1,2,1,2,2,5,2009
76631,"West Branch, IA","Ankeny, IA",1,1,3,1,1,3,2,2,1,5,2009
76739,"West Branch, IA","Waverly, IA",2,0,2,1,1,2,2,2,0,4,2009
76745,"West Branch, IA","Wheatland, IA",0,2,2,1,3,0,3,0,1,4,2009
76649,"West Branch, IA","Clinton, IA",3,1,0,0,4,0,3,1,0,4,2009
76671,"West Branch, IA","Fort Dodge, IA",1,3,0,1,2,1,3,0,1,4,2009
76741,"West Branch, IA","West Burlington, IA",2,2,0,0,0,4,0,3,1,4,2009
76632,"West Branch, IA","Asbury, IA",2,1,0,2,1,0,1,1,1,3,2009
76697,"West Branch, IA","Marion, IA",1,1,1,0,2,1,1,0,2,3,2009
76702,"West Branch, IA","Morley, IA",1,1,1,0,2,1,2,1,0,3,2009
76692,"West Branch, IA","Lowden, IA",3,0,0,1,0,2,0,3,0,3,2009
76691,"West Branch, IA","Low Moor, IA",1,2,0,0,2,1,2,0,1,3,2009
76703,"West Branch, IA","Mount Pleasant, IA",1,0,2,0,0,3,1,1,1,3,2009
76706,"West Branch, IA","New Liberty, IA",0,1,2,0,0,3,0,0,3,3,2009
76698,"West Branch, IA","Marshalltown, IA",1,0,2,0,1,2,3,0,0,3,2009
76673,"West Branch, IA","Fruitland, IA",0,1,2,0,3,0,0,0,3,3,2009
76712,"West Branch, IA","Oxford, IA",0,1,2,1,1,1,0,1,2,3,2009
76654,"West Branch, IA","Council Bluffs, IA",1,2,0,0,2,1,1,1,1,3,2009
76723,"West Branch, IA","Riverdale, IA",0,2,0,0,2,0,0,2,0,2,2009
76675,"West Branch, IA","Grand Mound, IA",0,1,1,2,0,0,0,2,0,2,2009
76658,"West Branch, IA","Decorah, IA",0,1,1,1,0,1,0,2,0,2,2009
76694,"West Branch, IA","Manchester, IA",1,1,0,1,0,1,0,2,0,2,2009
76668,"West Branch, IA","Fairfield, IA",1,1,0,0,1,1,0,1,1,2,2009
76650,"West Branch, IA","Clive, IA",2,0,0,0,0,2,2,0,0,2,2009
76688,"West Branch, IA","Lisbon, IA",1,0,1,0,1,1,2,0,0,2,2009
76672,"West Branch, IA","Fort Madison, IA",1,1,0,0,2,0,1,0,1,2,2009
76639,"West Branch, IA","Burlington, IA",1,0,1,0,2,0,0,2,0,2,2009
76651,"West Branch, IA","Columbus Junction, IA",0,2,0,0,2,0,1,0,1,2,2009
76635,"West Branch, IA","Bellevue, IA",1,0,1,1,1,0,1,0,1,2,2009
76641,"West Branch, IA","Carroll, IA",0,2,0,1,0,1,1,0,1,2,2009
76722,"West Branch, IA","Ridgeway, IA",0,1,0,0,1,0,1,0,0,1,2009
76721,"West Branch, IA","Raymond, IA",0,1,0,0,1,0,0,1,0,1,2009
76718,"West Branch, IA","Pleasanton, IA",0,1,0,0,0,1,1,0,0,1,2009
76720,"West Branch, IA","Randolph, IA",0,0,1,0,1,0,1,0,0,1,2009
76717,"West Branch, IA","Pleasant Hill, IA",1,0,0,0,0,1,1,0,0,1,2009
76642,"West Branch, IA","Cascade, IA",0,1,0,0,1,0,0,1,0,1,2009
76719,"West Branch, IA","Protivin, IA",0,1,0,0,0,1,0,1,0,1,2009
76660,"West Branch, IA","Dike, IA",0,1,0,1,0,0,1,0,0,1,2009
76726,"West Branch, IA","Roland, IA",0,0,1,0,0,1,0,1,0,1,2009
76727,"West Branch, IA","Sageville, IA",0,1,0,1,0,0,0,0,1,1,2009
76728,"West Branch, IA","Shannon City, IA",0,1,0,0,0,1,0,0,1,1,2009
76729,"West Branch, IA","Shueyville, IA",1,0,0,0,0,1,1,0,0,1,2009
76715,"West Branch, IA","Peosta, IA",0,1,0,1,0,0,0,1,0,1,2009
76730,"West Branch, IA","Sioux Center, IA",0,1,0,1,0,0,1,0,0,1,2009
76640,"West Branch, IA","Bussey, IA",0,1,0,1,0,0,0,0,1,1,2009
76732,"West Branch, IA","Sumner, IA",0,0,1,0,0,1,0,1,0,1,2009
76634,"West Branch, IA","Atlantic, IA",0,1,0,0,0,1,0,1,0,1,2009
76737,"West Branch, IA","Victor, IA",0,1,0,1,0,0,0,1,0,1,2009
76630,"West Branch, IA","Anamosa, IA",0,0,1,0,1,0,0,1,0,1,2009
76742,"West Branch, IA","West Des Moines, IA",1,0,0,0,0,1,1,0,0,1,2009
76628,"West Branch, IA","Altoona, IA",0,1,0,0,1,0,1,0,0,1,2009
76744,"West Branch, IA","West Union, IA",0,1,0,1,0,0,0,1,0,1,2009
76716,"West Branch, IA","Plano, IA",1,0,0,0,1,0,1,0,0,1,2009
76704,"West Branch, IA","Mount Vernon, IA",1,0,0,0,1,0,1,0,0,1,2009
76714,"West Branch, IA","Pella, IA",0,0,1,0,0,1,0,1,0,1,2009
76685,"West Branch, IA","Jesup, IA",1,0,0,0,0,1,1,0,0,1,2009
76665,"West Branch, IA","Elk Run Heights, IA",0,0,1,1,0,0,0,1,0,1,2009
76657,"West Branch, IA","De Witt, IA",0,1,0,0,1,0,0,1,0,1,2009
76655,"West Branch, IA","Creston, IA",0,0,1,0,0,1,0,1,0,1,2009
76669,"West Branch, IA","Farley, IA",0,1,0,1,0,0,0,0,1,1,2009
76674,"West Branch, IA","Goldfield, IA",0,1,0,0,0,1,1,0,0,1,2009
76676,"West Branch, IA","Grandview, IA",0,1,0,1,0,0,0,0,1,1,2009
76677,"West Branch, IA","Gray, IA",0,0,1,1,0,0,1,0,0,1,2009
76678,"West Branch, IA","Greeley, IA",1,0,0,1,0,0,0,1,0,1,2009
76679,"West Branch, IA","Grimes, IA",0,1,0,0,0,1,0,1,0,1,2009
76652,"West Branch, IA","Conesville, IA",0,1,0,1,0,0,0,0,1,1,2009
76681,"West Branch, IA","Hills, IA",0,1,0,0,0,1,0,0,1,1,2009
76682,"West Branch, IA","Humboldt, IA",0,1,0,1,0,0,0,0,1,1,2009
76684,"West Branch, IA","Iowa Falls, IA",0,1,0,0,0,1,1,0,0,1,2009
76627,"West Branch, IA","Algona, IA",1,0,0,0,0,1,1,0,0,1,2009
76713,"West Branch, IA","Panorama Park, IA",0,1,0,1,0,0,0,0,1,1,2009
76687,"West Branch, IA","Keokuk, IA",0,0,1,0,0,1,1,0,0,1,2009
76690,"West Branch, IA","Long Grove, IA",1,0,0,1,0,0,0,1,0,1,2009
76693,"West Branch, IA","Luana, IA",0,1,0,1,0,0,0,1,0,1,2009
76696,"West Branch, IA","Marengo, IA",0,1,0,0,0,1,0,0,1,1,2009
76699,"West Branch, IA","Mason City, IA",0,1,0,0,0,1,0,1,0,1,2009
76648,"West Branch, IA","Clarinda, IA",1,0,0,0,1,0,1,0,0,1,2009
76701,"West Branch, IA","Monticello, IA",0,1,0,0,1,0,0,0,1,1,2009
76663,"West Branch, IA","Dyersville, IA",0,1,0,0,0,1,0,1,0,1,2009
76646,"West Branch, IA","Cherokee, IA",1,0,0,0,1,0,1,0,0,1,2009
76707,"West Branch, IA","Newton, IA",1,0,0,0,1,0,1,0,0,1,2009
76645,"West Branch, IA","Charles City, IA",1,0,0,0,1,0,0,1,0,1,2009
76710,"West Branch, IA","Oelwein, IA",1,0,0,1,0,0,0,1,0,1,2009
76711,"West Branch, IA","Ottumwa, IA",1,0,0,1,0,0,0,0,1,1,2009
76626,"West Branch, IA","Albia, IA",0,0,1,0,0,1,1,0,0,1,2009
