,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
77605,"West Union, IA","West Union, IA",110,328,169,114,373,120,213,260,134,607,2009
77571,"West Union, IA","Randalia, IA",20,29,11,7,43,10,20,33,7,60,2009
77503,"West Union, IA","Decorah, IA",12,30,12,22,28,4,11,28,15,54,2009
77521,"West Union, IA","Fort Atkinson, IA",6,16,11,4,26,3,12,14,7,33,2009
77489,"West Union, IA","Cedar Falls, IA",17,12,4,8,18,7,16,9,8,33,2009
77597,"West Union, IA","Waterloo, IA",11,14,7,4,22,6,14,11,7,32,2009
77568,"West Union, IA","Postville, IA",5,17,3,7,13,5,7,11,7,25,2009
77546,"West Union, IA","Luana, IA",5,18,1,5,15,4,11,8,5,24,2009
77582,"West Union, IA","St. Lucas, IA",8,12,2,17,1,4,10,8,4,22,2009
77513,"West Union, IA","Elkader, IA",5,12,4,1,19,1,3,12,6,21,2009
77490,"West Union, IA","Cedar Rapids, IA",4,14,1,1,12,6,7,4,8,19,2009
77562,"West Union, IA","Oelwein, IA",8,8,2,4,10,4,5,8,5,18,2009
77600,"West Union, IA","Waukon, IA",6,10,2,2,13,3,7,10,1,18,2009
77488,"West Union, IA","Castalia, IA",4,8,3,3,9,3,6,4,5,15,2009
77598,"West Union, IA","Waucoma, IA",3,7,4,4,5,5,6,7,1,14,2009
77550,"West Union, IA","Marshalltown, IA",4,7,3,5,6,3,1,8,5,14,2009
77507,"West Union, IA","Dubuque, IA",6,7,0,0,10,3,5,3,5,13,2009
77505,"West Union, IA","Des Moines, IA",3,8,2,0,12,1,3,7,3,13,2009
77551,"West Union, IA","Mason City, IA",4,5,4,0,12,1,1,6,6,13,2009
77511,"West Union, IA","Elgin, IA",3,6,3,2,5,5,9,1,2,12,2009
77520,"West Union, IA","Fayette, IA",0,6,5,7,4,0,1,7,3,11,2009
77500,"West Union, IA","Cresco, IA",3,3,3,2,7,0,4,5,0,9,2009
77539,"West Union, IA","Independence, IA",2,7,0,4,5,0,2,3,4,9,2009
77593,"West Union, IA","Vinton, IA",1,5,3,1,5,3,2,4,3,9,2009
77601,"West Union, IA","Waverly, IA",2,6,1,1,8,0,3,6,0,9,2009
77587,"West Union, IA","Sumner, IA",2,4,2,8,0,0,0,8,0,8,2009
77478,"West Union, IA","Ames, IA",2,3,3,0,4,4,2,4,2,8,2009
77516,"West Union, IA","Evansdale, IA",1,6,0,4,2,1,3,4,0,7,2009
77522,"West Union, IA","Fort Dodge, IA",2,4,1,3,2,2,1,1,5,7,2009
77560,"West Union, IA","New Hampton, IA",1,5,1,3,2,2,0,3,4,7,2009
77481,"West Union, IA","Asbury, IA",2,3,2,0,4,3,4,0,3,7,2009
77480,"West Union, IA","Arlington, IA",2,4,1,0,4,3,5,1,1,7,2009
77584,"West Union, IA","Stanley, IA",0,7,0,0,3,4,0,1,6,7,2009
77512,"West Union, IA","Elk Run Heights, IA",1,6,0,7,0,0,0,2,5,7,2009
77583,"West Union, IA","St. Olaf, IA",0,4,2,6,0,0,0,0,6,6,2009
77523,"West Union, IA","Fredericksburg, IA",0,6,0,6,0,0,0,3,3,6,2009
77534,"West Union, IA","Hawkeye, IA",2,2,1,0,3,2,2,2,1,5,2009
77590,"West Union, IA","Toledo, IA",0,3,2,1,3,1,2,1,2,5,2009
77547,"West Union, IA","Manchester, IA",0,4,1,0,5,0,0,4,1,5,2009
77494,"West Union, IA","Clear Lake, IA",0,5,0,4,1,0,1,4,0,5,2009
77581,"West Union, IA","St. Ansgar, IA",1,3,0,1,3,0,3,1,0,4,2009
77594,"West Union, IA","Wadena, IA",1,2,1,3,1,0,2,2,0,4,2009
77553,"West Union, IA","Monona, IA",1,1,2,0,1,3,3,0,1,4,2009
77572,"West Union, IA","Raymond, IA",1,3,0,0,4,0,2,2,0,4,2009
77570,"West Union, IA","Protivin, IA",1,1,2,0,2,2,1,1,2,4,2009
77586,"West Union, IA","Strawberry Point, IA",2,2,0,3,0,1,0,4,0,4,2009
77502,"West Union, IA","Davenport, IA",1,2,1,0,1,3,1,2,1,4,2009
77541,"West Union, IA","Iowa Falls, IA",3,0,0,3,0,0,0,0,3,3,2009
77549,"West Union, IA","Marengo, IA",0,3,0,0,3,0,1,2,0,3,2009
77574,"West Union, IA","Ridgeway, IA",0,2,1,1,2,0,2,1,0,3,2009
77555,"West Union, IA","Monticello, IA",2,0,1,0,3,0,2,1,0,3,2009
77561,"West Union, IA","Northwood, IA",0,1,2,3,0,0,2,1,0,3,2009
77542,"West Union, IA","Johnston, IA",1,2,0,0,3,0,0,1,2,3,2009
77604,"West Union, IA","West Des Moines, IA",1,2,0,0,2,1,0,1,2,3,2009
77506,"West Union, IA","Dike, IA",0,2,0,0,2,0,0,2,0,2,2009
77540,"West Union, IA","Iowa City, IA",1,1,0,0,0,2,1,0,1,2,2009
77487,"West Union, IA","Bussey, IA",0,1,1,0,2,0,0,1,1,2,2009
77496,"West Union, IA","Clive, IA",1,1,0,0,1,1,2,0,0,2,2009
77602,"West Union, IA","Wellsburg, IA",1,1,0,0,1,1,1,1,0,2,2009
77498,"West Union, IA","Coralville, IA",2,0,0,0,1,1,1,1,0,2,2009
77558,"West Union, IA","Muscatine, IA",0,1,1,0,2,0,1,1,0,2,2009
77559,"West Union, IA","New Albin, IA",1,0,1,0,2,0,0,1,1,2,2009
77579,"West Union, IA","Shell Rock, IA",1,1,0,1,0,1,2,0,0,2,2009
77607,"West Union, IA","Windsor Heights, IA",0,2,0,0,2,0,0,2,0,2,2009
77492,"West Union, IA","Charles City, IA",0,1,1,0,1,1,0,2,0,2,2009
77508,"West Union, IA","Dyersville, IA",0,0,2,1,0,1,0,0,2,2,2009
77484,"West Union, IA","Boone, IA",2,0,0,0,0,2,1,1,0,2,2009
77483,"West Union, IA","Bettendorf, IA",1,1,0,0,2,0,0,1,1,2,2009
77536,"West Union, IA","Hiawatha, IA",1,1,0,0,2,0,0,2,0,2,2009
77517,"West Union, IA","Fairbank, IA",1,1,0,1,1,0,0,0,2,2,2009
77524,"West Union, IA","Garnavillo, IA",1,1,0,1,1,0,0,1,1,2,2009
77482,"West Union, IA","Bellevue, IA",0,1,1,1,1,0,0,1,1,2,2009
77479,"West Union, IA","Ankeny, IA",0,2,0,1,1,0,0,0,2,2,2009
77565,"West Union, IA","Peosta, IA",0,2,0,0,1,1,1,0,1,2,2009
77606,"West Union, IA","Westside, IA",0,1,0,0,1,0,1,0,0,1,2009
77573,"West Union, IA","Rhodes, IA",0,1,0,0,1,0,0,0,1,1,2009
77588,"West Union, IA","Swisher, IA",0,1,0,0,0,1,0,1,0,1,2009
77576,"West Union, IA","Riverside, IA",0,1,0,0,0,1,0,0,1,1,2009
77575,"West Union, IA","Riverdale, IA",0,1,0,1,0,0,0,0,1,1,2009
77603,"West Union, IA","West Burlington, IA",1,0,0,0,1,0,1,0,0,1,2009
77589,"West Union, IA","Tiffin, IA",0,0,1,0,0,1,0,0,1,1,2009
77599,"West Union, IA","Waukee, IA",0,1,0,0,1,0,0,1,0,1,2009
77577,"West Union, IA","Robins, IA",0,1,0,0,0,1,0,0,1,1,2009
77578,"West Union, IA","Rockford, IA",1,0,0,0,1,0,1,0,0,1,2009
77580,"West Union, IA","Shueyville, IA",1,0,0,0,1,0,0,0,1,1,2009
77596,"West Union, IA","Walford, IA",1,0,0,1,0,0,0,1,0,1,2009
77595,"West Union, IA","Walcott, IA",0,1,0,0,0,1,0,0,1,1,2009
77592,"West Union, IA","University Park, IA",1,0,0,0,1,0,0,1,0,1,2009
77585,"West Union, IA","Story City, IA",0,1,0,0,1,0,0,1,0,1,2009
77591,"West Union, IA","University Heights, IA",0,1,0,0,1,0,0,0,1,1,2009
77569,"West Union, IA","Primghar, IA",0,1,0,1,0,0,0,1,0,1,2009
77476,"West Union, IA","Albion, IA",0,1,0,1,0,0,0,1,0,1,2009
77567,"West Union, IA","Pleasant Hill, IA",1,0,0,0,0,1,1,0,0,1,2009
77528,"West Union, IA","Greeley, IA",0,1,0,0,1,0,0,0,1,1,2009
77526,"West Union, IA","Gilman, IA",0,0,1,1,0,0,0,0,1,1,2009
77525,"West Union, IA","Garner, IA",1,0,0,0,0,1,0,0,1,1,2009
77519,"West Union, IA","Fairfield, IA",0,1,0,1,0,0,0,0,1,1,2009
77518,"West Union, IA","Fairfax, IA",1,0,0,0,0,1,1,0,0,1,2009
77515,"West Union, IA","Ely, IA",0,1,0,0,1,0,0,1,0,1,2009
77514,"West Union, IA","Elma, IA",0,0,1,0,1,0,1,0,0,1,2009
77510,"West Union, IA","Eldridge, IA",0,1,0,0,1,0,0,1,0,1,2009
77509,"West Union, IA","Eldora, IA",0,0,1,0,0,1,0,0,1,1,2009
77504,"West Union, IA","Denver, IA",0,1,0,0,1,0,1,0,0,1,2009
77501,"West Union, IA","Crystal Lake, IA",1,0,0,0,0,1,1,0,0,1,2009
77499,"West Union, IA","Council Bluffs, IA",0,1,0,0,1,0,1,0,0,1,2009
77497,"West Union, IA","Conrad, IA",0,1,0,0,1,0,0,0,1,1,2009
77495,"West Union, IA","Clinton, IA",0,1,0,0,1,0,0,0,1,1,2009
77493,"West Union, IA","Clarksville, IA",0,1,0,0,0,1,0,1,0,1,2009
77491,"West Union, IA","Chariton, IA",0,0,1,0,0,1,0,1,0,1,2009
77486,"West Union, IA","Burlington, IA",0,1,0,0,1,0,1,0,0,1,2009
77485,"West Union, IA","Brooklyn, IA",0,1,0,1,0,0,0,0,1,1,2009
77527,"West Union, IA","Grandview, IA",1,0,0,0,0,1,1,0,0,1,2009
77529,"West Union, IA","Greenville, IA",0,0,1,0,0,1,0,0,1,1,2009
77566,"West Union, IA","Perry, IA",0,1,0,0,0,1,1,0,0,1,2009
77530,"West Union, IA","Grimes, IA",0,0,1,0,0,1,1,0,0,1,2009
77564,"West Union, IA","Parkersburg, IA",0,1,0,0,1,0,1,0,0,1,2009
77563,"West Union, IA","Palo, IA",0,0,1,0,1,0,1,0,0,1,2009
77557,"West Union, IA","Murray, IA",0,1,0,0,1,0,0,1,0,1,2009
77556,"West Union, IA","Mount Vernon, IA",0,1,0,0,1,0,0,1,0,1,2009
77554,"West Union, IA","Monroe, IA",0,1,0,0,1,0,1,0,0,1,2009
77552,"West Union, IA","Melcher-Dallas, IA",1,0,0,0,1,0,0,1,0,1,2009
77548,"West Union, IA","Maquoketa, IA",0,1,0,0,0,1,0,0,1,1,2009
77545,"West Union, IA","Lisbon, IA",0,1,0,0,1,0,1,0,0,1,2009
77544,"West Union, IA","Lime Springs, IA",0,1,0,0,1,0,0,0,1,1,2009
77543,"West Union, IA","Lakeside, IA",0,1,0,0,0,1,0,1,0,1,2009
77477,"West Union, IA","Allison, IA",0,0,1,0,1,0,0,1,0,1,2009
77538,"West Union, IA","Humboldt, IA",0,0,1,0,1,0,1,0,0,1,2009
77537,"West Union, IA","Hudson, IA",0,0,1,0,1,0,1,0,0,1,2009
77535,"West Union, IA","Hazleton, IA",0,1,0,0,0,1,1,0,0,1,2009
77533,"West Union, IA","Guttenberg, IA",0,1,0,0,1,0,1,0,0,1,2009
77532,"West Union, IA","Grundy Center, IA",0,1,0,0,1,0,0,1,0,1,2009
77531,"West Union, IA","Grinnell, IA",0,0,1,0,0,1,0,1,0,1,2009
77608,"West Union, IA","Zwingle, IA",0,0,1,0,0,1,0,1,0,1,2009
