,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
78001,"Whittemore, IA","Algona, IA",77,263,86,125,228,73,94,190,142,426,2009
78116,"Whittemore, IA","Whittemore, IA",27,51,22,37,29,34,27,60,13,100,2009
78113,"Whittemore, IA","West Bend, IA",9,14,13,9,27,0,21,8,7,36,2009
78045,"Whittemore, IA","Fort Dodge, IA",9,15,4,3,15,10,9,13,6,28,2009
78022,"Whittemore, IA","Curlew, IA",6,12,6,14,6,4,5,13,6,24,2009
78071,"Whittemore, IA","Mason City, IA",1,11,6,0,14,4,2,7,9,18,2009
78028,"Whittemore, IA","Des Moines, IA",1,14,2,0,12,5,4,5,8,17,2009
78055,"Whittemore, IA","Humboldt, IA",3,12,1,8,6,2,6,5,5,16,2009
78050,"Whittemore, IA","Graettinger, IA",1,14,0,7,2,6,0,8,7,15,2009
78102,"Whittemore, IA","Swea City, IA",7,5,1,7,5,1,1,11,1,13,2009
78017,"Whittemore, IA","Clive, IA",9,1,2,0,6,6,6,4,2,12,2009
78012,"Whittemore, IA","Cedar Falls, IA",8,1,0,1,2,6,6,1,2,9,2009
78002,"Whittemore, IA","Ames, IA",2,4,3,1,5,3,3,2,4,9,2009
78024,"Whittemore, IA","Davenport, IA",4,2,2,0,5,3,4,4,0,8,2009
78044,"Whittemore, IA","Forest City, IA",3,3,1,1,6,0,3,4,0,7,2009
78112,"Whittemore, IA","Webster City, IA",3,2,2,6,0,1,5,2,0,7,2009
78003,"Whittemore, IA","Ankeny, IA",2,3,2,0,1,6,1,4,2,7,2009
78070,"Whittemore, IA","Marshalltown, IA",2,3,1,0,2,4,0,2,4,6,2009
78110,"Whittemore, IA","Waterloo, IA",0,4,1,2,1,2,2,1,2,5,2009
78057,"Whittemore, IA","Iowa City, IA",0,4,0,3,1,0,1,0,3,4,2009
78020,"Whittemore, IA","Council Bluffs, IA",3,0,1,1,0,3,2,2,0,4,2009
78062,"Whittemore, IA","Lake Mills, IA",1,3,0,2,2,0,1,2,1,4,2009
78064,"Whittemore, IA","Le Mars, IA",1,3,0,1,3,0,1,1,2,4,2009
78013,"Whittemore, IA","Cedar Rapids, IA",3,1,0,0,3,1,2,2,0,4,2009
78030,"Whittemore, IA","Dubuque, IA",2,2,0,0,3,1,2,1,1,4,2009
78103,"Whittemore, IA","Titonka, IA",2,2,0,0,1,3,3,1,0,4,2009
78037,"Whittemore, IA","Emmetsburg, IA",1,1,1,0,2,1,1,2,0,3,2009
78038,"Whittemore, IA","Estherville, IA",0,2,1,0,1,2,2,0,1,3,2009
78117,"Whittemore, IA","Woden, IA",0,1,2,0,2,1,1,2,0,3,2009
78066,"Whittemore, IA","Livermore, IA",2,0,1,0,1,2,0,2,1,3,2009
78027,"Whittemore, IA","Denver, IA",1,2,0,2,1,0,0,2,1,3,2009
78048,"Whittemore, IA","Garner, IA",1,1,1,1,2,0,0,3,0,3,2009
78111,"Whittemore, IA","Waverly, IA",0,3,0,1,1,1,0,0,3,3,2009
78084,"Whittemore, IA","Pleasant Hill, IA",2,1,0,0,0,3,1,0,2,3,2009
78106,"Whittemore, IA","Urbandale, IA",0,2,1,0,3,0,3,0,0,3,2009
78074,"Whittemore, IA","New Hampton, IA",0,2,0,1,1,0,0,0,2,2,2009
78080,"Whittemore, IA","Osceola, IA",0,2,0,1,1,0,0,2,0,2,2009
78075,"Whittemore, IA","Newton, IA",2,0,0,0,0,2,1,1,0,2,2009
78090,"Whittemore, IA","Rutland, IA",0,2,0,1,0,1,0,2,0,2,2009
78053,"Whittemore, IA","Hartley, IA",0,2,0,2,0,0,0,0,2,2,2009
78081,"Whittemore, IA","Ottosen, IA",0,1,1,1,0,1,1,1,0,2,2009
78056,"Whittemore, IA","Independence, IA",1,1,0,0,2,0,1,1,0,2,2009
78083,"Whittemore, IA","Owasa, IA",0,2,0,1,1,0,0,0,2,2,2009
78067,"Whittemore, IA","Lone Rock, IA",1,1,0,0,1,1,0,1,1,2,2009
78060,"Whittemore, IA","Johnston, IA",0,2,0,0,2,0,0,0,2,2,2009
78085,"Whittemore, IA","Pocahontas, IA",0,1,1,0,2,0,0,1,1,2,2009
78092,"Whittemore, IA","Sheldon, IA",0,1,1,1,1,0,1,0,1,2,2009
78098,"Whittemore, IA","St. Ansgar, IA",0,2,0,0,2,0,0,2,0,2,2009
78093,"Whittemore, IA","Sigourney, IA",0,2,0,0,2,0,0,2,0,2,2009
78096,"Whittemore, IA","Spencer, IA",1,0,1,0,0,2,2,0,0,2,2009
78041,"Whittemore, IA","Fenton, IA",0,2,0,0,2,0,0,2,0,2,2009
78010,"Whittemore, IA","Buffalo Center, IA",1,1,0,0,0,2,0,1,1,2,2009
78011,"Whittemore, IA","Carroll, IA",0,2,0,0,0,2,1,0,1,2,2009
78014,"Whittemore, IA","Charles City, IA",0,2,0,0,0,2,1,0,1,2,2009
78015,"Whittemore, IA","Clarion, IA",0,1,1,0,2,0,0,1,1,2,2009
78021,"Whittemore, IA","Crystal Lake, IA",0,1,1,0,0,2,0,1,1,2,2009
78023,"Whittemore, IA","Dakota City, IA",0,1,1,1,1,0,1,0,1,2,2009
78094,"Whittemore, IA","Sioux City, IA",0,2,0,1,0,1,0,0,2,2,2009
78107,"Whittemore, IA","Wadena, IA",1,0,0,1,0,0,0,0,1,1,2009
78115,"Whittemore, IA","West Union, IA",0,1,0,1,0,0,0,0,1,1,2009
78114,"Whittemore, IA","West Liberty, IA",1,0,0,0,1,0,0,1,0,1,2009
78082,"Whittemore, IA","Ottumwa, IA",0,1,0,1,0,0,0,0,1,1,2009
78109,"Whittemore, IA","Washington, IA",0,1,0,0,1,0,0,0,1,1,2009
78108,"Whittemore, IA","Wapello, IA",0,1,0,0,1,0,0,0,1,1,2009
78086,"Whittemore, IA","Rake, IA",0,1,0,0,0,1,0,0,1,1,2009
78105,"Whittemore, IA","University Heights, IA",1,0,0,0,1,0,1,0,0,1,2009
78104,"Whittemore, IA","Traer, IA",0,1,0,0,0,1,0,1,0,1,2009
78087,"Whittemore, IA","Rinard, IA",1,0,0,0,1,0,1,0,0,1,2009
78101,"Whittemore, IA","Stratford, IA",1,0,0,0,1,0,0,1,0,1,2009
78100,"Whittemore, IA","Storm Lake, IA",0,1,0,0,0,1,0,0,1,1,2009
78088,"Whittemore, IA","Rock Rapids, IA",0,1,0,0,1,0,0,0,1,1,2009
78099,"Whittemore, IA","Steamboat Rock, IA",0,1,0,0,1,0,1,0,0,1,2009
78078,"Whittemore, IA","Oelwein, IA",1,0,0,0,1,0,1,0,0,1,2009
78097,"Whittemore, IA","Spirit Lake, IA",1,0,0,0,0,1,1,0,0,1,2009
78089,"Whittemore, IA","Rockwell City, IA",1,0,0,0,1,0,1,0,0,1,2009
78091,"Whittemore, IA","Sergeant Bluff, IA",0,1,0,0,1,0,0,0,1,1,2009
78095,"Whittemore, IA","Sloan, IA",1,0,0,0,0,1,0,1,0,1,2009
78079,"Whittemore, IA","Osage, IA",0,1,0,0,0,1,0,1,0,1,2009
