,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
78195,"Willey, IA","Carroll, IA",76,187,53,54,199,63,114,141,61,316,2009
78276,"Willey, IA","Willey, IA",10,24,1,13,12,10,8,16,11,35,2009
78236,"Willey, IA","Lidderdale, IA",7,10,12,16,5,8,9,14,6,29,2009
78201,"Willey, IA","Coon Rapids, IA",8,6,4,8,6,4,3,12,3,18,2009
78218,"Willey, IA","Glidden, IA",2,12,4,1,16,1,5,5,8,18,2009
78233,"Willey, IA","Lake City, IA",4,6,4,2,11,1,5,4,5,14,2009
78260,"Willey, IA","Sioux City, IA",6,4,3,0,4,9,8,3,2,13,2009
78211,"Willey, IA","Des Moines, IA",4,4,4,0,8,4,3,5,4,12,2009
78210,"Willey, IA","Denison, IA",1,7,0,2,3,3,2,1,5,8,2009
78182,"Willey, IA","Ames, IA",2,5,1,1,4,3,3,5,0,8,2009
78187,"Willey, IA","Audubon, IA",1,4,3,3,0,5,2,5,1,8,2009
78275,"Willey, IA","Westside, IA",2,4,1,0,4,3,2,0,5,7,2009
78216,"Willey, IA","Fort Dodge, IA",3,3,1,0,2,5,2,4,1,7,2009
78186,"Willey, IA","Atlantic, IA",2,3,2,2,3,2,4,1,2,7,2009
78264,"Willey, IA","Storm Lake, IA",2,4,0,1,4,1,2,1,3,6,2009
78199,"Willey, IA","Clive, IA",1,3,2,0,3,3,3,2,1,6,2009
78191,"Willey, IA","Boone, IA",3,0,1,0,2,2,2,2,0,4,2009
78183,"Willey, IA","Ankeny, IA",3,1,0,0,0,4,3,0,1,4,2009
78184,"Willey, IA","Arcadia, IA",2,2,0,3,1,0,1,0,3,4,2009
78203,"Willey, IA","Council Bluffs, IA",1,1,1,0,2,1,1,1,1,3,2009
78245,"Willey, IA","Orange City, IA",1,1,1,1,2,0,1,2,0,3,2009
78234,"Willey, IA","Lakeside, IA",0,2,1,3,0,0,0,0,3,3,2009
78263,"Willey, IA","Stanhope, IA",0,3,0,0,0,3,0,1,2,3,2009
78232,"Willey, IA","Johnston, IA",0,3,0,0,0,3,0,1,2,3,2009
78189,"Willey, IA","Bagley, IA",0,2,1,2,1,0,0,0,3,3,2009
78269,"Willey, IA","Wall Lake, IA",1,1,1,0,3,0,1,0,2,3,2009
78270,"Willey, IA","Waterloo, IA",1,2,0,0,1,2,1,2,0,3,2009
78271,"Willey, IA","Waukee, IA",0,2,1,0,3,0,1,2,0,3,2009
78268,"Willey, IA","Urbandale, IA",2,1,0,0,2,1,2,0,1,3,2009
78231,"Willey, IA","Jefferson, IA",1,1,0,0,2,0,1,0,1,2,2009
78237,"Willey, IA","Madrid, IA",1,1,0,0,2,0,1,1,0,2,2009
78229,"Willey, IA","Humboldt, IA",1,1,0,1,0,1,1,0,1,2,2009
78180,"Willey, IA","Algona, IA",2,0,0,0,2,0,2,0,0,2,2009
78239,"Willey, IA","Manning, IA",1,1,0,1,1,0,2,0,0,2,2009
78248,"Willey, IA","Perry, IA",1,1,0,0,1,1,1,1,0,2,2009
78252,"Willey, IA","Rippey, IA",0,2,0,1,0,1,1,0,1,2,2009
78259,"Willey, IA","Sergeant Bluff, IA",1,0,1,0,1,1,2,0,0,2,2009
78262,"Willey, IA","Spirit Lake, IA",1,1,0,0,0,2,0,2,0,2,2009
78222,"Willey, IA","Grimes, IA",1,0,1,1,0,1,1,0,1,2,2009
78266,"Willey, IA","Tennant, IA",1,1,0,0,1,1,1,1,0,2,2009
78274,"Willey, IA","West Des Moines, IA",1,1,0,0,1,1,1,1,0,2,2009
78225,"Willey, IA","Harlan, IA",0,2,0,0,1,1,1,1,0,2,2009
78279,"Willey, IA","Yetter, IA",2,0,0,1,1,0,2,0,0,2,2009
78209,"Willey, IA","Dedham, IA",0,2,0,0,0,2,0,1,1,2,2009
78206,"Willey, IA","Davenport, IA",1,1,0,1,0,1,1,0,1,2,2009
78223,"Willey, IA","Grinnell, IA",0,1,0,0,0,1,0,1,0,1,2009
78265,"Willey, IA","Story City, IA",1,0,0,0,1,0,1,0,0,1,2009
78254,"Willey, IA","Rock Rapids, IA",0,0,1,0,0,1,0,1,0,1,2009
78255,"Willey, IA","Rockwell City, IA",0,0,1,1,0,0,0,0,1,1,2009
78256,"Willey, IA","Sac City, IA",0,0,1,0,1,0,0,1,0,1,2009
78257,"Willey, IA","Schaller, IA",0,1,0,0,0,1,0,0,1,1,2009
78258,"Willey, IA","Schleswig, IA",0,1,0,0,0,1,0,0,1,1,2009
78205,"Willey, IA","Dallas Center, IA",0,1,0,0,1,0,1,0,0,1,2009
78204,"Willey, IA","Creston, IA",0,0,1,0,1,0,0,1,0,1,2009
78261,"Willey, IA","Spencer, IA",1,0,0,0,0,1,1,0,0,1,2009
78202,"Willey, IA","Coralville, IA",1,0,0,0,0,1,1,0,0,1,2009
78200,"Willey, IA","Conrad, IA",1,0,0,0,0,1,1,0,0,1,2009
78198,"Willey, IA","Chariton, IA",0,1,0,0,1,0,0,0,1,1,2009
78197,"Willey, IA","Centerville, IA",1,0,0,0,0,1,1,0,0,1,2009
78267,"Willey, IA","University Heights, IA",0,1,0,0,1,0,0,0,1,1,2009
78196,"Willey, IA","Carson, IA",0,1,0,0,0,1,0,0,1,1,2009
78194,"Willey, IA","Callender, IA",0,1,0,0,0,1,0,0,1,1,2009
78193,"Willey, IA","Boyden, IA",0,1,0,1,0,0,0,0,1,1,2009
78192,"Willey, IA","Boxholm, IA",0,1,0,1,0,0,0,0,1,1,2009
78272,"Willey, IA","Waverly, IA",0,1,0,0,0,1,0,0,1,1,2009
78273,"Willey, IA","Wellman, IA",0,1,0,0,0,1,0,0,1,1,2009
78190,"Willey, IA","Bedford, IA",0,1,0,0,1,0,0,1,0,1,2009
78188,"Willey, IA","Aurelia, IA",1,0,0,0,0,1,1,0,0,1,2009
78185,"Willey, IA","Arnolds Park, IA",0,1,0,0,1,0,1,0,0,1,2009
78277,"Willey, IA","Williamsburg, IA",1,0,0,0,0,1,1,0,0,1,2009
78278,"Willey, IA","Windsor Heights, IA",0,1,0,0,1,0,0,1,0,1,2009
78253,"Willey, IA","Robins, IA",0,1,0,0,1,0,0,0,1,1,2009
78251,"Willey, IA","Remsen, IA",0,0,1,0,1,0,1,0,0,1,2009
78224,"Willey, IA","Guthrie Center, IA",0,1,0,0,1,0,0,1,0,1,2009
78213,"Willey, IA","Emmetsburg, IA",1,0,0,0,1,0,1,0,0,1,2009
78221,"Willey, IA","Greenfield, IA",1,0,0,0,0,1,1,0,0,1,2009
78226,"Willey, IA","Harvey, IA",0,1,0,1,0,0,0,0,1,1,2009
78227,"Willey, IA","Hiawatha, IA",1,0,0,0,1,0,0,1,0,1,2009
78228,"Willey, IA","Hospers, IA",0,1,0,1,0,0,0,0,1,1,2009
78220,"Willey, IA","Grant, IA",0,1,0,1,0,0,0,0,1,1,2009
78181,"Willey, IA","Alton, IA",0,1,0,0,0,1,1,0,0,1,2009
78219,"Willey, IA","Graettinger, IA",0,1,0,1,0,0,0,1,0,1,2009
78217,"Willey, IA","Glenwood, IA",0,0,1,0,1,0,1,0,0,1,2009
78215,"Willey, IA","Floyd, IA",0,1,0,1,0,0,1,0,0,1,2009
