,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
8485,"Bronson, IA","Sioux City, IA",11,17,3,22,5,4,8,18,5,31,2009
8486,"Bronson, IA","Sloan, IA",5,8,6,10,3,6,6,6,7,19,2009
8468,"Bronson, IA","Bronson, IA",3,2,3,6,2,0,3,5,0,8,2009
8482,"Bronson, IA","Onawa, IA",0,6,2,1,1,6,1,1,6,8,2009
8465,"Bronson, IA","Anthon, IA",2,4,1,2,1,4,3,1,3,7,2009
8471,"Bronson, IA","Danbury, IA",1,2,0,2,0,1,1,1,1,3,2009
8478,"Bronson, IA","Mapleton, IA",0,2,1,1,1,1,1,2,0,3,2009
8469,"Bronson, IA","Castana, IA",1,1,0,1,0,1,0,1,1,2,2009
8479,"Bronson, IA","Marcus, IA",0,1,1,0,0,2,0,0,2,2,2009
8483,"Bronson, IA","Rodney, IA",1,1,0,0,2,0,2,0,0,2,2009
8472,"Bronson, IA","Des Moines, IA",0,1,0,0,1,0,0,0,1,1,2009
8470,"Bronson, IA","Cushing, IA",0,1,0,1,0,0,0,1,0,1,2009
8489,"Bronson, IA","Superior, IA",1,0,0,1,0,0,0,1,0,1,2009
8488,"Bronson, IA","Stanton, IA",0,1,0,1,0,0,0,0,1,1,2009
8487,"Bronson, IA","Soldier, IA",0,1,0,1,0,0,1,0,0,1,2009
8467,"Bronson, IA","Bondurant, IA",0,0,1,0,0,1,0,0,1,1,2009
8484,"Bronson, IA","Sergeant Bluff, IA",0,1,0,1,0,0,0,1,0,1,2009
8481,"Bronson, IA","Moville, IA",1,0,0,0,0,1,0,0,1,1,2009
8473,"Bronson, IA","Estherville, IA",0,1,0,1,0,0,0,1,0,1,2009
8480,"Bronson, IA","Moorhead, IA",1,0,0,0,0,1,0,1,0,1,2009
8466,"Bronson, IA","Battle Creek, IA",0,1,0,0,0,1,0,0,1,1,2009
8477,"Bronson, IA","Klemme, IA",0,0,1,0,0,1,1,0,0,1,2009
8476,"Bronson, IA","Jefferson, IA",0,1,0,0,1,0,0,1,0,1,2009
8475,"Bronson, IA","Indianola, IA",1,0,0,1,0,0,0,1,0,1,2009
8474,"Bronson, IA","Hinton, IA",0,1,0,0,0,1,0,0,1,1,2009
8490,"Bronson, IA","Truesdale, IA",0,1,0,1,0,0,0,0,1,1,2009
