,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
30169,"Glidden, IA","Carroll, IA",11,27,7,2,36,7,21,20,4,45,2009
30190,"Glidden, IA","Lidderdale, IA",5,10,7,2,19,1,11,8,3,22,2009
30183,"Glidden, IA","Glidden, IA",1,12,7,0,19,1,5,10,5,20,2009
30205,"Glidden, IA","Willey, IA",2,12,4,1,16,1,5,5,8,18,2009
30173,"Glidden, IA","Coon Rapids, IA",1,8,3,0,11,1,4,6,2,12,2009
30201,"Glidden, IA","Wall Lake, IA",0,7,1,0,4,4,3,3,2,8,2009
30167,"Glidden, IA","Audubon, IA",1,4,1,0,4,2,3,1,2,6,2009
30192,"Glidden, IA","Manning, IA",1,1,1,0,2,1,1,1,1,3,2009
30182,"Glidden, IA","Fort Dodge, IA",1,1,1,0,1,2,1,2,0,3,2009
30171,"Glidden, IA","Churdan, IA",0,1,2,0,3,0,3,0,0,3,2009
30174,"Glidden, IA","Council Bluffs, IA",2,1,0,0,2,1,0,3,0,3,2009
30189,"Glidden, IA","Lake City, IA",1,1,1,0,1,2,0,2,1,3,2009
30178,"Glidden, IA","Early, IA",1,2,0,0,0,3,1,2,0,3,2009
30195,"Glidden, IA","Rinard, IA",1,0,1,0,1,1,2,0,0,2,2009
30188,"Glidden, IA","Knierim, IA",0,0,2,0,2,0,2,0,0,2,2009
30197,"Glidden, IA","Sioux City, IA",0,1,1,0,0,2,1,1,0,2,2009
30207,"Glidden, IA","Yetter, IA",0,2,0,0,2,0,2,0,0,2,2009
30180,"Glidden, IA","Essex, IA",0,2,0,0,0,2,0,2,0,2,2009
30204,"Glidden, IA","Westside, IA",0,2,0,0,1,1,1,1,0,2,2009
30179,"Glidden, IA","Elk Horn, IA",0,2,0,0,0,2,0,0,2,2,2009
30200,"Glidden, IA","Tennant, IA",0,1,0,0,1,0,0,1,0,1,2009
30199,"Glidden, IA","Sutherland, IA",1,0,0,0,0,1,1,0,0,1,2009
30198,"Glidden, IA","Spencer, IA",0,1,0,0,1,0,0,1,0,1,2009
30194,"Glidden, IA","Muscatine, IA",0,1,0,0,1,0,0,0,1,1,2009
30196,"Glidden, IA","Rippey, IA",1,0,0,0,0,1,0,1,0,1,2009
30202,"Glidden, IA","Webb, IA",1,0,0,0,1,0,0,1,0,1,2009
30203,"Glidden, IA","Webster City, IA",0,1,0,0,1,0,0,0,1,1,2009
30206,"Glidden, IA","Woodbine, IA",0,1,0,0,1,0,0,1,0,1,2009
30165,"Glidden, IA","Ames, IA",0,0,1,0,0,1,0,1,0,1,2009
30193,"Glidden, IA","Manson, IA",0,0,1,0,1,0,1,0,0,1,2009
30191,"Glidden, IA","Linden, IA",1,0,0,0,1,0,1,0,0,1,2009
30187,"Glidden, IA","Kiron, IA",0,1,0,0,1,0,0,1,0,1,2009
30166,"Glidden, IA","Ankeny, IA",0,1,0,0,1,0,0,0,1,1,2009
30185,"Glidden, IA","Guthrie Center, IA",0,1,0,0,1,0,0,1,0,1,2009
30184,"Glidden, IA","Gray, IA",0,1,0,0,1,0,0,1,0,1,2009
30181,"Glidden, IA","Exira, IA",0,1,0,0,1,0,0,0,1,1,2009
30177,"Glidden, IA","Denison, IA",0,1,0,0,0,1,0,1,0,1,2009
30176,"Glidden, IA","Dedham, IA",0,1,0,0,1,0,0,0,1,1,2009
30175,"Glidden, IA","Danbury, IA",0,1,0,0,1,0,0,1,0,1,2009
30172,"Glidden, IA","Colo, IA",1,0,0,0,0,1,1,0,0,1,2009
30170,"Glidden, IA","Carson, IA",0,1,0,0,1,0,1,0,0,1,2009
30168,"Glidden, IA","Bagley, IA",1,0,0,0,1,0,1,0,0,1,2009
30186,"Glidden, IA","Joice, IA",0,1,0,0,0,1,1,0,0,1,2009
