,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
41993,"Lester, IA","Inwood, IA",22,30,18,33,12,25,37,20,13,70,2009
41996,"Lester, IA","Larchwood, IA",10,21,7,15,8,15,16,16,6,38,2009
41997,"Lester, IA","Lester, IA",6,6,2,6,4,4,11,3,0,14,2009
42000,"Lester, IA","Rock Rapids, IA",3,7,3,8,1,4,4,6,3,13,2009
42001,"Lester, IA","Rock Valley, IA",0,4,2,2,0,4,2,2,2,6,2009
41998,"Lester, IA","Maurice, IA",1,1,2,2,1,1,1,2,1,4,2009
42003,"Lester, IA","Sioux Center, IA",0,2,0,1,1,0,0,0,2,2,2009
41990,"Lester, IA","Hospers, IA",0,2,0,0,1,1,2,0,0,2,2009
41994,"Lester, IA","Ireton, IA",2,0,0,1,0,1,0,0,2,2,2009
41985,"Lester, IA","Alton, IA",0,0,1,0,0,1,0,0,1,1,2009
42004,"Lester, IA","Spencer, IA",0,1,0,0,1,0,0,0,1,1,2009
42002,"Lester, IA","Ruthven, IA",1,0,0,0,1,0,1,0,0,1,2009
41999,"Lester, IA","Paullina, IA",0,1,0,0,0,1,0,0,1,1,2009
41995,"Lester, IA","Jefferson, IA",0,0,1,0,0,1,0,0,1,1,2009
41986,"Lester, IA","Boyden, IA",0,1,0,0,1,0,1,0,0,1,2009
41992,"Lester, IA","Ida Grove, IA",0,1,0,0,0,1,0,0,1,1,2009
41991,"Lester, IA","Hull, IA",0,0,1,1,0,0,0,1,0,1,2009
41989,"Lester, IA","Exira, IA",0,1,0,1,0,0,1,0,0,1,2009
41988,"Lester, IA","Doon, IA",1,0,0,1,0,0,0,1,0,1,2009
41987,"Lester, IA","Colo, IA",0,1,0,1,0,0,0,0,1,1,2009
42005,"Lester, IA","Woodbine, IA",0,1,0,0,0,1,0,0,1,1,2009
