,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
44055,"Malcom, IA","Tama, IA",3,34,22,1,44,14,19,23,17,59,2009
44014,"Malcom, IA","Brooklyn, IA",6,40,11,2,38,17,28,13,16,57,2009
44037,"Malcom, IA","Malcom, IA",8,17,20,1,33,11,14,21,10,45,2009
44029,"Malcom, IA","Grinnell, IA",6,5,1,2,10,0,0,5,7,12,2009
44036,"Malcom, IA","Lynnville, IA",1,5,4,4,3,3,2,3,5,10,2009
44041,"Malcom, IA","Montezuma, IA",2,6,1,0,5,4,5,2,2,9,2009
44059,"Malcom, IA","Victor, IA",2,6,1,2,5,2,4,4,1,9,2009
44045,"Malcom, IA","North English, IA",2,3,2,0,4,3,4,1,2,7,2009
44030,"Malcom, IA","Guernsey, IA",2,3,1,0,4,2,1,2,3,6,2009
44052,"Malcom, IA","Sigourney, IA",0,5,0,0,0,5,0,0,5,5,2009
44028,"Malcom, IA","Gilman, IA",0,2,2,1,2,1,1,1,2,4,2009
44038,"Malcom, IA","Marengo, IA",0,3,1,0,2,2,1,1,2,4,2009
44056,"Malcom, IA","Toledo, IA",0,1,2,1,2,0,0,2,1,3,2009
44012,"Malcom, IA","Belle Plaine, IA",1,1,1,0,2,1,0,3,0,3,2009
44023,"Malcom, IA","Des Moines, IA",1,2,0,1,2,0,1,2,0,3,2009
44025,"Malcom, IA","Elberon, IA",1,2,0,2,1,0,1,2,0,3,2009
44047,"Malcom, IA","Norway, IA",0,1,1,1,1,0,0,2,0,2,2009
44043,"Malcom, IA","New Sharon, IA",1,0,1,0,1,1,0,2,0,2,2009
44009,"Malcom, IA","Ames, IA",0,2,0,1,1,0,0,2,0,2,2009
44020,"Malcom, IA","Council Bluffs, IA",0,2,0,0,2,0,0,2,0,2,2009
44027,"Malcom, IA","Gibson, IA",0,1,0,0,0,1,0,0,1,1,2009
44017,"Malcom, IA","Cedar Falls, IA",1,0,0,1,0,0,0,0,1,1,2009
44049,"Malcom, IA","Oxford, IA",0,1,0,1,0,0,0,0,1,1,2009
44050,"Malcom, IA","Remsen, IA",1,0,0,0,0,1,0,0,1,1,2009
44051,"Malcom, IA","Riverside, IA",0,1,0,0,1,0,1,0,0,1,2009
44016,"Malcom, IA","Carroll, IA",0,1,0,0,0,1,1,0,0,1,2009
44053,"Malcom, IA","Sioux City, IA",0,1,0,0,1,0,0,1,0,1,2009
44054,"Malcom, IA","Swan, IA",0,1,0,0,0,1,0,1,0,1,2009
44015,"Malcom, IA","Carlisle, IA",0,0,1,0,1,0,1,0,0,1,2009
44013,"Malcom, IA","Blakesburg, IA",0,1,0,0,0,1,0,0,1,1,2009
44057,"Malcom, IA","Unionville, IA",0,1,0,0,1,0,1,0,0,1,2009
44058,"Malcom, IA","Urbandale, IA",0,0,1,1,0,0,0,0,1,1,2009
44011,"Malcom, IA","Audubon, IA",0,1,0,1,0,0,0,1,0,1,2009
44060,"Malcom, IA","Vining, IA",0,1,0,1,0,0,0,0,1,1,2009
44061,"Malcom, IA","Waterloo, IA",0,1,0,1,0,0,0,1,0,1,2009
44062,"Malcom, IA","Williamsburg, IA",0,1,0,0,0,1,0,0,1,1,2009
44048,"Malcom, IA","Oskaloosa, IA",1,0,0,1,0,0,1,0,0,1,2009
44046,"Malcom, IA","Norwalk, IA",0,1,0,0,0,1,0,0,1,1,2009
44026,"Malcom, IA","Emmetsburg, IA",0,1,0,0,1,0,0,1,0,1,2009
44010,"Malcom, IA","Ankeny, IA",0,1,0,1,0,0,0,1,0,1,2009
44024,"Malcom, IA","Dubuque, IA",1,0,0,1,0,0,0,1,0,1,2009
44031,"Malcom, IA","Hinton, IA",0,0,1,0,1,0,1,0,0,1,2009
44032,"Malcom, IA","Indianola, IA",0,1,0,0,1,0,0,0,1,1,2009
44033,"Malcom, IA","Knoxville, IA",0,1,0,0,0,1,0,1,0,1,2009
44034,"Malcom, IA","Lamoni, IA",0,1,0,0,0,1,0,1,0,1,2009
44035,"Malcom, IA","Lehigh, IA",0,1,0,0,1,0,0,0,1,1,2009
44022,"Malcom, IA","Delta, IA",0,1,0,0,0,1,0,0,1,1,2009
44018,"Malcom, IA","Clive, IA",0,1,0,0,1,0,0,0,1,1,2009
44021,"Malcom, IA","Davenport, IA",1,0,0,0,0,1,1,0,0,1,2009
44039,"Malcom, IA","Merrill, IA",0,1,0,0,1,0,1,0,0,1,2009
44040,"Malcom, IA","Monroe, IA",1,0,0,0,1,0,0,0,1,1,2009
44042,"Malcom, IA","Mount Pleasant, IA",1,0,0,0,0,1,0,1,0,1,2009
44019,"Malcom, IA","Colfax, IA",1,0,0,0,0,1,1,0,0,1,2009
44044,"Malcom, IA","Newton, IA",0,1,0,0,1,0,0,0,1,1,2009
44063,"Malcom, IA","Winterset, IA",0,0,1,0,1,0,1,0,0,1,2009
