,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
45404,"Marion, IA","Cedar Rapids, IA",133,535,122,185,282,323,111,270,409,790,2009
45457,"Marion, IA","Hiawatha, IA",73,345,71,112,164,213,64,127,298,489,2009
45534,"Marion, IA","Robins, IA",43,179,34,68,85,103,44,66,146,256,2009
45483,"Marion, IA","Marion, IA",4,93,36,23,44,66,23,30,80,133,2009
45555,"Marion, IA","Urbana, IA",13,66,12,24,10,57,2,26,63,91,2009
45442,"Marion, IA","Fairfax, IA",17,52,21,16,41,33,10,34,46,90,2009
45522,"Marion, IA","Palo, IA",13,54,19,23,20,43,12,19,55,86,2009
45462,"Marion, IA","Iowa City, IA",9,35,7,12,28,11,3,14,34,51,2009
45559,"Marion, IA","Vinton, IA",4,31,9,3,11,30,2,9,33,44,2009
45406,"Marion, IA","Center Point, IA",7,24,4,7,12,16,5,10,20,35,2009
45392,"Marion, IA","Bertram, IA",2,21,9,8,13,11,3,6,23,32,2009
45545,"Marion, IA","Springville, IA",5,19,4,9,7,12,5,8,15,28,2009
45560,"Marion, IA","Walford, IA",4,17,3,4,7,13,5,2,17,24,2009
45440,"Marion, IA","Ely, IA",5,9,8,8,10,4,8,5,9,22,2009
45430,"Marion, IA","Dubuque, IA",5,16,1,3,14,5,3,5,14,22,2009
45382,"Marion, IA","Anamosa, IA",3,17,0,4,12,4,1,8,11,20,2009
45427,"Marion, IA","Des Moines, IA",6,14,0,3,13,4,5,5,10,20,2009
45511,"Marion, IA","North Liberty, IA",6,8,3,4,9,4,1,5,11,17,2009
45493,"Marion, IA","Monticello, IA",1,15,0,3,8,5,2,3,11,16,2009
45416,"Marion, IA","Coralville, IA",3,8,4,3,9,3,2,5,8,15,2009
45387,"Marion, IA","Atkins, IA",0,11,4,2,5,8,2,2,11,15,2009
45407,"Marion, IA","Central City, IA",2,8,4,3,5,6,2,6,6,14,2009
45553,"Marion, IA","University Heights, IA",1,11,1,3,8,2,1,3,9,13,2009
45540,"Marion, IA","Shueyville, IA",2,5,6,2,4,7,2,1,10,13,2009
45486,"Marion, IA","Martelle, IA",2,7,4,0,3,10,4,4,5,13,2009
45436,"Marion, IA","Elberon, IA",3,7,2,6,5,1,4,0,8,12,2009
45471,"Marion, IA","Lisbon, IA",2,6,2,5,5,0,2,5,3,10,2009
45557,"Marion, IA","Van Horne, IA",2,6,2,1,4,5,1,2,7,10,2009
45520,"Marion, IA","Oxford, IA",1,4,3,2,2,4,0,2,6,8,2009
45513,"Marion, IA","Norway, IA",0,7,1,1,3,4,0,3,5,8,2009
45412,"Marion, IA","Clive, IA",1,6,1,2,4,2,0,2,6,8,2009
45528,"Marion, IA","Prairieburg, IA",2,5,1,2,2,4,0,2,6,8,2009
45485,"Marion, IA","Marshalltown, IA",1,2,5,1,2,5,1,4,3,8,2009
45563,"Marion, IA","Waterloo, IA",1,6,0,1,1,5,0,3,4,7,2009
45391,"Marion, IA","Belle Plaine, IA",1,5,1,0,2,5,0,2,5,7,2009
45482,"Marion, IA","Marengo, IA",0,7,0,5,2,0,1,2,4,7,2009
45384,"Marion, IA","Ankeny, IA",2,4,1,1,4,2,0,2,5,7,2009
45489,"Marion, IA","Mechanicsville, IA",0,5,1,1,2,3,1,0,5,6,2009
45381,"Marion, IA","Ames, IA",1,3,2,2,2,2,0,2,4,6,2009
45575,"Marion, IA","Winthrop, IA",1,5,0,3,1,2,1,3,2,6,2009
45460,"Marion, IA","Independence, IA",0,6,0,1,2,3,0,3,3,6,2009
45394,"Marion, IA","Blairstown, IA",0,5,1,5,1,0,2,1,3,6,2009
45480,"Marion, IA","Manchester, IA",4,2,0,1,4,1,0,5,1,6,2009
45419,"Marion, IA","Davenport, IA",1,4,1,0,3,3,0,2,4,6,2009
45549,"Marion, IA","Swisher, IA",1,4,1,1,0,5,0,1,5,6,2009
45417,"Marion, IA","Council Bluffs, IA",2,2,2,0,3,3,0,6,0,6,2009
45403,"Marion, IA","Cedar Falls, IA",2,4,0,3,2,1,1,2,3,6,2009
45496,"Marion, IA","Morley, IA",4,2,0,1,5,0,2,2,2,6,2009
45501,"Marion, IA","Mount Vernon, IA",3,2,0,2,2,1,2,1,2,5,2009
45456,"Marion, IA","Hazleton, IA",1,3,1,0,4,1,0,3,2,5,2009
45466,"Marion, IA","Keystone, IA",0,5,0,0,1,4,0,1,4,5,2009
45574,"Marion, IA","Windsor Heights, IA",1,3,1,0,4,1,0,3,2,5,2009
45386,"Marion, IA","Asbury, IA",3,2,0,0,3,2,0,2,3,5,2009
45550,"Marion, IA","Tiffin, IA",2,2,1,1,2,2,1,1,3,5,2009
45551,"Marion, IA","Tipton, IA",2,1,2,2,2,1,2,2,1,5,2009
