,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51647,"New London, IA","New London, IA",28,70,42,20,102,18,80,36,24,140,2009
51663,"New London, IA","St. Paul, IA",20,52,17,13,67,9,48,17,24,89,2009
51597,"New London, IA","Burlington, IA",10,26,12,12,32,4,20,17,11,48,2009
51644,"New London, IA","Mount Pleasant, IA",6,22,8,3,23,10,15,10,11,36,2009
51674,"New London, IA","West Burlington, IA",5,9,4,2,16,0,11,4,3,18,2009
51638,"New London, IA","Middletown, IA",2,9,5,4,10,2,10,2,4,16,2009
51653,"New London, IA","Ottumwa, IA",2,7,1,4,4,2,1,5,4,10,2009
51660,"New London, IA","Salem, IA",5,3,0,1,6,1,4,2,2,8,2009
51620,"New London, IA","Fort Madison, IA",2,5,0,0,4,3,3,2,2,7,2009
51673,"New London, IA","Wayland, IA",2,3,1,0,5,1,5,1,0,6,2009
51635,"New London, IA","Lockridge, IA",1,4,0,2,2,1,3,1,1,5,2009
51645,"New London, IA","Mount Union, IA",0,2,3,1,4,0,3,1,1,5,2009
51632,"New London, IA","Keokuk, IA",0,3,2,0,4,1,0,2,3,5,2009
51608,"New London, IA","Danville, IA",3,0,2,2,1,2,2,3,0,5,2009
51637,"New London, IA","Mediapolis, IA",4,1,0,3,2,0,1,3,1,5,2009
51629,"New London, IA","Houghton, IA",2,2,0,1,2,1,1,0,3,4,2009
51678,"New London, IA","Winfield, IA",0,3,1,1,2,1,0,3,1,4,2009
51603,"New London, IA","Columbus Junction, IA",0,2,1,0,1,2,0,3,0,3,2009
51602,"New London, IA","Chariton, IA",3,0,0,0,3,0,3,0,0,3,2009
51652,"New London, IA","Oskaloosa, IA",0,3,0,1,2,0,1,2,0,3,2009
51611,"New London, IA","Dubuque, IA",0,3,0,0,1,2,2,1,0,3,2009
51676,"New London, IA","West Point, IA",0,1,2,3,0,0,2,1,0,3,2009
51657,"New London, IA","Rome, IA",1,2,0,1,1,1,3,0,0,3,2009
51646,"New London, IA","Muscatine, IA",0,1,1,1,0,1,2,0,0,2,2009
51654,"New London, IA","Peosta, IA",0,2,0,0,2,0,1,1,0,2,2009
51621,"New London, IA","Franklin, IA",1,0,1,1,1,0,0,1,1,2,2009
51672,"New London, IA","Waterloo, IA",0,1,1,1,1,0,2,0,0,2,2009
51599,"New London, IA","Cedar Falls, IA",0,1,1,2,0,0,2,0,0,2,2009
51600,"New London, IA","Cedar Rapids, IA",1,1,0,0,1,1,0,2,0,2,2009
51601,"New London, IA","Centerville, IA",1,1,0,0,1,1,2,0,0,2,2009
51664,"New London, IA","Toledo, IA",1,1,0,0,2,0,1,1,0,2,2009
51665,"New London, IA","University Park, IA",0,1,1,0,0,2,1,1,0,2,2009
51648,"New London, IA","New Sharon, IA",1,1,0,1,1,0,1,1,0,2,2009
51625,"New London, IA","Grandview, IA",0,0,2,0,2,0,2,0,0,2,2009
51650,"New London, IA","Nodaway, IA",1,0,0,0,1,0,1,0,0,1,2009
51649,"New London, IA","Nichols, IA",0,1,0,0,1,0,0,0,1,1,2009
51651,"New London, IA","Orient, IA",1,0,0,0,1,0,1,0,0,1,2009
51661,"New London, IA","Shenandoah, IA",1,0,0,0,1,0,1,0,0,1,2009
51655,"New London, IA","Riverdale, IA",1,0,0,0,1,0,1,0,0,1,2009
51656,"New London, IA","Riverside, IA",1,0,0,0,0,1,0,1,0,1,2009
51658,"New London, IA","Sac City, IA",0,1,0,1,0,0,0,0,1,1,2009
51659,"New London, IA","Sageville, IA",1,0,0,0,1,0,0,1,0,1,2009
51642,"New London, IA","Morning Sun, IA",1,0,0,0,1,0,1,0,0,1,2009
51662,"New London, IA","Sioux City, IA",0,1,0,0,1,0,1,0,0,1,2009
51666,"New London, IA","Urbana, IA",0,0,1,0,1,0,0,0,1,1,2009
51667,"New London, IA","Van Horne, IA",1,0,0,1,0,0,1,0,0,1,2009
51668,"New London, IA","Walford, IA",0,0,1,0,1,0,1,0,0,1,2009
51669,"New London, IA","Wall Lake, IA",1,0,0,1,0,0,1,0,0,1,2009
51670,"New London, IA","Wapello, IA",1,0,0,0,1,0,1,0,0,1,2009
51671,"New London, IA","Washington, IA",1,0,0,1,0,0,1,0,0,1,2009
51675,"New London, IA","West Des Moines, IA",0,1,0,0,1,0,0,0,1,1,2009
51677,"New London, IA","Williamsburg, IA",0,1,0,0,1,0,1,0,0,1,2009
51643,"New London, IA","Mount Ayr, IA",0,0,1,0,1,0,0,1,0,1,2009
51589,"New London, IA","Agency, IA",1,0,0,0,1,0,1,0,0,1,2009
51641,"New London, IA","Morley, IA",0,0,1,0,1,0,0,0,1,1,2009
51640,"New London, IA","Moravia, IA",0,0,1,0,1,0,1,0,0,1,2009
51613,"New London, IA","Eldridge, IA",1,0,0,0,0,1,0,1,0,1,2009
51612,"New London, IA","Eddyville, IA",0,1,0,1,0,0,0,1,0,1,2009
51610,"New London, IA","Des Moines, IA",0,1,0,1,0,0,1,0,0,1,2009
51609,"New London, IA","Davenport, IA",1,0,0,0,1,0,1,0,0,1,2009
51607,"New London, IA","Council Bluffs, IA",1,0,0,1,0,0,1,0,0,1,2009
51606,"New London, IA","Corydon, IA",0,1,0,1,0,0,0,1,0,1,2009
51605,"New London, IA","Coralville, IA",0,1,0,0,1,0,1,0,0,1,2009
51604,"New London, IA","Conesville, IA",0,1,0,0,1,0,0,1,0,1,2009
51598,"New London, IA","Carlisle, IA",1,0,0,0,1,0,1,0,0,1,2009
51596,"New London, IA","Buffalo, IA",0,1,0,1,0,0,1,0,0,1,2009
51595,"New London, IA","Bondurant, IA",1,0,0,0,0,1,1,0,0,1,2009
51594,"New London, IA","Blakesburg, IA",0,0,1,1,0,0,0,1,0,1,2009
51593,"New London, IA","Bettendorf, IA",0,0,1,1,0,0,1,0,0,1,2009
51592,"New London, IA","Bellevue, IA",0,1,0,0,1,0,1,0,0,1,2009
51591,"New London, IA","Ames, IA",0,1,0,1,0,0,0,1,0,1,2009
51614,"New London, IA","Elk Horn, IA",0,0,1,0,0,1,0,1,0,1,2009
51615,"New London, IA","Exira, IA",1,0,0,0,1,0,0,1,0,1,2009
51616,"New London, IA","Farmersburg, IA",0,1,0,1,0,0,1,0,0,1,2009
51628,"New London, IA","Hiawatha, IA",1,0,0,1,0,0,1,0,0,1,2009
51639,"New London, IA","Montrose, IA",0,0,1,1,0,0,1,0,0,1,2009
51636,"New London, IA","Marshalltown, IA",0,1,0,0,1,0,0,1,0,1,2009
51590,"New London, IA","Ainsworth, IA",0,1,0,0,0,1,0,1,0,1,2009
51633,"New London, IA","Keosauqua, IA",0,0,1,0,1,0,0,0,1,1,2009
51631,"New London, IA","Johnston, IA",1,0,0,0,0,1,1,0,0,1,2009
51630,"New London, IA","Iowa City, IA",0,1,0,1,0,0,0,0,1,1,2009
51627,"New London, IA","Hamburg, IA",0,0,1,0,1,0,0,0,1,1,2009
51617,"New London, IA","Farmington, IA",0,1,0,0,0,1,0,0,1,1,2009
51626,"New London, IA","Guernsey, IA",0,1,0,0,1,0,0,1,0,1,2009
51624,"New London, IA","Grand River, IA",0,0,1,0,1,0,0,0,1,1,2009
51623,"New London, IA","Gibson, IA",0,1,0,1,0,0,0,1,0,1,2009
51622,"New London, IA","Fruitland, IA",0,1,0,0,1,0,0,0,1,1,2009
51619,"New London, IA","Fort Dodge, IA",1,0,0,0,1,0,0,1,0,1,2009
51618,"New London, IA","Ferguson, IA",0,1,0,0,1,0,0,1,0,1,2009
51634,"New London, IA","Le Claire, IA",0,1,0,1,0,0,0,1,0,1,2009
