,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
52754,"North English, IA","Victor, IA",17,57,33,1,93,13,55,33,19,107,2009
52733,"North English, IA","North English, IA",8,38,22,2,56,10,30,22,16,68,2009
52762,"North English, IA","Williamsburg, IA",5,7,9,0,18,3,7,7,7,21,2009
52759,"North English, IA","Webster, IA",8,8,3,2,16,1,9,6,4,19,2009
52727,"North English, IA","Marengo, IA",0,9,7,0,15,1,4,10,2,16,2009
52751,"North English, IA","Tama, IA",0,7,3,0,6,4,4,3,3,10,2009
52761,"North English, IA","What Cheer, IA",5,2,1,1,7,0,6,2,0,8,2009
52739,"North English, IA","Parnell, IA",2,4,2,0,6,2,6,1,1,8,2009
52712,"North English, IA","Gibson, IA",1,6,0,0,7,0,2,3,2,7,2009
52720,"North English, IA","Keota, IA",1,3,2,0,5,1,4,0,2,6,2009
52728,"North English, IA","Montezuma, IA",3,2,1,0,5,1,5,1,0,6,2009
52715,"North English, IA","Guernsey, IA",0,4,2,0,5,1,2,3,1,6,2009
52695,"North English, IA","Belle Plaine, IA",2,3,0,0,4,1,1,1,3,5,2009
52747,"North English, IA","Sigourney, IA",2,3,0,0,5,0,4,0,1,5,2009
52698,"North English, IA","Brooklyn, IA",1,4,0,0,4,1,3,0,2,5,2009
52722,"North English, IA","Ladora, IA",1,3,0,0,4,0,1,1,2,4,2009
52748,"North English, IA","South English, IA",2,1,0,0,3,0,2,1,0,3,2009
52753,"North English, IA","Urbandale, IA",1,2,0,0,3,0,2,0,1,3,2009
52743,"North English, IA","Riverside, IA",0,2,1,0,3,0,2,1,0,3,2009
52738,"North English, IA","Oxford, IA",0,2,1,0,3,0,1,2,0,3,2009
52756,"North English, IA","Washington, IA",0,2,1,0,3,0,0,2,1,3,2009
52752,"North English, IA","University Park, IA",2,0,0,0,2,0,2,0,0,2,2009
52724,"North English, IA","Leon, IA",1,1,0,0,1,1,0,1,1,2,2009
52693,"North English, IA","Ankeny, IA",1,1,0,0,2,0,1,0,1,2,2009
52760,"North English, IA","Wellman, IA",1,0,1,0,1,1,1,1,0,2,2009
52719,"North English, IA","Iowa City, IA",1,1,0,0,2,0,0,0,2,2,2009
52718,"North English, IA","Hiawatha, IA",1,0,1,0,0,2,1,1,0,2,2009
52726,"North English, IA","Malcom, IA",0,2,0,0,2,0,1,0,1,2,2009
52701,"North English, IA","Cedar Rapids, IA",0,2,0,0,2,0,0,0,2,2,2009
52703,"North English, IA","Clio, IA",0,1,1,0,1,1,1,0,1,2,2009
52714,"North English, IA","Grinnell, IA",0,2,0,0,2,0,2,0,0,2,2009
52755,"North English, IA","Walford, IA",1,0,1,1,1,0,1,1,0,2,2009
52700,"North English, IA","Carroll, IA",0,2,0,0,2,0,0,2,0,2,2009
52742,"North English, IA","Reinbeck, IA",1,0,0,0,0,1,0,0,1,1,2009
52741,"North English, IA","Prairieburg, IA",1,0,0,0,0,1,1,0,0,1,2009
52740,"North English, IA","Perry, IA",0,1,0,1,0,0,0,0,1,1,2009
52749,"North English, IA","Stacyville, IA",0,1,0,0,0,1,0,1,0,1,2009
52744,"North English, IA","Robins, IA",0,0,1,1,0,0,0,1,0,1,2009
52745,"North English, IA","Rockford, IA",0,0,1,1,0,0,1,0,0,1,2009
52746,"North English, IA","Roland, IA",1,0,0,0,0,1,1,0,0,1,2009
52736,"North English, IA","Oskaloosa, IA",1,0,0,0,1,0,1,0,0,1,2009
52750,"North English, IA","Stanton, IA",1,0,0,0,1,0,0,1,0,1,2009
52757,"North English, IA","Waverly, IA",1,0,0,0,0,1,1,0,0,1,2009
52758,"North English, IA","Webster City, IA",0,1,0,0,1,0,1,0,0,1,2009
52763,"North English, IA","Wilton, IA",1,0,0,0,1,0,0,1,0,1,2009
52737,"North English, IA","Ottumwa, IA",0,0,1,0,1,0,1,0,0,1,2009
52690,"North English, IA","Albia, IA",1,0,0,0,1,0,1,0,0,1,2009
52735,"North English, IA","Osceola, IA",0,1,0,0,1,0,0,0,1,1,2009
52734,"North English, IA","North Liberty, IA",0,0,1,0,1,0,0,0,1,1,2009
52692,"North English, IA","Ames, IA",0,1,0,0,1,0,1,0,0,1,2009
52694,"North English, IA","Atkins, IA",1,0,0,0,1,0,1,0,0,1,2009
52696,"North English, IA","Belmond, IA",1,0,0,0,0,1,1,0,0,1,2009
52697,"North English, IA","Brighton, IA",0,1,0,0,1,0,1,0,0,1,2009
52699,"North English, IA","Burlington, IA",1,0,0,0,0,1,0,1,0,1,2009
52702,"North English, IA","Chariton, IA",1,0,0,0,1,0,1,0,0,1,2009
52704,"North English, IA","Coralville, IA",0,1,0,0,1,0,1,0,0,1,2009
52705,"North English, IA","Creston, IA",0,1,0,0,0,1,1,0,0,1,2009
52706,"North English, IA","Davenport, IA",0,1,0,0,1,0,0,1,0,1,2009
52707,"North English, IA","Delta, IA",0,1,0,0,1,0,0,0,1,1,2009
52708,"North English, IA","Dubuque, IA",1,0,0,0,1,0,0,1,0,1,2009
52709,"North English, IA","Eldora, IA",0,1,0,0,0,1,0,1,0,1,2009
52710,"North English, IA","Floyd, IA",0,0,1,0,1,0,0,0,1,1,2009
52711,"North English, IA","Fremont, IA",0,1,0,0,1,0,1,0,0,1,2009
52713,"North English, IA","Gilman, IA",0,1,0,0,0,1,1,0,0,1,2009
52716,"North English, IA","Guttenberg, IA",1,0,0,0,0,1,1,0,0,1,2009
52717,"North English, IA","Hartwick, IA",0,0,1,0,1,0,0,1,0,1,2009
52721,"North English, IA","Kinross, IA",1,0,0,0,0,1,0,1,0,1,2009
52723,"North English, IA","Lenox, IA",1,0,0,0,0,1,1,0,0,1,2009
52725,"North English, IA","Lisbon, IA",1,0,0,0,0,1,0,0,1,1,2009
52691,"North English, IA","Algona, IA",0,0,1,0,1,0,1,0,0,1,2009
52729,"North English, IA","Montour, IA",0,1,0,0,1,0,1,0,0,1,2009
52730,"North English, IA","Mystic, IA",1,0,0,0,1,0,1,0,0,1,2009
52731,"North English, IA","New Sharon, IA",0,1,0,0,1,0,0,0,1,1,2009
52732,"North English, IA","Nora Springs, IA",0,0,1,0,1,0,1,0,0,1,2009
52764,"North English, IA","Windsor Heights, IA",0,1,0,0,1,0,1,0,0,1,2009
