,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
58181,"Plainfield, IA","Readlyn, IA",2,13,2,2,13,2,8,2,7,17,2009
58188,"Plainfield, IA","Tripoli, IA",2,8,5,4,7,4,7,5,3,15,2009
58174,"Plainfield, IA","Nashua, IA",3,4,7,0,13,1,2,4,8,14,2009
58178,"Plainfield, IA","Plainfield, IA",3,7,3,1,10,2,9,2,2,13,2009
58189,"Plainfield, IA","Waverly, IA",2,7,1,1,7,2,2,2,6,10,2009
58183,"Plainfield, IA","Shell Rock, IA",3,3,2,1,5,2,0,3,5,8,2009
58187,"Plainfield, IA","Sumner, IA",1,4,2,4,3,0,0,5,2,7,2009
58177,"Plainfield, IA","Parkersburg, IA",1,4,1,1,3,2,0,2,4,6,2009
58175,"Plainfield, IA","New Hampton, IA",1,3,1,1,4,0,1,1,3,5,2009
58162,"Plainfield, IA","Fairbank, IA",0,4,0,3,1,0,0,2,2,4,2009
58164,"Plainfield, IA","Frederika, IA",1,1,1,0,2,1,1,1,1,3,2009
58186,"Plainfield, IA","Stanley, IA",1,1,0,1,0,1,0,0,2,2,2009
58176,"Plainfield, IA","Nora Springs, IA",0,2,0,0,2,0,1,1,0,2,2009
58160,"Plainfield, IA","Denver, IA",0,2,0,0,2,0,0,1,1,2,2009
58179,"Plainfield, IA","Protivin, IA",0,1,0,1,0,0,0,0,1,1,2009
58151,"Plainfield, IA","Alta Vista, IA",0,1,0,0,1,0,1,0,0,1,2009
58180,"Plainfield, IA","Randalia, IA",0,1,0,0,0,1,0,0,1,1,2009
58173,"Plainfield, IA","Morrison, IA",0,0,1,0,0,1,0,0,1,1,2009
58184,"Plainfield, IA","Sioux City, IA",0,1,0,0,0,1,0,0,1,1,2009
58185,"Plainfield, IA","St. Lucas, IA",0,0,1,0,1,0,0,1,0,1,2009
58182,"Plainfield, IA","Rockford, IA",0,1,0,0,1,0,0,1,0,1,2009
58171,"Plainfield, IA","Lime Springs, IA",0,1,0,1,0,0,0,0,1,1,2009
58172,"Plainfield, IA","Monticello, IA",0,0,1,0,0,1,0,1,0,1,2009
58152,"Plainfield, IA","Altoona, IA",0,1,0,0,0,1,0,0,1,1,2009
58153,"Plainfield, IA","Ames, IA",0,1,0,0,0,1,0,1,0,1,2009
58154,"Plainfield, IA","Bristow, IA",0,0,1,0,0,1,0,1,0,1,2009
58155,"Plainfield, IA","Brooklyn, IA",0,1,0,1,0,0,0,1,0,1,2009
58156,"Plainfield, IA","Camanche, IA",0,1,0,0,1,0,1,0,0,1,2009
58157,"Plainfield, IA","Cedar Falls, IA",0,1,0,1,0,0,0,1,0,1,2009
58158,"Plainfield, IA","Charles City, IA",0,0,1,0,0,1,1,0,0,1,2009
58159,"Plainfield, IA","Decorah, IA",0,0,1,0,0,1,0,1,0,1,2009
58161,"Plainfield, IA","Des Moines, IA",0,1,0,0,0,1,0,0,1,1,2009
58163,"Plainfield, IA","Fredericksburg, IA",0,0,1,1,0,0,0,0,1,1,2009
58165,"Plainfield, IA","Geneva, IA",0,1,0,0,0,1,0,0,1,1,2009
58166,"Plainfield, IA","Grand Junction, IA",0,1,0,0,0,1,0,0,1,1,2009
58167,"Plainfield, IA","Greene, IA",0,1,0,0,1,0,0,0,1,1,2009
58168,"Plainfield, IA","Hampton, IA",0,1,0,0,0,1,0,1,0,1,2009
58169,"Plainfield, IA","Hinton, IA",0,1,0,0,0,1,0,1,0,1,2009
58170,"Plainfield, IA","Janesville, IA",0,0,1,0,1,0,0,1,0,1,2009
58190,"Plainfield, IA","Woodbine, IA",1,0,0,0,0,1,0,0,1,1,2009
