,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
61443,"Rippey, IA","Grand Junction, IA",2,12,8,9,8,5,11,5,6,22,2009
61451,"Rippey, IA","Jefferson, IA",6,10,2,7,3,8,3,8,7,18,2009
61470,"Rippey, IA","Rippey, IA",2,9,3,3,9,2,5,4,5,14,2009
61419,"Rippey, IA","Boxholm, IA",1,8,2,2,7,2,3,3,5,11,2009
61423,"Rippey, IA","Carroll, IA",2,6,2,1,1,8,2,5,3,10,2009
61413,"Rippey, IA","Bagley, IA",1,5,2,1,4,3,2,1,5,8,2009
61466,"Rippey, IA","Perry, IA",1,4,3,3,2,3,2,1,5,8,2009
61450,"Rippey, IA","Indianola, IA",3,1,2,4,0,2,3,1,2,6,2009
61438,"Rippey, IA","Farnhamville, IA",3,2,0,4,0,1,0,1,4,5,2009
61430,"Rippey, IA","Coon Rapids, IA",4,1,0,1,1,3,1,2,2,5,2009
61418,"Rippey, IA","Boone, IA",1,4,0,1,3,1,2,3,0,5,2009
61422,"Rippey, IA","Carlisle, IA",1,2,1,1,0,3,1,2,1,4,2009
61427,"Rippey, IA","Clive, IA",1,2,1,1,1,2,0,2,2,4,2009
61435,"Rippey, IA","Des Moines, IA",1,3,0,2,0,2,0,3,1,4,2009
61482,"Rippey, IA","West Des Moines, IA",1,2,1,2,1,1,1,1,2,4,2009
61463,"Rippey, IA","Ogden, IA",0,3,1,0,3,1,0,0,4,4,2009
61462,"Rippey, IA","Norwalk, IA",2,1,1,1,0,3,2,0,2,4,2009
61485,"Rippey, IA","Windsor Heights, IA",2,1,1,4,0,0,0,1,3,4,2009
61411,"Rippey, IA","Ames, IA",1,1,2,0,1,3,0,3,1,4,2009
61426,"Rippey, IA","Churdan, IA",0,3,0,0,1,2,1,2,0,3,2009
61467,"Rippey, IA","Pleasant Hill, IA",1,0,2,3,0,0,1,1,1,3,2009
61477,"Rippey, IA","Urbandale, IA",1,1,1,2,0,1,1,2,0,3,2009
61432,"Rippey, IA","Dawson, IA",1,0,2,2,1,0,0,3,0,3,2009
61410,"Rippey, IA","Altoona, IA",1,1,0,1,1,0,0,1,1,2,2009
61454,"Rippey, IA","Knierim, IA",0,1,1,1,0,1,0,1,1,2,2009
61440,"Rippey, IA","Fort Dodge, IA",0,2,0,1,1,0,0,2,0,2,2009
61448,"Rippey, IA","Hiawatha, IA",0,2,0,1,0,1,0,1,1,2,2009
61458,"Rippey, IA","Marshalltown, IA",0,2,0,2,0,0,0,0,2,2,2009
61424,"Rippey, IA","Carter Lake, IA",1,1,0,0,0,2,1,0,1,2,2009
61484,"Rippey, IA","Willey, IA",0,2,0,1,0,1,1,0,1,2,2009
61415,"Rippey, IA","Bayard, IA",1,0,1,0,0,2,2,0,0,2,2009
61431,"Rippey, IA","Council Bluffs, IA",1,1,0,1,0,1,0,1,1,2,2009
61480,"Rippey, IA","Waukee, IA",2,0,0,1,1,0,0,2,0,2,2009
61465,"Rippey, IA","Panora, IA",0,1,0,0,0,1,0,0,1,1,2009
61460,"Rippey, IA","Minburn, IA",1,0,0,1,0,0,0,1,0,1,2009
61461,"Rippey, IA","Nevada, IA",0,1,0,1,0,0,1,0,0,1,2009
61483,"Rippey, IA","Westside, IA",0,1,0,0,0,1,0,0,1,1,2009
61464,"Rippey, IA","Pacific Junction, IA",0,0,1,0,1,0,0,1,0,1,2009
61481,"Rippey, IA","Waverly, IA",0,1,0,1,0,0,0,0,1,1,2009
61473,"Rippey, IA","Stanhope, IA",0,0,1,0,0,1,0,1,0,1,2009
61474,"Rippey, IA","Stuart, IA",0,1,0,0,0,1,0,1,0,1,2009
61479,"Rippey, IA","Waterloo, IA",1,0,0,0,0,1,0,1,0,1,2009
61478,"Rippey, IA","Wall Lake, IA",0,1,0,0,0,1,0,0,1,1,2009
61468,"Rippey, IA","Rhodes, IA",0,1,0,1,0,0,0,0,1,1,2009
61469,"Rippey, IA","Rinard, IA",0,1,0,0,0,1,0,1,0,1,2009
61476,"Rippey, IA","Swan, IA",0,1,0,1,0,0,0,0,1,1,2009
61471,"Rippey, IA","Roland, IA",1,0,0,0,0,1,1,0,0,1,2009
61459,"Rippey, IA","Mechanicsville, IA",0,1,0,0,0,1,0,1,0,1,2009
61472,"Rippey, IA","Sioux City, IA",0,1,0,0,1,0,0,0,1,1,2009
61475,"Rippey, IA","Sully, IA",0,1,0,0,0,1,0,0,1,1,2009
61409,"Rippey, IA","Adel, IA",1,0,0,1,0,0,0,1,0,1,2009
61457,"Rippey, IA","Liscomb, IA",0,1,0,0,0,1,0,1,0,1,2009
61436,"Rippey, IA","East Peru, IA",0,1,0,1,0,0,0,1,0,1,2009
61412,"Rippey, IA","Ankeny, IA",1,0,0,0,0,1,1,0,0,1,2009
