,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
69366,"Superior, IA","Spirit Lake, IA",46,48,14,12,94,2,79,23,6,108,2009
69368,"Superior, IA","Superior, IA",9,35,33,31,42,4,23,45,9,77,2009
69338,"Superior, IA","Estherville, IA",10,23,1,14,12,8,11,18,5,34,2009
69353,"Superior, IA","Milford, IA",8,14,8,6,22,2,18,7,5,30,2009
69328,"Superior, IA","Arnolds Park, IA",6,7,2,1,14,0,8,7,0,15,2009
69346,"Superior, IA","Harris, IA",3,5,6,4,10,0,9,2,3,14,2009
69365,"Superior, IA","Spencer, IA",2,1,7,0,8,2,3,7,0,10,2009
69372,"Superior, IA","Wahpeton, IA",2,4,2,2,6,0,7,0,1,8,2009
69370,"Superior, IA","Terril, IA",4,3,0,2,5,0,3,4,0,7,2009
69327,"Superior, IA","Armstrong, IA",0,5,0,3,2,0,0,0,5,5,2009
69349,"Superior, IA","Lake Park, IA",0,3,2,3,2,0,2,1,2,5,2009
69374,"Superior, IA","West Okoboji, IA",3,0,1,0,4,0,4,0,0,4,2009
69336,"Superior, IA","Dolliver, IA",0,4,0,3,1,0,0,4,0,4,2009
69335,"Superior, IA","Dickens, IA",2,1,0,0,2,1,2,0,1,3,2009
69359,"Superior, IA","Royal, IA",0,1,1,1,0,1,1,1,0,2,2009
69351,"Superior, IA","Marcus, IA",2,0,0,0,2,0,2,0,0,2,2009
69340,"Superior, IA","Fostoria, IA",0,2,0,1,0,1,0,0,2,2,2009
69339,"Superior, IA","Exira, IA",0,2,0,0,2,0,2,0,0,2,2009
69369,"Superior, IA","Sutherland, IA",1,0,1,0,1,1,1,1,0,2,2009
69371,"Superior, IA","Truesdale, IA",1,0,1,1,1,0,1,1,0,2,2009
69358,"Superior, IA","Rock Rapids, IA",1,0,0,0,1,0,1,0,0,1,2009
69360,"Superior, IA","Ruthven, IA",0,1,0,1,0,0,0,0,1,1,2009
69367,"Superior, IA","Storm Lake, IA",0,1,0,1,0,0,1,0,0,1,2009
69361,"Superior, IA","Sanborn, IA",1,0,0,0,0,1,0,0,1,1,2009
69362,"Superior, IA","Sibley, IA",0,1,0,1,0,0,0,1,0,1,2009
69363,"Superior, IA","Sioux Rapids, IA",1,0,0,1,0,0,0,1,0,1,2009
69364,"Superior, IA","Sloan, IA",0,1,0,0,1,0,0,0,1,1,2009
69356,"Superior, IA","Pleasant Hill, IA",1,0,0,0,1,0,0,1,0,1,2009
69373,"Superior, IA","Wallingford, IA",0,1,0,1,0,0,0,1,0,1,2009
69357,"Superior, IA","Primghar, IA",0,1,0,0,1,0,1,0,0,1,2009
69326,"Superior, IA","Alton, IA",1,0,0,0,0,1,0,1,0,1,2009
69355,"Superior, IA","Panora, IA",1,0,0,1,0,0,0,1,0,1,2009
69341,"Superior, IA","Garner, IA",0,1,0,0,0,1,0,0,1,1,2009
69329,"Superior, IA","Arthur, IA",0,1,0,0,0,1,0,1,0,1,2009
69330,"Superior, IA","Ashton, IA",0,0,1,0,0,1,1,0,0,1,2009
69331,"Superior, IA","Boyden, IA",0,0,1,0,1,0,0,1,0,1,2009
69332,"Superior, IA","Carroll, IA",0,0,1,1,0,0,0,1,0,1,2009
69333,"Superior, IA","Center Junction, IA",1,0,0,0,1,0,0,1,0,1,2009
69334,"Superior, IA","Cherokee, IA",0,0,1,0,1,0,0,1,0,1,2009
69337,"Superior, IA","Emmetsburg, IA",1,0,0,0,1,0,1,0,0,1,2009
69342,"Superior, IA","George, IA",1,0,0,0,1,0,1,0,0,1,2009
69354,"Superior, IA","Ocheyedan, IA",0,1,0,1,0,0,0,0,1,1,2009
69343,"Superior, IA","Grand Mound, IA",1,0,0,0,1,0,1,0,0,1,2009
69344,"Superior, IA","Greenville, IA",0,1,0,0,1,0,1,0,0,1,2009
69345,"Superior, IA","Guthrie Center, IA",0,1,0,0,0,1,0,0,1,1,2009
69347,"Superior, IA","Hinton, IA",0,1,0,0,1,0,0,1,0,1,2009
69348,"Superior, IA","Houghton, IA",0,1,0,1,0,0,0,1,0,1,2009
69350,"Superior, IA","Lidderdale, IA",0,1,0,1,0,0,0,0,1,1,2009
69352,"Superior, IA","Merrill, IA",0,1,0,0,1,0,0,1,0,1,2009
69375,"Superior, IA","Westside, IA",0,1,0,1,0,0,1,0,0,1,2009
