,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
78117,"Wheatland, IA","Wheatland, IA",10,25,14,9,37,3,28,17,4,49,2009
78085,"Wheatland, IA","Grand Mound, IA",15,19,10,4,35,5,22,15,7,44,2009
78074,"Wheatland, IA","Clarence, IA",4,17,6,8,16,3,12,9,6,27,2009
78092,"Wheatland, IA","Lowden, IA",4,14,8,11,13,2,10,12,4,26,2009
78080,"Wheatland, IA","Dixon, IA",8,14,2,1,18,5,10,12,2,24,2009
78078,"Wheatland, IA","De Witt, IA",4,16,3,1,18,4,3,10,10,23,2009
78101,"Wheatland, IA","New Liberty, IA",7,10,3,2,17,1,11,7,2,20,2009
78065,"Wheatland, IA","Baldwin, IA",0,15,3,2,14,2,3,13,2,18,2009
78094,"Wheatland, IA","Mechanicsville, IA",2,10,4,4,11,1,6,4,6,16,2009
78077,"Wheatland, IA","Davenport, IA",1,4,3,3,2,3,1,5,2,8,2009
78111,"Wheatland, IA","Tipton, IA",0,2,6,0,8,0,4,2,2,8,2009
78088,"Wheatland, IA","Lisbon, IA",0,4,2,0,5,1,2,1,3,6,2009
78098,"Wheatland, IA","Morley, IA",0,4,1,2,2,1,0,2,3,5,2009
78089,"Wheatland, IA","Long Grove, IA",0,3,1,0,3,1,0,4,0,4,2009
78093,"Wheatland, IA","Maquoketa, IA",1,3,0,1,3,0,1,2,1,4,2009
78081,"Wheatland, IA","Dubuque, IA",0,2,2,0,1,3,0,2,2,4,2009
78090,"Wheatland, IA","Lost Nation, IA",2,1,1,1,3,0,2,2,0,4,2009
78072,"Wheatland, IA","Cedar Rapids, IA",2,2,0,0,3,1,0,0,4,4,2009
78110,"Wheatland, IA","Springbrook, IA",0,4,0,1,3,0,0,3,1,4,2009
78067,"Wheatland, IA","Bettendorf, IA",0,3,1,1,2,1,1,2,1,4,2009
78116,"Wheatland, IA","West Branch, IA",0,2,2,1,3,0,3,0,1,4,2009
78105,"Wheatland, IA","Pleasant Hill, IA",1,1,1,2,0,1,1,1,1,3,2009
78106,"Wheatland, IA","Preston, IA",0,3,0,1,2,0,0,2,1,3,2009
78118,"Wheatland, IA","Wilton, IA",1,2,0,2,0,1,1,1,1,3,2009
78103,"Wheatland, IA","Oxford Junction, IA",1,2,0,2,0,1,1,1,1,3,2009
78119,"Wheatland, IA","Wyoming, IA",0,1,2,1,2,0,2,1,0,3,2009
78073,"Wheatland, IA","Center Junction, IA",1,1,1,1,2,0,0,3,0,3,2009
78075,"Wheatland, IA","Clinton, IA",1,1,1,0,2,1,1,2,0,3,2009
78070,"Wheatland, IA","Camanche, IA",1,1,1,0,2,1,3,0,0,3,2009
78095,"Wheatland, IA","Middletown, IA",0,2,0,1,0,1,0,2,0,2,2009
78100,"Wheatland, IA","Muscatine, IA",0,1,1,1,1,0,0,0,2,2,2009
78096,"Wheatland, IA","Monticello, IA",0,2,0,0,2,0,0,2,0,2,2009
78115,"Wheatland, IA","Welton, IA",1,1,0,0,2,0,1,1,0,2,2009
78066,"Wheatland, IA","Bennett, IA",0,1,1,0,2,0,0,0,2,2,2009
78107,"Wheatland, IA","Princeton, IA",0,2,0,0,1,1,1,1,0,2,2009
78114,"Wheatland, IA","Wapello, IA",0,1,0,0,0,1,0,0,1,1,2009
78113,"Wheatland, IA","Vinton, IA",1,0,0,0,1,0,0,0,1,1,2009
78112,"Wheatland, IA","University Heights, IA",0,1,0,0,1,0,0,0,1,1,2009
78068,"Wheatland, IA","Buffalo, IA",0,1,0,0,0,1,1,0,0,1,2009
78069,"Wheatland, IA","Burlington, IA",0,1,0,0,1,0,0,0,1,1,2009
78064,"Wheatland, IA","Atalissa, IA",0,1,0,1,0,0,1,0,0,1,2009
78063,"Wheatland, IA","Andover, IA",0,1,0,0,1,0,0,0,1,1,2009
78109,"Wheatland, IA","Sabula, IA",0,1,0,1,0,0,0,1,0,1,2009
78108,"Wheatland, IA","Robins, IA",0,0,1,0,0,1,1,0,0,1,2009
78087,"Wheatland, IA","Le Claire, IA",1,0,0,0,1,0,1,0,0,1,2009
78071,"Wheatland, IA","Cedar Falls, IA",0,1,0,1,0,0,1,0,0,1,2009
78104,"Wheatland, IA","Parkersburg, IA",1,0,0,0,1,0,1,0,0,1,2009
78086,"Wheatland, IA","Keokuk, IA",0,1,0,1,0,0,0,0,1,1,2009
78102,"Wheatland, IA","Ottumwa, IA",0,1,0,0,1,0,0,0,1,1,2009
78099,"Wheatland, IA","Mount Pleasant, IA",1,0,0,0,1,0,0,1,0,1,2009
78076,"Wheatland, IA","Crawfordsville, IA",0,0,1,1,0,0,0,1,0,1,2009
78097,"Wheatland, IA","Montrose, IA",0,1,0,1,0,0,0,1,0,1,2009
78079,"Wheatland, IA","Decorah, IA",0,1,0,1,0,0,0,0,1,1,2009
78082,"Wheatland, IA","Durant, IA",0,1,0,0,1,0,1,0,0,1,2009
78083,"Wheatland, IA","Eldridge, IA",0,1,0,1,0,0,0,0,1,1,2009
78091,"Wheatland, IA","Low Moor, IA",0,1,0,1,0,0,0,1,0,1,2009
78062,"Wheatland, IA","Anamosa, IA",0,1,0,0,1,0,0,0,1,1,2009
78084,"Wheatland, IA","Garwin, IA",1,0,0,0,1,0,0,1,0,1,2009
78061,"Wheatland, IA","Ames, IA",1,0,0,0,1,0,0,1,0,1,2009
