,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
79748,"Wiota, IA","Wiota, IA",22,39,20,15,49,17,31,39,11,81,2009
79666,"Wiota, IA","Atlantic, IA",5,33,22,12,33,15,20,32,8,60,2009
79663,"Wiota, IA","Anita, IA",10,15,8,7,20,6,10,20,3,33,2009
79713,"Wiota, IA","Lewis, IA",7,11,4,9,9,4,3,16,3,22,2009
79692,"Wiota, IA","Exira, IA",1,9,2,1,9,2,4,7,1,12,2009
79679,"Wiota, IA","Council Bluffs, IA",4,3,2,0,7,2,4,3,2,9,2009
79660,"Wiota, IA","Adair, IA",2,7,0,0,8,1,3,4,2,9,2009
79681,"Wiota, IA","Cumberland, IA",0,3,4,1,3,3,2,5,0,7,2009
79667,"Wiota, IA","Audubon, IA",0,6,0,0,6,0,2,4,0,6,2009
79704,"Wiota, IA","Harlan, IA",1,4,1,0,4,2,0,1,5,6,2009
79702,"Wiota, IA","Greenfield, IA",1,3,1,5,0,0,1,4,0,5,2009
79703,"Wiota, IA","Guthrie Center, IA",3,1,1,3,2,0,1,4,0,5,2009
79686,"Wiota, IA","Des Moines, IA",1,4,0,0,5,0,1,3,1,5,2009
79717,"Wiota, IA","Massena, IA",2,2,1,1,3,1,1,4,0,5,2009
79731,"Wiota, IA","Schleswig, IA",0,4,0,0,4,0,0,4,0,4,2009
79739,"Wiota, IA","Urbandale, IA",1,3,0,0,4,0,2,0,2,4,2009
79685,"Wiota, IA","Denison, IA",1,1,2,0,4,0,1,2,1,4,2009
79670,"Wiota, IA","Carson, IA",0,1,2,2,1,0,0,3,0,3,2009
79664,"Wiota, IA","Ankeny, IA",0,3,0,0,3,0,0,0,3,3,2009
79691,"Wiota, IA","Elk Horn, IA",0,0,3,0,1,2,0,1,2,3,2009
79722,"Wiota, IA","Nodaway, IA",1,2,0,0,3,0,2,1,0,3,2009
79740,"Wiota, IA","Walnut, IA",1,1,1,1,1,1,1,2,0,3,2009
79728,"Wiota, IA","Pleasant Hill, IA",2,0,0,0,2,0,0,2,0,2,2009
79695,"Wiota, IA","Fort Dodge, IA",1,1,0,0,2,0,1,1,0,2,2009
79732,"Wiota, IA","Shenandoah, IA",0,1,1,0,1,1,0,2,0,2,2009
79712,"Wiota, IA","Lenox, IA",1,1,0,0,2,0,1,1,0,2,2009
79734,"Wiota, IA","Sioux City, IA",1,1,0,0,2,0,0,0,2,2,2009
79736,"Wiota, IA","Stuart, IA",2,0,0,2,0,0,0,2,0,2,2009
79671,"Wiota, IA","Carter Lake, IA",1,1,0,0,1,1,1,1,0,2,2009
79668,"Wiota, IA","Bedford, IA",0,2,0,2,0,0,0,2,0,2,2009
79706,"Wiota, IA","Ida Grove, IA",1,1,0,1,0,1,0,1,1,2,2009
79742,"Wiota, IA","Waverly, IA",0,2,0,0,1,1,0,2,0,2,2009
79745,"Wiota, IA","Westside, IA",0,2,0,0,2,0,2,0,0,2,2009
79746,"Wiota, IA","Windsor Heights, IA",0,2,0,0,2,0,0,0,2,2,2009
79701,"Wiota, IA","Grant, IA",0,1,1,1,1,0,0,1,1,2,2009
79709,"Wiota, IA","Kimballton, IA",0,0,2,0,1,1,0,1,1,2,2009
79669,"Wiota, IA","Brayton, IA",0,0,2,0,1,1,0,1,1,2,2009
79675,"Wiota, IA","Clear Lake, IA",0,1,1,0,2,0,1,1,0,2,2009
79688,"Wiota, IA","Dunlap, IA",0,2,0,0,2,0,0,2,0,2,2009
79678,"Wiota, IA","Corning, IA",0,2,0,0,2,0,0,1,1,2,2009
79696,"Wiota, IA","Gilbert, IA",0,0,1,0,1,0,0,0,1,1,2009
79735,"Wiota, IA","Sloan, IA",0,0,1,0,0,1,1,0,0,1,2009
79725,"Wiota, IA","Osceola, IA",0,1,0,0,1,0,0,1,0,1,2009
79726,"Wiota, IA","Panama, IA",0,1,0,0,1,0,0,1,0,1,2009
79727,"Wiota, IA","Pella, IA",0,1,0,0,0,1,0,1,0,1,2009
79729,"Wiota, IA","Randalia, IA",0,1,0,0,1,0,1,0,0,1,2009
79730,"Wiota, IA","Randolph, IA",0,1,0,0,0,1,0,1,0,1,2009
79680,"Wiota, IA","Creston, IA",0,1,0,0,0,1,1,0,0,1,2009
79665,"Wiota, IA","Arthur, IA",1,0,0,0,1,0,1,0,0,1,2009
79733,"Wiota, IA","Sigourney, IA",0,1,0,0,1,0,0,0,1,1,2009
79737,"Wiota, IA","Tennant, IA",0,0,1,0,1,0,1,0,0,1,2009
79677,"Wiota, IA","Coon Rapids, IA",0,1,0,0,1,0,1,0,0,1,2009
79723,"Wiota, IA","Norwalk, IA",0,1,0,0,0,1,0,1,0,1,2009
79738,"Wiota, IA","Tiffin, IA",0,1,0,0,1,0,0,0,1,1,2009
79676,"Wiota, IA","Clearfield, IA",0,0,1,0,1,0,1,0,0,1,2009
79741,"Wiota, IA","Waterloo, IA",0,1,0,0,1,0,0,0,1,1,2009
79674,"Wiota, IA","Center Junction, IA",1,0,0,0,1,0,0,1,0,1,2009
79743,"Wiota, IA","Wellsburg, IA",0,1,0,0,0,1,0,1,0,1,2009
79744,"Wiota, IA","West Des Moines, IA",1,0,0,0,1,0,0,1,0,1,2009
79673,"Wiota, IA","Cedar Falls, IA",1,0,0,0,1,0,1,0,0,1,2009
79672,"Wiota, IA","Casey, IA",0,1,0,0,1,0,0,1,0,1,2009
79747,"Wiota, IA","Winterset, IA",0,1,0,0,1,0,0,0,1,1,2009
79724,"Wiota, IA","Orient, IA",0,1,0,0,1,0,1,0,0,1,2009
79682,"Wiota, IA","Defiance, IA",0,1,0,0,0,1,0,0,1,1,2009
79697,"Wiota, IA","Gilman, IA",0,0,1,0,1,0,1,0,0,1,2009
79687,"Wiota, IA","Dubuque, IA",0,1,0,0,1,0,1,0,0,1,2009
79698,"Wiota, IA","Glenwood, IA",0,0,1,0,1,0,0,1,0,1,2009
79699,"Wiota, IA","Grand Junction, IA",1,0,0,0,1,0,1,0,0,1,2009
79700,"Wiota, IA","Granger, IA",1,0,0,0,1,0,1,0,0,1,2009
79694,"Wiota, IA","Floyd, IA",1,0,0,0,1,0,1,0,0,1,2009
79693,"Wiota, IA","Fairfield, IA",0,0,1,0,0,1,0,0,1,1,2009
79690,"Wiota, IA","East Peru, IA",0,1,0,0,1,0,0,0,1,1,2009
79661,"Wiota, IA","Altoona, IA",1,0,0,0,1,0,0,1,0,1,2009
79705,"Wiota, IA","Huxley, IA",0,1,0,0,1,0,0,0,1,1,2009
79689,"Wiota, IA","Eagle Grove, IA",0,1,0,0,1,0,0,1,0,1,2009
79707,"Wiota, IA","Irwin, IA",0,1,0,0,1,0,1,0,0,1,2009
79710,"Wiota, IA","Le Grand, IA",0,1,0,0,1,0,1,0,0,1,2009
79721,"Wiota, IA","Moorhead, IA",1,0,0,0,1,0,0,1,0,1,2009
79711,"Wiota, IA","Le Roy, IA",0,1,0,0,0,1,1,0,0,1,2009
79684,"Wiota, IA","Delta, IA",1,0,0,0,1,0,1,0,0,1,2009
79662,"Wiota, IA","Ames, IA",0,1,0,0,1,0,1,0,0,1,2009
79714,"Wiota, IA","Little Sioux, IA",0,1,0,0,1,0,0,1,0,1,2009
79715,"Wiota, IA","Manning, IA",0,1,0,0,0,1,0,0,1,1,2009
79716,"Wiota, IA","Mapleton, IA",0,0,1,0,1,0,0,1,0,1,2009
79683,"Wiota, IA","Deloit, IA",1,0,0,0,1,0,0,1,0,1,2009
79718,"Wiota, IA","Melcher-Dallas, IA",0,1,0,0,1,0,0,1,0,1,2009
79719,"Wiota, IA","Monroe, IA",1,0,0,0,0,1,0,0,1,1,2009
79720,"Wiota, IA","Monticello, IA",0,1,0,0,1,0,0,1,0,1,2009
79708,"Wiota, IA","Keota, IA",0,1,0,1,0,0,0,1,0,1,2009
