,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27543,"Frederika, IA","Waverly, IA",28,67,28,26,79,18,35,47,41,123,2010
27542,"Frederika, IA","Waterloo, IA",20,40,12,23,37,12,17,25,30,72,2010
27532,"Frederika, IA","Readlyn, IA",17,39,16,5,54,13,33,23,16,72,2010
27477,"Frederika, IA","Cedar Falls, IA",11,26,13,9,33,8,7,22,21,50,2010
27494,"Frederika, IA","Elk Run Heights, IA",4,12,5,20,1,0,2,1,18,21,2010
27489,"Frederika, IA","Denver, IA",7,4,4,9,5,1,2,7,6,15,2010
27518,"Frederika, IA","Mason City, IA",5,6,1,0,6,6,7,2,3,12,2010
27483,"Frederika, IA","Council Bluffs, IA",3,5,2,2,2,6,3,4,3,10,2010
27478,"Frederika, IA","Cedar Rapids, IA",4,4,1,0,6,3,1,4,4,9,2010
27474,"Frederika, IA","Ames, IA",2,4,2,1,3,4,1,4,3,8,2010
27495,"Frederika, IA","Evansdale, IA",2,5,1,1,4,3,2,4,2,8,2010
27505,"Frederika, IA","Hiawatha, IA",2,4,1,0,1,6,2,4,1,7,2010
27538,"Frederika, IA","Sumner, IA",0,4,2,0,5,1,5,1,0,6,2010
27517,"Frederika, IA","Marshalltown, IA",3,1,2,3,3,0,1,3,2,6,2010
27490,"Frederika, IA","Des Moines, IA",0,4,2,0,3,3,1,2,3,6,2010
27511,"Frederika, IA","Janesville, IA",2,2,2,2,1,3,2,2,2,6,2010
27521,"Frederika, IA","Nashua, IA",1,3,1,1,4,0,0,1,4,5,2010
27522,"Frederika, IA","New Hampton, IA",0,2,2,2,2,0,0,2,2,4,2010
27530,"Frederika, IA","Randalia, IA",0,3,0,0,1,2,2,1,0,3,2010
27479,"Frederika, IA","Center Point, IA",0,1,2,0,2,1,0,0,3,3,2010
27486,"Frederika, IA","Davenport, IA",2,1,0,0,1,2,2,0,1,3,2010
27497,"Frederika, IA","Floyd, IA",1,2,0,3,0,0,0,0,3,3,2010
27524,"Frederika, IA","Oelwein, IA",0,3,0,1,2,0,0,3,0,3,2010
27509,"Frederika, IA","Iowa City, IA",1,0,2,0,1,2,1,1,1,3,2010
27500,"Frederika, IA","Fredericksburg, IA",0,1,2,2,1,0,1,1,1,3,2010
27528,"Frederika, IA","Parkersburg, IA",1,0,1,0,1,1,1,0,1,2,2010
27491,"Frederika, IA","Dougherty, IA",0,2,0,2,0,0,0,0,2,2,2010
27488,"Frederika, IA","Decorah, IA",0,1,1,1,0,1,1,1,0,2,2010
27529,"Frederika, IA","Plainfield, IA",2,0,0,0,1,1,2,0,0,2,2010
27533,"Frederika, IA","Robins, IA",1,1,0,0,1,1,1,1,0,2,2010
27535,"Frederika, IA","Sageville, IA",0,2,0,2,0,0,0,0,2,2,2010
27476,"Frederika, IA","Bettendorf, IA",0,1,1,0,2,0,1,1,0,2,2010
27546,"Frederika, IA","West Union, IA",0,2,0,0,2,0,0,1,1,2,2010
27510,"Frederika, IA","Iowa Falls, IA",2,0,0,1,1,0,1,1,0,2,2010
27519,"Frederika, IA","Monticello, IA",1,0,1,1,0,1,0,2,0,2,2010
27508,"Frederika, IA","Independence, IA",0,2,0,0,2,0,0,2,0,2,2010
27492,"Frederika, IA","Dubuque, IA",1,0,1,0,2,0,1,1,0,2,2010
27493,"Frederika, IA","Eldridge, IA",0,2,0,0,1,1,0,1,1,2,2010
27496,"Frederika, IA","Fairfax, IA",1,1,0,0,1,1,0,2,0,2,2010
27501,"Frederika, IA","Frederika, IA",0,1,1,1,1,0,0,2,0,2,2010
27537,"Frederika, IA","Steamboat Rock, IA",0,1,0,0,1,0,1,0,0,1,2010
27531,"Frederika, IA","Raymond, IA",0,1,0,1,0,0,0,0,1,1,2010
27481,"Frederika, IA","Clarksville, IA",0,0,1,0,1,0,1,0,0,1,2010
27498,"Frederika, IA","Fort Dodge, IA",0,0,1,0,0,1,0,1,0,1,2010
27534,"Frederika, IA","Ryan, IA",1,0,0,0,0,1,0,0,1,1,2010
27536,"Frederika, IA","Springville, IA",1,0,0,1,0,0,0,1,0,1,2010
27539,"Frederika, IA","Toledo, IA",0,1,0,1,0,0,0,1,0,1,2010
27480,"Frederika, IA","Charles City, IA",1,0,0,1,0,0,0,0,1,1,2010
27540,"Frederika, IA","University Heights, IA",1,0,0,0,1,0,0,0,1,1,2010
27541,"Frederika, IA","Vinton, IA",0,0,1,0,1,0,1,0,0,1,2010
27487,"Frederika, IA","De Soto, IA",0,1,0,0,0,1,0,1,0,1,2010
27544,"Frederika, IA","West Burlington, IA",1,0,0,0,1,0,1,0,0,1,2010
27545,"Frederika, IA","West Des Moines, IA",0,1,0,0,0,1,0,0,1,1,2010
27499,"Frederika, IA","Fort Madison, IA",1,0,0,0,0,1,1,0,0,1,2010
27502,"Frederika, IA","Grant, IA",0,0,1,0,1,0,0,0,1,1,2010
27507,"Frederika, IA","Humboldt, IA",1,0,0,0,0,1,1,0,0,1,2010
27482,"Frederika, IA","Clear Lake, IA",0,1,0,0,1,0,1,0,0,1,2010
27475,"Frederika, IA","Asbury, IA",0,1,0,0,1,0,0,0,1,1,2010
27512,"Frederika, IA","Jesup, IA",0,0,1,0,0,1,0,0,1,1,2010
27513,"Frederika, IA","Joice, IA",0,1,0,1,0,0,0,0,1,1,2010
27514,"Frederika, IA","Knoxville, IA",1,0,0,0,1,0,1,0,0,1,2010
27515,"Frederika, IA","Linden, IA",0,1,0,0,0,1,0,0,1,1,2010
27516,"Frederika, IA","Manchester, IA",0,1,0,0,1,0,0,0,1,1,2010
27484,"Frederika, IA","Creston, IA",1,0,0,0,1,0,1,0,0,1,2010
27506,"Frederika, IA","Hopkinton, IA",0,0,1,0,0,1,0,1,0,1,2010
27527,"Frederika, IA","Oxford, IA",0,1,0,1,0,0,0,1,0,1,2010
27520,"Frederika, IA","Morley, IA",0,1,0,1,0,0,0,0,1,1,2010
27485,"Frederika, IA","Dallas Center, IA",0,1,0,0,0,1,0,1,0,1,2010
27504,"Frederika, IA","Hampton, IA",0,1,0,0,1,0,1,0,0,1,2010
27523,"Frederika, IA","New Hartford, IA",0,1,0,1,0,0,0,0,1,1,2010
27503,"Frederika, IA","Grundy Center, IA",0,1,0,0,1,0,0,0,1,1,2010
27525,"Frederika, IA","Osage, IA",0,1,0,0,0,1,0,1,0,1,2010
27526,"Frederika, IA","Owasa, IA",0,1,0,1,0,0,0,1,0,1,2010
27547,"Frederika, IA","Yetter, IA",0,0,1,0,0,1,1,0,0,1,2010
