,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
28874,"Glidden, IA","Carroll, IA",63,127,40,55,134,41,76,85,69,230,2010
28946,"Glidden, IA","Willey, IA",7,11,11,7,12,10,8,14,7,29,2010
28896,"Glidden, IA","Glidden, IA",2,4,9,1,14,0,9,3,3,15,2010
28912,"Glidden, IA","Lake City, IA",2,6,6,2,12,0,6,6,2,14,2010
28916,"Glidden, IA","Lidderdale, IA",3,7,3,6,1,6,2,7,4,13,2010
28895,"Glidden, IA","Fort Dodge, IA",3,8,1,0,11,1,3,9,0,12,2010
28878,"Glidden, IA","Coon Rapids, IA",3,6,1,8,2,0,0,6,4,10,2010
28869,"Glidden, IA","Audubon, IA",2,5,2,5,2,2,1,2,6,9,2010
28936,"Glidden, IA","Sioux City, IA",4,4,0,1,3,4,5,2,1,8,2010
28877,"Glidden, IA","Clive, IA",2,6,0,0,4,4,2,3,3,8,2010
28880,"Glidden, IA","Council Bluffs, IA",2,3,1,0,1,5,3,3,0,6,2010
28864,"Glidden, IA","Ames, IA",2,4,0,0,4,2,1,4,1,6,2010
28941,"Glidden, IA","Wall Lake, IA",1,5,0,3,1,2,0,3,3,6,2010
28888,"Glidden, IA","Des Moines, IA",1,3,1,0,4,1,0,3,2,5,2010
28887,"Glidden, IA","Denison, IA",1,4,0,3,1,1,0,1,4,5,2010
28940,"Glidden, IA","Urbandale, IA",1,3,1,0,3,2,1,1,3,5,2010
28949,"Glidden, IA","Yetter, IA",3,2,0,5,0,0,4,1,0,5,2010
28872,"Glidden, IA","Boone, IA",1,3,1,0,3,2,2,2,1,5,2010
28870,"Glidden, IA","Bagley, IA",2,3,0,0,5,0,1,2,2,5,2010
28917,"Glidden, IA","Melcher-Dallas, IA",1,3,0,4,0,0,0,0,4,4,2010
28909,"Glidden, IA","Jefferson, IA",1,0,3,0,2,2,2,2,0,4,2010
28910,"Glidden, IA","Johnston, IA",2,2,0,0,2,2,2,0,2,4,2010
28866,"Glidden, IA","Arcadia, IA",1,3,0,2,2,0,0,3,1,4,2010
28894,"Glidden, IA","Exira, IA",1,3,0,1,1,2,0,3,1,4,2010
28943,"Glidden, IA","Webster City, IA",1,1,2,0,2,2,3,1,0,4,2010
28944,"Glidden, IA","West Des Moines, IA",2,2,0,2,1,1,1,1,2,4,2010
28911,"Glidden, IA","Knierim, IA",0,2,1,0,2,1,1,0,2,3,2010
28948,"Glidden, IA","Windsor Heights, IA",2,1,0,0,2,1,0,2,1,3,2010
28905,"Glidden, IA","Ida Grove, IA",0,1,2,0,3,0,1,1,1,3,2010
28868,"Glidden, IA","Atlantic, IA",2,0,1,2,0,1,0,2,1,3,2010
28938,"Glidden, IA","Storm Lake, IA",1,2,0,0,2,1,1,2,0,3,2010
28945,"Glidden, IA","Westside, IA",0,2,0,0,0,2,0,2,0,2,2010
28904,"Glidden, IA","Humboldt, IA",1,0,1,1,1,0,1,1,0,2,2010
28903,"Glidden, IA","Harlan, IA",1,0,1,0,1,1,2,0,0,2,2010
28930,"Glidden, IA","Sac City, IA",0,2,0,0,0,2,0,2,0,2,2010
28884,"Glidden, IA","Dawson, IA",1,1,0,0,1,1,0,2,0,2,2010
28898,"Glidden, IA","Grand Junction, IA",0,2,0,0,0,2,1,1,0,2,2010
28881,"Glidden, IA","Cumberland, IA",2,0,0,0,2,0,2,0,0,2,2010
28908,"Glidden, IA","Irwin, IA",0,0,2,0,2,0,0,0,2,2,2010
28937,"Glidden, IA","Spencer, IA",2,0,0,0,2,0,2,0,0,2,2010
28927,"Glidden, IA","Rinard, IA",0,2,0,0,1,1,0,1,1,2,2010
28923,"Glidden, IA","Onawa, IA",1,0,0,0,0,1,0,0,1,1,2010
28926,"Glidden, IA","Red Oak, IA",1,0,0,0,1,0,0,1,0,1,2010
28925,"Glidden, IA","Perry, IA",0,1,0,0,1,0,0,1,0,1,2010
28924,"Glidden, IA","Ottosen, IA",0,1,0,0,0,1,0,0,1,1,2010
28935,"Glidden, IA","Sioux Center, IA",0,1,0,0,0,1,1,0,0,1,2010
28928,"Glidden, IA","Rock Rapids, IA",0,1,0,0,0,1,1,0,0,1,2010
28929,"Glidden, IA","Rockwell City, IA",0,1,0,0,1,0,1,0,0,1,2010
28931,"Glidden, IA","Schleswig, IA",0,1,0,0,0,1,0,0,1,1,2010
28932,"Glidden, IA","Sergeant Bluff, IA",1,0,0,0,0,1,0,1,0,1,2010
28933,"Glidden, IA","Sheldon, IA",0,1,0,0,1,0,1,0,0,1,2010
28934,"Glidden, IA","Shenandoah, IA",0,1,0,0,1,0,0,1,0,1,2010
28921,"Glidden, IA","Norwalk, IA",0,1,0,1,0,0,0,0,1,1,2010
28939,"Glidden, IA","Stuart, IA",0,0,1,0,0,1,0,0,1,1,2010
28942,"Glidden, IA","Waukee, IA",0,0,1,0,0,1,0,1,0,1,2010
28947,"Glidden, IA","Williams, IA",0,1,0,1,0,0,0,1,0,1,2010
28922,"Glidden, IA","Odebolt, IA",0,1,0,0,1,0,0,0,1,1,2010
28863,"Glidden, IA","Algona, IA",0,0,1,0,0,1,0,0,1,1,2010
28920,"Glidden, IA","Newell, IA",0,1,0,0,0,1,0,0,1,1,2010
28890,"Glidden, IA","Early, IA",0,0,1,1,0,0,0,1,0,1,2010
28865,"Glidden, IA","Ankeny, IA",1,0,0,0,1,0,0,1,0,1,2010
28867,"Glidden, IA","Arthur, IA",0,0,1,1,0,0,0,1,0,1,2010
28871,"Glidden, IA","Blanchard, IA",0,0,1,0,0,1,0,1,0,1,2010
28873,"Glidden, IA","Bussey, IA",1,0,0,1,0,0,0,0,1,1,2010
28875,"Glidden, IA","Cedar Rapids, IA",1,0,0,1,0,0,1,0,0,1,2010
28876,"Glidden, IA","Cherokee, IA",1,0,0,0,1,0,1,0,0,1,2010
28879,"Glidden, IA","Corning, IA",1,0,0,0,1,0,1,0,0,1,2010
28882,"Glidden, IA","Cushing, IA",0,1,0,1,0,0,1,0,0,1,2010
28883,"Glidden, IA","Dallas Center, IA",0,1,0,0,0,1,0,0,1,1,2010
28885,"Glidden, IA","Dedham, IA",0,1,0,0,0,1,0,0,1,1,2010
28886,"Glidden, IA","Deloit, IA",0,1,0,0,0,1,0,0,1,1,2010
28889,"Glidden, IA","Dolliver, IA",0,0,1,0,1,0,0,1,0,1,2010
28891,"Glidden, IA","Ellsworth, IA",0,1,0,1,0,0,0,1,0,1,2010
28919,"Glidden, IA","Moville, IA",1,0,0,0,0,1,1,0,0,1,2010
28892,"Glidden, IA","Emmetsburg, IA",1,0,0,0,1,0,1,0,0,1,2010
28893,"Glidden, IA","Estherville, IA",0,1,0,0,1,0,1,0,0,1,2010
28897,"Glidden, IA","Goldfield, IA",0,1,0,0,0,1,0,1,0,1,2010
28899,"Glidden, IA","Granger, IA",1,0,0,0,0,1,1,0,0,1,2010
28900,"Glidden, IA","Gray, IA",0,0,1,0,0,1,0,0,1,1,2010
28901,"Glidden, IA","Grinnell, IA",0,1,0,1,0,0,0,0,1,1,2010
28902,"Glidden, IA","Guthrie Center, IA",0,0,1,0,1,0,0,1,0,1,2010
28907,"Glidden, IA","Iowa Falls, IA",1,0,0,0,1,0,1,0,0,1,2010
28913,"Glidden, IA","Lakeside, IA",0,1,0,1,0,0,1,0,0,1,2010
28914,"Glidden, IA","Lakota, IA",0,1,0,1,0,0,0,1,0,1,2010
28915,"Glidden, IA","Le Mars, IA",0,0,1,0,0,1,0,1,0,1,2010
28918,"Glidden, IA","Mount Pleasant, IA",0,0,1,0,1,0,0,1,0,1,2010
28906,"Glidden, IA","Indianola, IA",0,1,0,0,1,0,0,1,0,1,2010
