,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
43010,"Luana, IA","Postville, IA",85,148,57,180,77,33,68,151,71,290,2010
42979,"Luana, IA","Luana, IA",54,144,63,138,74,49,73,119,69,261,2010
43043,"Luana, IA","Waukon, IA",46,136,46,32,139,57,88,105,35,228,2010
42929,"Luana, IA","Decorah, IA",27,49,21,29,57,11,19,50,28,97,2010
42986,"Luana, IA","Monona, IA",19,39,26,14,50,20,22,30,32,84,2010
42963,"Luana, IA","Guttenberg, IA",8,34,13,18,29,8,5,30,20,55,2010
42982,"Luana, IA","Marquette, IA",10,18,24,5,38,9,22,24,6,52,2010
42942,"Luana, IA","Elkader, IA",5,33,12,5,36,9,17,19,14,50,2010
42932,"Luana, IA","Des Moines, IA",4,15,6,2,15,8,2,10,13,25,2010
43048,"Luana, IA","West Union, IA",11,8,4,2,16,5,8,10,5,23,2010
43031,"Luana, IA","St. Olaf, IA",5,16,1,16,5,1,4,4,14,22,2010
42908,"Luana, IA","Castalia, IA",8,8,4,8,5,7,6,9,5,20,2010
43041,"Luana, IA","Waterloo, IA",8,8,3,1,11,7,10,5,4,19,2010
42940,"Luana, IA","Elgin, IA",6,10,3,2,12,5,8,7,4,19,2010
42933,"Luana, IA","Dubuque, IA",4,10,4,3,7,8,3,8,7,18,2010
42985,"Luana, IA","Mason City, IA",3,9,5,3,5,9,2,10,5,17,2010
42992,"Luana, IA","New Albin, IA",4,8,5,7,8,2,8,6,3,17,2010
42909,"Luana, IA","Cedar Falls, IA",4,8,4,1,9,6,5,4,7,16,2010
42977,"Luana, IA","Lansing, IA",2,8,6,2,8,6,9,6,1,16,2010
42925,"Luana, IA","Cresco, IA",5,10,1,2,8,6,9,6,1,16,2010
42910,"Luana, IA","Cedar Rapids, IA",5,8,2,3,7,5,5,3,7,15,2010
42966,"Luana, IA","Harpers Ferry, IA",3,8,3,0,8,6,9,4,1,14,2010
43012,"Luana, IA","Randalia, IA",2,9,1,4,7,1,2,6,4,12,2010
43000,"Luana, IA","Oelwein, IA",5,7,0,0,10,2,1,6,5,12,2010
42897,"Luana, IA","Asbury, IA",5,5,2,2,6,4,2,6,4,12,2010
42983,"Luana, IA","Marshalltown, IA",4,7,1,2,7,3,3,3,6,12,2010
42954,"Luana, IA","Fort Atkinson, IA",0,10,1,1,7,3,1,2,8,11,2010
42956,"Luana, IA","Garnavillo, IA",1,5,4,2,5,3,2,6,2,10,2010
42949,"Luana, IA","Farmersburg, IA",3,6,0,4,1,4,1,6,2,9,2010
42895,"Luana, IA","Ames, IA",3,3,3,1,5,3,3,3,3,9,2010
42896,"Luana, IA","Ankeny, IA",2,6,1,4,3,2,4,2,3,9,2010
42923,"Luana, IA","Council Bluffs, IA",1,5,2,4,2,2,3,4,1,8,2010
42918,"Luana, IA","Clive, IA",4,3,1,0,5,3,5,1,2,8,2010
42973,"Luana, IA","Independence, IA",1,5,1,0,3,4,4,0,3,7,2010
42970,"Luana, IA","Hiawatha, IA",1,6,0,2,4,1,1,2,4,7,2010
42935,"Luana, IA","Dyersville, IA",2,3,1,1,1,4,3,2,1,6,2010
42980,"Luana, IA","Manchester, IA",0,3,2,0,4,1,2,0,3,5,2010
42993,"Luana, IA","New Hampton, IA",2,3,0,1,2,2,2,2,1,5,2010
43053,"Luana, IA","Windsor Heights, IA",1,2,2,0,4,1,3,2,0,5,2010
43047,"Luana, IA","West Des Moines, IA",1,4,0,1,2,2,1,3,1,5,2010
43004,"Luana, IA","Ottumwa, IA",0,4,1,1,3,1,0,3,2,5,2010
42961,"Luana, IA","Grinnell, IA",0,1,3,2,0,2,0,1,3,4,2010
42943,"Luana, IA","Ely, IA",2,2,0,0,4,0,1,2,1,4,2010
42955,"Luana, IA","Fort Dodge, IA",0,3,1,0,1,3,2,1,1,4,2010
43001,"Luana, IA","Osage, IA",1,1,2,1,1,2,1,2,1,4,2010
42939,"Luana, IA","Eldridge, IA",0,3,1,1,1,2,0,0,4,4,2010
43044,"Luana, IA","Waverly, IA",1,3,0,1,1,2,3,0,1,4,2010
42999,"Luana, IA","North Liberty, IA",2,1,1,1,2,1,3,0,1,4,2010
42987,"Luana, IA","Monticello, IA",2,2,0,0,0,4,1,1,2,4,2010
42927,"Luana, IA","Davenport, IA",2,1,1,0,3,1,2,1,1,4,2010
42917,"Luana, IA","Clinton, IA",3,1,0,0,2,2,2,2,0,4,2010
43025,"Luana, IA","Spencer, IA",0,3,0,0,1,2,0,1,2,3,2010
42995,"Luana, IA","New Vienna, IA",0,2,1,0,3,0,0,3,0,3,2010
43007,"Luana, IA","Parkersburg, IA",1,0,2,0,3,0,0,3,0,3,2010
42981,"Luana, IA","Marengo, IA",1,1,1,0,3,0,2,0,1,3,2010
42974,"Luana, IA","Iowa City, IA",1,2,0,0,3,0,1,1,1,3,2010
43008,"Luana, IA","Peosta, IA",1,2,0,1,1,1,0,2,1,3,2010
42941,"Luana, IA","Elk Run Heights, IA",0,0,3,2,1,0,1,0,2,3,2010
42930,"Luana, IA","Delaware, IA",1,2,0,0,1,2,1,1,1,3,2010
43040,"Luana, IA","Washington, IA",1,2,0,0,1,2,1,0,2,3,2010
42921,"Luana, IA","Coralville, IA",0,3,0,0,3,0,2,0,1,3,2010
42937,"Luana, IA","Edgewood, IA",0,2,1,0,3,0,0,3,0,3,2010
43037,"Luana, IA","Urbandale, IA",0,3,0,0,2,1,2,1,0,3,2010
43052,"Luana, IA","Wilton, IA",1,1,1,1,0,2,1,1,1,3,2010
42931,"Luana, IA","Denver, IA",1,2,0,0,0,3,1,2,0,3,2010
42904,"Luana, IA","Boone, IA",3,0,0,0,0,3,3,0,0,3,2010
42902,"Luana, IA","Bettendorf, IA",1,0,2,0,1,2,1,2,0,3,2010
42894,"Luana, IA","Allison, IA",0,3,0,0,3,0,0,1,2,3,2010
43051,"Luana, IA","Williamsburg, IA",1,1,0,0,0,2,1,1,0,2,2010
43021,"Luana, IA","Sheldon, IA",0,2,0,0,2,0,1,1,0,2,2010
42990,"Luana, IA","Muscatine, IA",1,1,0,1,0,1,1,1,0,2,2010
42996,"Luana, IA","Newton, IA",1,0,1,0,0,2,0,1,1,2,2010
42907,"Luana, IA","Casey, IA",0,2,0,1,0,1,0,2,0,2,2010
42901,"Luana, IA","Bennett, IA",1,1,0,1,0,1,1,0,1,2,2010
