,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55033,"Osceola, IA","Osceola, IA",213,552,259,345,496,183,278,527,219,1024,2010
54956,"Osceola, IA","Des Moines, IA",55,133,32,31,159,30,55,77,88,220,2010
55023,"Osceola, IA","Murray, IA",68,69,53,2,169,19,69,100,21,190,2010
54949,"Osceola, IA","Creston, IA",29,47,15,25,59,7,29,41,21,91,2010
54943,"Osceola, IA","Clive, IA",29,50,8,3,68,16,21,27,39,87,2010
54918,"Osceola, IA","Ankeny, IA",9,31,18,9,19,30,21,13,24,58,2010
54987,"Osceola, IA","Indianola, IA",6,34,6,10,20,16,11,23,12,46,2010
55078,"Osceola, IA","Urbandale, IA",11,26,5,6,26,10,10,15,17,42,2010
54959,"Osceola, IA","East Peru, IA",7,14,11,2,28,2,14,14,4,32,2010
55090,"Osceola, IA","West Des Moines, IA",9,18,5,14,10,8,9,6,17,32,2010
54916,"Osceola, IA","Ames, IA",12,13,7,0,25,7,14,10,8,32,2010
55036,"Osceola, IA","Ottumwa, IA",7,20,4,0,19,12,7,15,9,31,2010
54939,"Osceola, IA","Chariton, IA",13,9,7,2,19,8,16,6,7,29,2010
55044,"Osceola, IA","Pleasant Hill, IA",7,12,5,1,10,13,8,11,5,24,2010
54937,"Osceola, IA","Cedar Rapids, IA",6,14,3,5,10,8,8,7,8,23,2010
54996,"Osceola, IA","Knoxville, IA",4,15,3,15,2,5,2,6,14,22,2010
55002,"Osceola, IA","Leon, IA",2,10,9,0,19,2,8,8,5,21,2010
55083,"Osceola, IA","Waukee, IA",7,9,4,2,11,7,4,7,9,20,2010
55092,"Osceola, IA","Windsor Heights, IA",4,7,6,4,5,8,6,6,5,17,2010
54948,"Osceola, IA","Council Bluffs, IA",4,8,3,2,4,9,6,6,3,15,2010
54991,"Osceola, IA","Johnston, IA",2,9,4,6,5,4,3,3,9,15,2010
54915,"Osceola, IA","Altoona, IA",6,6,3,0,7,8,4,9,2,15,2010
54928,"Osceola, IA","Boone, IA",5,6,2,1,7,5,6,4,3,13,2010
54930,"Osceola, IA","Burlington, IA",2,8,2,2,9,1,2,8,2,12,2010
54976,"Osceola, IA","Greenfield, IA",2,9,1,1,11,0,5,2,5,12,2010
55011,"Osceola, IA","Marshalltown, IA",4,7,1,1,9,2,3,5,4,12,2010
54978,"Osceola, IA","Grinnell, IA",6,3,2,0,2,9,5,6,0,11,2010
54936,"Osceola, IA","Cedar Falls, IA",3,5,3,4,3,4,4,0,7,11,2010
55043,"Osceola, IA","Perry, IA",4,5,2,0,9,2,3,5,3,11,2010
54988,"Osceola, IA","Iowa City, IA",3,2,5,0,6,4,3,5,2,10,2010
