,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59670,"Prairieburg, IA","Cedar Rapids, IA",29,113,32,52,97,25,20,57,97,174,2010
59707,"Prairieburg, IA","Hiawatha, IA",32,98,18,66,60,22,18,56,74,148,2010
59718,"Prairieburg, IA","Manchester, IA",16,48,24,21,51,16,27,40,21,88,2010
59708,"Prairieburg, IA","Hopkinton, IA",11,36,17,23,33,8,13,21,30,64,2010
59672,"Prairieburg, IA","Center Point, IA",7,28,12,10,31,6,15,21,11,47,2010
59742,"Prairieburg, IA","Robins, IA",11,22,7,7,20,13,9,9,22,40,2010
59726,"Prairieburg, IA","Monticello, IA",8,21,10,17,13,9,8,21,10,39,2010
59688,"Prairieburg, IA","Dyersville, IA",11,23,3,15,4,18,9,18,10,37,2010
59687,"Prairieburg, IA","Dubuque, IA",7,17,5,2,21,6,10,12,7,29,2010
59711,"Prairieburg, IA","Iowa City, IA",8,14,5,2,20,5,7,10,10,27,2010
59673,"Prairieburg, IA","Central City, IA",7,9,2,0,14,4,8,9,1,18,2010
59763,"Prairieburg, IA","Waterloo, IA",5,9,3,3,9,5,7,5,5,17,2010
59694,"Prairieburg, IA","Ely, IA",2,8,5,0,14,1,3,9,3,15,2010
59736,"Prairieburg, IA","Palo, IA",2,9,4,1,12,2,4,3,8,15,2010
59686,"Prairieburg, IA","Des Moines, IA",4,10,1,0,7,8,2,5,8,15,2010
59749,"Prairieburg, IA","Springville, IA",5,4,5,6,7,1,2,9,3,14,2010
59652,"Prairieburg, IA","Anamosa, IA",4,7,3,0,9,5,2,7,5,14,2010
59678,"Prairieburg, IA","Coggon, IA",0,8,6,0,7,7,8,5,1,14,2010
59683,"Prairieburg, IA","Davenport, IA",4,2,4,0,6,4,3,4,3,10,2010
59697,"Prairieburg, IA","Fairfax, IA",2,8,0,4,2,4,2,1,7,10,2010
59685,"Prairieburg, IA","Delaware, IA",1,5,3,3,0,6,3,5,1,9,2010
59654,"Prairieburg, IA","Asbury, IA",0,4,4,1,2,5,3,4,1,8,2010
59757,"Prairieburg, IA","University Heights, IA",1,7,0,0,7,1,2,2,4,8,2010
59691,"Prairieburg, IA","Elk Run Heights, IA",1,4,2,2,5,0,3,3,1,7,2010
59679,"Prairieburg, IA","Coralville, IA",3,1,3,0,2,5,4,2,1,7,2010
59764,"Prairieburg, IA","Waverly, IA",4,1,1,1,3,2,3,1,2,6,2010
59758,"Prairieburg, IA","Urbana, IA",2,3,1,2,0,4,1,2,3,6,2010
59677,"Prairieburg, IA","Clive, IA",0,4,2,0,2,4,4,0,2,6,2010
59753,"Prairieburg, IA","Strawberry Point, IA",4,2,0,0,6,0,4,1,1,6,2010
59669,"Prairieburg, IA","Cedar Falls, IA",3,3,0,2,2,2,2,2,2,6,2010
59737,"Prairieburg, IA","Peosta, IA",1,5,0,5,0,1,0,2,4,6,2010
59739,"Prairieburg, IA","Prairieburg, IA",0,4,2,0,5,1,4,2,0,6,2010
59720,"Prairieburg, IA","Maquoketa, IA",1,3,1,0,1,4,2,1,2,5,2010
59722,"Prairieburg, IA","Marion, IA",2,2,1,1,1,3,1,0,4,5,2010
59660,"Prairieburg, IA","Bettendorf, IA",4,1,0,0,3,2,3,2,0,5,2010
