,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
69210,"Stanhope, IA","Ames, IA",79,219,91,58,292,39,63,140,186,389,2010
69219,"Stanhope, IA","Boone, IA",35,97,47,21,116,42,56,58,65,179,2010
69243,"Stanhope, IA","Des Moines, IA",17,32,12,5,43,13,8,31,22,61,2010
69340,"Stanhope, IA","Webster City, IA",16,29,11,24,26,6,13,28,15,56,2010
69328,"Stanhope, IA","Stanhope, IA",11,22,5,24,2,12,9,18,11,38,2010
69300,"Stanhope, IA","Nevada, IA",6,21,8,5,29,1,1,8,26,35,2010
69211,"Stanhope, IA","Ankeny, IA",6,12,7,1,17,7,6,11,8,25,2010
69232,"Stanhope, IA","Clive, IA",14,5,3,0,15,7,12,10,0,22,2010
69330,"Stanhope, IA","Story City, IA",9,8,2,7,6,6,4,9,6,19,2010
69334,"Stanhope, IA","Urbandale, IA",5,9,4,1,12,5,2,3,13,18,2010
69260,"Stanhope, IA","Fort Dodge, IA",6,9,2,1,10,6,5,6,6,17,2010
69306,"Stanhope, IA","Ogden, IA",0,13,4,5,8,4,5,8,4,17,2010
69263,"Stanhope, IA","Gilbert, IA",2,8,5,1,12,2,4,8,3,15,2010
69227,"Stanhope, IA","Cedar Rapids, IA",1,8,5,1,9,4,2,4,8,14,2010
69281,"Stanhope, IA","Johnston, IA",1,10,1,3,3,6,0,2,10,12,2010
69331,"Stanhope, IA","Stratford, IA",1,6,4,1,6,4,3,5,3,11,2010
69345,"Stanhope, IA","Windsor Heights, IA",4,5,0,0,6,3,3,6,0,9,2010
69324,"Stanhope, IA","Sioux City, IA",4,3,2,0,2,7,6,3,0,9,2010
69338,"Stanhope, IA","Waterloo, IA",1,5,3,2,4,3,1,4,4,9,2010
69224,"Stanhope, IA","Carroll, IA",0,6,2,0,5,3,2,5,1,8,2010
69302,"Stanhope, IA","Newton, IA",0,2,5,0,2,5,2,1,4,7,2010
69296,"Stanhope, IA","Marshalltown, IA",2,5,0,2,3,2,1,2,4,7,2010
69304,"Stanhope, IA","Norwalk, IA",2,3,2,1,3,3,2,2,3,7,2010
69315,"Stanhope, IA","Randall, IA",1,3,2,0,3,3,1,3,2,6,2010
69280,"Stanhope, IA","Jewell Junction, IA",2,3,1,2,3,1,1,4,1,6,2010
69209,"Stanhope, IA","Altoona, IA",2,4,0,1,2,3,1,2,3,6,2010
69238,"Stanhope, IA","Davenport, IA",2,3,0,1,2,2,0,2,3,5,2010
69272,"Stanhope, IA","Humboldt, IA",0,4,1,1,1,3,1,2,2,5,2010
69271,"Stanhope, IA","Hiawatha, IA",2,2,1,0,3,2,0,1,4,5,2010
69343,"Stanhope, IA","West Des Moines, IA",2,3,0,1,4,0,0,0,5,5,2010
69208,"Stanhope, IA","Algona, IA",1,3,1,1,3,1,0,1,4,5,2010
69277,"Stanhope, IA","Iowa City, IA",1,3,1,0,3,2,2,2,1,5,2010
69218,"Stanhope, IA","Bettendorf, IA",2,2,1,0,3,2,3,0,2,5,2010
69246,"Stanhope, IA","Duncombe, IA",1,3,0,2,0,2,0,3,1,4,2010
69342,"Stanhope, IA","West Burlington, IA",4,0,0,0,0,4,3,1,0,4,2010
69326,"Stanhope, IA","Spencer, IA",0,4,0,0,3,1,0,2,2,4,2010
69226,"Stanhope, IA","Cedar Falls, IA",1,3,0,1,2,1,1,2,1,4,2010
69234,"Stanhope, IA","Coralville, IA",0,3,1,0,2,2,0,2,2,4,2010
69239,"Stanhope, IA","Dawson, IA",0,2,2,1,0,3,1,0,3,4,2010
69276,"Stanhope, IA","Indianola, IA",1,2,0,0,0,3,1,1,1,3,2010
69213,"Stanhope, IA","Asbury, IA",0,2,1,0,2,1,0,0,3,3,2010
69323,"Stanhope, IA","Shenandoah, IA",1,1,1,1,0,2,1,1,1,3,2010
69287,"Stanhope, IA","Lakeside, IA",1,2,0,3,0,0,0,2,1,3,2010
69320,"Stanhope, IA","Sergeant Bluff, IA",0,3,0,0,0,3,1,1,1,3,2010
69317,"Stanhope, IA","Robins, IA",1,2,0,0,3,0,0,1,2,3,2010
69336,"Stanhope, IA","Vinton, IA",2,0,1,1,1,1,1,1,1,3,2010
69236,"Stanhope, IA","Creston, IA",0,3,0,0,0,3,0,1,2,3,2010
69214,"Stanhope, IA","Bagley, IA",0,2,1,2,1,0,0,2,1,3,2010
69245,"Stanhope, IA","Dubuque, IA",2,0,1,0,2,1,2,0,1,3,2010
69313,"Stanhope, IA","Perry, IA",1,1,1,0,1,2,1,1,1,3,2010
69299,"Stanhope, IA","Muscatine, IA",1,2,0,1,0,2,1,0,2,3,2010
69253,"Stanhope, IA","Ellsworth, IA",0,3,0,3,0,0,1,2,0,3,2010
69278,"Stanhope, IA","Iowa Falls, IA",0,2,1,0,1,2,0,0,3,3,2010
69303,"Stanhope, IA","North Liberty, IA",1,2,0,0,1,2,1,0,2,3,2010
69250,"Stanhope, IA","Eldridge, IA",2,1,0,2,1,0,0,1,2,3,2010
69325,"Stanhope, IA","Slater, IA",1,2,0,0,3,0,1,0,2,3,2010
69237,"Stanhope, IA","Dallas Center, IA",0,0,2,0,0,2,2,0,0,2,2010
69279,"Stanhope, IA","Jefferson, IA",1,1,0,0,1,1,2,0,0,2,2010
69327,"Stanhope, IA","Spirit Lake, IA",0,2,0,1,0,1,0,2,0,2,2010
69231,"Stanhope, IA","Clear Lake, IA",0,2,0,1,0,1,0,0,2,2,2010
69293,"Stanhope, IA","Macedonia, IA",0,2,0,0,0,2,1,0,1,2,2010
69275,"Stanhope, IA","Independence, IA",1,1,0,0,2,0,0,2,0,2,2010
69294,"Stanhope, IA","Madrid, IA",0,2,0,0,2,0,0,1,1,2,2010
69314,"Stanhope, IA","Pleasant Hill, IA",2,0,0,0,0,2,2,0,0,2,2010
69311,"Stanhope, IA","Patterson, IA",0,2,0,1,0,1,1,0,1,2,2010
69223,"Stanhope, IA","Callender, IA",0,0,2,0,0,2,1,0,1,2,2010
69307,"Stanhope, IA","Osceola, IA",0,2,0,1,0,1,0,1,1,2,2010
69292,"Stanhope, IA","Luther, IA",0,2,0,1,1,0,0,1,1,2,2010
69235,"Stanhope, IA","Council Bluffs, IA",0,1,1,1,1,0,0,0,2,2,2010
69273,"Stanhope, IA","Huxley, IA",0,2,0,1,1,0,1,0,1,2,2010
69344,"Stanhope, IA","Williams, IA",1,0,1,1,1,0,0,2,0,2,2010
69252,"Stanhope, IA","Elk Run Heights, IA",1,1,0,1,1,0,1,0,1,2,2010
69241,"Stanhope, IA","De Soto, IA",0,2,0,1,1,0,0,1,1,2,2010
69259,"Stanhope, IA","Forest City, IA",2,0,0,0,2,0,1,1,0,2,2010
69337,"Stanhope, IA","Wall Lake, IA",0,1,1,0,2,0,1,1,0,2,2010
69308,"Stanhope, IA","Ottumwa, IA",1,0,1,0,2,0,0,2,0,2,2010
69329,"Stanhope, IA","Storm Lake, IA",0,2,0,1,0,1,1,0,1,2,2010
69216,"Stanhope, IA","Bennett, IA",1,1,0,1,0,1,0,1,1,2,2010
69268,"Stanhope, IA","Grinnell, IA",1,1,0,0,0,2,2,0,0,2,2010
69333,"Stanhope, IA","University Park, IA",0,0,1,0,1,0,0,0,1,1,2010
69339,"Stanhope, IA","Waukee, IA",1,0,0,0,1,0,1,0,0,1,2010
69212,"Stanhope, IA","Arthur, IA",0,1,0,0,0,1,1,0,0,1,2010
69309,"Stanhope, IA","Owasa, IA",0,1,0,0,0,1,0,0,1,1,2010
69310,"Stanhope, IA","Oxford, IA",1,0,0,1,0,0,0,1,0,1,2010
