,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
70787,"Superior, IA","Spirit Lake, IA",37,208,83,97,189,42,62,152,114,328,2010
70786,"Superior, IA","Spencer, IA",21,51,18,14,49,27,21,36,33,90,2010
70693,"Superior, IA","Arnolds Park, IA",23,31,20,4,49,21,37,20,17,74,2010
70719,"Superior, IA","Estherville, IA",8,43,23,8,59,7,24,32,18,74,2010
70789,"Superior, IA","Superior, IA",8,34,26,22,41,5,35,30,3,68,2010
70783,"Superior, IA","Sioux City, IA",15,15,4,1,14,19,13,14,7,34,2010
70758,"Superior, IA","Milford, IA",9,16,9,15,18,1,4,21,9,34,2010
70780,"Superior, IA","Sheldon, IA",7,14,6,6,17,4,11,4,12,27,2010
70797,"Superior, IA","Wahpeton, IA",3,2,11,8,7,1,4,8,4,16,2010
70733,"Superior, IA","Hartley, IA",5,2,7,0,7,7,8,4,2,14,2010
70788,"Superior, IA","Storm Lake, IA",2,7,4,0,9,4,2,5,6,13,2010
70793,"Superior, IA","Terril, IA",5,4,2,8,3,0,2,6,3,11,2010
70689,"Superior, IA","Ames, IA",5,2,4,0,10,1,5,2,4,11,2010
70749,"Superior, IA","Le Mars, IA",3,5,2,2,5,3,4,3,3,10,2010
70732,"Superior, IA","Harris, IA",4,3,2,3,2,4,4,4,1,9,2010
70723,"Superior, IA","Fort Dodge, IA",4,3,1,1,3,4,3,1,4,8,2010
70688,"Superior, IA","Algona, IA",1,4,3,0,4,4,3,4,1,8,2010
70781,"Superior, IA","Sibley, IA",2,3,3,3,3,2,2,4,2,8,2010
70755,"Superior, IA","Mason City, IA",1,5,1,1,2,4,1,2,4,7,2010
70775,"Superior, IA","Rock Valley, IA",3,4,0,0,6,1,3,3,1,7,2010
70745,"Superior, IA","Lake Park, IA",1,3,3,0,5,2,3,3,1,7,2010
70782,"Superior, IA","Sioux Center, IA",1,4,2,1,1,5,2,5,0,7,2010
70799,"Superior, IA","Wallingford, IA",0,5,2,5,1,1,0,0,7,7,2010
70779,"Superior, IA","Sergeant Bluff, IA",2,3,1,2,3,1,2,3,1,6,2010
70805,"Superior, IA","West Okoboji, IA",2,1,2,0,5,0,3,2,0,5,2010
70796,"Superior, IA","Urbandale, IA",1,3,0,0,4,0,1,0,3,4,2010
70692,"Superior, IA","Armstrong, IA",1,2,1,2,2,0,0,1,3,4,2010
70801,"Superior, IA","Webster City, IA",1,2,1,0,3,1,0,1,3,4,2010
70718,"Superior, IA","Emmetsburg, IA",0,2,2,0,4,0,3,0,1,4,2010
