,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
74228,"Wadena, IA","Strawberry Point, IA",21,32,17,16,35,19,36,29,5,70,2010
74244,"Wadena, IA","West Union, IA",17,29,19,12,43,10,28,26,11,65,2010
74165,"Wadena, IA","Elgin, IA",9,45,7,4,40,17,23,15,23,61,2010
74167,"Wadena, IA","Elkader, IA",2,33,7,5,27,10,11,23,8,42,2010
74196,"Wadena, IA","Manchester, IA",2,28,4,15,15,4,6,12,16,34,2010
74145,"Wadena, IA","Castalia, IA",6,20,7,5,13,15,15,9,9,33,2010
74195,"Wadena, IA","Luana, IA",4,14,6,16,3,5,4,14,6,24,2010
74214,"Wadena, IA","Postville, IA",7,12,5,7,12,5,6,8,10,24,2010
74163,"Wadena, IA","Edgewood, IA",4,10,8,5,13,4,8,12,2,22,2010
74238,"Wadena, IA","Waterloo, IA",9,8,5,0,14,8,11,7,4,22,2010
74216,"Wadena, IA","Randalia, IA",3,10,7,3,11,6,8,7,5,20,2010
74185,"Wadena, IA","Hiawatha, IA",4,11,4,13,3,3,3,8,8,19,2010
74147,"Wadena, IA","Cedar Rapids, IA",2,11,6,3,9,7,4,8,7,19,2010
74157,"Wadena, IA","Decorah, IA",1,14,2,3,13,1,3,8,6,17,2010
74175,"Wadena, IA","Fayette, IA",3,9,2,4,10,0,6,5,3,14,2010
74235,"Wadena, IA","Wadena, IA",5,7,2,6,7,1,5,9,0,14,2010
74146,"Wadena, IA","Cedar Falls, IA",5,1,5,0,10,1,7,2,2,11,2010
74203,"Wadena, IA","Monona, IA",2,5,2,4,2,3,2,5,2,9,2010
74240,"Wadena, IA","Waukon, IA",1,5,3,1,6,2,5,1,3,9,2010
74224,"Wadena, IA","St. Olaf, IA",2,3,4,6,3,0,1,2,6,9,2010
74161,"Wadena, IA","Dyersville, IA",3,4,0,1,2,4,1,4,2,7,2010
74184,"Wadena, IA","Hazleton, IA",2,5,0,3,3,1,4,3,0,7,2010
74202,"Wadena, IA","Mason City, IA",4,2,1,1,5,1,1,4,2,7,2010
74160,"Wadena, IA","Dubuque, IA",1,6,0,1,6,0,3,1,3,7,2010
74139,"Wadena, IA","Asbury, IA",1,3,2,0,2,4,2,4,0,6,2010
74176,"Wadena, IA","Fort Atkinson, IA",0,5,1,0,6,0,4,2,0,6,2010
74178,"Wadena, IA","Garnavillo, IA",2,3,1,1,5,0,1,4,1,6,2010
74209,"Wadena, IA","Oelwein, IA",1,4,1,1,2,3,2,3,1,6,2010
74159,"Wadena, IA","Des Moines, IA",1,3,2,0,5,1,0,2,4,6,2010
74149,"Wadena, IA","Clive, IA",0,3,3,0,5,1,2,0,4,6,2010
74233,"Wadena, IA","Urbandale, IA",1,2,2,0,3,2,2,3,0,5,2010
74158,"Wadena, IA","Delaware, IA",1,3,1,2,3,0,0,5,0,5,2010
74140,"Wadena, IA","Aurora, IA",3,0,2,0,1,4,2,3,0,5,2010
74234,"Wadena, IA","Vinton, IA",1,3,0,0,4,0,0,3,1,4,2010
74181,"Wadena, IA","Greeley, IA",2,1,1,0,3,1,0,4,0,4,2010
74136,"Wadena, IA","Ames, IA",1,2,1,2,1,1,1,3,0,4,2010
74239,"Wadena, IA","Waucoma, IA",1,2,1,2,0,2,1,3,0,4,2010
74200,"Wadena, IA","Marshalltown, IA",0,4,0,1,3,0,1,2,1,4,2010
74219,"Wadena, IA","Robins, IA",1,3,0,2,2,0,0,1,3,4,2010
74188,"Wadena, IA","Independence, IA",1,1,1,1,1,1,0,1,2,3,2010
74186,"Wadena, IA","Hopkinton, IA",1,2,0,2,1,0,0,3,0,3,2010
74189,"Wadena, IA","Iowa City, IA",1,1,1,0,2,1,2,1,0,3,2010
74138,"Wadena, IA","Arlington, IA",0,3,0,0,1,2,2,0,1,3,2010
74241,"Wadena, IA","Waverly, IA",0,3,0,1,2,0,0,1,2,3,2010
74177,"Wadena, IA","Fredericksburg, IA",1,2,0,3,0,0,1,0,2,3,2010
74168,"Wadena, IA","Elkport, IA",0,1,2,0,0,3,0,2,1,3,2010
74166,"Wadena, IA","Elk Run Heights, IA",1,2,0,2,1,0,2,0,1,3,2010
74155,"Wadena, IA","Davenport, IA",0,1,2,0,2,1,1,2,0,3,2010
74183,"Wadena, IA","Guttenberg, IA",2,0,0,0,2,0,0,1,1,2,2010
74215,"Wadena, IA","Protivin, IA",1,0,1,0,2,0,2,0,0,2,2010
74153,"Wadena, IA","Cresco, IA",0,2,0,0,1,1,2,0,0,2,2010
74152,"Wadena, IA","Council Bluffs, IA",2,0,0,0,1,1,0,1,1,2,2010
74197,"Wadena, IA","Marengo, IA",0,1,1,0,2,0,0,1,1,2,2010
74174,"Wadena, IA","Farley, IA",1,1,0,0,1,1,1,0,1,2,2010
74204,"Wadena, IA","Monticello, IA",0,1,1,1,1,0,0,2,0,2,2010
74205,"Wadena, IA","New Hampton, IA",1,1,0,2,0,0,0,2,0,2,2010
74223,"Wadena, IA","St. Lucas, IA",0,2,0,1,0,1,0,1,1,2,2010
74182,"Wadena, IA","Grinnell, IA",0,2,0,1,0,1,1,0,1,2,2010
74170,"Wadena, IA","Evansdale, IA",1,0,1,1,1,0,0,1,1,2,2010
74142,"Wadena, IA","Bettendorf, IA",1,1,0,0,2,0,2,0,0,2,2010
74230,"Wadena, IA","Toledo, IA",1,1,0,0,1,1,0,2,0,2,2010
74229,"Wadena, IA","Sumner, IA",0,0,2,2,0,0,0,2,0,2,2010
74218,"Wadena, IA","Rhodes, IA",1,0,0,0,0,1,0,0,1,1,2010
74236,"Wadena, IA","Wahpeton, IA",0,1,0,0,0,1,0,1,0,1,2010
74217,"Wadena, IA","Readlyn, IA",0,1,0,0,0,1,0,0,1,1,2010
74237,"Wadena, IA","Wapello, IA",0,1,0,0,1,0,0,1,0,1,2010
74227,"Wadena, IA","Storm Lake, IA",0,0,1,0,0,1,0,1,0,1,2010
74220,"Wadena, IA","Ryan, IA",0,0,1,0,1,0,0,1,0,1,2010
74221,"Wadena, IA","Sibley, IA",0,0,1,0,1,0,0,1,0,1,2010
74242,"Wadena, IA","Webster City, IA",0,0,1,0,0,1,1,0,0,1,2010
74222,"Wadena, IA","Sioux Center, IA",0,1,0,0,0,1,0,1,0,1,2010
74225,"Wadena, IA","Stacyville, IA",0,1,0,1,0,0,0,0,1,1,2010
74232,"Wadena, IA","Urbana, IA",0,1,0,0,1,0,0,1,0,1,2010
74226,"Wadena, IA","Stanley, IA",1,0,0,0,1,0,0,0,1,1,2010
74231,"Wadena, IA","University Heights, IA",0,1,0,0,0,1,0,0,1,1,2010
74213,"Wadena, IA","Pleasant Hill, IA",1,0,0,1,0,0,0,1,0,1,2010
74243,"Wadena, IA","West Des Moines, IA",0,0,1,0,0,1,1,0,0,1,2010
74135,"Wadena, IA","Adel, IA",1,0,0,0,0,1,1,0,0,1,2010
74212,"Wadena, IA","Perry, IA",0,1,0,0,1,0,1,0,0,1,2010
74211,"Wadena, IA","Ottumwa, IA",0,0,1,1,0,0,0,0,1,1,2010
74137,"Wadena, IA","Anamosa, IA",1,0,0,0,1,0,1,0,0,1,2010
74141,"Wadena, IA","Bellevue, IA",0,0,1,0,1,0,0,1,0,1,2010
74143,"Wadena, IA","Carroll, IA",0,1,0,0,0,1,0,0,1,1,2010
74144,"Wadena, IA","Cascade, IA",0,1,0,0,0,1,0,1,0,1,2010
74148,"Wadena, IA","Centerville, IA",0,1,0,0,1,0,0,1,0,1,2010
74150,"Wadena, IA","Coralville, IA",0,1,0,0,0,1,1,0,0,1,2010
74151,"Wadena, IA","Coulter, IA",0,1,0,0,0,1,0,0,1,1,2010
74154,"Wadena, IA","Creston, IA",1,0,0,0,1,0,0,0,1,1,2010
74156,"Wadena, IA","De Witt, IA",0,1,0,1,0,0,0,0,1,1,2010
74162,"Wadena, IA","Eddyville, IA",0,1,0,0,0,1,0,0,1,1,2010
74164,"Wadena, IA","Eldridge, IA",0,1,0,0,0,1,0,0,1,1,2010
74169,"Wadena, IA","Epworth, IA",0,1,0,0,1,0,0,0,1,1,2010
74171,"Wadena, IA","Fairbank, IA",1,0,0,1,0,0,0,1,0,1,2010
