,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
78356,"Wheatland, IA","Davenport, IA",7,38,14,10,42,7,9,23,27,59,2010
78350,"Wheatland, IA","Clarence, IA",9,27,20,12,36,8,15,25,16,56,2010
78357,"Wheatland, IA","De Witt, IA",9,30,10,12,24,13,17,20,12,49,2010
78414,"Wheatland, IA","Tipton, IA",15,20,9,8,31,5,11,20,13,44,2010
78348,"Wheatland, IA","Cedar Rapids, IA",6,29,4,12,20,7,6,11,22,39,2010
78373,"Wheatland, IA","Grand Mound, IA",7,17,12,10,15,11,11,12,13,36,2010
78351,"Wheatland, IA","Clinton, IA",5,17,11,9,23,1,7,12,14,33,2010
78432,"Wheatland, IA","Wheatland, IA",6,18,8,7,21,4,12,11,9,32,2010
78364,"Wheatland, IA","Eldridge, IA",9,20,3,15,6,11,1,17,14,32,2010
78378,"Wheatland, IA","Iowa City, IA",5,18,4,4,18,5,3,10,14,27,2010
78360,"Wheatland, IA","Dixon, IA",3,13,9,1,17,7,14,7,4,25,2010
78340,"Wheatland, IA","Bettendorf, IA",7,9,3,0,12,7,4,9,6,19,2010
78376,"Wheatland, IA","Hiawatha, IA",3,15,0,3,9,6,3,6,9,18,2010
78389,"Wheatland, IA","Maquoketa, IA",3,6,7,1,10,5,5,4,7,16,2010
78397,"Wheatland, IA","Muscatine, IA",6,7,0,4,6,3,4,2,7,13,2010
78392,"Wheatland, IA","Mechanicsville, IA",1,9,3,1,11,1,4,7,2,13,2010
78385,"Wheatland, IA","Lowden, IA",3,3,5,1,8,2,7,4,0,11,2010
78361,"Wheatland, IA","Dubuque, IA",7,2,1,0,6,4,6,3,1,10,2010
78359,"Wheatland, IA","Des Moines, IA",1,3,4,0,5,3,3,3,2,8,2010
78406,"Wheatland, IA","Riverdale, IA",2,6,0,2,6,0,1,3,4,8,2010
78339,"Wheatland, IA","Bennett, IA",2,5,1,0,1,7,1,4,3,8,2010
78415,"Wheatland, IA","University Heights, IA",0,6,1,0,7,0,1,5,1,7,2010
78384,"Wheatland, IA","Low Moor, IA",1,4,2,4,1,2,3,2,2,7,2010
78401,"Wheatland, IA","Panorama Park, IA",0,3,3,6,0,0,0,0,6,6,2010
78399,"Wheatland, IA","North Liberty, IA",2,3,1,2,2,2,1,5,0,6,2010
78371,"Wheatland, IA","Fort Atkinson, IA",1,2,3,1,5,0,4,1,1,6,2010
78419,"Wheatland, IA","Walcott, IA",3,3,0,0,5,1,3,3,0,6,2010
78427,"Wheatland, IA","West Branch, IA",0,2,3,0,3,2,0,2,3,5,2010
78352,"Wheatland, IA","Clive, IA",2,2,1,0,3,2,1,3,1,5,2010
78342,"Wheatland, IA","Blue Grass, IA",1,3,1,2,2,1,2,2,1,5,2010
78422,"Wheatland, IA","Waterloo, IA",1,2,2,0,2,3,2,2,1,5,2010
78345,"Wheatland, IA","Camanche, IA",2,3,0,3,1,1,1,2,2,5,2010
78367,"Wheatland, IA","Ely, IA",2,3,0,0,5,0,2,1,2,5,2010
78398,"Wheatland, IA","New Liberty, IA",0,2,2,1,1,2,1,2,1,4,2010
78354,"Wheatland, IA","Coralville, IA",2,2,0,0,4,0,1,2,1,4,2010
78436,"Wheatland, IA","Wyoming, IA",0,1,3,0,4,0,2,2,0,4,2010
78381,"Wheatland, IA","Lisbon, IA",0,1,2,0,0,3,3,0,0,3,2010
78372,"Wheatland, IA","Fort Dodge, IA",0,1,2,0,2,1,0,2,1,3,2010
78369,"Wheatland, IA","Fairfax, IA",1,2,0,0,1,2,1,1,1,3,2010
78383,"Wheatland, IA","Lost Nation, IA",1,2,0,0,1,2,1,1,1,3,2010
78347,"Wheatland, IA","Cedar Falls, IA",2,1,0,1,1,1,1,0,2,3,2010
78430,"Wheatland, IA","West Liberty, IA",0,2,1,2,1,0,0,3,0,3,2010
78413,"Wheatland, IA","Tiffin, IA",0,2,1,1,0,2,1,1,1,3,2010
78363,"Wheatland, IA","Dyersville, IA",0,2,1,0,1,2,2,1,0,3,2010
78362,"Wheatland, IA","Durant, IA",1,1,1,1,2,0,1,1,1,3,2010
78355,"Wheatland, IA","Council Bluffs, IA",1,1,1,1,2,0,1,2,0,3,2010
78434,"Wheatland, IA","Wilton, IA",0,2,1,1,2,0,1,1,1,3,2010
78333,"Wheatland, IA","Asbury, IA",0,2,1,0,2,1,1,1,1,3,2010
78418,"Wheatland, IA","Urbandale, IA",2,0,1,0,2,1,3,0,0,3,2010
78343,"Wheatland, IA","Buffalo, IA",0,3,0,1,1,1,0,3,0,3,2010
78433,"Wheatland, IA","Williamsburg, IA",1,1,0,0,0,2,2,0,0,2,2010
78395,"Wheatland, IA","Mount Pleasant, IA",0,0,2,1,0,1,0,1,1,2,2010
78409,"Wheatland, IA","Sioux City, IA",1,1,0,0,0,2,0,1,1,2,2010
78429,"Wheatland, IA","West Des Moines, IA",1,0,1,0,2,0,2,0,0,2,2010
78423,"Wheatland, IA","Waukon, IA",0,1,1,0,0,2,0,1,1,2,2010
78407,"Wheatland, IA","Robins, IA",1,1,0,0,0,2,1,0,1,2,2010
78417,"Wheatland, IA","Urbana, IA",0,2,0,1,1,0,0,0,2,2,2010
78403,"Wheatland, IA","Pleasant Hill, IA",0,1,1,0,1,1,1,0,1,2,2010
78391,"Wheatland, IA","Mason City, IA",1,0,1,0,1,1,0,1,1,2,2010
78329,"Wheatland, IA","Anamosa, IA",1,0,1,0,2,0,1,0,1,2,2010
78365,"Wheatland, IA","Elk Run Heights, IA",1,1,0,0,2,0,0,2,0,2,2010
78386,"Wheatland, IA","Luana, IA",0,2,0,2,0,0,0,1,1,2,2010
78349,"Wheatland, IA","Charles City, IA",2,0,0,0,2,0,2,0,0,2,2010
78346,"Wheatland, IA","Carroll, IA",1,0,1,0,0,2,0,2,0,2,2010
78368,"Wheatland, IA","Estherville, IA",0,2,0,0,1,1,0,1,1,2,2010
78370,"Wheatland, IA","Fairfield, IA",0,2,0,0,0,2,0,0,2,2,2010
78344,"Wheatland, IA","Burlington, IA",1,1,0,0,1,1,1,1,0,2,2010
78425,"Wheatland, IA","Webster City, IA",1,0,0,0,0,1,1,0,0,1,2010
78353,"Wheatland, IA","Conesville, IA",0,1,0,1,0,0,0,1,0,1,2010
78420,"Wheatland, IA","Wapello, IA",1,0,0,0,0,1,1,0,0,1,2010
78421,"Wheatland, IA","Washington, IA",0,1,0,0,1,0,0,0,1,1,2010
78341,"Wheatland, IA","Blairstown, IA",0,1,0,0,1,0,1,0,0,1,2010
