,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
673,"Albert City, IA","Webb, IA",11,29,30,5,55,10,31,23,16,70,2010
610,"Albert City, IA","Albert City, IA",5,27,18,5,36,9,19,18,13,50,2010
643,"Albert City, IA","Newell, IA",1,15,0,1,8,7,2,7,7,16,2010
615,"Albert City, IA","Aurelia, IA",2,9,1,5,3,4,3,4,5,12,2010
640,"Albert City, IA","Laurens, IA",3,5,3,0,10,1,6,5,0,11,2010
666,"Albert City, IA","Spencer, IA",1,9,0,4,2,4,1,3,6,10,2010
668,"Albert City, IA","Storm Lake, IA",3,2,3,2,5,1,0,5,3,8,2010
651,"Albert City, IA","Pomeroy, IA",1,4,2,0,4,3,3,3,1,7,2010
635,"Albert City, IA","Havelock, IA",0,5,1,1,4,1,2,2,2,6,2010
667,"Albert City, IA","Spirit Lake, IA",1,4,0,4,1,0,0,1,4,5,2010
662,"Albert City, IA","Sheldon, IA",3,2,0,0,0,5,0,1,4,5,2010
672,"Albert City, IA","Truesdale, IA",2,3,0,2,0,3,1,3,1,5,2010
639,"Albert City, IA","Lakeside, IA",1,3,0,1,2,1,0,3,1,4,2010
644,"Albert City, IA","Orange City, IA",0,4,0,0,0,4,0,0,4,4,2010
630,"Albert City, IA","Fostoria, IA",1,2,0,2,0,1,0,0,3,3,2010
634,"Albert City, IA","Hartley, IA",2,1,0,0,0,3,0,2,1,3,2010
616,"Albert City, IA","Boyden, IA",0,1,2,0,0,3,0,0,3,3,2010
629,"Albert City, IA","Fort Dodge, IA",2,0,1,3,0,0,0,0,3,3,2010
611,"Albert City, IA","Alton, IA",1,1,0,0,0,2,0,0,2,2,2010
646,"Albert City, IA","Ottosen, IA",0,0,2,0,2,0,2,0,0,2,2010
670,"Albert City, IA","Sutherland, IA",0,1,1,1,0,1,1,0,1,2,2010
649,"Albert City, IA","Paullina, IA",0,2,0,1,0,1,0,0,2,2,2010
650,"Albert City, IA","Pocahontas, IA",0,1,1,1,1,0,1,0,1,2,2010
656,"Albert City, IA","Royal, IA",0,1,1,0,0,2,0,1,1,2,2010
659,"Albert City, IA","Sanborn, IA",0,1,1,0,0,2,0,0,2,2,2010
660,"Albert City, IA","Schaller, IA",1,1,0,0,1,1,0,1,1,2,2010
665,"Albert City, IA","Sioux Rapids, IA",0,1,1,1,0,1,0,1,1,2,2010
657,"Albert City, IA","Ruthven, IA",0,0,2,0,1,1,1,1,0,2,2010
642,"Albert City, IA","Mason City, IA",0,2,0,2,0,0,0,1,1,2,2010
628,"Albert City, IA","Fonda, IA",0,0,2,0,1,1,1,1,0,2,2010
620,"Albert City, IA","Churdan, IA",0,0,2,0,2,0,1,1,0,2,2010
637,"Albert City, IA","Jefferson, IA",0,0,2,0,1,1,1,1,0,2,2010
613,"Albert City, IA","Arnolds Park, IA",0,1,1,1,0,1,0,0,2,2,2010
625,"Albert City, IA","Dickens, IA",0,1,1,0,1,1,0,2,0,2,2010
614,"Albert City, IA","Audubon, IA",0,2,0,1,0,1,1,0,1,2,2010
619,"Albert City, IA","Cherokee, IA",2,0,0,2,0,0,2,0,0,2,2010
627,"Albert City, IA","Everly, IA",0,2,0,1,0,1,0,0,2,2,2010
661,"Albert City, IA","Schleswig, IA",1,0,0,0,0,1,0,0,1,1,2010
621,"Albert City, IA","Clarion, IA",0,1,0,0,0,1,0,0,1,1,2010
663,"Albert City, IA","Sibley, IA",0,1,0,1,0,0,0,0,1,1,2010
664,"Albert City, IA","Sioux City, IA",0,1,0,1,0,0,0,0,1,1,2010
638,"Albert City, IA","Lake Mills, IA",0,1,0,1,0,0,0,1,0,1,2010
623,"Albert City, IA","Cushing, IA",1,0,0,1,0,0,1,0,0,1,2010
618,"Albert City, IA","Charter Oak, IA",0,1,0,0,0,1,0,0,1,1,2010
617,"Albert City, IA","Carroll, IA",0,1,0,0,0,1,0,1,0,1,2010
669,"Albert City, IA","Superior, IA",0,1,0,1,0,0,0,0,1,1,2010
671,"Albert City, IA","Thornton, IA",0,1,0,1,0,0,0,0,1,1,2010
612,"Albert City, IA","Ames, IA",0,0,1,1,0,0,0,1,0,1,2010
622,"Albert City, IA","Coon Rapids, IA",0,0,1,0,1,0,1,0,0,1,2010
624,"Albert City, IA","Des Moines, IA",0,1,0,0,0,1,0,0,1,1,2010
658,"Albert City, IA","Sac City, IA",0,1,0,0,0,1,0,0,1,1,2010
655,"Albert City, IA","Rockwell City, IA",0,0,1,0,0,1,0,0,1,1,2010
654,"Albert City, IA","Rock Rapids, IA",0,1,0,0,0,1,0,1,0,1,2010
653,"Albert City, IA","Remsen, IA",0,0,1,0,0,1,0,0,1,1,2010
652,"Albert City, IA","Primghar, IA",0,1,0,1,0,0,0,1,0,1,2010
626,"Albert City, IA","Emmetsburg, IA",0,1,0,0,0,1,0,0,1,1,2010
648,"Albert City, IA","Palmer, IA",0,1,0,1,0,0,0,0,1,1,2010
647,"Albert City, IA","Oyens, IA",1,0,0,0,0,1,0,0,1,1,2010
631,"Albert City, IA","Garner, IA",0,1,0,1,0,0,0,0,1,1,2010
645,"Albert City, IA","Otho, IA",1,0,0,0,0,1,0,0,1,1,2010
632,"Albert City, IA","Graettinger, IA",0,1,0,0,0,1,0,1,0,1,2010
633,"Albert City, IA","Greenville, IA",0,1,0,1,0,0,0,0,1,1,2010
636,"Albert City, IA","Hospers, IA",0,0,1,0,0,1,0,0,1,1,2010
641,"Albert City, IA","Le Mars, IA",0,1,0,0,0,1,0,0,1,1,2010
674,"Albert City, IA","Woden, IA",0,1,0,1,0,0,0,0,1,1,2010
