,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
13150,"Cherokee, IA","Cherokee, IA",96,284,147,221,283,23,101,295,131,527,2010
13211,"Cherokee, IA","Larrabee, IA",42,90,53,95,80,10,39,98,48,185,2010
13222,"Cherokee, IA","Meriden, IA",35,98,48,78,98,5,39,96,46,181,2010
13219,"Cherokee, IA","Marcus, IA",23,92,58,72,85,16,44,81,48,173,2010
13139,"Cherokee, IA","Aurelia, IA",16,80,44,73,62,5,25,67,48,140,2010
13246,"Cherokee, IA","Quimby, IA",20,45,28,41,46,6,17,44,32,93,2010
13272,"Cherokee, IA","Storm Lake, IA",18,38,10,54,11,1,15,39,12,66,2010
13263,"Cherokee, IA","Sioux City, IA",15,23,19,26,19,12,15,29,13,57,2010
13158,"Cherokee, IA","Cushing, IA",1,10,14,9,16,0,5,13,7,25,2010
13242,"Cherokee, IA","Peterson, IA",6,10,9,14,11,0,0,19,6,25,2010
13274,"Cherokee, IA","Sutherland, IA",4,9,11,11,12,1,1,20,3,24,2010
13209,"Cherokee, IA","Lakeside, IA",7,14,1,16,6,0,3,18,1,22,2010
13241,"Cherokee, IA","Paullina, IA",5,10,7,8,12,2,1,20,1,22,2010
13214,"Cherokee, IA","Le Mars, IA",4,10,5,3,14,2,8,4,7,19,2010
13248,"Cherokee, IA","Remsen, IA",4,4,9,7,9,1,2,12,3,17,2010
13267,"Cherokee, IA","Spencer, IA",3,10,1,5,6,3,6,5,3,14,2010
13245,"Cherokee, IA","Primghar, IA",4,8,1,4,9,0,2,8,3,13,2010
13194,"Cherokee, IA","Hartley, IA",4,8,0,9,3,0,2,8,2,12,2010
13199,"Cherokee, IA","Ida Grove, IA",1,10,1,11,1,0,2,5,5,12,2010
13257,"Cherokee, IA","Schaller, IA",2,7,1,6,3,1,1,7,2,10,2010
13144,"Cherokee, IA","Carroll, IA",2,6,1,5,3,1,3,2,4,9,2010
13167,"Cherokee, IA","Des Moines, IA",3,6,0,3,4,2,4,0,5,9,2010
13180,"Cherokee, IA","Fort Dodge, IA",5,2,1,1,3,4,5,3,0,8,2010
13176,"Cherokee, IA","Estherville, IA",3,4,1,0,6,2,6,1,1,8,2010
13154,"Cherokee, IA","Council Bluffs, IA",3,3,1,1,2,4,3,2,2,7,2010
13275,"Cherokee, IA","Truesdale, IA",2,2,3,7,0,0,0,5,2,7,2010
13256,"Cherokee, IA","Sanborn, IA",3,2,2,4,3,0,5,1,1,7,2010
13178,"Cherokee, IA","Everly, IA",0,7,0,6,1,0,0,7,0,7,2010
13137,"Cherokee, IA","Ashton, IA",1,2,3,2,3,1,3,1,2,6,2010
13268,"Cherokee, IA","Spirit Lake, IA",1,1,4,0,6,0,0,4,2,6,2010
13229,"Cherokee, IA","Newell, IA",1,3,1,1,1,3,2,2,1,5,2010
13205,"Cherokee, IA","Kingsley, IA",0,5,0,0,4,1,1,2,2,5,2010
13260,"Cherokee, IA","Sheldon, IA",0,1,4,0,0,5,2,2,1,5,2010
13264,"Cherokee, IA","Sioux Rapids, IA",1,3,1,2,3,0,1,3,1,5,2010
13265,"Cherokee, IA","Sloan, IA",1,3,1,3,2,0,2,2,1,5,2010
13289,"Cherokee, IA","West Des Moines, IA",2,2,0,3,1,0,0,3,1,4,2010
13166,"Cherokee, IA","Denison, IA",1,2,1,0,2,2,1,1,2,4,2010
13259,"Cherokee, IA","Sergeant Bluff, IA",3,1,0,4,0,0,2,2,0,4,2010
13236,"Cherokee, IA","Orange City, IA",1,3,0,0,3,1,1,1,2,4,2010
13193,"Cherokee, IA","Harris, IA",0,2,2,1,3,0,0,3,1,4,2010
13252,"Cherokee, IA","Rock Valley, IA",1,0,3,0,3,1,4,0,0,4,2010
13262,"Cherokee, IA","Sioux Center, IA",1,0,2,1,1,1,2,1,0,3,2010
13240,"Cherokee, IA","Oyens, IA",0,3,0,0,2,1,0,1,2,3,2010
13133,"Cherokee, IA","Ames, IA",1,2,0,2,1,0,1,1,1,3,2010
13261,"Cherokee, IA","Sibley, IA",1,2,0,0,2,1,0,3,0,3,2010
13254,"Cherokee, IA","Sac City, IA",1,0,2,2,1,0,1,1,1,3,2010
13195,"Cherokee, IA","Hawarden, IA",0,2,1,0,3,0,2,1,0,3,2010
13170,"Cherokee, IA","Dubuque, IA",0,3,0,0,2,1,1,0,2,3,2010
13220,"Cherokee, IA","Marshalltown, IA",1,1,1,1,1,1,1,2,0,3,2010
13140,"Cherokee, IA","Battle Creek, IA",1,0,2,2,1,0,0,1,2,3,2010
13223,"Cherokee, IA","Merrill, IA",0,3,0,0,3,0,0,0,3,3,2010
13136,"Cherokee, IA","Arthur, IA",1,0,2,1,1,1,1,2,0,3,2010
13251,"Cherokee, IA","Rock Rapids, IA",2,0,1,0,2,1,2,1,0,3,2010
13160,"Cherokee, IA","Danbury, IA",2,0,1,0,2,1,1,2,0,3,2010
13131,"Cherokee, IA","Alton, IA",0,2,1,3,0,0,1,2,0,3,2010
13196,"Cherokee, IA","Hiawatha, IA",0,2,0,0,1,1,2,0,0,2,2010
13197,"Cherokee, IA","Hinton, IA",1,1,0,0,0,2,1,1,0,2,2010
13200,"Cherokee, IA","Indianola, IA",0,0,2,0,1,1,1,0,1,2,2010
13152,"Cherokee, IA","Clive, IA",0,2,0,0,1,1,0,0,2,2,2010
13201,"Cherokee, IA","Inwood, IA",1,0,1,1,1,0,0,0,2,2,2010
13203,"Cherokee, IA","Jefferson, IA",0,2,0,0,0,2,0,2,0,2,2010
13244,"Cherokee, IA","Preston, IA",1,0,1,0,1,1,1,1,0,2,2010
13138,"Cherokee, IA","Audubon, IA",1,1,0,0,1,1,1,0,1,2,2010
13153,"Cherokee, IA","Coon Rapids, IA",1,1,0,1,0,1,1,1,0,2,2010
13258,"Cherokee, IA","Schleswig, IA",0,2,0,2,0,0,0,0,2,2,2010
13145,"Cherokee, IA","Carter Lake, IA",2,0,0,0,0,2,1,1,0,2,2010
13161,"Cherokee, IA","Davenport, IA",1,0,1,0,0,2,1,0,1,2,2010
13149,"Cherokee, IA","Cedar Rapids, IA",0,0,2,2,0,0,0,0,2,2,2010
13238,"Cherokee, IA","Otho, IA",0,1,1,0,0,2,1,1,0,2,2010
13273,"Cherokee, IA","Superior, IA",1,1,0,1,0,1,0,1,1,2,2010
13221,"Cherokee, IA","Marysville, IA",1,1,0,1,0,1,0,1,1,2,2010
13147,"Cherokee, IA","Castana, IA",0,2,0,1,1,0,0,0,2,2,2010
13175,"Cherokee, IA","Emmetsburg, IA",0,1,1,0,2,0,1,1,0,2,2010
13142,"Cherokee, IA","Boyden, IA",1,1,0,1,0,1,0,1,1,2,2010
13185,"Cherokee, IA","Graettinger, IA",1,0,1,0,1,1,2,0,0,2,2010
13290,"Cherokee, IA","Whitten, IA",1,0,0,1,0,0,1,0,0,1,2010
13291,"Cherokee, IA","Windsor Heights, IA",0,1,0,0,1,0,0,1,0,1,2010
13288,"Cherokee, IA","Webster City, IA",0,1,0,0,1,0,0,1,0,1,2010
13239,"Cherokee, IA","Ottumwa, IA",1,0,0,0,1,0,1,0,0,1,2010
13237,"Cherokee, IA","Oskaloosa, IA",0,1,0,0,1,0,0,1,0,1,2010
13235,"Cherokee, IA","Onawa, IA",1,0,0,0,1,0,0,1,0,1,2010
13243,"Cherokee, IA","Pierson, IA",0,0,1,0,0,1,0,0,1,1,2010
13234,"Cherokee, IA","Ogden, IA",0,1,0,1,0,0,0,1,0,1,2010
13287,"Cherokee, IA","Webb, IA",0,0,1,1,0,0,0,1,0,1,2010
13253,"Cherokee, IA","Royal, IA",0,1,0,1,0,0,0,1,0,1,2010
13286,"Cherokee, IA","Waverly, IA",1,0,0,0,0,1,0,1,0,1,2010
13270,"Cherokee, IA","St. Paul, IA",0,1,0,0,1,0,0,0,1,1,2010
13279,"Cherokee, IA","Victor, IA",0,1,0,0,1,0,0,1,0,1,2010
13278,"Cherokee, IA","Urbandale, IA",1,0,0,0,0,1,0,0,1,1,2010
13277,"Cherokee, IA","Urbana, IA",1,0,0,0,1,0,1,0,0,1,2010
13280,"Cherokee, IA","Walker, IA",0,1,0,1,0,0,0,0,1,1,2010
13276,"Cherokee, IA","University Heights, IA",1,0,0,0,1,0,0,1,0,1,2010
13281,"Cherokee, IA","Wall Lake, IA",0,1,0,0,1,0,0,1,0,1,2010
13282,"Cherokee, IA","Wallingford, IA",0,1,0,0,0,1,0,1,0,1,2010
13271,"Cherokee, IA","Stanton, IA",1,0,0,0,1,0,1,0,0,1,2010
13269,"Cherokee, IA","St. Lucas, IA",0,0,1,0,1,0,0,0,1,1,2010
13247,"Cherokee, IA","Reasnor, IA",0,1,0,1,0,0,0,1,0,1,2010
13266,"Cherokee, IA","Soldier, IA",0,0,1,0,1,0,0,1,0,1,2010
13283,"Cherokee, IA","Waterloo, IA",0,1,0,0,0,1,0,1,0,1,2010
13232,"Cherokee, IA","Ocheyedan, IA",1,0,0,0,0,1,1,0,0,1,2010
13284,"Cherokee, IA","Waucoma, IA",0,1,0,0,0,1,0,0,1,1,2010
13255,"Cherokee, IA","Sageville, IA",0,0,1,0,1,0,0,0,1,1,2010
13250,"Cherokee, IA","Robins, IA",0,0,1,1,0,0,0,1,0,1,2010
13249,"Cherokee, IA","Riverton, IA",1,0,0,0,0,1,1,0,0,1,2010
13285,"Cherokee, IA","Waukee, IA",0,1,0,0,0,1,0,1,0,1,2010
13233,"Cherokee, IA","Odebolt, IA",0,1,0,1,0,0,0,1,0,1,2010
13125,"Cherokee, IA","Ackworth, IA",0,1,0,0,1,0,0,0,1,1,2010
13231,"Cherokee, IA","Norwalk, IA",1,0,0,0,1,0,1,0,0,1,2010
13181,"Cherokee, IA","Fostoria, IA",0,0,1,0,1,0,0,1,0,1,2010
13177,"Cherokee, IA","Evansdale, IA",1,0,0,0,0,1,0,1,0,1,2010
13174,"Cherokee, IA","Elma, IA",0,1,0,0,1,0,0,1,0,1,2010
13173,"Cherokee, IA","Elk Horn, IA",0,1,0,0,0,1,1,0,0,1,2010
13172,"Cherokee, IA","Eldon, IA",0,1,0,0,1,0,0,0,1,1,2010
13171,"Cherokee, IA","Dyersville, IA",0,1,0,0,0,1,0,1,0,1,2010
13169,"Cherokee, IA","Donnellson, IA",0,1,0,0,1,0,0,0,1,1,2010
13168,"Cherokee, IA","Dexter, IA",1,0,0,0,0,1,1,0,0,1,2010
13165,"Cherokee, IA","Dedham, IA",0,1,0,0,0,1,0,1,0,1,2010
13164,"Cherokee, IA","Decorah, IA",1,0,0,0,1,0,1,0,0,1,2010
13163,"Cherokee, IA","De Soto, IA",1,0,0,0,1,0,1,0,0,1,2010
13162,"Cherokee, IA","Dawson, IA",1,0,0,0,1,0,1,0,0,1,2010
13159,"Cherokee, IA","Dallas Center, IA",1,0,0,1,0,0,0,1,0,1,2010
13157,"Cherokee, IA","Curlew, IA",0,1,0,0,1,0,0,1,0,1,2010
13156,"Cherokee, IA","Cresco, IA",0,1,0,1,0,0,0,0,1,1,2010
13155,"Cherokee, IA","Craig, IA",0,1,0,0,1,0,1,0,0,1,2010
13151,"Cherokee, IA","Clarinda, IA",1,0,0,0,1,0,0,1,0,1,2010
13148,"Cherokee, IA","Cedar Falls, IA",0,1,0,0,1,0,0,0,1,1,2010
13146,"Cherokee, IA","Castalia, IA",0,1,0,0,1,0,1,0,0,1,2010
13143,"Cherokee, IA","Bronson, IA",1,0,0,1,0,0,1,0,0,1,2010
13141,"Cherokee, IA","Bettendorf, IA",0,1,0,0,0,1,0,1,0,1,2010
13135,"Cherokee, IA","Anthon, IA",0,1,0,0,1,0,0,0,1,1,2010
13134,"Cherokee, IA","Ankeny, IA",1,0,0,0,0,1,1,0,0,1,2010
13132,"Cherokee, IA","Altoona, IA",0,1,0,0,0,1,0,0,1,1,2010
13130,"Cherokee, IA","Alta Vista, IA",0,1,0,1,0,0,1,0,0,1,2010
13129,"Cherokee, IA","Albion, IA",0,0,1,0,1,0,1,0,0,1,2010
13128,"Cherokee, IA","Akron, IA",1,0,0,0,1,0,0,1,0,1,2010
13127,"Cherokee, IA","Agency, IA",0,1,0,0,1,0,1,0,0,1,2010
13179,"Cherokee, IA","Fort Atkinson, IA",0,0,1,1,0,0,0,0,1,1,2010
13182,"Cherokee, IA","Gilbert, IA",1,0,0,1,0,0,1,0,0,1,2010
13230,"Cherokee, IA","Nichols, IA",0,0,1,0,1,0,0,1,0,1,2010
13183,"Cherokee, IA","Glidden, IA",1,0,0,0,1,0,1,0,0,1,2010
