,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
13343,"Cincinnati, IA","Centerville, IA",15,31,21,0,6,61,8,52,7,67,2010
13345,"Cincinnati, IA","Cincinnati, IA",3,26,12,4,4,33,5,36,0,41,2010
13354,"Cincinnati, IA","Moulton, IA",3,15,6,0,1,23,3,21,0,24,2010
13360,"Cincinnati, IA","Rathbun, IA",3,8,4,0,4,11,6,9,0,15,2010
13359,"Cincinnati, IA","Plano, IA",3,8,3,0,3,11,3,11,0,14,2010
13346,"Cincinnati, IA","Clio, IA",3,5,3,0,0,11,1,7,3,11,2010
13348,"Cincinnati, IA","Exline, IA",0,9,2,0,1,10,3,8,0,11,2010
13357,"Cincinnati, IA","Mystic, IA",2,2,1,0,0,5,0,5,0,5,2010
13362,"Cincinnati, IA","Unionville, IA",0,2,2,0,0,4,1,3,0,4,2010
13361,"Cincinnati, IA","Seymour, IA",0,2,2,0,0,4,1,1,2,4,2010
13342,"Cincinnati, IA","Bloomfield, IA",0,0,3,0,0,3,0,3,0,3,2010
13340,"Cincinnati, IA","Albia, IA",0,1,1,0,0,2,0,2,0,2,2010
13358,"Cincinnati, IA","Ottumwa, IA",1,0,1,0,1,1,1,0,1,2,2010
13352,"Cincinnati, IA","Marshalltown, IA",0,0,2,0,0,2,0,2,0,2,2010
13353,"Cincinnati, IA","Moravia, IA",1,1,0,0,0,2,0,2,0,2,2010
13355,"Cincinnati, IA","Mount Pleasant, IA",1,0,0,0,0,1,0,1,0,1,2010
13356,"Cincinnati, IA","Muscatine, IA",0,1,0,0,0,1,0,1,0,1,2010
13341,"Cincinnati, IA","Batavia, IA",0,1,0,0,0,1,1,0,0,1,2010
13351,"Cincinnati, IA","Iowa City, IA",0,1,0,0,0,1,1,0,0,1,2010
13350,"Cincinnati, IA","Hillsboro, IA",1,0,0,0,0,1,0,1,0,1,2010
13349,"Cincinnati, IA","Greenfield, IA",0,1,0,0,0,1,0,1,0,1,2010
13347,"Cincinnati, IA","Eldon, IA",0,1,0,0,0,1,0,0,1,1,2010
13344,"Cincinnati, IA","Chariton, IA",0,0,1,0,0,1,0,1,0,1,2010
13363,"Cincinnati, IA","University Park, IA",1,0,0,0,1,0,0,1,0,1,2010
