,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
18340,"Cumberland, IA","Lewis, IA",7,21,18,0,39,7,16,18,12,46,2010
18336,"Cumberland, IA","Grant, IA",7,20,15,0,38,4,20,19,3,42,2010
18331,"Cumberland, IA","Cumberland, IA",6,21,14,1,31,9,19,12,10,41,2010
18317,"Cumberland, IA","Atlantic, IA",10,10,5,0,18,7,5,13,7,25,2010
18321,"Cumberland, IA","Carson, IA",1,5,7,0,13,0,3,6,4,13,2010
18333,"Cumberland, IA","Elliott, IA",1,4,1,0,5,1,2,2,2,6,2010
18355,"Cumberland, IA","Wiota, IA",1,0,4,0,5,0,1,3,1,5,2010
18341,"Cumberland, IA","Macedonia, IA",2,2,0,0,4,0,2,2,0,4,2010
18330,"Cumberland, IA","Council Bluffs, IA",0,3,1,0,4,0,1,1,2,4,2010
18348,"Cumberland, IA","Red Oak, IA",0,3,0,0,2,1,0,2,1,3,2010
18329,"Cumberland, IA","Corning, IA",0,3,0,0,3,0,3,0,0,3,2010
18320,"Cumberland, IA","Carroll, IA",1,1,0,0,2,0,2,0,0,2,2010
18318,"Cumberland, IA","Audubon, IA",0,2,0,0,2,0,0,2,0,2,2010
18344,"Cumberland, IA","Nodaway, IA",0,2,0,0,2,0,0,0,2,2,2010
18345,"Cumberland, IA","Oakland, IA",0,1,1,0,2,0,1,1,0,2,2010
18335,"Cumberland, IA","Glidden, IA",2,0,0,0,2,0,2,0,0,2,2010
18342,"Cumberland, IA","Massena, IA",1,0,1,0,2,0,2,0,0,2,2010
18343,"Cumberland, IA","Newton, IA",0,1,0,0,1,0,0,0,1,1,2010
18349,"Cumberland, IA","Sharpsburg, IA",0,1,0,0,1,0,1,0,0,1,2010
18350,"Cumberland, IA","Sloan, IA",1,0,0,0,1,0,1,0,0,1,2010
18347,"Cumberland, IA","Perry, IA",0,0,1,0,0,1,0,0,1,1,2010
18346,"Cumberland, IA","Osceola, IA",0,0,1,0,1,0,1,0,0,1,2010
18351,"Cumberland, IA","Stanton, IA",0,1,0,0,1,0,1,0,0,1,2010
18352,"Cumberland, IA","Urbana, IA",0,1,0,0,1,0,1,0,0,1,2010
18353,"Cumberland, IA","Walnut, IA",0,1,0,0,1,0,0,1,0,1,2010
18354,"Cumberland, IA","Windsor Heights, IA",0,0,1,0,1,0,0,1,0,1,2010
18323,"Cumberland, IA","Casey, IA",0,1,0,0,1,0,0,1,0,1,2010
18339,"Cumberland, IA","Iowa City, IA",0,1,0,0,1,0,1,0,0,1,2010
18324,"Cumberland, IA","Chariton, IA",0,0,1,0,1,0,0,1,0,1,2010
18338,"Cumberland, IA","Harlan, IA",0,1,0,0,1,0,0,0,1,1,2010
18337,"Cumberland, IA","Guthrie Center, IA",0,0,1,0,1,0,0,1,0,1,2010
18319,"Cumberland, IA","Burlington, IA",0,1,0,0,1,0,0,0,1,1,2010
18334,"Cumberland, IA","Exira, IA",0,1,0,0,0,1,0,1,0,1,2010
18332,"Cumberland, IA","Des Moines, IA",0,1,0,0,1,0,0,0,1,1,2010
18322,"Cumberland, IA","Carter Lake, IA",0,0,1,0,0,1,1,0,0,1,2010
18328,"Cumberland, IA","Coon Rapids, IA",0,1,0,0,1,0,0,1,0,1,2010
18327,"Cumberland, IA","Colo, IA",0,0,1,0,0,1,0,0,1,1,2010
18326,"Cumberland, IA","Coburg, IA",0,1,0,0,0,1,1,0,0,1,2010
18325,"Cumberland, IA","Clive, IA",0,0,1,0,1,0,0,0,1,1,2010
18316,"Cumberland, IA","Anita, IA",0,1,0,0,0,1,1,0,0,1,2010
