,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27578,"Farmersburg, IA","Marquette, IA",3,5,3,4,6,1,4,6,1,11,2010
27577,"Farmersburg, IA","Luana, IA",3,6,0,4,1,4,1,6,2,9,2010
27570,"Farmersburg, IA","Farmersburg, IA",2,4,2,2,6,0,6,1,1,8,2010
27574,"Farmersburg, IA","Guttenberg, IA",1,4,2,2,3,2,4,3,0,7,2010
27580,"Farmersburg, IA","Monona, IA",1,4,2,1,5,1,3,4,0,7,2010
27583,"Farmersburg, IA","St. Olaf, IA",1,3,0,0,4,0,2,1,1,4,2010
27586,"Farmersburg, IA","Waukon, IA",0,2,0,0,2,0,1,0,1,2,2010
27585,"Farmersburg, IA","Vinton, IA",0,1,1,0,0,2,0,2,0,2,2010
27584,"Farmersburg, IA","Tipton, IA",0,1,0,0,1,0,0,1,0,1,2010
27582,"Farmersburg, IA","Springville, IA",1,0,0,0,0,1,1,0,0,1,2010
27581,"Farmersburg, IA","Oskaloosa, IA",0,0,1,0,1,0,0,1,0,1,2010
27579,"Farmersburg, IA","Millville, IA",0,1,0,0,1,0,1,0,0,1,2010
27566,"Farmersburg, IA","Cedar Rapids, IA",1,0,0,1,0,0,0,1,0,1,2010
27567,"Farmersburg, IA","Decorah, IA",0,1,0,0,1,0,1,0,0,1,2010
27575,"Farmersburg, IA","Hazleton, IA",0,1,0,0,0,1,0,0,1,1,2010
27573,"Farmersburg, IA","Garnavillo, IA",0,0,1,1,0,0,0,1,0,1,2010
27572,"Farmersburg, IA","Fredericksburg, IA",1,0,0,0,0,1,1,0,0,1,2010
27571,"Farmersburg, IA","Fort Madison, IA",0,0,1,0,0,1,0,0,1,1,2010
27569,"Farmersburg, IA","Elkport, IA",0,1,0,0,1,0,0,1,0,1,2010
27568,"Farmersburg, IA","Dubuque, IA",1,0,0,0,0,1,0,1,0,1,2010
27576,"Farmersburg, IA","Hiawatha, IA",1,0,0,1,0,0,1,0,0,1,2010
