,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27816,"Fayette, IA","Randalia, IA",7,20,13,13,23,4,18,14,8,40,2010
27791,"Fayette, IA","Fayette, IA",6,15,17,9,25,4,18,13,7,38,2010
27825,"Fayette, IA","Strawberry Point, IA",3,14,9,6,19,1,15,9,2,26,2010
27805,"Fayette, IA","Manchester, IA",7,7,6,5,15,0,5,8,7,20,2010
27775,"Fayette, IA","Arlington, IA",4,4,9,6,11,0,9,7,1,17,2010
27829,"Fayette, IA","Wadena, IA",3,9,2,4,10,0,6,5,3,14,2010
27812,"Fayette, IA","Oelwein, IA",1,3,8,5,5,2,2,6,4,12,2010
27797,"Fayette, IA","Hazleton, IA",0,5,6,1,10,0,6,3,2,11,2010
27831,"Fayette, IA","West Union, IA",1,7,3,5,5,1,3,2,6,11,2010
27776,"Fayette, IA","Aurora, IA",0,6,4,0,9,1,3,6,1,10,2010
27809,"Fayette, IA","Millville, IA",0,2,3,5,0,0,0,2,3,5,2010
27823,"Fayette, IA","Stanley, IA",1,4,0,2,2,1,1,4,0,5,2010
27821,"Fayette, IA","St. Lucas, IA",2,0,2,3,1,0,1,3,0,4,2010
27807,"Fayette, IA","Mason City, IA",0,4,0,4,0,0,0,3,1,4,2010
27830,"Fayette, IA","Waterloo, IA",1,1,2,0,4,0,4,0,0,4,2010
27780,"Fayette, IA","Decorah, IA",0,3,0,1,2,0,0,2,1,3,2010
27790,"Fayette, IA","Fairbank, IA",0,3,0,0,2,1,0,2,1,3,2010
27787,"Fayette, IA","Elgin, IA",0,2,1,2,0,1,1,1,1,3,2010
27778,"Fayette, IA","Cedar Rapids, IA",0,3,0,3,0,0,0,3,0,3,2010
27824,"Fayette, IA","Storm Lake, IA",0,3,0,3,0,0,1,1,1,3,2010
27826,"Fayette, IA","Sumner, IA",2,1,0,1,1,1,1,2,0,3,2010
27819,"Fayette, IA","Sioux Center, IA",1,1,0,2,0,0,0,2,0,2,2010
27822,"Fayette, IA","St. Olaf, IA",1,1,0,0,2,0,0,1,1,2,2010
27799,"Fayette, IA","Independence, IA",1,0,1,1,1,0,0,0,2,2,2010
27774,"Fayette, IA","Algona, IA",0,1,1,1,0,1,0,2,0,2,2010
27796,"Fayette, IA","Hawkeye, IA",1,1,0,1,1,0,2,0,0,2,2010
27782,"Fayette, IA","Des Moines, IA",0,2,0,0,2,0,2,0,0,2,2010
27781,"Fayette, IA","Delaware, IA",0,2,0,0,2,0,1,0,1,2,2010
27777,"Fayette, IA","Castalia, IA",0,2,0,1,0,1,1,0,1,2,2010
27793,"Fayette, IA","Garnavillo, IA",0,2,0,1,1,0,0,1,1,2,2010
27813,"Fayette, IA","Orange City, IA",0,1,0,1,0,0,0,1,0,1,2010
27820,"Fayette, IA","Spencer, IA",0,0,1,1,0,0,0,0,1,1,2010
27827,"Fayette, IA","Urbandale, IA",1,0,0,1,0,0,1,0,0,1,2010
27818,"Fayette, IA","Sanborn, IA",1,0,0,1,0,0,1,0,0,1,2010
27828,"Fayette, IA","Victor, IA",0,1,0,1,0,0,1,0,0,1,2010
27817,"Fayette, IA","Rock Valley, IA",0,1,0,1,0,0,0,1,0,1,2010
27832,"Fayette, IA","Whitten, IA",0,0,1,0,1,0,0,1,0,1,2010
27815,"Fayette, IA","Owasa, IA",0,0,1,0,0,1,1,0,0,1,2010
27814,"Fayette, IA","Ottumwa, IA",0,0,1,0,1,0,1,0,0,1,2010
27804,"Fayette, IA","Luana, IA",1,0,0,1,0,0,0,1,0,1,2010
27811,"Fayette, IA","New Hampton, IA",1,0,0,0,1,0,0,1,0,1,2010
27810,"Fayette, IA","Mount Vernon, IA",0,1,0,0,1,0,0,0,1,1,2010
27779,"Fayette, IA","Cresco, IA",0,1,0,1,0,0,0,1,0,1,2010
27783,"Fayette, IA","Doon, IA",0,1,0,1,0,0,0,1,0,1,2010
27784,"Fayette, IA","Dubuque, IA",0,0,1,1,0,0,1,0,0,1,2010
27785,"Fayette, IA","Eddyville, IA",1,0,0,0,1,0,1,0,0,1,2010
27786,"Fayette, IA","Edgewood, IA",0,1,0,1,0,0,0,1,0,1,2010
27788,"Fayette, IA","Elkport, IA",0,1,0,1,0,0,0,1,0,1,2010
27789,"Fayette, IA","Evansdale, IA",1,0,0,1,0,0,0,1,0,1,2010
27792,"Fayette, IA","Fenton, IA",0,1,0,1,0,0,0,1,0,1,2010
27794,"Fayette, IA","Garner, IA",0,1,0,1,0,0,0,0,1,1,2010
27795,"Fayette, IA","Hawarden, IA",0,1,0,1,0,0,0,0,1,1,2010
27798,"Fayette, IA","Hopkinton, IA",1,0,0,1,0,0,1,0,0,1,2010
27800,"Fayette, IA","Iowa Falls, IA",0,0,1,1,0,0,0,1,0,1,2010
27801,"Fayette, IA","Janesville, IA",0,0,1,0,1,0,0,1,0,1,2010
27802,"Fayette, IA","Kensett, IA",0,0,1,1,0,0,0,1,0,1,2010
27803,"Fayette, IA","Lisbon, IA",0,1,0,1,0,0,0,1,0,1,2010
27806,"Fayette, IA","Marquette, IA",0,1,0,0,1,0,0,0,1,1,2010
27808,"Fayette, IA","Maxwell, IA",0,1,0,0,1,0,1,0,0,1,2010
27833,"Fayette, IA","Winthrop, IA",0,1,0,1,0,0,0,0,1,1,2010
