,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
29413,"Fraser, IA","Ogden, IA",5,29,10,11,23,10,13,18,13,44,2010
29401,"Fraser, IA","Fraser, IA",3,7,6,3,9,4,7,5,4,16,2010
29393,"Fraser, IA","Boone, IA",2,6,4,2,7,3,3,8,1,12,2010
29399,"Fraser, IA","Farnhamville, IA",0,2,0,0,1,1,0,0,2,2,2010
29391,"Fraser, IA","Bagley, IA",0,1,1,0,0,2,0,2,0,2,2010
29390,"Fraser, IA","Audubon, IA",0,1,1,0,0,2,1,0,1,2,2010
29420,"Fraser, IA","Stratford, IA",0,2,0,1,0,1,2,0,0,2,2010
29396,"Fraser, IA","Duncombe, IA",0,1,1,0,1,1,0,0,2,2,2010
29414,"Fraser, IA","Otho, IA",0,0,2,0,2,0,2,0,0,2,2010
29412,"Fraser, IA","Nevada, IA",0,1,0,0,1,0,0,1,0,1,2010
29415,"Fraser, IA","Perry, IA",0,0,1,0,1,0,1,0,0,1,2010
29416,"Fraser, IA","Sioux Center, IA",0,0,1,0,0,1,0,0,1,1,2010
29389,"Fraser, IA","Ames, IA",0,1,0,0,1,0,1,0,0,1,2010
29417,"Fraser, IA","Sioux City, IA",0,1,0,0,1,0,1,0,0,1,2010
29410,"Fraser, IA","Keystone, IA",0,0,1,0,0,1,1,0,0,1,2010
29418,"Fraser, IA","Stanhope, IA",1,0,0,0,0,1,1,0,0,1,2010
29419,"Fraser, IA","Story City, IA",1,0,0,0,1,0,0,1,0,1,2010
29421,"Fraser, IA","Waterloo, IA",0,1,0,0,0,1,0,0,1,1,2010
29422,"Fraser, IA","Webster City, IA",0,1,0,0,1,0,0,1,0,1,2010
29411,"Fraser, IA","Lehigh, IA",1,0,0,0,0,1,0,1,0,1,2010
29406,"Fraser, IA","Grinnell, IA",1,0,0,0,0,1,1,0,0,1,2010
29409,"Fraser, IA","Huxley, IA",0,1,0,0,1,0,0,0,1,1,2010
29408,"Fraser, IA","Humboldt, IA",0,1,0,0,1,0,0,1,0,1,2010
29407,"Fraser, IA","Havelock, IA",0,1,0,0,0,1,0,0,1,1,2010
29405,"Fraser, IA","Gray, IA",0,1,0,0,0,1,0,1,0,1,2010
29404,"Fraser, IA","Grand Junction, IA",0,0,1,0,0,1,1,0,0,1,2010
29403,"Fraser, IA","Goldfield, IA",0,1,0,0,0,1,0,0,1,1,2010
29402,"Fraser, IA","Gilman, IA",0,0,1,0,1,0,0,0,1,1,2010
29400,"Fraser, IA","Fort Dodge, IA",0,1,0,0,1,0,0,1,0,1,2010
29398,"Fraser, IA","Exira, IA",0,1,0,0,1,0,1,0,0,1,2010
29397,"Fraser, IA","Eagle Grove, IA",0,1,0,0,0,1,1,0,0,1,2010
29395,"Fraser, IA","Des Moines, IA",0,1,0,0,1,0,0,0,1,1,2010
29394,"Fraser, IA","Dakota City, IA",0,1,0,1,0,0,0,1,0,1,2010
29392,"Fraser, IA","Bayard, IA",0,1,0,0,0,1,1,0,0,1,2010
29423,"Fraser, IA","Windsor Heights, IA",0,1,0,0,0,1,1,0,0,1,2010
