,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
32137,"Grinnell, IA","Grinnell, IA",438,1055,502,323,1516,156,560,802,633,1995,2010
32196,"Grinnell, IA","Lynnville, IA",46,134,49,41,168,20,73,87,69,229,2010
32128,"Grinnell, IA","Gilman, IA",45,132,51,41,165,22,63,89,76,228,2010
32238,"Grinnell, IA","Newton, IA",56,121,37,66,131,17,75,90,49,214,2010
32166,"Grinnell, IA","Kellogg, IA",39,104,46,35,131,23,51,67,71,189,2010
32237,"Grinnell, IA","New Sharon, IA",51,81,25,36,106,15,43,66,48,157,2010
32327,"Grinnell, IA","Tama, IA",34,65,16,46,64,5,25,61,29,115,2010
32207,"Grinnell, IA","Marshalltown, IA",43,45,18,25,69,12,38,45,23,106,2010
32139,"Grinnell, IA","Guernsey, IA",18,57,16,14,73,4,28,32,31,91,2010
32043,"Grinnell, IA","Brooklyn, IA",22,38,14,17,57,0,18,43,13,74,2010
32252,"Grinnell, IA","Oskaloosa, IA",23,25,13,13,39,9,15,38,8,61,2010
32222,"Grinnell, IA","Montezuma, IA",16,37,7,15,43,2,15,29,16,60,2010
32323,"Grinnell, IA","Sully, IA",12,30,12,8,42,4,12,34,8,54,2010
32198,"Grinnell, IA","Malcom, IA",14,25,11,10,37,3,12,27,11,50,2010
32330,"Grinnell, IA","Toledo, IA",11,34,1,20,23,3,8,22,16,46,2010
32113,"Grinnell, IA","Ferguson, IA",2,32,9,17,22,4,6,26,11,43,2010
32173,"Grinnell, IA","Knoxville, IA",18,14,4,1,27,8,26,6,4,36,2010
32090,"Grinnell, IA","Des Moines, IA",13,17,6,1,27,8,14,11,11,36,2010
32159,"Grinnell, IA","Iowa City, IA",9,12,9,2,25,3,7,8,15,30,2010
32052,"Grinnell, IA","Cedar Rapids, IA",7,20,2,4,15,10,13,9,7,29,2010
32254,"Grinnell, IA","Ottumwa, IA",10,16,3,6,7,16,8,18,3,29,2010
32177,"Grinnell, IA","Lambs Grove, IA",9,16,3,7,18,3,11,13,4,28,2010
32278,"Grinnell, IA","Reasnor, IA",9,11,5,6,15,4,12,11,2,25,2010
32012,"Grinnell, IA","Ames, IA",8,14,2,3,8,13,10,9,5,24,2010
32262,"Grinnell, IA","Pella, IA",10,11,2,2,15,6,6,10,7,23,2010
32336,"Grinnell, IA","Urbandale, IA",9,10,3,3,11,8,5,9,8,22,2010
32345,"Grinnell, IA","Waterloo, IA",5,11,5,3,9,9,11,4,6,21,2010
32015,"Grinnell, IA","Ankeny, IA",5,11,4,0,12,8,6,6,8,20,2010
32101,"Grinnell, IA","Elberon, IA",3,15,1,3,11,5,6,6,7,19,2010
32095,"Grinnell, IA","Dubuque, IA",6,9,4,12,4,3,4,11,4,19,2010
32064,"Grinnell, IA","Clive, IA",7,10,1,1,10,7,6,6,6,18,2010
32334,"Grinnell, IA","University Park, IA",7,9,1,1,16,0,6,8,3,17,2010
32179,"Grinnell, IA","Le Grand, IA",2,12,3,4,9,4,2,9,6,17,2010
32221,"Grinnell, IA","Monroe, IA",7,9,1,2,13,2,9,4,4,17,2010
32309,"Grinnell, IA","Sioux City, IA",5,9,3,0,14,3,10,5,2,17,2010
32266,"Grinnell, IA","Pleasant Hill, IA",10,5,1,0,12,4,13,3,0,16,2010
32029,"Grinnell, IA","Belle Plaine, IA",4,8,4,0,14,2,10,4,2,16,2010
32150,"Grinnell, IA","Hiawatha, IA",6,5,5,1,7,8,8,4,4,16,2010
32204,"Grinnell, IA","Marengo, IA",10,4,1,2,11,2,4,9,2,15,2010
32358,"Grinnell, IA","Windsor Heights, IA",5,5,5,0,11,4,7,1,7,15,2010
32224,"Grinnell, IA","Montour, IA",3,8,3,1,12,1,5,5,4,14,2010
32116,"Grinnell, IA","Fort Dodge, IA",2,9,2,3,6,4,4,8,1,13,2010
32051,"Grinnell, IA","Cedar Falls, IA",4,6,3,0,9,4,8,1,4,13,2010
32340,"Grinnell, IA","Vining, IA",1,9,3,4,5,4,2,5,6,13,2010
32213,"Grinnell, IA","Melcher-Dallas, IA",5,5,3,0,11,2,11,2,0,13,2010
32352,"Grinnell, IA","West Des Moines, IA",5,8,0,0,9,4,5,3,5,13,2010
32007,"Grinnell, IA","Albion, IA",5,5,2,1,9,2,2,9,1,12,2010
32062,"Grinnell, IA","Clinton, IA",6,6,0,4,3,5,7,3,2,12,2010
32011,"Grinnell, IA","Altoona, IA",6,5,1,2,7,3,2,1,9,12,2010
32251,"Grinnell, IA","Osceola, IA",6,3,2,0,2,9,5,6,0,11,2010
32344,"Grinnell, IA","Washington, IA",8,2,1,1,5,5,8,2,1,11,2010
32045,"Grinnell, IA","Bussey, IA",2,7,1,1,2,7,0,7,3,10,2010
32357,"Grinnell, IA","Williamsburg, IA",3,5,2,0,7,3,4,3,3,10,2010
32111,"Grinnell, IA","Fairfield, IA",2,1,7,0,6,4,3,4,3,10,2010
32288,"Grinnell, IA","Robins, IA",5,4,1,0,4,6,3,4,3,10,2010
32085,"Grinnell, IA","Decorah, IA",0,9,0,4,3,2,1,4,4,9,2010
32056,"Grinnell, IA","Chariton, IA",1,7,1,0,6,3,4,0,5,9,2010
32081,"Grinnell, IA","Davenport, IA",3,5,1,2,3,4,3,4,2,9,2010
32122,"Grinnell, IA","Garwin, IA",0,5,4,3,5,1,0,3,6,9,2010
32175,"Grinnell, IA","Ladora, IA",2,5,2,1,8,0,2,2,5,9,2010
32209,"Grinnell, IA","Mason City, IA",2,7,0,0,2,7,2,4,3,9,2010
32027,"Grinnell, IA","Baxter, IA",1,6,2,1,7,1,3,5,1,9,2010
32157,"Grinnell, IA","Indianola, IA",2,5,2,0,3,6,3,3,3,9,2010
32243,"Grinnell, IA","Norwalk, IA",2,6,0,1,4,3,1,3,4,8,2010
