,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
35039,"Hinton, IA","Sioux City, IA",20,60,31,15,62,34,22,55,34,111,2010
35017,"Hinton, IA","Merrill, IA",11,34,17,3,42,17,22,18,22,62,2010
35013,"Hinton, IA","Le Mars, IA",7,23,11,3,20,18,9,14,18,41,2010
35006,"Hinton, IA","Hinton, IA",6,14,9,5,16,8,6,12,11,29,2010
35046,"Hinton, IA","Westfield, IA",1,16,6,0,15,8,7,3,13,23,2010
35035,"Hinton, IA","Sergeant Bluff, IA",2,12,7,3,7,11,4,8,9,21,2010
35020,"Hinton, IA","Moville, IA",3,3,2,1,6,1,1,3,4,8,2010
35032,"Hinton, IA","Remsen, IA",1,5,2,0,2,6,1,3,4,8,2010
34982,"Hinton, IA","Akron, IA",0,3,1,0,2,2,0,2,2,4,2010
34996,"Hinton, IA","Council Bluffs, IA",1,1,1,0,0,3,0,1,2,3,2010
35028,"Hinton, IA","Pierson, IA",1,0,2,0,2,1,2,1,0,3,2010
35009,"Hinton, IA","Kingsley, IA",1,1,1,2,0,1,1,2,0,3,2010
35005,"Hinton, IA","Hawarden, IA",0,3,0,0,0,3,1,1,1,3,2010
35025,"Hinton, IA","Oyens, IA",1,1,1,0,1,2,0,1,2,3,2010
35040,"Hinton, IA","Sloan, IA",0,3,0,1,1,1,0,1,2,3,2010
35034,"Hinton, IA","Sac City, IA",0,2,0,0,1,1,1,0,1,2,2010
35029,"Hinton, IA","Pleasant Hill, IA",0,2,0,1,0,1,0,1,1,2,2010
35012,"Hinton, IA","Lawton, IA",1,1,0,0,2,0,0,1,1,2,2010
35011,"Hinton, IA","Larrabee, IA",1,1,0,0,1,1,1,0,1,2,2010
34983,"Hinton, IA","Alton, IA",0,1,1,0,0,2,1,0,1,2,2010
34997,"Hinton, IA","Danbury, IA",0,1,1,0,0,2,0,1,1,2,2010
35007,"Hinton, IA","Ida Grove, IA",0,2,0,0,1,1,0,0,2,2,2010
34986,"Hinton, IA","Atlantic, IA",0,1,1,0,0,2,0,0,2,2,2010
35018,"Hinton, IA","Milford, IA",1,0,1,1,0,1,0,2,0,2,2010
35027,"Hinton, IA","Peterson, IA",0,1,1,0,0,2,1,1,0,2,2010
34985,"Hinton, IA","Anthon, IA",0,1,1,0,1,1,1,0,1,2,2010
34993,"Hinton, IA","Cherokee, IA",0,2,0,1,0,1,0,0,2,2,2010
35036,"Hinton, IA","Sheldon, IA",1,1,0,0,0,2,0,1,1,2,2010
34999,"Hinton, IA","Denison, IA",0,1,1,0,1,1,0,2,0,2,2010
35044,"Hinton, IA","Webb, IA",0,2,0,0,1,1,2,0,0,2,2010
35045,"Hinton, IA","Webster City, IA",0,0,1,0,0,1,0,1,0,1,2010
35026,"Hinton, IA","Paullina, IA",1,0,0,0,0,1,1,0,0,1,2010
35038,"Hinton, IA","Sibley, IA",0,1,0,0,0,1,0,0,1,1,2010
35030,"Hinton, IA","Quimby, IA",0,0,1,0,0,1,1,0,0,1,2010
35031,"Hinton, IA","Rake, IA",0,1,0,0,0,1,0,0,1,1,2010
35042,"Hinton, IA","Spirit Lake, IA",0,0,1,0,1,0,0,1,0,1,2010
35041,"Hinton, IA","Spencer, IA",0,1,0,0,1,0,0,0,1,1,2010
35033,"Hinton, IA","Rock Rapids, IA",1,0,0,0,0,1,1,0,0,1,2010
35024,"Hinton, IA","Orange City, IA",0,0,1,0,0,1,0,0,1,1,2010
35037,"Hinton, IA","Shenandoah, IA",0,1,0,0,0,1,0,0,1,1,2010
35043,"Hinton, IA","Sutherland, IA",0,0,1,0,0,1,0,1,0,1,2010
35015,"Hinton, IA","Mapleton, IA",0,0,1,0,0,1,0,0,1,1,2010
35023,"Hinton, IA","Onawa, IA",0,0,1,0,1,0,0,0,1,1,2010
35022,"Hinton, IA","Ocheyedan, IA",0,1,0,1,0,0,0,1,0,1,2010
34984,"Hinton, IA","Ames, IA",0,1,0,0,0,1,0,0,1,1,2010
34987,"Hinton, IA","Brayton, IA",0,1,0,0,0,1,0,0,1,1,2010
34988,"Hinton, IA","Bronson, IA",0,1,0,0,0,1,0,0,1,1,2010
34989,"Hinton, IA","Carroll, IA",0,1,0,0,0,1,0,1,0,1,2010
34990,"Hinton, IA","Castana, IA",0,0,1,0,0,1,0,0,1,1,2010
34991,"Hinton, IA","Cedar Rapids, IA",0,0,1,0,0,1,0,0,1,1,2010
34992,"Hinton, IA","Charter Oak, IA",0,1,0,0,1,0,1,0,0,1,2010
34994,"Hinton, IA","Clarion, IA",0,1,0,0,0,1,0,0,1,1,2010
34995,"Hinton, IA","Clive, IA",0,0,1,1,0,0,0,1,0,1,2010
34998,"Hinton, IA","Davenport, IA",0,0,1,0,0,1,0,0,1,1,2010
35000,"Hinton, IA","Des Moines, IA",0,1,0,0,0,1,0,0,1,1,2010
35001,"Hinton, IA","Eagle Grove, IA",0,1,0,0,0,1,0,0,1,1,2010
35002,"Hinton, IA","Everly, IA",0,1,0,0,0,1,0,0,1,1,2010
35003,"Hinton, IA","Fort Dodge, IA",0,1,0,0,0,1,1,0,0,1,2010
35004,"Hinton, IA","Hamburg, IA",0,1,0,0,1,0,1,0,0,1,2010
35008,"Hinton, IA","Iowa City, IA",1,0,0,0,0,1,0,1,0,1,2010
35010,"Hinton, IA","Lake View, IA",0,0,1,0,1,0,0,1,0,1,2010
35014,"Hinton, IA","Linden, IA",0,1,0,0,1,0,0,0,1,1,2010
35016,"Hinton, IA","Marcus, IA",1,0,0,0,0,1,0,0,1,1,2010
35019,"Hinton, IA","Mount Pleasant, IA",1,0,0,0,0,1,0,0,1,1,2010
35021,"Hinton, IA","Nevada, IA",0,1,0,0,0,1,0,1,0,1,2010
35047,"Hinton, IA","Windsor Heights, IA",0,1,0,1,0,0,0,1,0,1,2010
